word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
stellen|stellen|A1|120|to place; put (upright)|ставить; помещать|setzen; platzieren; hinstellen|Er stellt die Vase auf den Tisch.|He puts the vase on the table.|Он ставит вазу на стол.|Er platziert die Vase auf den Tisch.|eine Frage stellen; einen Antrag stellen; den Wecker stellen; zur Rede stellen|Commonly used for placing objects vertically (upright), as opposed to laying them flat (legen). Also forms many functional verb phrases (Funktionsverbgefüge) such as 'eine Frage stellen' (to ask a question).
stellen|abstellen|B2|4167|to turn off; switch off; park|выключать; отключать; ставить (на землю)|ausschalten; deaktivieren; abstoppen; parken|Bitte stell das Radio ab, es ist zu laut.|Please turn off the radio, it's too loud.|Пожалуйста, выключи радио, оно слишком громкое.|Bitte schalte das Radio aus, es ist zu laut.|den Motor abstellen; das Wasser abstellen; Gepäck abstellen; Mängel abstellen|Separable verb. Often used for turning off technical devices, utilities (water, gas), or physically placing luggage or vehicles down/aside. Figuratively, it means to remedy or stop an issue (Mängel abstellen).
stellen|aneinanderstellen|C2|173375|to place next to each other|ставить вплотную друг к другу|zusammenstellen; aneinanderreihen; nebeneinanderstellen|Wir sollten die Tische aneinanderstellen.|We should place the tables next to each other.|Нам нужно поставить столы вплотную друг к другу.|Wir sollten die Tische zusammenstellen.|Tische aneinanderstellen; Stühle aneinanderstellen; Betten aneinanderstellen|Separable verb. Literally refers to putting objects together so that they touch or align closely in a row.
stellen|anstellen|B2|3138|to hire; turn on; behave; line up|нанимать; включать; устраивать; вести себя; вставать в очередь|einstellen; einschalten; betragen; anstellen (sich)|Die Firma möchte neue Mitarbeiter anstellen.|The company wants to hire new employees.|Компания хочет нанять новых сотрудников.|Die Firma möchte neue Mitarbeiter einstellen.|sich in die Schlange anstellen; den Fernseher anstellen; dumm anstellen; Nachforschungen anstellen|Separable verb with multiple meanings. Reflexive 'sich anstellen' means to stand in line or to make a fuss ('stell dich nicht so an!'). Non-reflexive means to employ, start/turn on a machine, or conduct/initiate (e.g. Untersuchungen anstellen).
stellen|aufeinanderstellen|C2|173116|to stack; place on top of each other|ставить друг на друга|stapeln; übereinanderstellen|Kannst du die Kartons aufeinanderstellen?|Can you stack the boxes on top of each other?|Ты можешь поставить коробки друг на друга?|Kannst du die Kartons stapeln?|Kisten aufeinanderstellen; Teller aufeinanderstellen; Stühle aufeinanderstellen|Separable verb. A concrete physical action meaning to build a vertical pile of items.
stellen|aufstellen|B2|1791|to set up; establish; nominate|устанавливать; выдвигать; формулировать|errichten; aufbauen; nominieren; formulieren|Sie wollen ein neues Schild aufstellen.|They want to set up a new sign.|Они хотят установить новый знак.|Sie wollen ein neues Schild aufbauen.|Regeln aufstellen; einen Rekord aufstellen; Kandidaten aufstellen; Behauptungen aufstellen|Separable verb. Extremely versatile. Used for physical objects (setting up tents, signs), abstract items (rules, theories, records), and in politics/sports (nominating candidates or teams).
stellen|ausstellen|B2|3836|to exhibit; issue (document); turn off|выставлять; экспонировать; выписывать (документ)|zeigen; präsentieren; ausfertigen; ausschalten|Der Künstler wird seine Bilder in der Galerie ausstellen.|The artist will exhibit his paintings in the gallery.|Художник выставит свои картины в галерее.|Der Künstler wird seine Bilder in der Galerie präsentieren.|ein Zeugnis ausstellen; einen Reisepass ausstellen; Gemälde ausstellen; die Heizung ausstellen|Separable verb. Main meanings: 1) Exhibiting art in public. 2) Formally issuing official papers/certificates (ausfertigen). 3) Colloquially, switching off appliances (like the heating or TV).
stellen|beiseitestellen|C2|95374|to put aside; shelve|отставить в сторону; откладывать|wegräumen; beiseitelegen; wegschieben; ignorieren|Er musste den Stuhl kurz beiseitestellen.|He had to briefly put the chair aside.|Ему пришлось ненадолго отставить стул в сторону.|Er musste den Stuhl kurz wegräumen.|ein Glas beiseitestellen; Vorurteile beiseitestellen; Bedenken beiseitestellen|Separable verb. Literal meaning is to move an object out of the immediate way. Figuratively, it means to temporarily disregard opinions, doubts, or differences.
stellen|dagegenstellen|C2|115031|to oppose; counterpose; place against|противопоставлять; ставить против|entgegensetzen; kontern; entgegentreten|Wir müssen stichhaltige Argumente dagegenstellen.|We must present sound counterarguments.|Мы должны противопоставить этому веские аргументы.|Wir müssen stichhaltige Argumente entgegensetzen.|Argumente dagegenstellen; sich dagegenstellen; Fakten dagegenstellen|Separable verb. Can be physical (leaning an object against something else) but is frequently used in abstract debates to counter opinions or present facts against a position.
stellen|davorstellen|C2|155854|to place in front of (it)|ставить перед (этим)|davorplatzieren; davorstellen (sich)|Du musst etwas davorstellen, um das Loch zu verdecken.|You have to put something in front of it to cover the hole.|Тебе нужно поставить что-то перед этим, чтобы закрыть дыру.|Du musst etwas davorplatzieren, um das Loch zu verdecken.|einen Sichtschutz davorstellen; sich schützend davorstellen|Separable verb. Indicates placing something physically in front of another object to cover, hide, or block it.
