word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
wachsen|wachsen|B1|861|to grow; to increase|расти; увеличиваться|gedeihen; zunehmen; steigen; sprießen|Die Blumen wachsen im Frühling sehr schnell.|The flowers grow very quickly in spring.|Цветы весной растут очень быстро.|Die Blumen gedeihen im Frühling sehr schnell.|schnell wachsen; in die Höhe wachsen; die Wirtschaft wächst; Haare wachsen lassen|Conjugation: wächst, wuchs, ist gewachsen. Indicates biological growth (plants, hair) or abstract growth (economy, interest). Often used with 'lassen' when referring to hair or beard.
wachsen|anwachsen|C1|10512|to increase; to swell; to take root|увеличиваться; возрастать; приживаться (о растении)|ansteigen; zunehmen; sich vergrößern; Wurzeln schlagen|Die Schulden des Staates sind besorgniserregend angewachsen.|The state's debts have grown to an alarming level.|Государственный долг вырос до тревожных размеров.|Die Schulden des Staates sind besorgniserregend angestiegen.|zu einer Lawine anwachsen; die Bevölkerung wächst an; der Strom wächst an; die Kosten wachsen an|Conjugation: wächst an, wuchs an, ist angewachsen. Used for cumulative growth in volume, intensity, or numbers (debts, water levels, crowd size). Also means a plant taking root in the soil.
wachsen|aufwachsen|B2|4463|to grow up|вырастать; расти (о человеке)|großwerden; herankommen; aufziehen|Er ist in einer kleinen Stadt aufgewachsen.|He grew up in a small town.|Он вырос в маленьком городке.|Er ist in einer kleinen Stadt großgeworden.|behütet aufwachsen; zweisprachig aufwachsen; auf dem Land aufwachsen|Conjugation: wächst auf, wuchs auf, ist aufgewachsen. Used almost exclusively for humans going through childhood and youth. Frequently paired with locative prepositions (auf dem Land, in der Stadt) or adverbs (bilingual, behütet).
wachsen|auswachsen|C2|30934|to develop into; to grow out of; to stop growing|перерастать во что-либо; израстать; прекращать рост|sich entwickeln; sich ausweiten; aufhören zu wachsen|Der Streit könnte sich zu einem echten Krieg auswachsen.|The dispute could escalate into a real war.|Спор может перерасти в настоящую войну.|Der Streit könnte sich zu einem echten Krieg entwickeln.|sich zu einer Krise auswachsen; die Kleidung auswachsen; körperlich auswachsen|Conjugation: wächst aus, wuchs aus, ist/hat ausgewachsen. Reflexive 'sich auswachsen zu' means to develop or degenerate into something major. 'Etwas (Kleidung) auswachsen' (auxiliary: haben) means to grow too big for clothes. 'Ausgewachsen sein' (auxiliary: sein) means to have reached full biological size.
wachsen|ausgewachsen|C1|20667|fully grown; adult; full-blown|взрослый; зрелый; настоящий (полноценный)|erwachsen; vollentwickelt; reif; regelrecht|Ein ausgewachsener Tiger kann sehr gefährlich sein.|A fully grown tiger can be very dangerous.|Взрослый тигр может быть очень опасным.|Ein vollentwickelter Tiger kann sehr gefährlich sein.|ein ausgewachsener Skandal; ein ausgewachsenes Exemplar; ein ausgewachsener Baum|This is the past participle of 'auswachsen' used as an adjective. It means fully physically developed (for animals/plants) or, figuratively, complete/severe/full-blown (e.g., 'ein ausgewachsener Skandal' - a full-blown scandal).
wachsen|durchwachsen|C1|12629|to grow through; streaky (meat); mixed/mediocre (figurative)|прорастать; с прослойками жира (о мясе); посредственный/смешанный (переносное)|durchdringen; gemischt; mittelmäßig|Die Bilanz des Unternehmens für das letzte Jahr war eher durchwachsen.|The company's performance for last year was rather mixed.|Результаты компании за прошлый год были довольно неоднозначными.|Die Bilanz des Unternehmens für das letzte Jahr war eher mittelmäßig.|durchwachsenes Fleisch; eine durchwachsene Leistung; eine durchwachsene Bilanz; durch das Gitter durchwachsen|Can be an inseparable verb (durchwachsen, durchwuchs, hat/ist durchwachsen - to grow through something), a separable verb (wächst durch, wuchs durch, ist durchgewachsen), or an adjective meaning 'streaky' (meat) or 'mediocre/mixed' (performance, mood, weather).
wachsen|einwachsen|C2|73998|to grow in; to become ingrown|врастать|einheilen; festwachsen; verwachsen|Er musste zum Arzt gehen, weil sein Zehennagel eingewachsen war.|He had to go to the doctor because his toenail was ingrown.|Ему пришлось пойти к врачу, потому что у него врос ноготь на пальце ноги.|Er musste zum Arzt gehen, weil sein Zehennagel eingewachsen und festgewachsen war.|ein eingewachsener Nagel; in die Haut einwachsen; mit dem Gewebe einwachsen|Conjugation: wächst ein, wuchs ein, ist eingewachsen. Commonly used in medical contexts (ingrown nails, implants growing into tissue) or botany (vines growing into walls).
wachsen|emporwachsen|C2|92734|to grow upwards; to shoot up|вырастать вверх; устремляться ввысь|emporsprießen; aufstreben; in die Höhe wachsen|Die Wolkenkratzer wachsen in der Metropole empor.|Skyscrapers are soaring upwards in the metropolis.|Небоскребы устремляются ввысь в мегаполисе.|Die Wolkenkratzer streben in der Metropole in die Höhe.|emporwachsende Bäume; Mauern wachsen empor; Gebäude wachsen empor|Conjugation: wächst empor, wuchs empor, ist emporgewachsen. Elevated/poetic style. Refers to plants or tall structures (towers, mountains) growing or seeming to grow straight up.
wachsen|entwachsen|C2|33038|to outgrow|перерастать (возраст, детские привычки)|entgleiten; überholen; hinter sich lassen; entgehen|Sie ist den Kinderschuhen längst entwachsen.|She has long outgrown her childhood shoes.|Она уже давно вышла из детского возраста.|Sie hat die Kinderschuhe längst hinter sich gelassen.|den Kinderschuhen entwachsen; der elterlichen Fürsorge entwachsen; der Kontrolle entwachsen|Conjugation: entwächst, entwuchs, ist entwachsen. Governs the dative case (jemandem/etwas entwachsen). Used metaphorically to mean outgrowing a certain developmental stage, control, or habit.
wachsen|festwachsen|C2|109738|to grow onto; to become firmly attached|прирастать; укореняться|anwachsen; verhaften; festwerden; sich verwurzeln|Die Pflanze ist am Stein festgewachsen.|The plant has grown firmly onto the stone.|Растение приросло к камню.|Die Pflanze hat sich am Stein verwurzelt.|am Boden festwachsen; festgewachsene Muscheln; im Gewebe festwachsen|Conjugation: wächst fest, wuchs fest, ist festgewachsen. Used for organisms (plants, mussels, tissue) growing onto a surface and becoming immovable.
