word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
arbeiten|arbeiten|A1|275|to work|работать|tätig sein; schuften; werkeln|Er arbeitet als Ingenieur bei einer großen Firma.|He works as an engineer at a large company.|Он работает инженером в крупной компании.|Er ist als Ingenieur bei einer großen Firma tätig.|als Ingenieur arbeiten; hart arbeiten; an einem Projekt arbeiten|The basic verb for working. Can be used intransitively or transitively. Often used with 'an' + dative (to work on something) or 'als' + nominative (to work as something).
arbeiten|abarbeiten|C1|10238|to work off; to process; to pay off (debt) by working|отрабатывать; справляться (с работой); изнурять себя работой (sich)|erledigen; abtragen; bewältigen|Er muss zuerst seine Schulden abarbeiten.|He must work off his debts first.|Сначала он должен отработать свои долги.|Er muss zuerst seine Schulden abtragen.|Schulden abarbeiten; eine To-Do-Liste abarbeiten; Überstunden abarbeiten|Commonly separable (arbeitet ab). Refers to systematically completing tasks on a list, paying off a debt through labor, or tiring oneself out physically (sich abarbeiten).
arbeiten|anarbeiten|C2|114046|to work against; to fight against; to prepare work in advance|противодействовать; преодолевать; работать наперед|ankämpfen; entgegenwirken; vorarbeiten|Die Retter mussten verzweifelt gegen den Sturm anarbeiten.|The rescuers desperately had to work against the storm.|Спасателям пришлось отчаянно бороться со штормом.|Die Retter mussten verzweifelt gegen den Sturm ankämpfen.|gegen die Zeit anarbeiten; gegen den Wind anarbeiten; ein Polster anarbeiten|Separable. Frequently used in the construction 'gegen etwas anarbeiten' (to work/struggle against something like time, a storm, or a trend). In technical/factory contexts, it can also mean to prepare materials/work in advance.
arbeiten|aufarbeiten|B2|9268|to process; to come to terms with (past); to refurbish|прорабатывать (прошлое); восстанавливать (мебель); разгребать (накопившуюся работу)|bewältigen; restaurieren; aufholen|Das Land muss seine Geschichte aufarbeiten.|The country must come to terms with its history.|Страна должна проработать свою историю.|Das Land muss seine Vergangenheit bewältigen.|die Vergangenheit aufarbeiten; ein Trauma aufarbeiten; alte Möbel aufarbeiten; Rückstände aufarbeiten|Separable. Very common in social, historical, or psychological contexts (e.g., coming to terms with historical guilt or personal trauma). Also used for renovating old physical items or catching up on work backlogs.
arbeiten|ausarbeiten|B2|7152|to work out; to draft; to elaborate|разрабатывать; детально прорабатывать; составлять (план)|entwerfen; detailliert planen; formulieren|Der Ausschuss muss einen neuen Vorschlag ausarbeiten.|The committee has to work out a new proposal.|Комитет должен разработать новое предложение.|Der Ausschuss muss einen neuen Vorschlag entwerfen.|einen Plan ausarbeiten; Details ausarbeiten; ein Konzept ausarbeiten|Separable. Means to systematically plan, formulate, or develop a detailed concept, treaty, or draft from basic ideas.
arbeiten|bearbeiten|B2|3278|to process; to edit; to cultivate (soil); to urge/badger (someone)|обрабатывать; редактировать; уговаривать (кого-то)|editieren; behandeln; überreden; bebauen|Ich muss diesen Text noch am Computer bearbeiten.|I still need to edit this text on the computer.|Мне еще нужно отредактировать этот текст на компьютере.|Ich muss diesen Text noch am Computer editieren.|einen Antrag bearbeiten; Fotos bearbeiten; den Boden bearbeiten; jemanden bearbeiten|Inseparable. Highly versatile. Used for editing texts/photos, processing applications, cultivating soil, or persistently trying to persuade someone ('jemanden bearbeiten').
arbeiten|drauflosarbeiten|C2|209991|to work away blindly; to start working without a plan|работать наобум; приниматься за работу без раздумий|losschuften; unüberlegt handeln; draufloswurschteln|Du solltest nicht einfach drauflosarbeiten, sondern zuerst planen.|You shouldn't just work away blindly; you should plan first.|Тебе не стоит просто работать наобум, сначала нужно составить план.|Du solltest nicht einfach losschuften, sondern zuerst planen.|einfach drauflosarbeiten; blind drauflosarbeiten|Separable. Colloquial. Implies starting a task eagerly and energetically, but completely without planning, preparation, or structure.
arbeiten|durcharbeiten|C2|27531|to work through; to work without a break; to study thoroughly|прорабатывать (книгу); работать без перерыва; проработать всю ночь|durchgehen; studieren; pausenlos arbeiten|Sie hat die ganze Nacht durchgearbeitet.|She worked through the entire night.|Она проработала всю ночь без перерыва.|Sie hat die ganze Nacht pausenlos gearbeitet.|die Nacht durcharbeiten; ein Lehrbuch durcharbeiten; ein Thema durcharbeiten|Separable. Has two main meanings: either to work continuously without pause (often through the night) or to thoroughly study/analyze a long text or book ('ein Buch durcharbeiten').
arbeiten|einarbeiten|C1|10251|to train (an employee); to incorporate; to ease oneself into a job (sich)|вводить в курс дела (сотрудника); внедрять (в текст); осваиваться на работе (sich)|anlernen; integrieren; sich eingewöhnen|Sie muss den neuen Kollegen erst einarbeiten.|She has to train the new colleague first.|Сначала ей нужно ввести нового коллегу в курс дела.|Sie muss den neuen Kollegen erst anlernen.|einen neuen Mitarbeiter einarbeiten; sich in ein Thema einarbeiten; Korrekturen einarbeiten|Separable. Very common in workplace contexts for onboarding. 'Sich einarbeiten in + Akkusativ' means to familiarize oneself with a new task or topic. Can also mean to incorporate elements into a document.
arbeiten|emporarbeiten|C2|94535|to work one's way up; to rise through hard work (sich)|выбиться в люди; пробиться наверх собственным трудом (sich)|aufsteigen; Karriere machen; sich hochdienen|Er hat sich aus armen Verhältnissen emporgearbeitet.|He worked his way up from poor circumstances.|Он выбился в люди из бедных слоев общества благодаря своему труду.|Er ist aus armen Verhältnissen aufgestiegen.|sich emporarbeiten; sich im Beruf emporarbeiten; sich gesellschaftlich emporarbeiten|Separable, reflexive ('sich emporarbeiten'). Expresses social or professional advancement achieved through persistent hard work. Often has a dramatic or admiring tone.
