word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
reichen|reichen|B1|661|to hand, to pass, to suffice|подавать, хватать, быть достаточным|genügen; ausreichen; geben; übergeben|Kannst du mir bitte das Salz reichen?|Can you please hand me the salt?|Можешь, пожалуйста, подать мне соль?|Kannst du mir bitte das Salz geben?|jemandem das Salz reichen; jemandem die Hand reichen; das Geld reicht|Reichen is highly versatile. In transitive usage with a dative object, it means to hand something over politely. In intransitive usage, it means to be sufficient (e.g., 'Es reicht!' meaning 'That is enough!').
reichen|darreichen|C2|96185|to offer, to present, to administer|преподносить, подносить, предлагать|anbieten; präsentieren; verabreichen|Die Gastgeber reichten den Gästen kleine Häppchen dar.|The hosts offered the guests small appetizers.|Хозяева предложили гостям маленькие закуски.|Die Gastgeber boten den Gästen kleine Häppchen an.|Speisen und Getränke darreichen; ein Opfer darreichen; das Abendmahl darreichen|A formal and elevated verb. Used primarily in ceremonial, religious, medical, or upscale culinary contexts to denote presenting or offering something in a formal way.
reichen|durchreichen|C2|37899|to pass through, to pass down|передавать (через проем), спускать, продвигать|weitergeben; durchgeben; durchstecken|Bitte reich das Tablett durch das Fenster durch.|Please pass the tray through the window.|Пожалуйста, передай поднос через окно.|Bitte gib das Tablett durch das Fenster weiter.|das Essen durchreichen; Teller durchreichen; durchgereicht werden|Used literally for passing something through an opening or window. Figuratively, the passive form 'durchgereicht werden' is common in sports or business, meaning to drop rapidly down the rankings or league table.
reichen|einreichen|B2|3275|to submit, to hand in, to file|подавать (заявление, жалобу), предоставлять|abgeben; vorlegen; einliefern|Er muss die Dokumente bis morgen beim Amt einreichen.|He has to submit the documents to the office by tomorrow.|Он должен подать документы в ведомство до завтра.|Er muss die Dokumente bis morgen beim Amt abgeben.|einen Antrag einreichen; eine Beschwerde einreichen; Scheidung einreichen; Unterlagen einreichen|A standard administrative verb. Used exclusively for official procedures, such as submitting applications, lawsuits, tax returns, or certificates to authorities or formal institutions.
reichen|erreichen|B1|299|to reach, to achieve, to contact|достигать, добиваться, дозваниваться|erzielen; gelangen zu; kontaktieren; schaffen|Wir haben unser Ziel am späten Abend erreicht.|We reached our destination late in the evening.|Мы достигли нашей цели поздно вечером.|Wir sind am späten Abend an unserem Ziel angelangt.|ein Ziel erreichen; jemanden telefonisch erreichen; die Grenze erreichen; Erfolg erreichen|An extremely common verb with three main meanings: physical arrival (e.g. at a destination), figurative achievement (e.g. goals, limits), and getting in touch with someone (e.g. by phone).
reichen|gereichen|B2|5974|to redound to, to result in (formal)|служить (к чему-либо), идти на пользу/во вред|ausschlagen zu; führen zu; eintragen|Seine schnelle Entscheidung wird ihm zum Vorteil gereichen.|His quick decision will redound to his advantage.|Его быстрое решение послужит ему на пользу.|Seine schnelle Entscheidung wird sich für ihn vorteilhaft auswirken.|jemandem zur Ehre gereichen; zum Vorteil gereichen; zum Nachteil gereichen; zur Last gereichen|A highly formal and literary verb. It is used almost exclusively in the dative structure 'jemandem zu etwas gereichen' to express how someone's actions reflect on their reputation, honor, or benefit.
reichen|herumreichen|C2|50800|to pass around|передавать по кругу, разносить|herumgeben; kreisen lassen|Sie ließ die alten Fotos in der Runde herumreichen.|She had the old photos passed around the circle.|Она пустила старые фотографии по кругу.|Sie ließ die alten Fotos in der Runde herumgeben.|eine Liste herumreichen; Fotos herumreichen; Plätzchen herumreichen|Mainly used for handing physical objects around a group of people so that everyone can look at, sign, or take from the item.
reichen|nachreichen|C1|21621|to submit later, to hand in later|предоставлять позже, досылать|nachliefern; nachträglich einreichen|Ich werde die fehlende Bescheinigung morgen nachreichen.|I will submit the missing certificate tomorrow.|Я предоставлю недостающую справку завтра.|Ich werde die fehlende Bescheinigung morgen nachliefern.|Dokumente nachreichen; ein Attest nachreichen; Unterlagen nachreichen|Commonly used in administrative, formal, or academic contexts when an applicant or student has to provide a document that was missing during the initial application process.
reichen|überreichen|B2|2838|to present, to hand over solemnly|вручать, торжественно передавать|übergeben; aushändigen; verleihen|Der Präsident überreichte dem Sieger die goldene Medaille.|The president presented the golden medal to the winner.|Президент вручил победителю золотую медаль.|Der Präsident übergab dem Sieger die goldene Medaille.|einen Preis überreichen; eine Urkunde überreichen; Geschenke überreichen; Blumen überreichen|An inseparable verb. It implies a high degree of formality, ceremony, or respect (e.g., award ceremonies, graduation, or official visits) compared to the neutral and separable 'übergeben'.
reichen|weiterreichen|C1|16256|to pass on, to forward|передавать дальше|weitergeben; übermitteln|Bitte reichen Sie dieses Dokument an den Kollegen weiter.|Please forward this document to the colleague.|Пожалуйста, передайте этот документ коллеге.|Bitte geben Sie dieses Dokument an den Kollegen weiter.|eine Information weiterreichen; den Ball weiterreichen; Aufgaben weiterreichen|Can refer to passing physical objects (like a tray of food) or non-physical items (like responsibilities, questions, or information) down a chain of people.
reichen|zurückreichen|C2|31015|to hand back, to date back to|возвращать (передавая назад), восходить к (прошлому)|zurückgeben; zurückgehen auf; zurückdatieren|Die Traditionen dieses Festes reichen bis ins Mittelalter zurück.|The traditions of this festival date back to the Middle Ages.|Традиции этого праздника восходят к Средневековью.|Die Traditionen dieses Festes gehen auf das Mittelalter zurück.|bis ins Mittelalter zurückreichen; in die Antike zurückreichen; den Pass zurückreichen|Has two primary meanings: 1. Intransitively with 'bis zu/nach', it means to extend back in time (highly common for history, traditions, roots). 2. Transitively, it means to pass a physical object back to its owner.
reichen|hinreichen|C2|81202|to suffice, to be sufficient|хватать, быть достаточным|ausreichen; genügen|Das gesparte Geld wird für die Reise kaum hinreichen.|The saved money will hardly suffice for the trip.|Сэкономленных денег вряд ли хватит на поездку.|Das gesparte Geld wird für die Reise kaum ausreichen.|völlig hinreichen; für den Lebensunterhalt hinreichen; zeitlich hinreichen|A formal alternative to 'ausreichen' or 'genügen'. The present participle 'hinreichend' is very common as an adjective or adverb meaning 'sufficiently' or 'adequately'.
reichen|zureichen|C2|103248|to hand to, to assist by passing items, to suffice|подавать под руку, подносить (инструменты), хватать|anreichen; reichen; genügen|Der Lehrling muss dem Meister das Werkzeug zureichen.|The apprentice has to hand the tools to the master.|Подмастерье должен подавать мастеру инструменты.|Der Lehrling muss dem Meister das Werkzeug anreichen.|Werkzeug zureichen; Steine zureichen; jemandem helfend zureichen|Used mainly in professional manual labor, surgical operations, or construction, where an assistant hands materials or tools to a specialist. In some eastern German regions, it is used colloquially to mean 'to be sufficient'.
reichen|anreichen|C2|93490|to hand over (for use), to enrich (incorrectly used for anreichern)|подавать (инструмент), обогащать|zureichen; reichen; darreichen|Die Operationsschwester muss dem Arzt das Skalpell anreichen.|The surgical nurse has to hand the scalpel to the doctor.|Операционная сестра должна подать врачу скальпель.|Die Operationsschwester muss dem Arzt das Skalpell reichen.|Besteck anreichen; Instrumente anreichen; Speisen anreichen|Very similar to 'zureichen'. It refers to passing items (such as medical instruments, cutlery, or materials) so they are ready for immediate use. Note: Do not confuse with 'anreichern' (to enrich/fortify).
reichen|heranreichen|C2|36456|to reach up to, to measure up to, to approach|дотягиваться до, доходить до уровня, приближаться|herankommen; gleichkommen; erreichen|Er kann qualitativ nicht an seinen Vorgänger heranreichen.|Qualitatively, he cannot measure up to his predecessor.|По качеству он не может сравниться со своим предшественником.|Er kann qualitativ nicht an seinen Vorgänger herankommen.|an jemandes Niveau heranreichen; an die Decke heranreichen; an die Bestmarke heranreichen|Always construed with 'an' + accusative. Usually used in negative contexts (e.g., 'nicht heranreichen') to indicate that someone or something fails to match the high standards, quality, or achievements of another.
reichen|heraufreichen|C2|196235|to hand up (from below to speaker)|подавать снизу вверх (к говорящему)|hochreichen; heraufgeben; nach oben reichen|Kannst du mir bitte den Schlüssel aus dem Keller heraufreichen?|Can you please hand me the key up from the cellar?|Можешь, пожалуйста, подать мне наверх ключ из подвала?|Kannst du mir bitte den Schlüssel aus dem Keller nach oben reichen?|Werkzeug heraufreichen; ein Seil heraufreichen; Pakete heraufreichen|The prefix 'herauf-' shows that the object is passed from a lower position to a higher position where the speaker is currently standing.
reichen|hereinreichen|C2|141513|to hand inside (to speaker), to file/submit (regional)|подавать внутрь (к говорящему), подавать (жалобу)|hereingeben; hineinreichen|Reich mir mal bitte die Jacke durch das offene Fenster herein.|Please hand me the jacket inside through the open window.|Подай мне, пожалуйста, куртку внутрь через открытое окно.|Reich mir mal bitte die Jacke durch das offene Fenster hinein.|durch das Fenster hereinreichen; Dokumente hereinreichen|Literal usage refers to handing something inside a physical space where the speaker is. In administrative/judicial contexts, it is sometimes used similarly to 'einreichen' (submitting paperwork).
reichen|herausreichen|C2|153284|to hand out (to speaker outside), to protrude|подавать наружу (к говорящему), выдаваться наружу|herausgeben; herausragen; herausstrecken|Der Verkäufer konnte mir das Paket durch die Luke herausreichen.|The seller was able to hand the package out to me through the hatch.|Продавец смог передать мне посылку наружу через люк.|Der Verkäufer konnte mir das Paket durch die Luke herausgeben.|aus dem Fenster herausreichen; Post herausreichen|Formed with 'heraus-' (out of a space towards the speaker). Used for physically passing objects out of a room, window, or building to someone standing outside.
reichen|herüberreichen|C2|146552|to hand over (across to speaker)|подавать сюда (через расстояние/преграду к говорящему)|herübergeben; rüberreichen|Kannst du mir das Buch vom Nebentisch herüberreichen?|Can you hand me the book over from the next table?|Можешь передать мне книгу с соседнего стола?|Kannst du mir das Buch vom Nebentisch herübergeben?|über den Tisch herüberreichen; über den Zaun herüberreichen; den Teller herüberreichen|Refers to handing an object across a short distance or over an obstacle (like a fence or table) towards the speaker. In casual conversation, it is often shortened to 'rüberreichen'.
reichen|herunterreichen|C2|159003|to hand down (from above to speaker below)|подавать сверху вниз (к говорящему)|heruntergeben; runderreichen; nach unten reichen|Er stand oben auf der Leiter und musste mir das Werkzeug herunterreichen.|He stood on top of the ladder and had to hand the tools down to me.|Он стоял наверху лестницы и должен был подать мне инструмент вниз.|Er stand oben auf der Leiter und musste mir das Werkzeug heruntergeben.|Äpfel vom Baum herunterreichen; Bücher vom Regal herunterreichen|Formed with the prefix 'herunter-', indicating that the physical action of passing an object is going downwards towards the speaker who is positioned at the bottom.
reichen|hinaufreichen|C2|146614|to hand up (from below to someone above), to extend upwards|подавать снизу вверх (от говорящего), простираться вверх до|hochgeben; hinaufgeben; nach oben reichen|Ich musste ihm die Dachziegel auf das Gerüst hinaufreichen.|I had to hand the roof tiles up to him on the scaffolding.|Мне пришлось подавать ему наверх черепицу на строительные леса.|Ich musste ihm die Dachziegel auf das Gerüst hochreichen.|Werkzeug hinaufreichen; bis an die Baumkrone hinaufreichen|The prefix 'hinauf-' signifies movement upwards, away from the speaker who is standing below. Can also mean to physically extend upwards to a high point.
reichen|hinausreichen|C2|41455|to hand out (away from speaker inside), to exceed, to go beyond|подавать наружу (от говорящего), выходить за рамки|hinausgeben; überschreiten; übertreffen|Die Kosten für das Projekt werden weit über das geplante Budget hinausreichen.|The costs for the project will extend far beyond the planned budget.|Расходы на проект значительно выйдут за рамки запланированного бюджета.|Die Kosten für das Projekt werden das geplante Budget weit überschreiten.|über die Grenzen hinausreichen; über das Normalmaß hinausreichen; Gegenstände hinausreichen|While it can mean passing objects out of a room, it is much more frequently used abstractly with 'über' (+ accusative) to mean 'to go beyond', 'exceed', or 'transcend' limits, concepts, or temporal/spatial frames.
reichen|hineinreichen|C2|58779|to hand inside (away from speaker outside), to extend into|подавать внутрь (от говорящего), простираться внутрь|hineingeben; hineinragen; eindringen|Die Zweige des Nachbarbaums lassen Blätter weit in unseren Hof hineinreichen.|The branches of the neighboring tree let leaves extend far into our yard.|Ветки соседского дерева позволяют листьям простираться далеко в наш двор.|Die Zweige des Nachbarbaums ragen weit in unseren Hof hinein.|in die Geschichte hineinreichen; bis in die Neuzeit hineinreichen; durch die Öffnung hineinreichen|Literally, to hand something into a room from outside. Metaphorically, it is used with the preposition 'in' (+ accusative) to describe physical structures, concepts, or historical periods extending into a certain space or era.
reichen|hinüberreichen|C2|157728|to hand over (away from speaker to other side), to reach across|подавать на ту сторону (от говорящего), простираться на ту сторону|hinübergeben; rüberreichen|Ich kann dir die Schere über den Tisch hinüberreichen.|I can hand the scissors over the table to you.|Я могу передать тебе ножницы через стол.|Ich kann dir die Schere über den Tisch rübergeben.|über den Zaun hinüberreichen; den Teller hinüberreichen|Emphasizes passing something across a barrier, table, or empty space away from the speaker towards another person located on the other side.
reichen|hinunterreichen|C2|160713|to hand down (away from speaker above to someone below), to extend downwards|подавать сверху вниз (от говорящего), простираться вниз до|hinuntergeben; nach unten reichen; hinunterragen|Ich kann dir das Seil von der Mauer in die Grube hinunterreichen.|I can hand the rope down to you from the wall into the pit.|Я могу спустить тебе веревку со стены в яму.|Ich kann dir das Seil von der Mauer in die Grube heruntergeben.|bis zum Tal hinunterreichen; das Seil hinunterreichen|Uses the prefix 'hinunter-', indicating that the physical motion of handing something is going downwards, away from the speaker who is standing on a higher point.
reichen|ausreichen|B2|4433|to be sufficient, to suffice|хватать, быть достаточным|genügen; reichen; auskommen|Die Zeit wird für die Bearbeitung der Aufgaben kaum ausreichen.|The time will hardly be sufficient to complete the tasks.|Времени вряд ли хватит на выполнение заданий.|Die Zeit wird für die Bearbeitung der Aufgaben kaum genügen.|völlig ausreichen; finanziell ausreichen; eine Erklärung reicht aus|Extremely common in both colloquial and formal German. While 'ausreichen' and 'reichen' are highly interchangeable in the meaning of 'to suffice', 'ausreichen' is slightly more formal and precise.
reichen|genügen|B2|1596|to suffice, to satisfy, to meet requirements|хватать, быть достаточным, удовлетворять требованиям|ausreichen; reichen; befriedigen|Seine Deutschkenntnisse genügen für einfache alltägliche Gespräche.|His knowledge of German is sufficient for simple everyday conversations.|Его знаний немецкого достаточно для простых повседневных разговоров.|Seine Deutschkenntnisse reichen für einfache alltägliche Gespräche aus.|Anforderungen genügen; Ansprüchen genügen; es genügt zu sagen|Very common and slightly formal. Unlike 'reichen' and 'ausreichen', 'genügen' is strongly associated with meeting qualitative standards, regulations, or demands (e.g. 'Anforderungen genügen').
