word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
scheinen|scheinen|B1|450|to shine; to seem|светить; казаться|leuchten; strahlen; wirken; aussehen|Die Sonne scheint heute den ganzen Tag.|The sun is shining all day today.|Солнце светит сегодня весь день.|Die Sonne strahlt heute den ganzen Tag.|die Sonne scheint; zu sein scheinen; hell scheinen|scheinen has two primary meanings: 1) 'to shine' (of light, sun, stars) and 2) 'to seem/appear', which is often used in combination with 'zu' + infinitive (e.g., 'Er scheint krank zu sein' - 'He seems to be sick').
scheinen|scheinbar|C1|2880|apparent; seemingly|кажущийся; мнимый|augenscheinlich; vorgeblich; vermeintlich|Seine scheinbare Gelassenheit täuschte alle.|His apparent calmness deceived everyone.|Его кажущееся спокойствие обмануло всех.|Seine vermeintliche Gelassenheit täuschte alle.|eine scheinbare Lösung; scheinbare Widersprüche; nur scheinbar|scheinbar refers to something that only seems to be true but in reality is not. It is frequently confused with 'anscheinend' (apparently, which suggests something is likely true).
scheinen|Schein|B2|6423|light; glow; appearance; certificate; banknote|свет; сияние; видимость; свидетельство; банкнота|Lichtglanz; Anschein; Bescheinigung; Banknote|Der Schein der Kerze erhellte den Raum.|The glow of the candle lit up the room.|Свет свечи освещал комнату.|Der Lichtglanz der Kerze erhellte den Raum.|trügerischer Schein; Schein und Sein; einen Schein ausstellen; ein Fünfzig-Euro-Schein|Schein is a highly versatile homonym. It can mean a physical light/glow ('der Schein der Lampe'), a deceptive appearance ('mehr Schein als Sein'), a certificate or receipt ('Führerschein', 'Kassenzettel' colloquially), or a banknote ('Geldschein').
scheinen|anscheinen|C2|103050|to shine upon; to illuminate|освещать; озарять|anstrahlen; beleuchten; bescheinen|Die Morgensonne begann die Gipfel anzuscheinen.|The morning sun began to shine upon the peaks.|Утреннее солнце начало освещать вершины.|Die Morgensonne begann die Gipfel anzustrahlen.|von der Sonne angespien; jemanden anscheinen|anscheinen is an extremely rare and poetic/literary verb meaning to direct light onto someone or something. It should not be confused with the very common adverb 'anscheinend' (apparently).
scheinen|aufscheinen|C2|37907|to light up; to flash; to appear|вспыхивать; появляться; высвечиваться|aufleuchten; erscheinen; sichtbar werden|Plötzlich ließ ein Gedanke in ihr ein Lächeln aufscheinen.|Suddenly a thought made a smile appear on her face.|Вдруг какая-то мысль заставила улыбку появиться на её лице.|Plötzlich ließ ein Gedanke in ihr ein Lächeln aufleuchten.|auf dem Bildschirm aufscheinen; am Horizont aufscheinen; ein Bild scheint auf|aufscheinen is used in formal, poetic, or technical contexts. It describes the sudden appearance of light, a digital symbol on a screen, or an abstract concept (like hope or a smile) becoming visible.
scheinen|bescheinen|C2|60976|to shine upon; to illuminate|освещать; озарять|beleuchten; erhellen; anstrahlen|Der Mond bescheint die nächtliche Landschaft.|The moon illuminates the nightly landscape.|Луна освещает ночной пейзаж.|Der Mond beleuchtet die nächtliche Landschaft.|von der Sonne beschienen; vom Mondschein beschienen|bescheinen is a transitive literary verb, usually describing natural light (sun, moon, stars) falling onto an object, landscape, or person. Unlike 'beleuchten', it carries a more poetic tone.
scheinen|durchscheinen|C2|50222|to shine through; to show through|просвечивать; сквозить|hindurchschimmern; durchschimmern; erkennbar sein|Das Licht der Lampe lässt das Muster durchscheinen.|The light from the lamp allows the pattern to show through.|Свет лампы заставляет узор просвечивать.|Das Licht der Lampe lässt das Muster hindurchschimmern.|durch den Stoff durchscheinen; die Sonne scheint durch; Wahrheit scheint durch|durchscheinen can be used literally for light passing through translucent materials (e.g., fabric, paper) or metaphorically for hidden structures, feelings, or motives becoming detectable through a surface layer.
scheinen|erscheinen|B1|545|to appear; to be published; to seem|появляться; выходить (о книге); казаться|auftauchen; herauskommen; wirken|Das neue Buch wird nächsten Monat erscheinen.|The new book will be published next month.|Новая книга выйдет в следующем месяце.|Das neue Buch wird nächsten Monat herauskommen.|pünktlich erscheinen; im Traum erscheinen; auf dem Markt erscheinen|erscheinen is highly common with three distinct meanings: 1) physical/visual appearance ('ein Geist erschien'), 2) publishing of media ('das Album erscheint bald'), and 3) evoking a certain impression or seeming ('es erscheint mir wichtig' - 'it seems important to me').
scheinen|hereinscheinen|C2|163233|to shine in; to shine inside|светить внутрь; заглядывать (о солнце/свете)|hineinscheinen; hereinleuchten|Die Sonne scheint hell durch das Fenster herein.|The sun shines brightly in through the window.|Солнце ярко светит внутрь через окно.|Die Sonne leuchtet hell durch das Fenster herein.|durch das Fenster hereinscheinen; ins Zimmer hereinscheinen|hereinscheinen is a separable verb. The prefix 'herein-' indicates that the light enters a space from the outside, moving towards the position of the speaker who is inside.
scheinen|hineinscheinen|C2|163847|to shine into; to shine inside|светить внутрь (в направлении от говорящего)|hereinscheinen; hineinleuchten|Wir beobachteten, wie die Sonnenstrahlen in die dunkle Höhle hineinscheinen.|We watched the sunbeams shine into the dark cave.|Мы наблюдали, как солнечные лучи светят внутрь темной пещеры.|Wir beobachteten, wie die Sonnenstrahlen in die dunkle Höhle hineinleuchten.|in die Höhle hineinscheinen; tief hineinscheinen|hineinscheinen is a separable verb. Unlike 'hereinscheinen', the prefix 'hinein-' implies that light enters a space away from the speaker's current viewpoint (or that the speaker is looking at the space from the outside).
