word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
fassen|fassen|B1|1521|to grasp, to seize, to understand, to phrase|хватать, ловить, понимать, формулировать|greifen; ergreifen; begreifen; formulieren|Er konnte den Gedanken kaum fassen.|He could hardly grasp the thought.|Он едва мог постичь эту мысль.|Er konnte den Gedanken kaum begreifen.|einen Entschluss fassen; Vertrauen fassen; sich kurz fassen|Fassen is highly versatile. It is used for physical grasping (greifen), mental comprehension (begreifen, mostly in negative or surprised contexts), phrasing/formulating (formulieren), or establishing emotional states in idiomatic phrases like 'Mut fassen' (take courage) or 'Vertrauen fassen' (gain trust).
fassen|fassbar|C2|237207|tangible, comprehensible, graspable|осязаемый, постижимый, уловимый|greifbar; begreiflich; verständlich; konkret|Seine Enttäuschung war fast fassbar.|His disappointment was almost tangible.|Его разочарование было почти осязаемым.|Seine Enttäuschung war fast greifbar.|kaum fassbar; schwer fassbar; eine fassbare Erklärung|Fassbar is often used metaphorically for things that are understandable, concrete, or physically touchable. It is most commonly seen in the negative form 'unfassbar' (unbelievable, incomprehensible).
fassen|fasslich|C2|246820|comprehensible, intelligible, clear|понятный, вразумительный, доступный для понимания|verständlich; nachvollziehbar; begreiflich; klar|Der Lehrer erklärte die Theorie auf leicht fassliche Weise.|The teacher explained the theory in an easily comprehensible way.|Учитель объяснил теорию легко доступным для понимания способом.|Der Lehrer erklärte die Theorie auf leicht verständliche Weise.|leicht fasslich; allgemein fasslich; fasslich darstellen|Fasslich belongs to a formal, high-register style. It describes ideas, explanations, or texts that are easy to follow. It is less common than 'verständlich' and is frequently used in the fixed combination 'leicht fasslich'.
fassen|gefasst|C1|11325|calm, composed, prepared (for something bad)|спокойный, хладнокровный, готовый (к чему-то)|ruhig; gelassen; beherrscht; vorbereitet|Sie blieb trotz der schlechten Nachrichten völlig gefasst.|She remained completely composed despite the bad news.|Она оставалась совершенно спокойной, несмотря на плохие новости.|Sie blieb trotz der schlechten Nachrichten völlig gelassen.|gefasst sein auf; gefasst wirken; eine gefasste Miene|Gefasst is used as an adjective. It means having self-control and staying calm in difficult situations (gefasst bleiben/wirken). When followed by 'auf' + accusative, it means to be prepared for something unpleasant (e.g., 'auf das Schlimmste gefasst sein').
fassen|vorgefasst|C2|259177|preconceived, prejudiced|предвзятый, заранее предрешенный|voreingenommen; präjudiziert; feststehend|Er hatte bereits eine vorgefasste Meinung zu dem Thema.|He already had a preconceived opinion on the subject.|У него уже было предвзятое мнение по этой теме.|Er hatte bereits eine voreingenommene Meinung zu dem Thema.|eine vorgefasste Meinung; eine vorgefasste Ansicht; ein vorgefasstes Urteil|Vorgefasst is almost exclusively used to modify nouns like 'Meinung' (opinion), 'Urteil' (judgment), or 'Ansicht' (view). It describes an opinion formed before having actual experience or facts.
fassen|Essenfassen|C2|231979|food distribution, mess call (military/institutional)|раздача еды, получение пищи (в армии/столовой)|Essensausgabe; Verpflegung; Mahlzeit|Die Soldaten stellten sich pünktlich zum Essenfassen an.|The soldiers lined up right on time for food distribution.|Солдаты вовремя выстроились в очередь на раздачу еды.|Die Soldaten stellten sich pünktlich zur Essensausgabe an.|zum Essenfassen blasen; das tägliche Essenfassen|Essenfassen (or written as two words 'Essen fassen') is a colloquial or military/institutional term referring to the structured distribution and collection of food rations.
fassen|Fass|B1|7381|barrel, cask, keg|бочка, бочонок|Tonne; Bottich; Kübel|Das Bier wird direkt aus dem Fass gezapft.|The beer is tapped directly from the barrel.|Пиво наливают прямо из бочки.|Das Bier wird direkt aus dem Holzbehälter gezapft.|Bier vom Fass; das Fass zum Überlaufen bringen; ein Fass aufmachen|Fass (neuter: das Fass, plural: die Fässer) refers to a cylindrical wooden or metal container. It is famous in idioms: 'das bringt das Fass zum Überlaufen' (that's the last straw) and 'ein Fass aufmachen' (to make a big deal out of something).
fassen|Fassung|B2|4045|version, composure, frame/socket|формулировка, версия, самообладание, оправа, патрон (лампы)|Version; Formulierung; Beherrschung; Rahmen|Er verlor völlig die Fassung, als er die Nachricht hörte.|He completely lost his composure when he heard the news.|Он полностью потерял самообладание, когда услышал эту новость.|Er verlor völlig die Beherrschung, als er die Nachricht hörte.|die Fassung verlieren; die Fassung bewahren; eine neue Fassung (des Textes); eine Brille mit goldener Fassung|Fassung (feminine: die Fassung) has three primary meanings: 1) mental composure (die Fassung bewahren), 2) a written version of a text (erste/zweite Fassung), and 3) physical frames or holders (Brillenfassung, Lampenfassung).
fassen|Gefäß|B1|10389|vessel, container, blood vessel|сосуд, контейнер, кровеносный сосуд|Behälter; Gefäßsystem; Geschirr|Gießen Sie das Wasser in ein sauberes Gefäß.|Pour the water into a clean container.|Налейте воду в чистый сосуд.|Gießen Sie das Wasser in einen sauberen Behälter.|ein Gefäß füllen; die Gefäße verengen sich; ein irdenes Gefäß|Gefäß (neuter: das Gefäß, plural: die Gefäße) is a generic term for any hollow container designed to hold liquids or solids. In anatomy, it specifically means a blood vessel (Blutgefäß).
fassen|abfassen|C2|39198|to draft, to write, to compose (a document)|составлять, сочинять, формулировать (письменно)|verfassen; schreiben; aufsetzen; formulieren|Sie müssen den Vertrag auf Deutsch abfassen.|You must draft the contract in German.|Вы должны составить договор на немецком языке.|Sie müssen den Vertrag auf Deutsch aufsetzen.|ein Schreiben abfassen; ein Testament abfassen; einen Bericht abfassen|Abfassen is a formal, often legal or administrative verb meaning to write or formulate an official document. It emphasizes the structured and correct choice of wording.
