word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
knüpfen|knüpfen|B1|4621|to tie; to knot; to establish|связывать; завязывать; устанавливать (контакты)|binden; knoten; verknüpfen; herstellen|Wir wollen neue Kontakte knüpfen.|We want to establish new contacts.|Мы хотим установить новые контакты.|Wir wollen neue Kontakte herstellen.|Kontakte knüpfen; Freundschaften knüpfen; Beziehungen knüpfen; ein Netz knüpfen|While its literal meaning is to tie knots (e.g., in carpets or threads), 'knüpfen' is extremely common in modern German in metaphorical contexts, especially with 'Kontakte' (contacts), 'Beziehungen' (relations), or 'Freundschaften' (friendships), meaning 'to forge' or 'to establish'.
knüpfen|handgeknüpft|C2|103425|hand-knotted; hand-woven|ручной вязки; ручной работы (о коврах)|handgearbeitet; handgemacht; handgewebt|Dieser Teppich ist handgeknüpft.|This carpet is hand-knotted.|Этот ковер — ручной работы.|Dieser Teppich ist handgearbeitet.|ein handgeknüpfter Teppich; echter handgeknüpfter Orientteppich; handgeknüpfte Ware|An adjective primarily used to describe high-quality carpets (often Persian or oriental rugs) or tapestries made by tying individual knots by hand, as opposed to machine-made products.
knüpfen|Knüpfarbeit|C2|170089|knotting work; macrame; knotting|узелковое плетение; ручная вязка; макраме|Handarbeit; Knüpftechnik; Knüpfen|Die Decke ist eine feine Knüpfarbeit.|The blanket is a fine piece of knotting work.|Это одеяло — тонкая узелковая работа.|Die Decke ist eine feine Handarbeit.|mühsame Knüpfarbeit; kunstvolle Knüpfarbeit; Knüpfarbeit lernen; Knüpfarbeit machen|Refers to either the process or the resulting product of knotting (like macrame, carpets, or rugs). It often connotes meticulous and time-consuming handcrafting.
knüpfen|Knüpfer|C2|85793|knotter; carpet weaver|вязчик; ткач ковров|Teppichknüpfer; Handwerker; Weber|Der Knüpfer arbeitet seit Monaten an dem Teppich.|The knotter has been working on the carpet for months.|Ткач ковров работает над этим ковром уже несколько месяцев.|Der Teppichknüpfer arbeitet seit Monaten an dem Teppich.|erfahrener Knüpfer; traditioneller Knüpfer; die Arbeit des Knüpfers|An agent noun referring to a person whose job or craft is to knot carpets, nets, or tapestries. Often found in historical descriptions or texts about traditional industries.
knüpfen|Knüpfkunst|C2|181028|art of knotting; knotting art|искусство ковроделия; искусство плетения узлов|Knüpftechnik; Webkunst; Textilkunst|Die orientalische Knüpfkunst erfordert viel Geduld.|Oriental knotting art requires a lot of patience.|Восточное искусство плетения ковров требует много терпения.|Die orientalische Knüpftechnik erfordert viel Geduld.|traditionelle Knüpfkunst; orientalische Knüpfkunst; die Knüpfkunst beherrschen; alte Knüpfkunst|A cultural term referring to the skilled craftsmanship of tying knots to create complex visual patterns in rugs, carpets, or wall hangings. Usually used in historical, artistic, or tourist contexts.
knüpfen|Knüpfteppich|C2|171802|knotted carpet; knotted rug|узелковый ковер; ковер ручной вязки|Orientteppich; Webteppich|Sie kauften einen wertvollen Knüpfteppich.|They bought a valuable knotted carpet.|Они купили дорогой узелковый ковер.|Sie kauften einen wertvollen Orientteppich.|handgearbeiteter Knüpfteppich; persischer Knüpfteppich; wertvoller Knüpfteppich; Knüpfteppich reinigen|Specifically designates a carpet made by tying yarn onto a warp, contrasting with woven (Webteppich) or tufted carpets.
knüpfen|Knüpfung|C2|141489|knotting; establishing; tying|завязывание; плетение; установление (контактов)|Verbindung; Anknüpfung; Herstellung|Die Knüpfung engerer Beziehungen ist notwendig.|The establishment of closer relations is necessary.|Установление более тесных отношений необходимо.|Die Herstellung engerer Beziehungen ist notwendig.|Knüpfung von Kontakten; Knüpfung sozialer Bande; dichte Knüpfung (bei Teppichen)|The nominal form of 'knüpfen'. In carpet manufacturing, it refers to the density or style of the knots (e.g., 'feine Knüpfung'). In abstract contexts, it refers to initiating or forging social/professional ties.
knüpfen|abknüpfen|C2|131907|to untie; to detach; to squeeze out (money/secrets)|отвязать; выманить (деньги); выведать (тайну)|abluchsen; abnehmen; entlocken; losmachen|Er wollte mir mein letztes Geld abknüpfen.|He wanted to squeeze my last money out of me.|Он хотел выманить у меня последние деньги.|Er wollte mir mein letztes Geld abluchsen.|jemandem Geld abknüpfen; ein Versprechen abknüpfen; ein Geheimnis abknüpfen|A separable verb. Literally, it means to untie or detach something. Figuratively (and very commonly), 'jemandem etwas abknüpfen' means to craftily or persistently get money, a promise, or information out of someone.
knüpfen|anknüpfen|B2|7109|to build on; to connect; to resume; to establish|продолжать; исходить из; завязывать (разговор/контакты)|fortführen; anschließen; anbahnen; verknüpfen|Wir möchten an die gestrige Diskussion anknüpfen.|We would like to build on yesterday's discussion.|Мы хотели бы продолжить вчерашнюю дискуссию (отталкиваться от нее).|Wir möchten an die gestrige Diskussion anschließen.|an eine Tradition anknüpfen; an den Erfolg anknüpfen; Kontakte anknüpfen; Gespräche anknüpfen|A highly versatile separable verb. It is very frequently used with the preposition 'an' + accusative to mean 'to refer back to', 'to resume', or 'to build on' (e.g., 'an ein Thema anknüpfen'). When used transitively, it means to establish (e.g., 'Kontakte anknüpfen').
knüpfen|aufknüpfen|C2|96946|to untie (knot); to hang (someone)|развязывать (узел); вешать (казнить)|aufknoten; aufmachen; erhängen; aufhängen|Der Gefangene wurde am Galgen aufgeknüpft.|The prisoner was hanged on the gallows.|Пленного повесили на виселице.|Der Gefangene wurde am Galgen erhängt.|einen Knoten aufknüpfen; jemanden am Baum aufknüpfen|A separable verb. It has two completely different meanings. 1. (harmless) To undo or untie a knot or lace (e.g., 'die Schuhe aufknüpfen'). 2. (drastic/grim) To execute someone by hanging (mostly colloquial/historical, with a negative, harsh tone).
knüpfen|einknüpfen|C2|163335|to tie in; to knot in; to weave in|вплетать; ввязывать (узел/нить)|einbinden; einarbeiten; einweben; einfügen|Sie müssen den Faden hier einknüpfen.|You need to tie the thread in here.|Вам нужно ввязать нить здесь.|Sie müssen den Faden hier einarbeiten.|einen Faden einknüpfen; Perlen einknüpfen; Muster einknüpfen|A separable verb. Mostly used in textile work (such as weaving, knitting, or making carpets/macrame) to describe incorporating a thread, yarn, or decorative element into an existing piece of fabric or work.
knüpfen|verknüpfen|B2|5487|to link; to combine; to associate|связывать; соединять; ассоциировать|verbinden; koppeln; vernetzen; assoziieren|Diese beiden Themen lassen sich eng verknüpfen.|These two topics can be closely linked.|Эти две темы можно тесно связать друг с другом.|Diese beiden Themen lassen sich eng verbinden.|eng verknüpft sein mit; Daten verknüpfen; Theorie und Praxis verknüpfen; Schicksale verknüpfen|A very common verb in formal and logical contexts. It describes connecting abstract ideas, data, causes, or fates. Typically constructed with the preposition 'mit' + dative ('A mit B verknüpfen').
knüpfen|zuknüpfen|C2|181688|to tie up; to button up|завязывать; застегивать|zubinden; schließen; zuknöpfen|Kannst du mir bitte die Jacke zuknüpfen?|Can you please button up my jacket?|Можешь, пожалуйста, застегнуть мне куртку?|Kannst du mir bitte die Jacke schließen?|die Jacke zuknüpfen; den Mantel zuknüpfen; den Sack zuknüpfen; die Schnürsenkel zuknüpfen|A separable verb meaning to close something using strings, knots, or buttons. Although 'zuknöpfen' specifically means buttoning, 'zuknüpfen' is often used interchangeably in everyday language for fastening coats, bags, or strings.
knüpfen|zusammenknüpfen|C2|143944|to tie together; to knot together|связывать вместе; связывать концами|zusammenbinden; verknoten; verbinden|Er knüpfte die beiden Seile fest zusammen.|He tied the two ropes tightly together.|Он крепко связал обе веревки вместе.|Er band die beiden Seile fest zusammen.|zwei Enden zusammenknüpfen; die Fäden zusammenknüpfen; Seile zusammenknüpfen|A separable verb. It literally means to join the ends of two or more ropes, strings, or threads by tying a knot, thereby creating one continuous piece.
