word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
drehen|drehen|B1|19741|to turn; to rotate; to shoot (a film)|вращать; поворачивать; снимать (фильм)|rotieren; wenden; filmen; kreisen|Wir drehen den Spieß um.|We are turning the tables.|Мы меняем ситуацию в свою пользу.|Wir wenden den Spieß.|sich im Kreis drehen; einen Film drehen; den Schlüssel drehen; die Heizung aufdrehen|drehen can be used transitively (to rotate something) or reflexively (sich drehen - to spin, or to revolve around a topic: 'Es dreht sich um...'). It is also the standard German verb for shooting a film.
drehen|drehbar|C2|28315|rotatable; pivotable; revolving|вращающийся; поворотный|rotierbar; schwenkbar; wendbar|Der Sitz ist um 360 Grad drehbar.|The seat is rotatable by 360 degrees.|Сиденье вращается на 360 градусов.|Der Sitz lässt sich um 360 Grad rotieren.|drehbarer Sitz; drehbar gelagert; stufenlos drehbar|Adjective formed with the suffix '-bar' (able to be). Often used in technical descriptions of furniture, machinery, or structural joints.
drehen|Dreh|C2|52597|turn; twist; knack; shooting (film)|оборот; поворот; трюк (сноровка); съёмка фильма|Wendung; Drehpause; Trick; Kniff; Filmdreh|Er hat den Dreh raus.|He has got the knack of it.|Он наловчился в этом деле.|Er hat den Kniff raus.|den Dreh heraushaben; ein anstrengender Dreh; der Dreh des Films|Colloquially, 'den Dreh raushaben/bekommen' means to figure out how to do something easily. In the context of media, it refers to a film or video shoot.
drehen|Drehachse|C2|105201|axis of rotation; pivot axis|ось вращения|Rotationsachse; Pivotachse|Die Erde rotiert um ihre eigene Drehachse.|The Earth rotates around its own axis of rotation.|Земля вращается вокруг своей собственной оси вращения.|Die Erde dreht sich um ihre eigene Rotationsachse.|die virtuelle Drehachse; um eine Drehachse rotieren; feste Drehachse|A technical and scientific term composed of 'drehen' (to rotate) and 'Achse' (axis). Primarily used in physics, mechanics, and geometry.
drehen|Dreharbeit|B2|9156|filming; shooting; turning work (mechanics)|съёмочные работы; киносъёмка|Filmaufnahmen; Drehen|Die Dreharbeiten für den neuen Film beginnen morgen.|Filming for the new movie starts tomorrow.|Съёмки нового фильма начинаются завтра.|Die Filmaufnahmen für den neuen Film beginnen morgen.|Dreharbeiten abschließen; laufende Dreharbeiten; die Dreharbeiten unterbrechen|The plural 'Dreharbeiten' is much more common than the singular when referring to film production. In metalworking, it refers to turning operations on a lathe.
drehen|Drehbank|C2|64954|lathe|токарный станок|Drehmaschine|Der Handwerker bearbeitet das Holz auf der Drehbank.|The craftsman processes the wood on the lathe.|Ремесленник обрабатывает дерево на токарном станке.|Der Handwerker bearbeitet das Holz auf der Drehmaschine.|an der Drehbank arbeiten; computergesteuerte Drehbank; holzbearbeitende Drehbank|'Drehbank' is the traditional, widely understood term for a lathe, whereas 'Drehmaschine' is the modern, industrial, and more technical term.
drehen|Drehbeginn|C2|65547|start of filming; start of shooting|начало съёмок|Drehanfang; Produktionsstart|Der Hauptdarsteller erkrankte kurz vor Drehbeginn.|The lead actor fell ill shortly before the start of filming.|Главный актёр заболел незадолго до начала съёмок.|Der Hauptdarsteller erkrankte kurz vor dem Drehanfang.|kurz vor Drehbeginn; den Drehbeginn verschieben; geplanter Drehbeginn|A compound of 'Dreh' (film shooting) and 'Beginn' (start). Highly common in media, journalism, and the entertainment industry.
drehen|Drehbuch|B2|6449|screenplay; script; scenario|сценарий|Skript; Szenarium; Filmdrehbuch|Sie schreibt das Drehbuch für ein neues Drama.|She is writing the screenplay for a new drama.|Она пишет сценарий для новой драмы.|Sie schreibt das Skript für ein neues Drama.|ein Drehbuch schreiben; nach einem Drehbuch; das Drehbuch verfassen|Literally 'turn-book' (referring to turning pages or scenes). Used metaphorically in business or politics for a strategic plan of action ('ein Drehbuch für die Krise').
drehen|Dreher|C1|14817|turner; lathe operator|токарь|Drechsler; Zerspanungsmechaniker|Er arbeitet als gelernter Dreher in einer Fabrik.|He works as a qualified lathe operator in a factory.|Он работает дипломированным токарем на заводе.|Er arbeitet als gelernter Drechsler in einer Fabrik.|Dreher und Fräser; Beruf des Drehers; Ausbildung zum Dreher|An occupation name. 'Dreher' usually works with metals or machinery, while 'Drechsler' traditionally works with wood.
drehen|Drehgriff|C2|122937|twist grip; rotary knob; twist throttle|поворотная ручка; вращающаяся рукоятка|Drehknopf; Drehschalter|Die Heizung wird über einen Drehgriff reguliert.|The heating is regulated via a rotary knob.|Отопление регулируется с помощью поворотной ручки.|Die Heizung wird über einen Drehknopf reguliert.|ergonomischer Drehgriff; am Drehgriff drehen; Fenster mit Drehgriff|Often used for handles that are twisted to operate something, such as on windows, motorcycle throttles, or radiators.
drehen|Drehkolbenmotor|C2|192284|rotary piston engine; Wankel engine|роторно-поршневой двигатель; двигатель Ванкеля|Wankelmotor|Der Drehkolbenmotor zeichnet sich durch seine kompakte Bauweise aus.|The rotary piston engine is characterized by its compact design.|Роторно-поршневой двигатель отличается своей компактной конструкцией.|Der Wankelmotor zeichnet sich durch seine kompakte Bauweise aus.|Prinzip des Drehkolbenmotors; Erfinder des Drehkolbenmotors|Highly technical term in automotive engineering. The most famous implementation of a 'Drehkolbenmotor' is the Wankel engine.
drehen|Drehkondensator|C2|193322|variable capacitor; tuning capacitor|конденсатор переменной ёмкости|variabler Kondensator; Drehko|Mit dem Drehkondensator stellt man die Radiofrequenz ein.|The radio frequency is adjusted using the variable capacitor.|С помощью конденсатора переменной ёмкости настраивается радиочастота.|Mit dem variablen Kondensator stellt man die Radiofrequenz ein.|mechanischer Drehkondensator; Kapazität des Drehkondensators|Strictly technical term used in electrical engineering and radio technology. Often abbreviated colloquially as 'Drehko'.
drehen|Drehkran|C2|149915|rotary crane; slewing crane|поворотный кран|Schwenkkran|Der schwere Drehkran wird im Hafen eingesetzt.|The heavy rotary crane is used in the harbor.|Тяжёлый поворотный кран используется в порту.|Der schwere Schwenkkran wird im Hafen eingesetzt.|mobiler Drehkran; einen Drehkran bedienen; Drehkran auf der Baustelle|A compound noun describing a crane that can rotate its upper structure around a vertical axis.
drehen|Drehkreuz|C2|26355|turnstile; hub (aviation/logistics)|турникет; транспортный узел (хаб)|Drehschranke; Hub; Knotenpunkt|Passagiere müssen einzeln durch das Drehkreuz gehen.|Passengers must go through the turnstile one by one.|Пассажиры должны проходить через турникет по одному.|Passagiere müssen einzeln durch die Drehschranke gehen.|ein Drehkreuz passieren; internationales Drehkreuz; logistisches Drehkreuz|This word has two primary meanings: a physical barrier (turnstile) or a metaphorical hub of transportation and logistics (e.g., Frankfurt Airport is a 'Drehkreuz').
drehen|Drehleiter|C1|15889|turntable ladder; aerial ladder (fire engine)|выдвижная автолестница; пожарная лестница|Feuerwehrleiter; Teleskopleiter|Die Feuerwehr rettete die Bewohner mit einer Drehleiter.|The fire department rescued the residents with a turntable ladder.|Пожарные спасли жильцов с помощью выдвижной автолестницы.|Die Feuerwehr rettete die Bewohner mit einer Teleskopleiter.|Drehleiter ausfahren; Feuerwehrfahrzeug mit Drehleiter; automatische Drehleiter|Almost exclusively associated with fire department rescue trucks. Often abbreviated as 'DLK' (Drehleiter mit Korb).
