word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
fahren|fahren|A1|6029|to drive; to travel; to ride|ехать; вести машину; совершать поездку|reisen; steuern; lenken; bewegen|Wir fahren am Wochenende nach Berlin.|We are driving to Berlin on the weekend.|На выходных мы едем в Берлин.|Wir reisen am Wochenende nach Berlin.|Auto fahren; Rad fahren; mit dem Zug fahren; in den Urlaub fahren|Basic verb of movement using a vehicle. Takes 'sein' for change of location (e.g. 'ich bin gefahren') and 'haben' when referring to active steering or operating a vehicle (e.g. 'ich habe das Auto gefahren').
fahren|abfahren|A2|10021|to depart; to leave; to drive off|отправляться; уезжать; съезжать|abreisen; wegfahren; starten; abbiegen|Der Zug fährt pünktlich um zehn Uhr ab.|The train departs on time at ten o'clock.|Поезд отправляется точно в десять часов.|Der Zug startet pünktlich um zehn Uhr.|pünktlich abfahren; am Bahnhof abfahren; auf jemanden abfahren|Separable verb. Primarily used for scheduled public transport like trains and buses. Takes 'sein'. In colloquial German, 'auf jemanden abfahren' means to be crazy about someone.
fahren|anfahren|B2|7722|to hit; to collide with; to start driving; to bark at someone|наезжать; сбивать; трогаться с места; грубо оборвать|anstoßen; anrollen; anschnauzen|Der Bus fuhr langsam an der Haltestelle an.|The bus slowly started moving at the bus stop.|Автобус медленно тронулся на остановке.|Der Bus rollte langsam an der Haltestelle an.|einen Fußgänger anfahren; am Berg anfahren; jemanden barsch anfahren|Separable verb. If transitive (meaning to hit someone or something with a vehicle, or to snap at someone in anger), it takes 'haben'. If intransitive (meaning to start moving, specifically on a hill/Berg), it takes 'sein'.
fahren|auffahren|C1|12717|to rear-end; to collide from behind; to startle; to open with a bang|натолкнуться сзади; въехать в; вздрагивать; распахиваться с шумом|aufprallen; hochfahren; hochschrecken; aufstoßen|Er passte nicht auf und ist auf das vordere Auto aufgefahren.|He wasn't paying attention and rear-ended the car in front.|Он не обратил внимания и врезался в едущую впереди машину.|Er passte nicht auf und ist auf das vordere Auto aufgeprallt.|auf ein anderes Fahrzeug auffahren; aus dem Schlaf auffahren; schwere Geschütze auffahren|Separable. In traffic contexts, it means to crash into the rear of another vehicle (takes 'sein', construction: 'auf' + accusative). Can also mean to startle awake or open dramatically.
fahren|auseinanderfahren|C2|173982|to disperse; to move apart; to scatter|разъезжаться; расходиться в разные стороны|sich trennen; auseinandergehen; zerstreuen|Nach dem Treffen fuhren alle Autos auseinander.|After the meeting, all the cars drove off in different directions.|После встречи все машины разъехались в разные стороны.|Nach dem Treffen trennten sich alle Autofahrer.|in alle Himmelsrichtungen auseinanderfahren|Separable. Mostly used for vehicles or people in vehicles dispersing after a gathering. Takes 'sein'.
fahren|ausfahren|C1|21006|to deliver; to extend; to take for a drive|развозить товары; выдвигать; вывозить на прогулку|austragen; ausstrecken; spazieren fahren|Der Bote fährt den ganzen Tag Pakete aus.|The courier delivers packages all day long.|Курьер весь день развозит посылки.|Der Bote trägt den ganzen Tag Pakete aus.|Pizza ausfahren; das Fahrwerk ausfahren; die Krallen ausfahren|Separable. Takes 'haben' when transitive (delivering goods, extending landing gear, etc.). Takes 'sein' when intransitive (going out for a pleasure drive).
fahren|befahren|B2|6030|to travel on; to navigate; to use a road|ездить по; плавать по; пользоваться дорогой|passieren; nutzen; befahren|Diese alte Brücke darf nicht mehr befahren werden.|This old bridge may no longer be driven on.|По этому старому мосту больше нельзя ездить.|Diese alte Brücke darf nicht mehr genutzt werden.|eine viel befahrene Straße; einen Fluss befahren; Schienen befahren|Inseparable transitive verb. Takes 'haben'. Unlike the basic 'fahren', it directly governs an accusative object representing the path being traveled upon.
fahren|dahinfahren|C2|132782|to pass away; to glide along; to drift away|уходить; уноситься; угасать; плыть по течению|dahingleiten; sterben; vergehen|Die Wolken fuhren schweigend am Himmel dahin.|The clouds drifted silently across the sky.|Облака безмолвно неслись по небу.|Die Wolken gleiteten schweigend am Himmel dahin.|friedlich dahinfahren; das Leben fährt dahin|Separable. Often poetic, literary, or used to describe smooth, continuous movement. Can also euphemistically mean to pass away (die). Takes 'sein'.
fahren|darüberfahren|C2|129269|to drive over; to pass over|проезжать по; переезжать сверху|überqueren; drüberfahren|Er sah den Ast zu spät und fuhr darüber.|He saw the branch too late and drove over it.|Он слишком поздно заметил ветку и переехал через неё.|Er sah den Ast zu spät und überquerte ihn.|mit dem Reifen darüberfahren; einfach darüberfahren|Separable. Colloquial or informal. Often refers to running over an object or surface with a vehicle. Takes 'sein'.
fahren|davonfahren|C2|40779|to drive away; to escape (in a vehicle)|уезжать; уноситься прочь на машине|wegfahren; entkommen; flüchten|Das Taxi fuhr schnell mit den Gästen davon.|The taxi quickly drove away with the guests.|Такси быстро уехало с гостями.|Das Taxi fuhr schnell mit den Gästen weg.|eilig davonfahren; jemandem einfach davonfahren|Separable. Emphasizes moving away from a starting point, sometimes in a rush or to escape from a situation. Takes 'sein'.
