word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
steigen|steigen|B1|454|to climb; to rise; to increase|подниматься; расти; увеличиваться|klettern; ansteigen; wachsen; erhöhen|Die Preise für Benzin steigen kontinuierlich.|The prices for petrol are rising continuously.|Цены на бензин непрерывно растут.|Die Preise für Benzin wachsen kontinuierlich.|Preise steigen; Temperaturen steigen; auf einen Berg steigen; ins Auto steigen|'steigen' is an intransitive verb conjugated with 'sein' in perfect tense (ist gestiegen). It can mean a physical ascent (auf einen Baum steigen) or a numerical increase (Preise steigen). It contrasts with 'steigern' (transitive, with 'haben').
steigen|absteigen|B2|8722|to descend; to dismount; to be demoted|спускаться; слезать; вылетать (из лиги)|heruntersteigen; hinabsteigen; deklassiert werden|Der Radfahrer musste vom Fahrrad absteigen.|The cyclist had to dismount from the bicycle.|Велосипедисту пришлось слезть с велосипеда.|Der Radfahrer musste vom Fahrrad heruntersteigen.|vom Pferd absteigen; in ein Hotel absteigen; in die zweite Liga absteigen|'absteigen' is separable (steigt ab, stieg ab, ist abgestiegen). It has three main meanings: physically coming down (from a horse/bike), staying at a hotel (colloquial: 'in einem Hotel absteigen'), or being demoted in sports leagues.
steigen|ansteigen|B2|5886|to rise; to increase; to slope upwards|повышаться; возрастать; идти в гору|steigen; zunehmen; anwachsen|Die Waldbrandgefahr wird in den nächsten Tagen deutlich ansteigen.|The risk of forest fires will rise significantly in the coming days.|Опасность лесных пожаров значительно возрастет в ближайшие дни.|Die Waldbrandgefahr wird in den nächsten Tagen deutlich zunehmen.|die Temperatur steigt an; die Kurve steigt an; die Kosten steigen an; das Gelände steigt an|'ansteigen' is separable (steigt an, ist angestiegen). It is often used for a gradual increase in numbers, temperatures, or a physical slope. Compared to simple 'steigen', 'ansteigen' often implies a continuous or starting upward trend.
steigen|aufsteigen|B2|5157|to ascend; to rise up; to be promoted|подниматься; взлетать; повышаться в должности / лиге|emporsteigen; aufkommen; befördert werden|Rauch stieg aus dem Schornstein auf.|Smoke rose up from the chimney.|Из трубы поднимался дым.|Rauch stieg aus dem Schornstein empor.|in die Bundesliga aufsteigen; zum Abteilungsleiter aufsteigen; Rauch steigt auf; Zweifel steigen auf|'aufsteigen' is separable (steigt auf, ist aufgestiegen). Used physically (smoke rising, climbing onto a horse), metaphorically (doubts, panic rising inside someone), or professionally/athletically (promotion to a higher class or rank).
steigen|aussteigen|A2|6819|to get off; to exit; to drop out|выходить (из транспорта); выйти из игры / проекта|verlassen; abspringen; ausscheiden|Wir müssen an der nächsten Haltestelle aussteigen.|We have to get off at the next stop.|Нам нужно выйти на следующей остановке.|Wir müssen an der nächsten Haltestelle das Fahrzeug verlassen.|aus dem Bus aussteigen; aus einem Projekt aussteigen; aus dem Geschäft aussteigen|'aussteigen' is separable (steigt aus, ist ausgestiegen). Opposes 'einsteigen' (to get in) and 'umsteigen' (to transfer). Used also for quitting a plan, job, or society ('Aussteiger' = drop-out).
steigen|bergsteigen|C2|128266|to mountaineer; to climb mountains|заниматься альпинизмом; совершать восхождения|klettern; wandern|Sie geht jedes Wochenende in den Alpen bergsteigen.|She goes mountaineering in the Alps every weekend.|Каждые выходные она ходит заниматься альпинизмом в Альпы.|Sie geht jedes Wochenende in den Alpen klettern.|gerne bergsteigen gehen; im Sommer bergsteigen|'bergsteigen' is often used as an infinitive with 'gehen' (bergsteigen gehen) or written as a noun 'das Bergsteigen'. Conjugation is rare but possible, and it takes 'sein' in the perfect tense (ist berggestiegen).
steigen|besteigen|C1|11482|to climb; to board; to mount|взбираться; восходить на; садиться в (транспорт)|erklimmen; betreten; aufsteigen|Die Bergsteiger wollen den Gipfel besteigen.|The mountaineers want to climb the summit.|Альпинисты хотят взойти на вершину.|Die Bergsteiger wollen den Gipfel erklimmen.|den Thron besteigen; ein Flugzeug besteigen; das Pferd besteigen; einen Berg besteigen|'besteigen' is inseparable (besteigt, bestieg, hat bestiegen). Note that unlike 'steigen', it is transitive, takes an accusative object, and is conjugated with 'haben'.
steigen|durchsteigen|C2|83700|to climb through; to understand (colloquial)|пролезать сквозь; разобраться (разг.)|durchklettern; kapieren; durchblicken|Ich kann bei dieser komplizierten Anleitung einfach nicht durchsteigen.|I simply cannot make sense of these complicated instructions.|Я просто не могу разобраться в этой сложной инструкции.|Ich kann bei dieser komplizierten Anleitung einfach nicht durchblicken.|nicht durchsteigen; durch ein Fenster durchsteigen|'durchsteigen' is separable (steigt durch, ist durchgestiegen). When meaning 'to crawl/climb through', it is literal. In everyday German, it is highly colloquial meaning 'to comprehend/grasp' (often used in the negative: 'da steigt doch keiner durch').
steigen|einsteigen|A2|4434|to get in; to board; to join (a business)|садиться (в транспорт); входить в долю; вступать|mitmachen; einbrechen; einsteigen|Bitte steigen Sie schnell in den Zug ein!|Please get on the train quickly!|Пожалуйста, быстрее садитесь в поезд!|Bitte betreten Sie schnell den Zug!|ins Auto einsteigen; in ein Geschäft einsteigen; bei einer Firma einsteigen|'einsteigen' is separable (steigt ein, ist eingestiegen). Direct opposite of 'aussteigen'. Can also mean to break in (Einbrecher) or to participate in a business venture/discussion.
steigen|emporsteigen|C2|60911|to rise up; to ascend|подниматься ввысь; возноситься|aufsteigen; emporragen; hochsteigen|Nebelschwaden stiegen aus dem Tal empor.|Swaths of mist rose up from the valley.|Клубы тумана поднимались из долины.|Nebelschwaden stiegen aus dem Tal auf.|Rauch steigt empor; Stufen emporsteigen|'emporsteigen' is separable (steigt empor, ist emporgestiegen). It is an elevated, poetic, or literary synonym of 'aufsteigen'.
