word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
sitzen|sitzen|A1|569|to sit, to be seated|сидеть|hocken; verweilen; thronen|Ich sitze auf dem bequemen Stuhl.|I am sitting on the comfortable chair.|Я сижу на удобном стуле.|Ich hocke auf dem bequemen Stuhl.|am Tisch sitzen; auf dem Sofa sitzen; im Gefängnis sitzen|Requires a Dative object when denoting location (e.g. 'auf dem Stuhl sitzen') because it describes a static state. Contrast this with 'setzen' (to sit down) which takes an Accusative object because it represents motion.
sitzen|Gesitze|C2|223830|continuous sitting, constant sitting around|постоянное сидение, рассиживание|Herumsitzen; Dauersitzen|Dieses ewige Gesitze vor dem Computer ist ungesund.|This constant sitting in front of the computer is unhealthy.|Это вечное сидение перед компьютером вредно для здоровья.|Dieses ewige Herumsitzen vor dem Computer ist ungesund.|ewiges Gesitze; ständiges Gesitze|A pejorative collective noun built with the 'Ge-' prefix, describing continuous, annoying, or unproductive sitting.
sitzen|Einsitzer|C2|63968|single-seater|одноместный экипаж, одноместный самолёт|Einsitziges Fahrzeug; Einplätzer|Dieses kleine Rennauto ist ein Einsitzer.|This small racing car is a single-seater.|Эта маленькая гоночная машина — одноместная.|Dieses kleine Rennauto hat nur einen einzigen Sitzplatz.|ein sportlicher Einsitzer; Einsitzer-Kajak; Einsitzer-Flugzeug|Commonly used in motorsports, aviation, and rowing/paddling sports to refer to vehicles designed for one person.
sitzen|Gesäß|C2|34224|buttocks, bottom, backside|ягодицы, зад, попка|Hintern; Po; Allerwertester; Podex|Der Arzt injizierte das Medikament direkt in das Gesäß.|The doctor injected the medicine directly into the buttocks.|Врач ввел лекарство прямо в ягодицу.|Der Arzt injizierte das Medikament direkt in den Hintern.|das Gesäß massieren; schmerzendes Gesäß; Gesäßmuskulatur trainieren|The formal and anatomical term for 'buttocks' in German. It is much more clinical and polite than 'Hintern' or 'Po'.
sitzen|Sitz|B2|1619|seat; headquarters, residence|сиденье; место; штаб-квартира; резиденция|Sessel; Platz; Hauptsitz; Niederlassung|Die Firma hat ihren Sitz in Hamburg.|The company has its headquarters in Hamburg.|Фирма имеет свою резиденцию в Гамбурге.|Die Firma hat ihren Hauptsitz in Hamburg.|seinen Sitz haben; den Sitz einstellen; bequemer Sitz|Has dual meanings: a physical seat (e.g., in a car or cinema) and a legal/corporate headquarters of a company or organization.
sitzen|Sitzbacke|C2|233986|buttock|ягодица|Gesäßbacke; Pobacke|Nach dem Sturz schmerzte seine linke Sitzbacke.|After the fall, his left buttock ached.|После падения у него болела левая ягодица.|Nach dem Sturz schmerzte seine linke Gesäßbacke.|die linke Sitzbacke; schmerzende Sitzbacke|Somewhat dated or regional anatomical term. In everyday modern language, 'Pobacke' or 'Gesäßbacke' are far more common.
sitzen|Sitzbad|C2|114342|sitz bath, hip bath|сидячая ванна|Hüftbad|Ein warmes Sitzbad kann Schmerzen lindern.|A warm sitz bath can relieve pain.|Теплая сидячая ванна может облегчить боль.|Ein warmes Hüftbad kann Schmerzen lindern.|ein Sitzbad nehmen; medizinisches Sitzbad; warmes Sitzbad|A medical or therapeutic bath taken in a sitting position, usually only covering the hips and buttocks.
sitzen|Sitzbadewanne|C2|146411|sitz bathtub|сидячая ванна (резервуар)|Sitzwanne|Für das kleine Badezimmer kauften sie eine Sitzbadewanne.|They bought a sitz bathtub for the small bathroom.|Для маленькой ванной комнаты они купили сидячую ванну.|Für das kleine Badezimmer kauften sie eine Sitzwanne.|eine Sitzbadewanne einbauen; kleine Sitzbadewanne|A small, deep bathtub designed specifically for sitting rather than lying down, often used in space-limited environments.
sitzen|Sitzbank|C1|18350|bench|скамья, скамейка|Bank; Parkbank; Sitzgelegenheit|Im Park steht eine hölzerne Sitzbank.|There is a wooden bench in the park.|В парке стоит деревянная скамейка.|Im Park steht eine hölzerne Bank.|eine hölzerne Sitzbank; auf der Sitzbank Platz nehmen|Distinguishes a bench meant for sitting from financial institutions ('Bank') or workbenches ('Werkbank').
sitzen|Sitzbein|C2|159044|ischium, seat bone|седалищная кость|Ischium|Beim Radfahren spürte er Druck auf dem Sitzbein.|While cycling, he felt pressure on his ischium.|При езде на велосипеде он почувствовал давление на седалищную кость.|Beim Radfahren spürte er Druck auf den Knochen des Gesäßes.|das Sitzbein belasten; Abstand der Sitzbeine|An anatomical term. Often mentioned in bicycle saddle fitting or ergonomics discussions.
sitzen|Sitzblockade|C2|47042|sit-in, sit-down blockade|сидячая забастовка, сидячая блокада|Sitzstreik; Blockade|Demonstranten organisierten eine Sitzblockade auf der Kreuzung.|Demonstrators organized a sit-down blockade at the intersection.|Демонстранты устроили сидячую блокаду на перекрестке.|Demonstranten machten einen friedlichen Sitzstreik auf der Kreuzung.|eine Sitzblockade auflösen; an einer Sitzblockade teilnehmen|A form of nonviolent political protest where activists block a street or entrance by sitting down.
sitzen|Sitzbrett|C2|133999|seat board, wooden seat|сиденье-доска|Sitzplatte|Das Sitzbrett der alten Schaukel war morsch.|The wooden seat of the old swing was rotten.|Деревянное сиденье старых качелей прогнило.|Die hölzerne Sitzplatte der alten Schaukel war morsch.|hölzernes Sitzbrett; das Sitzbrett montieren|Typically refers to a simple flat board used as a seat, e.g., on swings, boats, or scaffoldings.
sitzen|Sitzbrille|C2|222046|toilet seat|сиденье для унитаза|Toilettenbrille; Klobrille|Nach der Reinigung glänzte die Sitzbrille wieder.|After cleaning, the toilet seat shone again.|После чистки сиденье для унитаза снова заблестело.|Nach der Reinigung glänzte die Toilettenbrille wieder.|die Sitzbrille reinigen; Sitzbrille hochklappen|A formal, descriptive term for the plastic/wooden ring of a toilet seat. In daily life, 'Klobrille' is more common.
sitzen|Sitzbuckel|C2|229728|hunched back (from sitting)|горб от сидения, сутулость|Rundrücken; Haltungsschaden|Er bekam einen Sitzbuckel von der ständigen Arbeit am Schreibtisch.|He got a hunched back from the constant work at his desk.|У него появился горб от постоянной работы за письменным столом.|Er bekam einen Rundrücken von der ständigen Arbeit am Schreibtisch.|einen Sitzbuckel entwickeln; gegen den Sitzbuckel trainieren|Colloquial and highly descriptive term for bad posture (kyphosis) resulting from prolonged bad sitting habits.
sitzen|Sitzecke|C2|33022|seating area, cozy corner|уголок отдыха, гостиный уголок|Wohnecke; Couchecke|Wir tranken Tee in der gemütlichen Sitzecke.|We drank tea in the cozy seating area.|Мы пили чай в уютном уголке отдыха.|Wir tranken Tee in der gemütlichen Wohnecke.|gemütliche Sitzecke; eine Sitzecke einrichten; Sitzecke im Garten|Often refers to a dedicated small corner in a room, kitchen, or garden arranged with chairs or a corner sofa.
sitzen|Sitzfallschirm|C2|241954|seat-pack parachute|сиденье-парашют, парашют-сиденье|Pilotenschirm|Der Pilot schnallte sich den Sitzfallschirm an.|The pilot buckled on his seat-pack parachute.|Пилот пристегнул парашют-сиденье.|Der Pilot legte den Fallschirm an, auf dem man sitzt.|den Sitzfallschirm überprüfen; militärischer Sitzfallschirm|An aviation term describing a parachute design that doubles as a seat cushion, primarily used by military or glider pilots.
sitzen|Sitzfalte|C2|175969|gluteal crease, crease caused by sitting|ягодичная складка; складка от сидения|Gesäßfalte|Seine neue Hose war an der Sitzfalte zu eng.|His new pants were too tight at the gluteal crease.|Его новые брюки были слишком узки в ягодичной складке.|Seine neue Hose war an der Gesäßfalte zu eng.|die menschliche Sitzfalte; Falten im Stoff|Can refer both to the anatomical gluteal fold (Gesäßfalte) or a physical crease left in clothing after sitting for a long time.
