word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
bleiben|bleiben|B1|114|to stay; to remain|оставаться|verbleiben; verharren; verweilen|Ich bleibe heute Abend zu Hause.|I am staying at home tonight.|Я остаюсь сегодня вечером дома.|Ich verbleibe heute Abend zu Hause.|gesund bleiben; zu Hause bleiben; ruhig bleiben; im Bett bleiben|A fundamental German verb. Functions as a copula verb requiring a nominative predicate (e.g., 'er bleibt mein Freund'). Forms its perfect tense with 'sein' (ist geblieben).
bleiben|bleibend|C1|9886|lasting; permanent; enduring|постоянный; стойкий; непреходящий|dauerhaft; permanent; anhaltend; unvergänglich|Die Reise hinterließ einen bleibenden Eindruck bei ihr.|The trip left a lasting impression on her.|Поездка оставила у неё неизгладимое впечатление.|Die Reise hinterließ einen dauerhaften Eindruck bei ihr.|ein bleibender Eindruck; bleibende Schäden; bleibende Werte|Present participle of 'bleiben' used as an adjective. It usually refers to impressions, damage, or values that persist over a long period.
bleiben|Bleibe|C1|10684|shelter; lodging; place to stay|пристанище; жилье; кров|Unterkunft; Herberge; Wohnung; Zuhause|Nach der langen Reise suchte er dringend eine Bleibe für die Nacht.|After the long journey, he was urgently looking for a place to stay for the night.|После долгого путешествия он срочно искал пристанище на ночь.|Nach der langen Reise suchte er dringend eine Unterkunft für die Nacht.|eine feste Bleibe; eine Bleibe finden; eine vorübergehende Bleibe|Feminine noun. It is somewhat informal or cozy, frequently used in the phrases 'eine Bleibe suchen' (to search for a place to stay) or 'ohne feste Bleibe' (homeless).
bleiben|Bleibeperspektive|C2|64817|prospect of staying; residence prospect|перспектива остаться (в стране); перспектива пребывания|Aufenthaltsperpektive|Geflüchtete mit einer guten Bleibeperspektive erhalten schneller Zugang zu Sprachkursen.|Refugees with good prospects of staying get access to language courses faster.|Беженцы с хорошими перспективами остаться быстрее получают доступ к языковым курсам.|Geflüchtete mit einer guten Aufenthaltsperpektive erhalten schneller Zugang zu Sprachkursen.|gute Bleibeperspektive; geringe Bleibeperspektive; Bleibeperspektive haben|A bureaucratic and political term in German, specifically regarding migration and asylum policy. It describes the likelihood of an asylum seeker being allowed to stay permanently.
bleiben|Bleiberecht|C2|25830|right to remain; right of residence|право на пребывание; право остаться в стране|Aufenthaltsrecht|Die Familie kämpft seit Jahren um ein dauerhaftes Bleiberecht.|The family has been fighting for a permanent right to remain for years.|Семья уже много лет борется за постоянное право на пребывание.|Die Familie kämpft seit Jahren um ein dauerhaftes Aufenthaltsrecht.|ein dauerhaftes Bleiberecht; Bleiberecht erhalten; für das Bleiberecht kämpfen|Legal and political term, mostly used in discussions about foreigners, immigrants, and refugees.
bleiben|abbleiben|C2|69025|to end up; to happen to someone/something (colloquial)|деваться; деться; случиться|abkommen; hingelangen; verschwinden|Wo ist denn mein Schlüssel abgeblieben?|Where has my key got to?|Куда же делся мой ключ?|Wo ist denn mein Schlüssel hingekommen?|wo ist ... abgeblieben?; wo sind sie abgeblieben?|Highly colloquial separable verb. Almost exclusively used in the perfect tense in questions starting with 'wo' (where) to express wonder about the location or fate of an object or person.
bleiben|aufbleiben|C2|70064|to stay up (not go to bed); to remain open|бодрствовать; не ложиться спать; оставаться открытым|wach bleiben; nicht schlafen gehen; offen bleiben|Die Kinder durften am Silvesterabend bis Mitternacht aufbleiben.|The children were allowed to stay up until midnight on New Year's Eve.|Детям разрешили не ложиться спать до полуночи в новогоднюю ночь.|Die Kinder durften am Silvesterabend bis Mitternacht wach bleiben.|lange aufbleiben; bis spät aufbleiben; die Tür bleibt auf|Separable verb. It has two main meanings: 1) staying awake at night (conjugated with 'sein'), and 2) staying open (referring to doors, windows, or shops).
bleiben|ausbleiben|C1|10139|to fail to appear; to fail to happen; to be absent|отсутствовать; не наступать; не происходить|wegbleiben; nicht eintreffen; nicht stattfinden; fehlen|Der erhoffte Erfolg ist leider ausgeblieben.|Unfortunately, the hoped-for success failed to materialize.|К сожалению, ожидаемый успех так и не пришел.|Der erhoffte Erfolg ist leider ausgeblieben und nicht eingetroffen.|der Erfolg bleibt aus; die Wirkung bleibt aus; die Reaktion bleibt aus; die Periode bleibt aus|Separable verb. Used when something expected or desired (such as success, rain, or a physiological event) does not happen.
bleiben|beibleiben|C2|212709|to stick with; to keep to (colloquial/regional)|придерживаться; оставаться при (своем мнении)|dabeibleiben; beharren; festhalten|Wir müssen bei der Sache beibleiben und uns nicht ablenken lassen.|We must stick to the matter and not let ourselves get distracted.|Мы должны придерживаться дела и не отвлекаться.|Wir müssen bei der Sache dabeibleiben und uns nicht ablenken lassen.|bei einer Sache beibleiben; beim Thema beibleiben|Separable verb, mostly regional (often used in Northern or Central Germany) or colloquial. In standard written German, 'dabeibleiben' or 'festhalten an' is preferred.
bleiben|beieinanderbleiben|C2|172733|to stay together; to stick together|оставаться вместе; держаться друг друга|zusammenbleiben; beisammenbleiben|In der Menschenmenge müssen wir unbedingt beieinanderbleiben.|We must definitely stay together in the crowd.|В толпе нам обязательно нужно держаться вместе.|In der Menschenmenge müssen wir unbedingt zusammenbleiben.|eng beieinanderbleiben; als Gruppe beieinanderbleiben|Separable verb. Refers to physical proximity or keeping a group/couple united so they do not lose each other.
bleiben|beisammenbleiben|C2|160471|to stay together (as a group/couple)|оставаться вместе; не разлучаться|zusammenbleiben; beieinanderbleiben|Die Schafe müssen auf der Weide beisammenbleiben.|The sheep must stay together on the pasture.|Овцы должны оставаться вместе на пастбище.|Die Schafe müssen auf der Weide beieinanderbleiben.|als Familie beisammenbleiben; dicht beisammenbleiben|Separable verb. It sounds slightly warmer or more traditional than 'zusammenbleiben' and is often used for families, herds, or tightly-knit groups.
bleiben|bestehenbleiben|C2|96147|to persist; to remain in force; to continue to exist|сохраняться; оставаться в силе; продолжать существовать|fortbestehen; weiterbestehen; andauern; erhalten bleiben|Die alten Regelungen werden auch im neuen Jahr bestehenbleiben.|The old regulations will remain in force in the new year as well.|Старые правила сохранятся и в новом году.|Die alten Regelungen werden auch im neuen Jahr fortbestehen.|ein Gesetz bleibt bestehen; Zweifel bleiben bestehen; Verträge bleiben bestehen|Separable verb (often spelled as two words: 'bestehen bleiben'). It refers to rules, laws, structures, doubts, or physical things that continue to exist despite changes.
bleiben|bleibenlassen|C2|155662|to refrain from; to stop doing; to leave off|оставлять; бросать (делать что-то); прекращать|unterlassen; aufgeben; sein lassen; stoppen|Wenn du keine Lust hast, solltest du es lieber bleibenlassen.|If you don't feel like it, you'd better leave it be.|Если у тебя нет желания, тебе лучше оставить это.|Wenn du keine Lust hast, solltest du es lieber sein lassen.|etwas bleibenlassen; es lieber bleibenlassen|Colloquial separable verb (also spelled 'bleiben lassen'). Used to suggest not starting an action or stopping an activity that is deemed useless or annoying.
bleiben|dabeibleiben|C2|69661|to stick with it; to stay on task; to persist|оставаться при своем; продолжать заниматься (чем-то); не сдаваться|dranbleiben; weitermachen; beharren; beibleiben|Aller Anfang ist schwer, aber man muss einfach dabeibleiben.|All beginnings are hard, but you just have to stick with it.|Лиха беда начало, но нужно просто продолжать в том же духе.|Aller Anfang ist schwer, aber man muss einfach weitermachen.|eisern dabeibleiben; bei seiner Meinung dabeibleiben|Separable verb. Often used in spoken German to encourage perseverance ('Bleib dabei!') or to say that one is sticking to an opinion.
bleiben|dableiben|C2|69608|to stay there; to remain behind|оставаться здесь; не уходить|hierbleiben; dableiben; verbleiben|Alle gingen nach Hause, aber er wollte noch etwas dableiben.|Everyone went home, but he wanted to stay a bit longer.|Все ушли домой, но он хотел еще немного остаться здесь.|Alle gingen nach Hause, aber er wollte noch etwas hierbleiben.|länger dableiben; gerne dableiben|Separable verb. Colloquial. It implies staying in a previously mentioned location instead of leaving with others.
