word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
lösen|lösen|B2|26456|to solve; to dissolve; to loosen; to buy (a ticket)|решать; растворять; освобождать; покупать (билет)|beheben; aufklären; entwirren; aufdröseln; entriegeln|Sie konnte das schwierige Problem schnell lösen.|She was able to solve the difficult problem quickly.|Она смогла быстро решить сложную проблему.|Sie konnte das schwierige Problem schnell beheben.|ein Problem lösen; eine Aufgabe lösen; ein Ticket lösen; einen Konflikt lösen|Highly versatile verb. Standard meaning is 'to solve' (problems, puzzles). Also used for purchasing tickets ('ein Ticket lösen', slightly formal/Swiss) and 'to loosen' (e.g., a knot, 'eine Schleife lösen').
lösen|lösbar|C1|18726|solvable; resolvable|решаемый; выполнимый|bewältigbar; klärbar; entschlüsselbar|Diese Aufgabe ist für Anfänger durchaus lösbar.|This task is definitely solvable for beginners.|Эта задача вполне решаема для новичков.|Diese Aufgabe ist für Anfänger durchaus bewältigbar.|leicht lösbar; schwer lösbar; ein lösbares Problem; ein lösbares Rätsel|Adjective describing tasks, problems, or equations that can be resolved. Often paired with 'leicht' (easily) or 'schwer' (hardly). Do not confuse with 'löslich' (soluble in liquids).
lösen|löslich|C2|48733|soluble; dissolvable|растворимый|auflösbar; schmelzbar|Salz ist in Wasser leicht löslich.|Salt is easily soluble in water.|Соль легко растворима в воде.|Salz ist in Wasser leicht auflösbar.|in Wasser löslich; fettlöslich; wasserlöslich; leicht löslich|Strictly chemistry-related or physical properties term meaning 'capable of being dissolved in a liquid'. Usually combined with prepositions like 'in' (+ dative) or as a compound like 'wasserlöslich'.
lösen|gelöst|C1|22530|relaxed; solved; detached|непринужденный; решенный; освобожденный|entspannt; ungezwungen; locker|Die Stimmung auf dem Fest war sehr gelöst.|The atmosphere at the festival was very relaxed.|Атмосфера на празднике была очень непринужденной.|Die Stimmung auf dem Fest war sehr entspannt.|eine gelöste Stimmung; gelöste Atmosphäre; gelöst wirken; gelöst lachen|While it is the past participle of 'lösen', as an adjective it usually describes a relaxed, cheerful mood or manner without tension. Can also mean 'solved' in technical contexts.
lösen|Lösegeld|C1|22144|ransom|выкуп (деньги за освобождение)|Freikaufgeld; Lösesumme|Die Entführer verlangten ein hohes Lösegeld.|The kidnappers demanded a high ransom.|Похитители потребовали крупный выкуп.|Die Entführer verlangten eine hohe Lösesumme.|Lösegeld fordern; Lösegeld erpressen; Lösegeld zahlen; Lösegeld übergeben|Compound noun consisting of 'lösen' (here in the sense of freeing/liberating) and 'Geld' (money). Used specifically in kidnapping or extortion contexts.
lösen|Lösemittel|C2|65850|solvent|растворитель|Lösungsmittel; Solvens|Dieses Lösemittel entfernt hartnäckige Farbreste.|This solvent removes stubborn paint residues.|Этот растворитель удаляет стойкие остатки краски.|Dieses Lösungsmittel entfernt hartnäckige Farbreste.|organisches Lösemittel; umweltfreundliches Lösemittel; Lösemittel einsetzen|Technical and chemistry term. 'Lösungsmittel' is more common in everyday speech, but 'Lösemittel' is the standard industry/technical term in chemical regulations.
lösen|Losung|C1|13401|watchword; slogan; motto; droppings (hunting)|лозунг; девиз; пароль; помет (охотн.)|Parole; Motto; Leitspruch; Losungswort|Die Losung des Tages lautet: Niemals aufgeben!|The watchword of the day is: Never give up!|Лозунг дня: Никогда не сдаваться!|Das Motto des Tages lautet: Niemals aufgeben!|die Losung ausgeben; Losung des Tages; die Losung kennen|Historically a password/watchword. In religious contexts (e.g., Herrnhuter Losungen), it refers to daily Bible verses. In hunting, it also refers to animal excrement. Distinct from 'Lösung'.
lösen|Lösung|A1|669|solution; key; liquid mixture|решение; разгадка; раствор|Behebung; Antwort; Auflösung; Gemisch|Wir müssen eine schnelle Lösung für dieses Problem finden.|We must find a quick solution to this problem.|Мы должны найти быстрое решение этой проблемы.|Wir müssen eine schnelle Behebung für dieses Problem finden.|eine Lösung finden; eine optimale Lösung; eine wässrige Lösung; die Lösung eines Rätsels|Very common noun. Covers both abstract solutions (to problems, riddles, math exercises) and physical solutions (liquids containing dissolved substances).
lösen|ablösen|B2|5453|to replace; to peel off; to relieve (shift)|сменять; отслаивать(ся); заменять|ersetzen; abmachen; abtreten; weichen|Der neue Abteilungsleiter wird den alten bald ablösen.|The new department manager will replace the old one soon.|Новый начальник отдела скоро сменит старого.|Der neue Abteilungsleiter wird den alten bald ersetzen.|jemanden im Dienst ablösen; die Tapete ablösen; einander ablösen; Schulden ablösen|Has physical meanings ('etwas ablösen' = to peel something off, e.g., a stamp or wallpaper) and social/organizational meanings ('jemanden ablösen' = to relieve/replace someone on duty or in office). Also used reflexively 'sich ablösen' (to peel off, flake).
lösen|auflösen|B2|3664|to dissolve; to disband; to cancel; to solve|растворять; распускать; расторгать; разгадывать|zersetzen; schließen; liquidieren; beenden|Sie müssen die Tablette in einem Glas Wasser auflösen.|You must dissolve the tablet in a glass of water.|Вам нужно растворить таблетку в стакане воды.|Sie müssen die Tablette in einem Glas Wasser zersetzen.|ein Konto auflösen; einen Vertrag auflösen; eine Versammlung auflösen; sich in Wohlgefallen auflösen|Multi-faceted. In physical sense, to dissolve a substance in a liquid (often reflexive 'sich auflösen'). In administrative sense, to disband/dissolve groups, contracts, bank accounts, or parliaments.
