word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
machen|machen|A1|54944|to make; to do|делать; производить|tun; herstellen; erledigen|Was machst du heute Abend?|What are you doing tonight?|Что ты делаешь сегодня вечером?|Was tust du heute Abend?|Hausaufgaben machen; Sport machen; Fehler machen; Urlaub machen|One of the most common verbs in German. Used for general activities, creating things, or in various idioms. Often interchangeable with 'tun', but 'machen' is more common in spoken language and often refers to concrete actions or creation, whereas 'tun' is more abstract.
machen|machbar|B2|6751|feasible; doable|выполнимый; осуществимый|realisierbar; durchführbar; umsetzbar|Dieses Projekt ist in zwei Wochen machbar.|This project is feasible in two weeks.|Этот проект выполним за две недели.|Dieses Projekt ist in zwei Wochen realisierbar.|leicht machbar; technisch machbar; finanziell machbar|Derived from 'machen' with the suffix '-bar' (equivalent to English '-able'). Very common in professional and everyday contexts. Opposites include 'unmachbar' or 'nicht machbar'.
machen|Hutmacher|C2|52687|hatter; milliner|шляпник; шляпный мастер|Modist|Der verrückte Hutmacher ist eine bekannte Figur.|The Mad Hatter is a well-known character.|Безумный Шляпник — известный персонаж.|Der verrückte Modist ist eine bekannte Figur.|der verrückte Hutmacher; Beruf des Hutmachers|A historical and somewhat rare occupation today. The female equivalent is 'Hutmacherin' or 'Modistin'. Famous due to Lewis Carroll's 'Alice in Wonderland'.
machen|Korbmacher|C2|53633|basket maker|корзинщик; плетельщик корзин|Korbflechter|Der Korbmacher stellt Weidenkörbe von Hand her.|The basket maker makes willow baskets by hand.|Корзинщик изготавливает ивовые корзины вручную.|Der Korbflechter stellt Weidenkörbe von Hand her.|das Handwerk des Korbmachers; traditioneller Korbmacher|A traditional craft. Today, 'Korbflechter' is more commonly used in modern contexts, but 'Korbmacher' remains historical and specific.
machen|Machart|C2|31598|style; make; design; craftsmanship|исполнение; покрой; фасон; манера изготовления|Ausführung; Anfertigung; Bauart|Die Tasche besticht durch ihre robuste Machart.|The bag impresses with its robust make.|Сумка подкупает своим прочным исполнением.|Die Tasche besticht durch ihre robuste Ausführung.|von einfacher Machart; solide Machart; billige Machart|Refers to the way something is made, designed, or produced. It can describe physical objects as well as abstract things like films or books. Often used in design and manufacturing contexts.
machen|Mache|C2|216578|make; style; fabrication; show; hype|выделка; дутый успех; шумиха; фальшивка|Aufmachung; Inszenierung; Schau|Die ganze Show war nur billige Mache.|The whole show was just a cheap stunt.|Всё шоу было лишь дешёвой фальшивкой.|Die ganze Show war nur billige Aufmachung.|billige Mache; in der Mache sein|Mostly used in the idiom 'in der Mache haben/sein' (to be currently working on something, informal). On its own, 'Mache' can colloquially refer to something that is showy, artificial, or overproduced.
machen|Machenschaft|C1|13052|machination; intrigue; plot|махинация; интрига; происки|Intrige; Ränkespiel; Verschwörung|Niemand wusste von seinen kriminellen Machenschaften.|Nobody knew about his criminal machinations.|Никто не знал о его преступных махинациях.|Niemand wusste von seinen kriminellen Intrigen.|dunkle Machenschaften; kriminelle Machenschaften; politische Machenschaften|Usually used in the plural ('Machenschaften'). Always has a negative, dishonest, or illegal connotation.
machen|Macher|B2|6237|doer; mover and shaker; maker|деятель; творец; деляга; человек дела|Gestalter; Akteur; Tatmensch|Er ist kein Redner, sondern ein Macher.|He is not a talker, but a doer.|Он не оратор, а человек дела.|Er ist kein Redner, sondern ein Tatmensch.|ein echter Macher; die Macher im Hintergrund; Macher-Mentalität|Colloquial but very common term for someone who takes action and gets things done, rather than just talking. Can occasionally have a slightly negative nuance of a 'manipulator' depending on context, but usually positive today.
machen|Machwerk|C2|34076|botched job; poor piece of work; trashy writing; trashy art|халтура; топорная работа; писанина|Pfusch; Pamphlet; Stümperei|Dieser Roman ist ein literarisches Machwerk.|This novel is a literary botched job.|Этот роман — литературная халтура.|Dieser Roman ist ein literarischer Pfusch.|ein journalistisches Machwerk; ein Machwerk der Zensur|Strongly derogatory term for a book, painting, film, or other creative work that is considered poorly made, cheap, or trashy.
machen|Namhaftmachung|C2|168001|naming; identification; nomination|указание имени; номинирование; опознание|Nennung; Benennung; Identifizierung|Die Namhaftmachung der Zeugen verzögerte sich.|The naming of the witnesses was delayed.|Указание имён свидетелей затянулось.|Die Nennung der Zeugen verzögerte sich.|Namhaftmachung von Zeugen; Namhaftmachung des Täters|Highly formal and official/bureaucratic (Beamtendeutsch) or legal term. Refers to formally providing names (e.g., of suspects, witnesses, or candidates).
