word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
ordnen|ordnen|B2|4917|to arrange, put in order, sort|приводить в порядок, систематизировать, упорядочивать|sortieren; strukturieren; aufräumen; gliedern|Er muss zuerst seine Gedanken ordnen.|He first needs to organize his thoughts.|Сначала ему нужно привести свои мысли в порядок.|Er muss zuerst seine Gedanken strukturieren.|Gedanken ordnen; Bücher im Regal ordnen; Unterlagen ordnen; alphabetisch ordnen|Common in both everyday and formal speech. 'Ordnen' implies putting things in a structured, systematic sequence (e.g., chronologically or alphabetically), whereas 'aufräumen' focuses more on cleaning up physical mess by putting items back in their places.
ordnen|Ordner|B2|6132|folder, binder, steward|папка (для документов), скоросшиватель, стюард (на мероприятии)|Aktenordner; Mappe; Verzeichnis; Aufseher|Sie heftete die Dokumente in den blauen Ordner ab.|She filed the documents into the blue binder.|Она подшила документы в синюю папку.|Sie heftete die Dokumente in die blaue Mappe ab.|einen Ordner anlegen; im Ordner abheften; Ordner im Fußballstadion; digitaler Ordner|This noun has three main meanings: 1) a physical lever-arch ring binder for documents, 2) a digital directory/folder on a computer, and 3) a steward or stewardess responsible for security and order at large public events like sports matches or concerts.
ordnen|Ordnung|A2|1898|order, neatness, system|порядок, аккуратность, система|Systematik; Sauberkeit; Struktur; Regelung|In diesem Zimmer herrscht absolute Ordnung.|Absolute order reigns in this room.|В этой комнате царит абсолютный порядок.|In diesem Zimmer herrscht absolute Struktur.|Ordnung halten; in Ordnung bringen; öffentliche Ordnung; Hausordnung|A key noun in German culture and legal language. The idiom 'in Ordnung sein/bringen' (to be fine / to fix) is omnipresent. It can refer to physical tidiness, social/public rule of law (öffentliche Ordnung), or taxonomical classification in science.
ordnen|abordnen|C2|53772|to delegate, second, temporarily transfer|делегировать, откомандировывать, временно переводить|entsenden; delegieren; schicken|Die Firma wird zwei Mitarbeiter zur Konferenz abordnen.|The company will delegate two employees to the conference.|Компания делегирует двух сотрудников на конференцию.|Die Firma wird zwei Mitarbeiter zur Konferenz entsenden.|Lehrer an eine andere Schule abordnen; Beamte abordnen; für ein Jahr abgeordnet werden|Belongs to a formal register, especially used in administrative, political, civil service, and educational contexts. It describes officially assigning a person to a temporary post or specific task somewhere else.
ordnen|anordnen|B2|4905|to order, decree, arrange spatially|предписывать, распоряжаться, упорядочивать (располагать)|befehlen; vorschreiben; aufstellen; strukturieren|Der Arzt musste Bettruhe anordnen.|The doctor had to order bed rest.|Врачу пришлось предписать постельный режим.|Der Arzt musste Bettruhe vorschreiben.|eine Untersuchung anordnen; die Stühle im Kreis anordnen; behördlich angeordnet; Quarantäne anordnen|This verb has two distinct meanings: 1) To officially decree or mandate (governance, medical instructions, quarantine); 2) To arrange objects in a particular spatial pattern (e.g. aligning tables in a room).
ordnen|beiordnen|C2|55903|to assign, attach (usually legal counsel)|назначать (в качестве защитника), прикомандировывать, соподчинять|beigeben; zuteilen; hinzufügen|Das Gericht musste dem Angeklagten einen Pflichtverteidiger beiordnen.|The court had to assign a public defender to the defendant.|Суд должен был назначить подсудимому государственного защитника.|Das Gericht musste dem Angeklagten einen Pflichtverteidiger zuteilen.|einen Anwalt beiordnen; beigeordneter Richter; als Beistand beiordnen|A highly formal legal term. Usually used when courts assign legal counsel (a Pflichtverteidiger or expert helper) to a party in legal proceedings. Grammar: jemanden (Akk) jemandem (Dat) beiordnen.
ordnen|einordnen|B2|7587|to classify, categorize, integrate, merge (into traffic)|классифицировать, систематизировать, втискиваться (в поток)|klassifizieren; kategorisieren; einreihen; zuordnen|Er kann diese Entdeckung historisch schwer einordnen.|He finds it difficult to categorize this discovery historically.|Ему трудно исторически классифицировать это открытие.|Er kann diese Entdeckung historisch schwer klassifizieren.|historisch einordnen; in eine Kategorie einordnen; sich in den Verkehr einordnen; richtig einordnen|Very common. Works transitively for assigning items or concepts to a category (etwas in eine Kategorie einordnen). Also used reflexively 'sich einordnen' in traffic (to filter/merge into a lane) or socially (to conform/integrate into a group).
ordnen|gleichordnen|C2|167840|to coordinate, place on an equal footing|координировать, приравнивать, ставить в равное положение|gleichstellen; gleichsetzen; koordinieren|Man darf diese beiden unterschiedlichen Phänomene nicht einfach gleichordnen.|One must not simply equate these two different phenomena.|Нельзя просто так приравнивать эти два разных явления.|Man darf diese beiden unterschiedlichen Phänomene nicht einfach gleichsetzen.|gleichgeordnete Sätze; gleichordnende Konjunktionen; hierarchisch gleichordnen|Mainly restricted to linguistic contexts (coordinating sentences or conjunctions of equal syntax level) and sociological/legal terminology where items are treated as strictly hierarchical equals.
ordnen|nebenordnen|C2|191497|to coordinate, place side-by-side (usually grammatical clauses)|соподчинять, ставить рядом, делать равноправным|gleichordnen; koordinieren; aneinanderreihen|In der Grammatik kann man Hauptsätze einander nebenordnen.|In grammar, one can coordinate main clauses with each other.|В грамматике можно соподчинять главные предложения друг другу.|In der Grammatik kann man Hauptsätze einander gleichordnen.|nebengeordnete Sätze; Begriffe nebenordnen; nebenordnende Konjunktion|Extremely rare outside of grammatical analysis, where 'nebenordnend' describes coordinating conjunctions (like 'und', 'oder') that connect clauses of equal syntactic rank.
ordnen|überordnen|C2|69710|to superordinate, prioritize above, place above|ставить выше, подчинять себе, делать главенствующим|vorziehen; überstellen; priorisieren|Er neigt dazu, das Gemeinwohl dem Eigennutz überzuordnen.|He tends to prioritize the common good over self-interest.|Он склонен ставить общее благо выше личной выгоды.|Er neigt dazu, das Gemeinwohl dem Eigennutz vorzuziehen.|übergeordnete Behörde; übergeordnetes Ziel; dem persönlichen Interesse überordnen|Often used in the passive participle 'übergeordnet' (superior, overriding, primary). It requires a dative object for the lower-ranking item: etwas (Akk) einer Sache (Dat) überordnen.
