word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
heulen|heulen|B1|11333|to howl; to cry; to wail|выть; плакать; реветь|weinen; schluchzen; jaulen; plärren|Das Kind begann laut zu heulen.|The child began to cry loudly.|Ребенок начал громко плакать.|Das Kind begann laut zu weinen.|laut heulen; wie ein Schlosshund heulen; der Wind heult|'heulen' is often used informally for human crying (especially when loud or dramatic), as well as for animals (like wolves howling) and inanimate objects (like the wind or sirens). Compared to the neutral 'weinen' (to cry), 'heulen' sounds much more raw, loud, or colloquial.
heulen|Geheul|C2|72615|howling; wailing; crying|вой; завывание; плач|Heulen; Gejammer; Winseln|Das Geheul der Wölfe war in der Nacht zu hören.|The howling of the wolves could be heard in the night.|Вой волков был слышен ночью.|Das Heulen der Wölfe war in der Nacht zu hören.|ohrenbetäubendes Geheul; das Geheul des Windes; ein Geheul anstimmen|'das Geheul' (noun, neuter) denotes a sustained, loud crying, wailing, or howling sound. It can describe wolves, sirens, the wind, or a crowd's loud expressions of disappointment. It is grammatically neuter and often occurs with genitive modifiers.
heulen|Geheule|C2|74622|constant whining; non-stop crying; whimpering|нытьё; постоянный рев; непрекращающийся плач|Gejammer; Gequengel; Weinen|Hör bitte mit dem Geheule auf!|Please stop with the constant whining!|Пожалуйста, прекрати это нытьё!|Hör bitte mit dem Gejammer auf!|nerviges Geheule; das ewige Geheule; mit dem Geheule aufhören|'das Geheule' is a highly colloquial, often pejorative variant of 'Geheul'. It strongly implies annoying, repetitive, or unjustified crying, nagging, or complaining.
heulen|ausheulen|C2|92549|to cry one's eyes out; to have a good cry; to vent|выплакаться; излить душу|ausweinen; sich aussprechen; sich erleichtern|Sie musste sich erst einmal bei ihrer Freundin ausheulen.|She first had to have a good cry with her friend.|Ей нужно было сначала выплакаться своей подруге.|Sie musste sich erst einmal bei ihrer Freundin ausweinen.|sich bei jemandem ausheulen; sich ordentlich ausheulen; den Kummer ausheulen|'sich ausheulen' is a reflexive verb used to describe crying thoroughly until one feels emotionally relieved, or venting emotional distress to a sympathetic listener (using the preposition 'bei' + dative). It is somewhat informal.
heulen|Heuler|C2|66437|seal pup (separated from mother); howler; screamer (firework)|белёк (детеныш тюленя); завывающий снаряд (фейерверк); рёва|Heulpups; Seehundbaby|Die Tierschützer retteten einen verwaisten Heuler am Strand.|The animal rights activists rescued an orphaned seal pup on the beach.|Зоозащитники спасли осиротевшего белька на пляже.|Die Tierschützer retteten ein verwaistes Seehundbaby am Strand.|einen Heuler retten; verwaister Heuler; Heuler in der Nordsee|'der Heuler' has a very specific common meaning in Northern Germany: a young seal (Seehund) that has lost its mother and emits high-pitched howling sounds to locate her. It can also colloquially refer to a type of whistling firework or, less commonly, a crying person.
heulen|Heulerei|C2|126536|constant crying; weeping; sobbing|постоянный плач; рев; нытьё|Weinen; Gejammer; Geheule|Ihre ständige Heulerei ging ihm auf die Nerven.|Her constant crying was getting on his nerves.|Её постоянный плач действовал ему на нервы.|Ihr ständiges Gejammer ging ihm auf die Nerven.|ständige Heulerei; alberne Heulerei; mit der Heulerei aufhören|'die Heulerei' (noun, feminine) denotes persistent, irritating, or self-pitying crying. The suffix '-erei' in German nouns frequently carries a disapproving, mocking, or pejorative tone, indicating that the action is excessive or annoying.
heulen|Heulsuse|C2|70541|crybaby; whiner|плакса; рёва|Heulboje; Weichling; Jammerlappen|Sei doch keine Heulsuse, es tut gar nicht weh!|Don't be such a crybaby, it doesn't even hurt!|Не будь плаксой, это совсем не больно!|Sei doch kein Jammerlappen, es tut gar nicht weh!|eine Heulsuse sein; als Heulsuse beschimpfen; wehleidige Heulsuse|'die Heulsuse' (noun, feminine) is a highly colloquial, slightly derogatory term used to tease someone (regardless of gender, though the grammatical gender is always feminine) who cries easily or complains dramatically about minor issues.
heulen|verheult|C2|106026|tear-stained; tearful; red-eyed (from crying)|заплаканный|tränenüberströmt; verweint; verquollen|Sie kam mit einem verheulten Gesicht aus dem Zimmer.|She came out of the room with a tear-stained face.|Она вышла из комнаты с заплаканным лицом.|Sie kam mit einem verweinten Gesicht aus dem Zimmer.|verheulte Augen; verheultes Gesicht; völlig verheult sein|'verheult' is an adjective derived from 'heulen'. It describes the physical, visible signs of heavy crying on someone's face or eyes (e.g., swollen, red, or tear-stained). 'Verweint' is a close synonym, though 'verheult' feels slightly more informal.
heulen|aufheulen|C2|63710|to howl out; to roar (engine); to scream (siren)|взвыть; зареветь (о моторе); взвыть (о сирене)|aufschreien; losheulen; brüllen|Der Motor des Sportwagens ließ den Wagen laut aufheulen.|The engine of the sports car roared loudly.|Двигатель спортивного автомобиля громко заревел.|Der Motor des Sportwagens ließ den Wagen laut brüllen.|den Motor aufheulen lassen; Sirenen heulen auf; laut aufheulen|'aufheulen' is a separable verb describing a sudden, sharp, loud howling or roaring sound. It is highly typical in contexts involving mechanical revving (engines), alarms (sirens), or humans and animals crying out in sudden shock, pain, or anger.
heulen|Heulboje|C2|122537|whistling buoy; crybaby (colloquial)|светящийся буй с сиреной; плакса (разг.)|Heulsuse; Jammerlappen; Heultonne|Draußen auf dem Meer warnte eine Heulboje die Schiffe.|Out at sea, a whistling buoy warned the ships.|В открытом море плавучий маяк с сиреной предупреждал корабли.|Draußen auf dem Meer warnte eine Heultonne die Schiffe.|eine Heulboje auf dem Meer; wie eine Heulboje weinen|Literally, 'die Heulboje' is a maritime buoy that uses waves to generate air and power a loud whistling warning sound. Figuratively and colloquially, it is used as a humorous or derogatory term for a person (especially a child) who cries loudly and incessantly, similar to 'Heulsuse'.
