word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
legen|legen|A1|373|to lay, to put, to place (horizontally)|класть, положить (в горизонтальное положение)|platzieren; hinlegen; setzen|Er legt das Buch auf den Tisch.|He puts the book on the table.|Он кладет книгу на стол.|Er platziert das Buch auf dem Tisch.|auf den Tisch legen; ins Bett legen; sich schlafen legen|Weak verb (legte, gelegt). Requires an accusative object and a directional prepositional phrase (answering 'Wohin?'). Contrast with 'liegen' (which describes a state and answers 'Wo?').
legen|ablegen|B2|3093|to take off (clothes), to take/pass (an exam), to file (documents)|снимать (одежду), сдавать (экзамен), откладывать в архив|ausziehen; machen; einordnen; ablegen|Sie legt ihren Mantel ab.|She takes off her coat.|Она снимает свое пальто.|Sie zieht ihren Mantel aus.|eine Prüfung ablegen; den Mantel ablegen; ein Geständnis ablegen|Separable verb. Highly versatile prefix verb. Commonly used in administrative or official contexts, such as 'eine Prüfung ablegen' (to take/pass an exam) or 'den Mantel ablegen' (formal way of taking off outer clothing).
legen|aneinanderlegen|C2|120828|to place next to each other, to align side-by-side|класть рядом друг с другом, состыковывать|aneinanderreihen; zusammenlegen|Die Kinder legen die Puzzleteile aneinander.|The children place the puzzle pieces next to each other.|Дети складывают кусочки пазла друг с другом.|Die Kinder reihen die Puzzleteile aneinander.|Steine aneinanderlegen; Bauteile aneinanderlegen|Separable verb. Refers to placing things side by side so that they physically touch or form a line.
legen|anlegen|B2|2244|to create, to invest (money), to put on (clothes/gear)|создавать, инвестировать, надевать (одежду, ремень)|erstellen; investieren; anziehen|Er möchte sein Geld gewinnbringend anlegen.|He wants to invest his money profitably.|Он хочет выгодно инвестировать свои деньги.|Er möchte sein Geld gewinnbringend investieren.|Geld anlegen; einen Garten anlegen; den Sicherheitsgurt anlegen|Separable verb. Highly polysemous: used for financial investments (Geld anlegen), landscaping/design (Garten/Konto anlegen), or putting on safety gear like a seatbelt (Gurt anlegen).
legen|aufeinanderlegen|C2|122452|to stack, to pile up, to lay on top of each other|складывать друг на друга, складывать в стопку|stapeln; aufschichten|Bitte lege die Handtücher ordentlich aufeinander.|Please stack the towels neatly on top of each other.|Пожалуйста, аккуратно сложи полотенца друг на друга.|Bitte stapel die Handtücher ordentlich.|Bücher aufeinanderlegen; die Hände aufeinanderlegen|Separable verb. Refers to putting objects in a vertical stack so they rest directly on top of one another.
legen|auflegen|B2|5945|to hang up (the phone), to publish, to apply (make-up/cream)|вешать трубку, издавать, наносить (макияж)|aufhängen; veröffentlichen; auftragen|Sie wollte nicht länger sprechen und legte auf.|She didn't want to talk any longer and hung up.|Она не хотела больше разговаривать и повесила трубку.|Sie wollte nicht länger sprechen und beendete das Telefonat.|den Hörer auflegen; ein Buch neu auflegen; Make-up auflegen|Separable verb. Idiomatically, 'auflegen' on its own means to hang up a telephone call. Also used in publishing ('neu auflegen' = to reissue a book) or music/DJing ('Platten auflegen' = to spin records).
legen|auslegen|B2|4403|to lay out, to display, to interpret, to advance (money)|выкладывать, интерпретировать (толковать), временно оплатить за кого-то|präsentieren; interpretieren; vorstrecken|Wie soll ich diese Bemerkung auslegen?|How am I supposed to interpret this remark?|Как мне толковать это замечание?|Wie soll ich diese Bemerkung interpretieren?|Teppichboden auslegen; ein Gesetz auslegen; Geld für jemanden auslegen|Separable verb. Covers both literal actions (laying out carpets, goods) and figurative meanings: interpreting (auslegen) a law or a text, or paying for someone else with the expectation of reimbursement (Geld auslegen).
legen|beilegen|C1|11435|to enclose (with a letter), to settle (a dispute)|прилагать (к письму), улаживать (спор)|beifügen; schlichten; beilegen|Wir müssen diesen Streit endlich beilegen.|We must finally settle this dispute.|Мы должны наконец уладить этот спор.|Wir müssen diesen Streit endlich schlichten.|einen Konflikt beilegen; einen Brief beilegen; Beweise beilegen|Separable verb. Highly common both physically (enclosing a document/photo in an envelope: beifügen) and abstractly (settling a conflict: schlichten).
legen|beiseitelegen|C2|71900|to put aside, to save (money)|откладывать в сторону, копить (деньги)|weglegen; sparen; aufheben|Er legt jeden Monat etwas Geld beiseite.|He puts some money aside every month.|Каждый месяц он откладывает немного денег.|Er spart jeden Monat etwas Geld.|Geld beiseitelegen; ein Buch beiseitelegen|Separable verb. Used both literally (putting a book or object aside) and financially (saving money for later, akin to 'sparen').
legen|belegen|B2|1223|to prove/document, to enroll in/take (a course), to cover (a sandwich)|подтверждать (документально), занимать/записываться (на курс), покрывать (бутерброд)|nachweisen; reservieren; belegen|Kannst du deine Behauptung mit Fakten belegen?|Can you back up your claim with facts?|Можешь ли ты подтвердить свое утверждение фактами?|Kannst du deine Behauptung mit Fakten nachweisen?|einen Kurs belegen; ein Brot belegen; mit Beweisen belegen|Inseparable verb. Academic context: 'einen Kurs belegen' (to take/attend a university course). Argumentative/Legal context: 'mit Fakten belegen' (to substantiate with facts). Culinary: 'ein belegtes Brötchen' (a sandwich).
