word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
fließen|fließen|B1|2105|to flow; to run; to pour|течь; литься; струиться|strömen; rinnen; gleiten; rinnsalen|Das Wasser fließt langsam durch das Tal.|The water flows slowly through the valley.|Вода медленно течет через долину.|Das Wasser strömt langsam durch das Tal.|Tränen fließen; Strom fließt; Gelder fließen; ruhig fließen|Used both literally for liquids and figuratively for electric current, money, or time. Irregular strong verb (floss, ist geflossen).
fließen|fließbar|C2|232354|flowable; fluid; liquefiable|текучий; способный течь|flüssig; fließfähig|Dieser Kunststoff wird unter starker Hitze fließbar.|This plastic becomes flowable under intense heat.|Этот пластик становится текучим под воздействием сильного тепла.|Dieser Kunststoff wird unter starker Hitze flüssig.|leicht fließbar; fließbare Masse; fließbar machen|Mainly a technical term in material science and chemistry. Often used synonymously with 'fließfähig'.
fließen|fließend|C1|7478|fluent; flowing; running|беглый; свободный (о речи); плавный; проточный|flüssig; geläufig; reibungslos; kontinuierlich|Sie spricht fließend Deutsch.|She speaks fluent German.|Она свободно говорит по-немецки.|Sie spricht flüssig Deutsch.|fließend sprechen; fließender Übergang; fließende Bewegungen; fließendes Wasser|Most commonly used to describe language skills (fließend sprechen) or smooth transitions (fließender Übergang) and movements.
fließen|Fließarbeit|C2|168712|assembly-line work; line production|работа на конвейере; поточный труд|Fließbandarbeit; Reihenarbeit|Die monotone Fließarbeit ermüdet die Arbeiter schnell.|The monotonous assembly-line work quickly fatigues the workers.|Монотонная работа на конвейере быстро утомляет рабочих.|Die monotone Fließbandarbeit ermüdet die Arbeiter schnell.|monotone Fließarbeit; Fließarbeit verrichten; Einführung der Fließarbeit|Feminine noun (die Fließarbeit). Refers to sequential, highly segmented tasks performed in automated production environments.
fließen|Fließband|C1|22685|assembly line; conveyor belt|конвейер; сборочная линия|Förderband; Montageband|In dieser Fabrik werden Autos am Fließband produziert.|In this factory, cars are produced on the assembly line.|На этом заводе автомобили производятся на конвейере.|In dieser Fabrik werden Autos am Montageband produziert.|am Fließband arbeiten; Produktion am Fließband; wie am Fließband (non-stop)|Neuter noun (das Fließband). The idiom 'wie am Fließband' is used figuratively to mean that something happens continuously and in high numbers.
fließen|Fließerde|C2|229991|flowing soil; solifluction soil|плывун; солифлюкционный грунт|Solifluktionsboden|In arktischen Regionen bewegt sich die nasse Fließerde hangabwärts.|In arctic regions, the wet flowing soil moves downslope.|В арктических регионах мокрый плывун движется вниз по склону.|In arktischen Regionen bewegt sich der nasse Solifluktionsboden hangabwärts.|aufgetaute Fließerde; Rutschen von Fließerde|Feminine noun (die Fließerde). Specialized geological/geomorphological term referring to water-saturated soil that moves down a slope.
fließen|Fließfertigung|C2|97268|flow production; continuous manufacturing|поточное производство; непрерывное производство|Fließbandproduktion; Reihenfertigung|Durch die Fließfertigung konnten die Stückkosten erheblich gesenkt werden.|Flow production made it possible to significantly reduce unit costs.|Благодаря поточному производству удалось значительно снизить себестоимость единицы продукции.|Durch die Fließbandproduktion konnten die Stückkosten erheblich gesenkt werden.|effiziente Fließfertigung; Umstellung auf Fließfertigung|Feminine noun (die Fließfertigung). Standard industrial engineering term for continuous-flow production lines.
fließen|Fließgeschwindigkeit|C2|59785|flow rate; velocity of flow|скорость течения; скорость потока|Strömungsgeschwindigkeit|Die Fließgeschwindigkeit des Flusses stieg nach dem Unwetter.|The flow velocity of the river increased after the storm.|Скорость течения реки увеличилась после шторма.|Die Strömungsgeschwindigkeit des Flusses stieg nach dem Unwetter.|hohe Fließgeschwindigkeit; Fließgeschwindigkeit messen; mittlere Fließgeschwindigkeit|Feminine noun (die Fließgeschwindigkeit). Used in geography, physics, and hydrology.
fließen|Fließgewässer|C2|38818|running water; watercourse|проточный водоем; водоток|Fließwasser; Fließgewässersystem|Bäche und Ströme gehören zur Gruppe der Fließgewässer.|Brooks and streams belong to the group of running waters.|Ручьи и реки принадлежат к группе водотоков.|Bäche und Ströme gehören zur Gruppe der Fließwasser.|naturnahe Fließgewässer; Schutz der Fließgewässer; Zustand der Fließgewässer|Neuter noun (das Fließgewässer). Biological and geographic term for any body of flowing water, contrasting with standing water (Stehgewässer).
fließen|Fließgrenze|C2|204158|yield point; yield strength|предел текучести|Streckgrenze|Bei Überschreitung der Fließgrenze verformt sich das Material dauerhaft.|If the yield point is exceeded, the material deforms permanently.|При превышении предела текучести материал необратимо деформируется.|Bei Überschreitung der Streckgrenze verformt sich das Material dauerhaft.|obere Fließgrenze; Fließgrenze erreichen; elastische Fließgrenze|Feminine noun (die Fließgrenze). Mechanical engineering and materials science term indicating the limit of elastic behavior.
