word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
schwimmen|schwimmen|A2|4211|to swim; to float|плавать; плыть|baden; paddeln; gleiten|Er schwimmt jeden Morgen im See.|He swims in the lake every morning.|Он плавает в озере каждое утро.|Er badet jeden Morgen im See.|im See schwimmen; gerne schwimmen; schwimmen gehen|Conjugated with 'sein' when indicating direction or duration, but sometimes with 'haben' when focusing purely on the activity itself without a specific destination.
schwimmen|schwimmfähig|C2|86189|buoyant; floatable; able to swim|плавучий; способный плавать|schwimmend; tragfähig; navigabel|Das Holz ist schwimmfähig und geht nicht unter.|The wood is buoyant and does not sink.|Дерево обладает плавучестью и не тонет.|Das Holz geht nicht unter, weil es tragfähig ist.|schwimmfähig sein; schwimmfähiges Material; schwimmfähig machen|Commonly used in technical contexts such as shipbuilding, physics, or when describing materials that naturally float on water.
schwimmen|schwimmerisch|C2|107159|swimming-related; athletic (in swimming)|плавательный; спортивный (в плавании)|sportlich; schwimmend|Sie zeigt große schwimmerische Leistungen.|She shows great swimming performances.|Она показывает отличные результаты в плавании.|Sie zeigt große sportliche Leistungen im Wasser.|schwimmerische Leistung; schwimmerisches Talent; schwimmerische Ausbildung|Adjective used almost exclusively in sports journalism, athletic training, and aquatic club contexts.
schwimmen|Schwimmabzeichen|C2|75042|swimming badge; swimming certificate|значок по плаванию|Schwimmpass; Urkunde|Das Kind hat sein erstes Schwimmabzeichen gemacht.|The child completed their first swimming badge.|Ребенок получил свой первый значок по плаванию.|Das Kind hat seinen ersten Schwimmpass gemacht.|ein Schwimmabzeichen ablegen; das goldene Schwimmabzeichen; Schwimmabzeichen in Bronze|Refers to standard achievements in German swim education (e.g., 'Seepferdchen', 'Bronze', 'Silber', 'Gold'). Neuter noun: 'das Schwimmabzeichen'.
schwimmen|Schwimmanlage|C2|144984|swimming facility; pool complex|бассейновый комплекс; плавательное сооружение|Schwimmbad; Badeanstalt; Poolanlage|Die neue Schwimmanlage wird morgen feierlich eröffnet.|The new swimming facility will be opened officially tomorrow.|Новый плавательный комплекс торжественно откроется завтра.|Das neue Schwimmbad wird morgen feierlich eröffnet.|eine moderne Schwimmanlage; die Schwimmanlage nutzen; beheizte Schwimmanlage|Feminine noun ('die Schwimmanlage'). Often used in urban planning or public administration contexts for a complex dedicated to swimming.
schwimmen|Schwimmanzug|C2|97880|swimsuit; wet suit|купальный костюм; гидрокостюм|Badeanzug; Schwimmkleidung|Sie kaufte einen neuen Schwimmanzug für den Wettkampf.|She bought a new swimsuit for the competition.|Она купила новый гидрокостюм для соревнований.|Sie kaufte einen neuen Badeanzug für den Wettkampf.|ein eng anliegender Schwimmanzug; Schwimmanzug für Profis; den Schwimmanzug anziehen|Masculine noun ('der Schwimmanzug'). 'Badeanzug' is more common for casual leisure, while 'Schwimmanzug' often implies high-tech or professional competitive athletic gear.
schwimmen|Schwimmart|C2|117306|swimming stroke; style of swimming|стиль плавания; способ плавания|Schwimmstil; Stilart|Brustschwimmen ist eine weit verbreitete Schwimmart.|Breaststroke is a widely used swimming style.|Брасс — широко распространенный стиль плавания.|Brustschwimmen ist ein weit verbreiteter Schwimmstil.|verschiedene Schwimmarten; die vier Schwimmarten; eine Schwimmart erlernen|Feminine noun ('die Schwimmart'). Mostly used in formal sports instruction or competitive contexts.
schwimmen|Schwimmbad|B2|5360|swimming pool; public pool|бассейн|Hallenbad; Freibad; Badeanstalt; Pool|Am Wochenende gehen wir oft ins Schwimmbad.|On the weekend, we often go to the swimming pool.|В выходные мы часто ходим в бассейн.|Am Wochenende gehen wir oft in die Badeanstalt.|ins Schwimmbad gehen; ein öffentliches Schwimmbad; im Schwimmbad schwimmen|Neuter noun ('das Schwimmbad'). Generic term. Indoor pools are 'Hallenbad', outdoor pools are 'Freibad'.
schwimmen|Schwimmbagger|C2|112044|dredge; dredger boat|земснаряд; плавучий экскаватор|Nassbagger; Baggerschiff|Der Schwimmbagger vertieft das Flussbett.|The dredge is deepening the riverbed.|Земснаряд углубляет русло реки.|Das Baggerschiff vertieft das Flussbett.|ein großer Schwimmbagger; Schwimmbagger im Hafen; Arbeit mit dem Schwimmbagger|Masculine noun ('der Schwimmbagger'). A heavy industrial/nautical engineering term.
schwimmen|Schwimmbahn|C2|119793|swim lane|плавательная дорожка|Bahn; Schwimmspur|Jeder Athlet muss auf seiner eigenen Schwimmbahn bleiben.|Each athlete must stay in their own swim lane.|Каждый спортсмен должен оставаться на своей плавательной дорожке.|Jeder Athlet muss auf seiner eigenen Bahn bleiben.|die Schwimmbahn blockieren; auf der Schwimmbahn schwimmen; Schwimmbahn absperren|Feminine noun ('die Schwimmbahn'). Used to designate the separated lanes in a competition pool.
