word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
suchen|suchen|A1|287|to search; to look for|искать; разыскивать|fahnden; stöbern; Ausschau halten|Ich suche meinen Schlüssel seit einer Stunde.|I have been looking for my key for an hour.|Я ищу свой ключ уже час.|Ich halte seit einer Stunde Ausschau nach meinem Schlüssel.|nach einer Lösung suchen; Arbeit suchen; Hilfe suchen; einen Partner suchen|Can be used transitively with an accusative object (e.g., 'einen Job suchen') or intransitively with 'nach' + dative (e.g., 'nach Antworten suchen').
suchen|gesucht|C1|10129|wanted; sought-after|разыскиваемый; востребованный|gefragt; begehrt; erwünscht|Er ist ein weltweit gesuchter Experte auf diesem Gebiet.|He is a globally sought-after expert in this field.|Он всемирно востребованный эксперт в этой области.|Er ist ein weltweit gefragter Experte auf diesem Gebiet.|dringend gesucht; polizeilich gesucht; viel gesucht|Used as an adjective. It can mean highly demanded/popular ('sought-after') or actively pursued by authorities ('wanted' by the police).
suchen|Gesuch|C1|14089|petition; application; request|прошение; ходатайство; заявление|Antrag; Bitte; Petition|Sie reichte ein Gesuch um Entlassung ein.|She submitted a petition for dismissal.|Она подала прошение об увольнении.|Sie reichte einen Antrag auf Entlassung ein.|ein Gesuch einreichen; ein Gesuch ablehnen; schriftliches Gesuch|A formal, bureaucratic, or legal term. Often constructed with 'um' + accusative indicating what is requested.
suchen|Suchaktion|C2|25666|search operation; search party|поисковая операция; поиски|Suchmaßnahme; Fahndung|Die Suchaktion im Wald wurde nachts abgebrochen.|The search operation in the forest was called off at night.|Поисковая операция в лесу была приостановлена ночью.|Die Suchmaßnahme im Wald wurde nachts abgebrochen.|eine Suchaktion starten; eine Suchaktion abbrechen; großangelegte Suchaktion|A compound noun denoting an organized, often large-scale, physical search for missing persons or objects.
suchen|Suchanfrage|C1|16772|search query|поисковый запрос|Suchbegriff; Recherchefrage|Täglich werden Millionen Suchanfragen bei Google eingegeben.|Millions of search queries are entered into Google every day.|Ежедневно в Google вводится миллионы поисковых запросов.|Täglich werden Millionen Suchbegriffe bei Google eingegeben.|eine Suchanfrage eingeben; Suchanfragen auswerten; präzise Suchanfrage|A standard internet and database term referring to the text typed into a search engine.
suchen|Suchantrag|C2|160149|tracing request; search application|запрос на розыск|Nachforschungsauftrag; Suchgesuch|Das Rote Kreuz hilft, wenn man einen Suchantrag für Vermisste stellt.|The Red Cross helps when one files a tracing request for missing persons.|Красный Крест помогает, если подать запрос на розыск пропавших без вести.|Das Rote Kreuz hilft, wenn man ein Suchgesuch für Vermisste stellt.|einen Suchantrag stellen; einen Suchantrag einreichen; Suchantrag beim Roten Kreuz|An official, formal request to trace missing persons (e.g., via the Red Cross) or lost items (e.g., mail).
suchen|Suchanzeige|C2|83318|classified ad for something wanted; missing person ad|объявление о поиске; объявление о пропаже|Suchmeldung; Kleinanzeige|Sie hat eine Suchanzeige für ihre entlaufene Katze aufgegeben.|She placed a missing ad for her escaped cat.|Она подала объявление о поиске своей сбежавшей кошки.|Sie hat eine Suchmeldung für ihre entlaufene Katze aufgegeben.|eine Suchanzeige aufgeben; Suchanzeige in der Zeitung; Suchanzeige für Haustiere|A printed or digital advertisement searching for something lost, a pet, a flat, or an employee.
suchen|Sucharbeit|C2|106224|search work; research; scanning work|поисковая работа; исследовательская работа|Recherche; Forschungsarbeit|Die Sucharbeit in den alten Archiven dauerte Wochen.|The research in the old archives took weeks.|Поисковая работа в старых архивах заняла недели.|Die Recherche in den alten Archiven dauerte Wochen.|mühsame Sucharbeit; detektivische Sucharbeit; Sucharbeit leisten|Refers to the physical or intellectual effort of searching through archives, databases, or scientific materials.
suchen|Suchautomatik|C2|225239|automatic search; auto-scan (on a radio)|автоматический поиск; автопоиск|Sendersuchlauf; automatischer Suchlauf|Drücken Sie die Taste, um die Suchautomatik des Radios zu starten.|Press the button to start the radio's automatic search.|Нажмите кнопку, чтобы запустить автоматический поиск радиостанций.|Drücken Sie die Taste, um den automatischen Suchlauf des Radios zu starten.|Suchautomatik aktivieren; integrierte Suchautomatik; Suchautomatik starten|Technical term, usually referring to a built-in feature in electronic devices (like radios, TVs, or software) that searches automatically.
suchen|Suchbaum|C2|184729|search tree|дерево поиска|Baumstruktur; binärer Baum|In der Informatik ist ein binärer Suchbaum eine wichtige Datenstruktur.|In computer science, a binary search tree is an important data structure.|В информатике бинарное дерево поиска является важной структурой данных.|In der Informatik ist eine binäre Baumstruktur eine wichtige Datenstruktur.|binärer Suchbaum; Suchbaum durchsuchen; Suchbaum aufbauen|A highly specific technical term used in computer science and mathematics.
suchen|Suchbegriff|B2|7010|search term; keyword|поисковый запрос; ключевое слово|Suchwort; Stichwort; Keyword|Welchen Suchbegriff hast du eingegeben?|Which search term did you enter?|Какое ключевое слово ты ввёл?|Welches Suchwort hast du eingegeben?|Suchbegriff eingeben; passender Suchbegriff; Suchbegriffe kombinieren|Very common digital term. Synonym of 'Suchwort', but more widely used in standard computing contexts.
suchen|Suchbild|C2|70905|picture puzzle; hidden object game|картинка-загадка; найди скрытый объект|Rätselbild; Wimmelbild|In diesem Suchbild sind zehn Fehler versteckt.|There are ten errors hidden in this picture puzzle.|В этой картинке-загадке спрятано десять отличий.|In diesem Rätselbild sind zehn Fehler versteckt.|ein kniffliges Suchbild; Suchbild für Kinder; Fehler im Suchbild finden|Refers to a puzzle where the goal is to find hidden objects, differences, or specific details in an illustration.
suchen|Suchbohrung|C2|170593|exploratory drilling; wildcat well|разведочное бурение; разведочная скважина|Erkundungsbohrung; Probebohrung|Die Suchbohrung stieß in einer Tiefe von zweitausend Metern auf Öl.|The exploratory drilling struck oil at a depth of two thousand meters.|Разведочная скважина обнаружила нефть на глубине двух тысяч метров.|Die Erkundungsbohrung stieß in einer Tiefe von zweitausend Metern auf Öl.|eine Suchbohrung durchführen; erfolgreiche Suchbohrung; Suchbohrung nach Erdgas|Geological, mining, or petroleum industry term referring to drilling aimed at finding resources.
suchen|Suchdienst|C2|50807|tracing service|служба розыска|Suchstelle; Vermisstenstelle|Der Suchdienst des Roten Kreuzes hilft bei der Familienzusammenführung.|The Red Cross tracing service helps with family reunification.|Служба розыска Красного Креста помогает в воссоединении семей.|Die Suchstelle des Roten Kreuzes hilft bei der Familienzusammenführung.|Suchdienst des Roten Kreuzes; den Suchdienst einschalten; Suchdienst für Vermisste|Mainly used to describe humanitarian departments (especially the Red Cross) dedicated to tracking down missing relatives after conflicts or crises.
suchen|Suche|C1|926|search; quest|поиск; поиски|Nachforschung; Fahndung; Jagd|Wir begannen sofort mit der Suche nach den Vermissten.|We immediately began the search for the missing people.|Мы немедленно начали поиски пропавших без вести.|Wir begannen sofort mit den Nachforschungen nach den Vermissten.|auf der Suche sein nach; die Suche aufgeben; eine erfolglose Suche; gezielte Suche|Very common noun. Usually constructed with 'nach' + dative to indicate the object of the search.
suchen|Sucher|C1|22250|viewfinder (camera); finder|видоискатель (фотокамеры); искатель|Sucherfenster; Suchvorrichtung|Er blickte durch den Sucher der Kamera, um das Motiv scharfzustellen.|He looked through the viewfinder of the camera to focus on the subject.|Он посмотрел в видоискатель камеры, чтобы сфокусироваться на объекте.|Er blickte durch das Sucherfenster der Kamera, um das Motiv scharfzustellen.|optischer Sucher; elektronischer Sucher; durch den Sucher blicken|In modern German, almost exclusively refers to the optical or electronic viewfinder on a camera.
suchen|Sucherei|C2|87113|tedious searching; constant searching|бесконечные поиски; канитель с поисками|Herumsuchen; Kramserei|Diese ewige Sucherei nach dem Schlüssel nervt mich.|This constant searching for the key annoys me.|Эти вечные поиски ключа меня раздражают.|Dieses ewige Herumsuchen nach dem Schlüssel nervt mich.|ewige Sucherei; lästige Sucherei; zeitraubende Sucherei|A colloquial noun with a negative, frustrated connotation. The suffix '-erei' suggests a repetitive and annoying activity.
suchen|Suchergebnis|C1|13873|search result|результат поиска|Treffer; Resultat|Die Suchmaschine zeigt tausende Suchergebnisse in Sekundenbruchteilen an.|The search engine displays thousands of search results in fractions of a second.|Поисковая система отображает тысячи результатов поиска за доли секунды.|Die Suchmaschine zeigt tausende Treffer in Sekundenbruchteilen an.|Suchergebnisse anzeigen; relevante Suchergebnisse; erstes Suchergebnis|Primarily used in the context of the internet, databases, and IT search functions.
suchen|Suchfrage|C2|164297|search query; search question|поисковый вопрос; поисковый запрос|Suchanfrage; Recherchefrage|Die präzise Formulierung der Suchfrage ist entscheidend für gute Ergebnisse.|The precise formulation of the search query is crucial for good results.|Точная формулировка поискового вопроса имеет решающее значение для получения хороших результатов.|Die präzise Formulierung der Suchanfrage ist entscheidend für gute Ergebnisse.|Suchfrage formulieren; komplexe Suchfrage; Suchfrage eingeben|Similar to 'Suchanfrage' but emphasizes the actual question structure or wording used during a research process.
suchen|Suchfunktion|C1|19231|search function; search feature|функция поиска|Suchoption; Suchwerkzeug|Nutzen Sie die Suchfunktion auf unserer Webseite, um Artikel zu finden.|Use the search function on our website to find articles.|Используйте функцию поиска на нашем веб-сайте, чтобы найти статьи.|Nutzen Sie die Suchoption auf unserer Webseite, um Artikel zu finden.|integrierte Suchfunktion; Suchfunktion nutzen; Suchfunktion aktivieren|Standard IT term for software systems, websites, or applications.
