word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
prägen|prägen|B2|1907|to shape; to mint; to coin; to imprint|формировать; чеканить; накладывать отпечаток; создавать термин|formen; gestalten; beeinflussen; stempeln|Seine Erfahrungen in der Kindheit prägten seinen Charakter.|His childhood experiences shaped his character.|Его детский опыт сформировал его характер.|Seine Erfahrungen in der Kindheit beeinflussten seinen Charakter.|den Charakter prägen; eine Epoche prägen; Münzen prägen; einen Begriff prägen|Highly versatile verb. In physical contexts, it means to mint coins or stamp/emboss materials. Figuratively, it means to heavily influence or shape someone's character, an era, or a lifestyle. The phrase 'einen Begriff prägen' means to coin a term.
prägen|aufprägen|C2|95741|to imprint; to stamp on; to impress upon|отпечатывать; накладывать отпечаток|aufdrücken; einprägen; aufstempeln|Der Künstler wollte dem Werk seine eigene Note aufprägen.|The artist wanted to imprint his own touch on the work.|Художник хотел наложить свой собственный отпечаток на произведение.|Der Künstler wollte dem Werk seine eigene Note aufdrücken.|jemandem seinen Stempel aufprägen; ein Muster aufprägen; der Gesellschaft ein Gesicht aufprägen|Separable verb (prägt auf, aufgeprägt). It means to stamp or press a physical mark onto something. Figuratively, it means to forcibly or strongly impose a specific characteristic, style, or quality on someone or something. Often used with a dative object.
prägen|Prägebild|C2|196924|embossed image; stamped design|тиснёный рисунок; рельефное изображение|Prägung; Reliefbild; Prägemuster|Das Prägebild auf der Goldmünze zeigt das Profil des Königs.|The embossed image on the gold coin shows the king's profile.|Тиснёный рисунок на золотой монете изображает профиль короля.|Das Reliefbild auf der Goldmünze zeigt das Profil des Königs.|ein feines Prägebild; das Prägebild einer Münze; das Prägebild auf Leder|Noun, neuter (das Prägebild, plural: Prägebilder). Refers specifically to the physical, visual embossed or stamped image on a coin, medal, book cover, or leather product. Primarily used in specialized or technical contexts.
prägen|Prägedruck|C2|113886|embossed printing; relief printing|рельефная печать; тиснение|Reliefdruck; Blindprägung; Hochdruck|Die neue Visitenkarte hat einen eleganten Prägedruck.|The new business card has an elegant embossed print.|Новая визитная карточка имеет элегантное тиснение.|Die neue Visitenkarte hat eine elegante Blindprägung.|hochwertiger Prägedruck; Prägedruck auf Papier; goldener Prägedruck|Noun, masculine (der Prägedruck, plural: Prägedrucke). Represents a printing technique or its product where elements are raised (embossed) or recessed (debossed). Frequently used in graphic design, high-end packaging, and luxury stationery.
prägen|Prägeform|C2|109751|embossing mold; embossing die; matrix|матрица; штамп; прессовочная форма|Prägestempel; Matrize; Pressform|Die Prägeform aus Stahl wird zur Herstellung der Münzen verwendet.|The steel embossing mold is used to manufacture the coins.|Стальной штамп используется для изготовления монет.|Der Prägestempel aus Stahl wird zur Herstellung der Münzen verwendet.|eine Prägeform herstellen; Prägeform aus Metall; die präzise Prägeform|Noun, feminine (die Prägeform, plural: Prägeformen). A technical term referring to the physically engraved or formed tool/mold that is used to press a relief shape into materials such as paper, leather, or metal.
prägen|Prägepresse|C2|183844|embossing press; coining press|чеканочный пресс; штамповочный пресс|Prägemaschine; Münzpresse|Die neue Prägepresse arbeitet vollautomatisch.|The new embossing press operates fully automatically.|Новый чеканочный пресс работает полностью автоматически.|Die neue Prägemaschine arbeitet vollautomatisch.|eine hydraulische Prägepresse; die Prägepresse bedienen; historische Prägepresse|Noun, feminine (die Prägepresse, plural: Prägepressen). Refers to the heavy machinery used to stamp patterns or coin currency in industrial or artisanal workshops.
prägen|Präger|C2|39358|minter; coiner; shaper (figurative)|чеканщик; создатель; тот, кто накладывает отпечаток|Münzer; Gestalter; Schöpfer|Er gilt als der geistige Präger dieser politischen Bewegung.|He is considered the intellectual shaper of this political movement.|Он считается духовным создателем этого политического движения.|Er gilt als der geistige Schöpfer dieser politischen Bewegung.|ein Münzpräger; der geistige Präger sein; als Präger auftreten|Noun, masculine (der Präger, plural: Präger). Literally, someone who mints coins. In modern usage, it is often used figuratively to describe a person who plays a pivotal, formative role in shaping ideas, movements, or a generation's mindset.
prägen|Prägestempel|C2|121308|embossing stamp; die; coining die|чеканочный штамп; пуансон|Prägeform; Prägewerkzeug; Prägestock|Der Prägestempel hinterlässt ein klares Muster im Leder.|The embossing stamp leaves a clear pattern in the leather.|Чеканочный штамп оставляет четкий узор на коже.|Das Prägewerkzeug hinterlässt ein klares Muster im Leder.|den Prägestempel ansetzen; abgenutzter Prägestempel; Prägestempel für Münzen|Noun, masculine (der Prägestempel, plural: Prägestempel). A specific technical term for the tool containing the inverted design used to punch or stamp patterns onto surfaces like metals, leather, and high-grade paper.
prägen|Prägestock|C2|175993|die; lower die; anvil die (for coining)|нижний штамп; штемпель (для чеканки)|Prägestempel; Münzstempel; Unterstempel|Der mittelalterliche Prägestock war aus gehärtetem Eisen gefertigt.|The medieval coining die was made of hardened iron.|Средневековый чеканочный штемпель был изготовлен из закаленного железа.|Der mittelalterliche Münzstempel war aus gehärtetem Eisen gefertigt.|historischer Prägestock; den Prägestock einspannen; Prägestock aus Eisen|Noun, masculine (der Prägestock, plural: Prägestöcke). A specialized historical and technical term for the bottom die (or anvil) on which a coin planchet is positioned during manual or mechanical striking.
prägen|vorprägen|C2|102667|to pre-shape; to preform; to predetermine|предварительно формировать; предопределять|vorformen; prädisponieren; beeinflussen|Unsere Erziehung hat uns in gewisser Weise vorgeprägt.|Our upbringing has pre-shaped us in a certain way.|Наше воспитание в некотором смысле заранее сформировало нас.|Unsere Erziehung hat uns in gewisser Weise vorgeformt.|kulturell vorgeprägt; biologisch vorgeprägt; eine vorgeprägte Meinung; jemanden vorprägen|Separable verb (prägt vor, vorgeprägt). Literally, to stamp in advance. Almost always used in the passive voice or as an adjective (vorgeprägt) to mean that someone's opinions, tastes, or biological responses have been predetermined or highly conditioned by prior factors.
prägen|Prägephase|C2|152025|formative phase; imprinting period|формирующий этап; фаза запечатления (импринтинга)|Entwicklungsphase; Formungsphase; sensible Phase|Die frühe Kindheit ist eine entscheidende Prägephase für den Menschen.|Early childhood is a crucial formative phase for humans.|Раннее детство — это решающий этап формирования для человека.|Die frühe Kindheit ist eine entscheidende Entwicklungsphase für den Menschen.|eine entscheidende Prägephase; die kindliche Prägephase; biologische Prägephase|Noun, feminine (die Prägephase, plural: Prägephasen). Primarily used in psychology, education, and behavioral biology to designate a critical development window when an organism is highly receptive to learning, socialization, or sensory imprinting.
prägen|Wortprägung|C2|158415|neologism; coining of a word; coined word|словообразование; неологизм; новообразование|Neologismus; Begriffsschöpfung; Wortschöpfung|Dieses Wort ist eine moderne Wortprägung aus dem Internetzeitalter.|This word is a modern word coining from the internet era.|Это слово — современное новообразование эпохи интернета.|Dieses Wort ist eine moderne Wortschöpfung aus dem Internetzeitalter.|eine neue Wortprägung; historische Wortprägung; linguistische Wortprägung|Noun, feminine (die Wortprägung, plural: Wortprägungen). Refers to the creation of a new word (neologism) or the specific coined term itself. Synonymous with 'Wortschöpfung' but emphasizes the lasting impact ('prägen') of the term.
prägen|Gepräge|C2|41373|character; stamp; imprint; style|характерный облик; чеканка; отпечатком|Charakter; Prägung; Eigenart; Stempel|Die barocken Gebäude geben der Stadt ihr besonderes Gepräge.|The baroque buildings give the city its special character.|Барочные здания придают городу его особый характерный облик.|Die barocken Gebäude geben der Stadt ihren besonderen Charakter.|ein besonderes Gepräge geben; ein Gepräge verleihen; das landschaftliche Gepräge|Noun, neuter (das Gepräge, plural: Gepräge). A refined, slightly formal or literary word denoting the unique atmosphere, characteristic style, or identity that defines a place, period, or institution. Also occasionally used for physical coin stampings.
prägen|umprägen|C2|158336|to recoin; to reshape; to remold; to redefine|перечеканивать; переделывать; переформировывать|umgestalten; neu formen; umschmelzen; umfunktionieren|Man kann alte Gewohnheiten nicht so leicht umprägen.|One cannot reshape old habits so easily.|Старые привычки не так-то просто переформировать.|Man kann alte Gewohnheiten nicht so leicht umgestalten.|Münzen umprägen; Begriffe umprägen; jemanden umprägen; Werte umprägen|Separable verb (prägt um, umgeprägt). Physically, it means to melt down old currency and coin it anew. Figuratively, it refers to changing fundamental habits, cultural values, or concepts so they take on a entirely new form or meaning.
prägen|ausprägen|C2|60038|to develop; to manifest; (reflexive) to show distinct features; (adj.) pronounced|выражать; развивать; проявляться; (adj.) выраженный|entwickeln; entfalten; formen; hervortreten|Die Symptome können sich bei jedem Patienten anders ausprägen.|The symptoms can manifest differently in each patient.|Симптомы могут проявляться по-разному у каждого пациента.|Die Symptome können sich bei jedem Patienten anders entwickeln.|sich deutlich ausprägen; ein Talent ausprägen; voll ausgeprägt|Separable verb (prägt aus, ausgeprägt). Usually used reflexively (sich ausprägen) to mean to shape up, manifest, or stand out clearly. Its past participle 'ausgeprägt' is exceptionally common as an adjective meaning highly distinct, pronounced, or marked.
prägen|einprägen|C2|24231|to memorize; to engrave; to imprint (on mind)|запоминать; внедрять; запечатлевать|merken; behalten; einhämmern; gravieren|Ich muss mir diese Vokabeln gut einprägen.|Ich muss mir diese Vokabeln gut einprägen.|Мне нужно хорошенько запомнить эти слова.|Ich muss mir diese Vokabeln gut merken.|sich ein Gesicht einprägen; sich eine Nummer einprägen; tief einprägen; im Gedächtnis einprägen|Separable verb (prägt ein, eingeprägt). Primarily used in the reflexive form 'sich (dative) etwas (accusative) einprägen' which means to memorize or etch something into one's memory. Literally, it can also mean to deeply press or stamp a physical mark.
prägen|prägsam|C2|237577|impressionable; malleable; receptive; easily stampable|впечатлительный; податливый; восприимчивый|beeinflussbar; formbar; empfänglich; lernfähig|Kinder sind in jungem Alter besonders prägsam.|Children are particularly impressionable at a young age.|Дети в молодом возрасте особенно впечатлительны.|Kinder sind in jungem Alter besonders beeinflussbar.|ein prägsamer Geist; im prägsamen Alter; prägsames Material|Adjective. In psychological or sociological contexts, it describes a person (or their mind) who is easily influenced, shaped, or educated. In physical terms, it describes materials that easily accept embossing or stamping.
prägen|Prägung|C1|13417|coinage; embossing; shaping; cultural background; behavioral imprinting|чеканка; тиснение; формирование; культурный багаж; импринтинг|Formung; Prägen; Stempelung; Sozialisation; Imprinting|Seine religiöse Prägung war das ganze Leben lang spürbar.|His religious upbringing/influence was noticeable throughout his life.|Его религиозное воспитание ощущалось на протяжении всей его жизни.|Seine religiöse Formung war das ganze Leben lang spürbar.|kulturelle Prägung; religiöse Prägung; eine Münze mit feiner Prägung; die biologische Prägung|Noun, feminine (die Prägung, plural: Prägungen). Extremely common. It has three main fields: 1) Physical minting/embossing of money or sheets. 2) Mental, religious, or cultural conditioning/background. 3) In psychology/biology, the rapid learning process called 'imprinting' (e.g., Konrad Lorenz).
prägen|nachprägen|C2|174697|to copy (minting); to counterfeit; to re-mint|дочеканивать; копировать чеканку; подделывать монеты|fälschen; nachmachen; neu prägen|Die historischen Münzen wurden für Sammler nachgeprägt.|The historical coins were re-minted for collectors.|Исторические монеты были дочеканены для коллекционеров.|Die historischen Münzen wurden für Sammler neu geprägt.|Münzen nachprägen; illegal nachprägen; historische Taler nachprägen|Separable verb (prägt nach, nachgeprägt). Means to strike or mint coins using an already existing mold or design. It can refer to official modern restrikes of historical coins, or to illegal counterfeiting of antique currencies.
