word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
tönen|tönen|B2|9873|to sound; to tint|звучать; тонировать|klingen; färben; schallen|Seine Worte tönen hohl in meinen Ohren.|His words sound hollow in my ears.|Его слова звучат пусто в моих ушах.|Seine Worte klingen hohl in meinen Ohren.|hohl tönen; Haare tönen; getöntes Glas|'tönen' has two distinct meanings: 'to sound' (often in an empty, loud, or specific tone) and 'to tint/color' temporarily (such as hair or glass).
tönen|getönt|C2|29596|tinted; shaded|тонированный; оттеночный|gefärbt; schattiert; nuanciert|Er trägt heute eine Brille mit getönten Gläsern.|Today he is wearing glasses with tinted lenses.|Сегодня на нем очки с тонированными стеклами.|Er trägt heute eine Brille mit gefärbten Gläsern.|getönte Scheiben; getönte Tagescreme; getöntes Glas|Used as an adjective, typically referring to glass (sunglasses, car windows) or cosmetic products (moisturizer with minor pigmentation).
tönen|Getön|C2|151250|continuous sound; sounding|непрерывное звучание; гудение|Getöne; Klingen; Schall|Das monotone Getön der Maschinen erfüllte die Fabrikhalle.|The monotonous drone of the machines filled the factory floor.|Монотонный гул машин наполнял фабричный цех.|Das monotone Getöne der Maschinen erfüllte die Fabrikhalle.|monotones Getön; dumpfes Getön; lautes Getön|A collective noun formed with the ge- prefix, denoting a continuous or repeating sound. It is literary and rarely used compared to 'Geräusch' or 'Lärm'.
tönen|Getöne|C2|166702|bragging; boasting; empty talk|хвастовство; громкие слова; бахвальство|Prahlerei; Wichtigtuerei; Großtuerei|Ich kann sein arrogantes Getöne nicht mehr hören.|I can't listen to his arrogant boasting anymore.|Я больше не могу слышать его высокомерное хвастовство.|Ich kann seine arrogante Prahlerei nicht mehr hören.|großes Getöne; lautes Getöne; arrogantes Getöne|Colloquial, often derogatory noun describing loud, boasting talk or empty promises. Derived from the idiom 'große Töne spucken' (to brag).
tönen|Tönung|C2|46494|tinting; shade; hair tint|оттенок; тонирование; тонировка (волос)|Schattierung; Nuance; Färbung|Sie kaufte eine Tönung für ihre Haare im Drogeriemarkt.|She bought a tint for her hair at the drugstore.|Она купила тонировку для волос в аптеке.|Sie kaufte eine Färbung für ihre Haare im Drogeriemarkt.|eine leichte Tönung; Tönung auswaschen; feine Tönung|Refers to light coloration. In cosmetics, it is a semi-permanent hair dye. In arts and optics, it refers to a subtle shade or nuance of color.
tönen|abtönen|C2|130683|to tone down; to shade; to nuance|приглушать; оттенять; нюансировать|abschwächen; dämpfen; abstufen; nuancieren|Der Maler wollte das helle Blau mit etwas Grau abtönen.|The painter wanted to tone down the bright blue with some gray.|Художник хотел приглушить ярко-синий цвет серым.|Der Maler wollte das helle Blau mit etwas Grau abschwächen.|Farben abtönen; eine Aussage abtönen; eine Wand abtönen|Often used in painting for mixing colors to make them less intense. Figuratively, it means to modify or nuance a spoken statement to make it less harsh.
tönen|antönen|C2|96615|to hint at; to touch upon; to mention briefly|намекать; вскользь затрагивать; упоминать|andeuten; ansprechen; erwähnen|Wir haben das Thema beim Abendessen kurz angetönt.|We briefly touched upon the topic during dinner.|Мы вскользь затронули эту тему за ужином.|Wir haben das Thema beim Abendessen kurz angedeutet.|ein Problem antönen; kurz antönen; ein Thema antönen|Mainly used in Swiss Standard German (Helvetism). It corresponds to 'andeuten' or 'ansprechen' in standard High German in Germany.
tönen|austönen|C2|219427|to fade out; to die away (of sound)|затихать; угасать (о звуке)|ausklingen; verklingen; verhallen|Der Pianist ließ den letzten Ton langsam austönen.|The pianist let the last note slowly fade out.|Пианист позволил последней ноте медленно затихнуть.|Der Pianist ließ den letzten Ton langsam ausklingen.|langsam austönen lassen; sanft austönen|A specialized or poetic verb meaning to allow a musical note or sound to fully fade into silence. Mostly used transitively with 'lassen' or intransitively.
tönen|ertönen|C1|10317|to sound; to ring out; to resound|раздаваться; раздаться; зазвучать|erschallen; erklingen; laut werden|Das Signal zum Aufbruch ertönte pünktlich.|The signal to depart rang out on time.|Сигнал к отправлению раздался вовремя.|Das Signal zum Aufbruch erschallte pünktlich.|eine Sirene ertönt; die Glocken ertönen; Beifall ertönt|An intransitive verb conjugated with 'sein'. It describes the sudden starting or sounding of a signal, bell, voice, or instrument. Highly common in literary style.
tönen|forttönen|C2|233094|to continue sounding; to echo on|продолжать звучать; разноситься эхом|weiterklingen; nachhallen; weitertönen|Die Melodie schien noch lange in den Gängen fortzutönen.|The melody seemed to continue sounding in the hallways for a long time.|Мелодия, казалось, еще долго продолжала звучать в коридорах.|Die Melodie schien noch lange in den Gängen nachzuhallen.|im Kopf forttönen; leise forttönen|A rare, elevated, and poetic verb describing a sound that continues to play or resonate in space or in memory.
