word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
schlagen|schlagen|B1|585|to hit; to beat; to defeat|бить; ударять; побеждать|hauen; prügeln; besiegen|Er schlug den Ball mit voller Wucht über das Netz.|He hit the ball with full force over the net.|Он со всей силы перебил мяч через сетку.|Er haute den Ball mit voller Wucht über das Netz.|Sahne schlagen; Alarm schlagen; jemanden im Schach schlagen; Wurzeln schlagen|A highly versatile verb. Used physically (to hit), culinary (to whip cream), metaphorically (to sound an alarm), and in games/sports (to defeat/take a piece).
schlagen|geschlagen|C1|13794|beaten; defeated|избитый; побежденный; целый (о времени)|besiegt; überwältigt; matt|Die geschlagene Armee musste sich schließlich zurückziehen.|The defeated army finally had to retreat.|Побежденной армии в конце концов пришлось отступить.|Die besiegte Armee musste sich schließlich zurückziehen.|geschlagene drei Stunden; sich geschlagen geben; ein geschlagener Mann|Past participle of 'schlagen'. Used idiomatically as an adjective meaning 'whole' or 'solid' in the phrase 'geschlagene Stunden/Tage' (whole hours/days).
schlagen|schlagbar|C2|47918|beatable; vulnerable|победимый; уязвимый|besiegbar; bezwingbar; verwundbar|Der amtierende Weltmeister ist heute nicht unschlagbar, er ist absolut schlagbar.|The reigning world champion is not invincible today, he is absolutely beatable.|Действующий чемпион мира сегодня не непобедим, его вполне можно победить.|Der amtierende Weltmeister ist heute nicht unbezwingbar, er ist absolut besiegbar.|leicht schlagbar; ein schlagbarer Gegner; theoretisch schlagbar|Formed with the suffix '-bar' (able to be). Predominantly used in competitive contexts such as sports, board games, or debates.
schlagen|schlagend|C2|24110|convincing; striking; irrefutable|убедительный; веский; разительный|überzeugend; treffend; unwiderlegbar; stichhaltig|Die Anwältin präsentierte einen schlagenden Beweis für die Unschuld ihres Mandanten.|The lawyer presented convincing proof of her client's innocence.|Адвокат представила убедительное доказательство невиновности своего подзащитного.|Die Anwältin präsentierte einen überzeugenden Beweis für die Unschuld ihres Mandanten.|ein schlagendes Argument; ein schlagender Beweis; eine schlagende Verbindung (student fraternity)|Present participle of 'schlagen', used as an adjective. Primarily collocates with intellectual concepts like 'argument' or 'proof' to denote absolute persuasiveness.
schlagen|schlagfertig|C2|24822|quick-witted; witty in response|находчивый; остроумный; за словом в карман не лезущий|wortgewandt; geistreich; witzig; reaktionsschnell|Sie reagierte auf die Kritik mit einer schlagfertigen Bemerkung.|She reacted to the criticism with a quick-witted remark.|Она отреагировала на критику находчивым замечанием.|Sie reagierte auf die Kritik mit einer geistreichen Bemerkung.|schlagfertig antworten; eine schlagfertige Antwort; äußerst schlagfertig sein|Describes a person's ability to respond immediately with clever, humorous, or sharp retorts.
schlagen|Geschlecht|B1|4335|gender; sex; lineage; generation|пол; род; поколение; гендер|Genus; Sexualität; Dynastie; Generation|Das biologische Geschlecht wird bei der Geburt registriert.|Biological sex is registered at birth.|Биологический пол регистрируется при рождении.|Die biologische Sexualität wird bei der Geburt registriert.|männliches Geschlecht; weibliches Geschlecht; grammatisches Geschlecht; ein adliges Geschlecht|Refers to biological sex, grammatical gender (Genus), social gender identity, or historically to a noble house/lineage.
schlagen|Schlag|B2|2638|blow; strike; beat; setback|удар; стук; щелчок; потрясение|Hieb; Stoß; Knall; Rückschlag|Der Schlag gegen das Tor war im ganzen Haus zu hören.|The blow against the gate could be heard throughout the house.|Удар в ворота был слышен по всему дому.|Der Hieb gegen das Tor war im ganzen Haus zu hören.|ein schwerer Schlag; auf einen Schlag; Herzschlag; Schlaganfall|Highly polysemous noun. Used literally for physical hits, acoustically for sudden noises, medically (stroke/heartbeat), and metaphorically for a heavy psychological setback.
schlagen|Schlagbaum|C2|47321|turnpike; toll bar; barrier|шлагбаум|Schranke; Barriere; Grenzschranke|Der Schlagbaum an der Landesgrenze wurde langsam hochgezogen.|The barrier at the national border was slowly raised.|Шлагбаум на государственной границе медленно поднялся.|Die Schranke an der Landesgrenze wurde langsam hochgezogen.|den Schlagbaum passieren; ein rot-weißer Schlagbaum; den Schlagbaum öffnen|A traditional, vivid word for a physical boom barrier (Schranke), especially at checkpoints, borders, or toll booths.
schlagen|Schlagbohrmaschine|C2|94199|hammer drill; impact drill|ударная дрель; перфоратор|Schlagbohrer; Bohrhammer|Für diese dicke Betonwand brauchst du eine kräftige Schlagbohrmaschine.|For this thick concrete wall, you need a powerful hammer drill.|Для этой толстой бетонной стены тебе понадобится мощная ударная дрель.|Für diese dicke Betonwand brauchst du einen kräftigen Bohrhammer.|eine Schlagbohrmaschine leihen; mit der Schlagbohrmaschine bohren|Compound noun referring to a specialized drill combining rotation with a rapid hammer action for drilling into stone or concrete.
schlagen|Schlager|B2|8096|hit song; German pop hit; bestseller|шлягер; хит; бестселлер|Hit; Gassenhauer; Kassenschlager; Ohrwurm|In Deutschland liebt mancher die klassischen Schlager aus den siebziger Jahren.|In Germany, some people love the classic hit songs from the seventies.|В Германии некоторые любят классические шлягеры семидесятых годов.|In Deutschland liebt mancher die klassischen Hits aus den siebziger Jahren.|deutscher Schlager; ein echter Kassenschlager; Schlagermusik hören|Usually denotes a style of German-language light pop music characterized by catchy, simple melodies. Can also historically mean a best-selling commercial hit (Kassenschlager).
