word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
prüfen|prüfen|B1|1156|to check; to examine; to test|проверять; тестировать; экзаменовать|kontrollieren; testen; untersuchen; verifizieren|Der Lehrer muss die Hausaufgaben prüfen.|The teacher has to check the homework.|Учитель должен проверить домашнее задание.|Der Lehrer muss die Hausaufgaben kontrollieren.|ein Angebot prüfen; die Dokumente prüfen; gründlich prüfen; eine Hypothese prüfen|prüfen is a versatile verb meaning to check, examine, or test. It implies a formal or careful look at something to verify its quality, correctness, or truth. It is often used in academic, technical, or official contexts. Contrast with 'kontrollieren' (to monitor, keep in check) and 'testen' (to try out).
prüfen|geprüft|C1|10273|certified; tested; checked|проверенный; протестированный; сертифицированный|kontrolliert; getestet; erprobt; zertifiziert|Sie ist eine staatlich geprüfte Übersetzerin.|She is a state-certified translator.|Она является сертифицированным государством переводчиком.|Sie ist eine staatlich zertifizierte Übersetzerin.|staatlich geprüft; wissenschaftlich geprüft; ein geprüfter Experte; eine geprüfte Qualität|geprüft is the past participle of 'prüfen' used as an adjective. In vocational and academic fields, combined with 'staatlich' (state), it refers to someone who has passed standard national examinations or products that have passed rigorous official inspections.
prüfen|prüfbar|C2|88414|verifiable; testable; auditable|проверяемый; поддающийся проверке|nachprüfbar; kontrollierbar; verifizierbar|Wissenschaftliche Hypothesen müssen prüfbar sein.|Scientific hypotheses must be testable.|Научные гипотезы должны быть проверяемыми.|Wissenschaftliche Hypothesen müssen verifizierbar sein.|empirisch prüfbar; leicht prüfbar; rechtlich prüfbar; eine prüfbare Behauptung|prüfbar is an adjective indicating that something is capable of being examined, tested, or verified. It is widely used in scientific, legislative, and financial/accounting contexts.
prüfen|Prüfer|C1|10195|examiner; auditor; inspector|экзаменатор; проверяющий; аудитор|Kontrolleur; Inspektor; Revisor; Examinator|Der Prüfer stellte dem Studenten eine schwierige Frage.|The examiner asked the student a difficult question.|Экзаменатор задал студенту сложный вопрос.|Der Examinator stellte dem Studenten eine schwierige Frage.|ein strenger Prüfer; der externe Prüfer; die Prüfer bestellen; Wirtschaftsprüfer|Prüfer refers to the person who performs an examination, audit, or inspection. The term is heavily used in academic settings (examiner) and business (financial auditor, e.g., Wirtschaftsprüfer). The feminine form is Prüferin.
prüfen|Prüfling|C1|20059|examinee; candidate (taking an exam)|экзаменующийся; кандидат|Kandidat; Prüfungskandidat; Examinand|Vor der mündlichen Prüfung war der Prüfling sehr nervös.|Before the oral exam, the examinee was very nervous.|Перед устным экзаменом экзаменующийся очень нервничал.|Vor der mündlichen Prüfung war der Kandidat sehr nervös.|ein nervöser Prüfling; den Prüfling befragen; die Leistung des Prüflings|Prüfling is a noun ending in the suffix '-ling' (which marks the person affected by the action). It refers to the student or candidate undergoing an examination. It is a formal administrative term.
prüfen|Prüfstand|C1|10119|test bench; test stand; trial; scrutiny|испытательный стенд; детальная проверка|Teststand; Prüfungsstadium; Bewährungsprobe|Das neue Motorenmodell steht auf dem Prüfstand.|The new engine model is on the test bench.|Новая модель двигателя находится на испытательном стенде.|Das neue Motorenmodell steht auf dem Teststand.|auf dem Prüfstand stehen; auf den Prüfstand stellen; ein technischer Prüfstand; etwas kritisch auf den Prüfstand stellen|Prüfstand literally means a mechanical test bench or test stand. Figuratively, the idioms 'auf dem Prüfstand stehen' (to be under scrutiny / put to the test) and 'auf den Prüfstand stellen' (to put to the test, to critically review) are extremely common in politics, business, and daily discussions.
prüfen|Prüfstein|C2|30096|touchstone; litmus test; acid test|пробный камень; критерий; лакмусовая бумажка|Kriterium; Maßstab; Gradmesser; Bewährungsprobe|Die Bewältigung der Krise ist ein Prüfstein für die Regierung.|Overcoming the crisis is a touchstone for the government.|Преодоление этого кризиса является пробным камнем для правительства.|Die Bewältigung der Krise ist eine Bewährungsprobe für die Regierung.|ein echter Prüfstein; als Prüfstein dienen; der Prüfstein für den Erfolg; ein politischer Prüfstein|Prüfstein historically refers to a touchstone used to test the purity of gold and silver. Today, it is used almost exclusively in a figurative sense to denote an ultimate test, critical trial, or decisive criterion for evaluating strength, value, or progress.
prüfen|Prüfsumme|C2|106270|checksum|контрольная сумма|Kontrollsumme; Hashwert; Prüfwert|Das System berechnet eine Prüfsumme zur Fehlererkennung.|The system calculates a checksum for error detection.|Система вычисляет контрольную сумму для обнаружения ошибок.|Das System berechnet eine Kontrollsumme zur Fehlererkennung.|eine Prüfsumme berechnen; die Prüfsumme vergleichen; korrekte Prüfsumme; MD5-Prüfsumme|Prüfsumme is a technical computing and IT term. It refers to a digital checksum or hash value used to ensure that transmitted or stored data has not been corrupted or altered.
prüfen|Prüfung|B1|1705|exam; examination; test; audit|экзамен; проверка; испытание|Examen; Klausur; Test; Überprüfung; Kontrolle|Sie hat die schwere Prüfung erfolgreich bestanden.|She successfully passed the difficult exam.|Она успешно сдала сложный экзамен.|Sie hat das schwere Examen erfolgreich bestanden.|eine Prüfung ablegen; eine Prüfung bestehen; durch eine Prüfung fallen; die schriftliche Prüfung; eine eingehende Prüfung|Prüfung is the standard German word for an exam or official test. It can also mean a mechanical test, an financial audit, or a personal trial/hardship ('eine harte Prüfung'). Note the verbs: 'eine Prüfung ablegen' (to take an exam) and 'eine Prüfung bestehen' (to pass an exam).
prüfen|Prüfverfahren|C2|35723|test procedure; testing method; auditing procedure|метод испытания; процедура проверки; методика тестирования|Testmethode; Testverfahren; Kontrollverfahren; Prüfprozess|Das neue Prüfverfahren verkürzt die Kontrollzeit erheblich.|The new test procedure significantly reduces checking time.|Новая процедура проверки значительно сокращает время контроля.|Die neue Testmethode verkürzt die Kontrollzeit erheblich.|ein standardisiertes Prüfverfahren; das wissenschaftliche Prüfverfahren; ein Prüfverfahren einleiten; strenges Prüfverfahren|Prüfverfahren is a compound noun (das Verfahren = procedure) used in manufacturing, medicine, law, and administrative testing. It implies a highly structured, standard-compliant methodology for checking products, safety, or legal facts.
