word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
geben|geben|A1|51|to give|давать, дарить|reichen; überreichen; schenken; spenden|Er gibt mir das Buch.|He gives me the book.|Он дает мне книгу.|Er reicht mir das Buch.|ein Versprechen geben; Recht geben; eine Antwort geben; es gibt|Very basic verb. It takes a dative object (the recipient) and an accusative object (the thing given). The existential expression 'es gibt' (there is/are) always takes an accusative object.
geben|abgeben|B2|1388|to hand in, to submit, to share|сдавать, отдавать, делиться|einreichen; aushändigen; abliefern; teilen|Er muss seine Hausaufgaben bis morgen abgeben.|He has to hand in his homework by tomorrow.|Он должен сдать домашнее задание до завтра.|Er muss seine Hausaufgaben bis morgen einreichen.|eine Stimme abgeben; die Jacke an der Garderobe abgeben; Verantwortung abgeben; etwas von seinem Essen abgeben|Commonly used for handing in physical documents or assignments, checking clothing at a cloakroom, casting a vote ('eine Stimme abgeben'), or sharing a portion of something you own with someone else.
geben|achtgeben|C2|65631|to pay attention, to watch out, to keep an eye on|обращать внимание, быть осторожным, следить|aufpassen; achthaben; behüten|Du musst im Straßenverkehr besser achtgeben.|You have to pay better attention in traffic.|Тебе нужно быть внимательнее на дороге.|Du musst im Straßenverkehr besser aufpassen.|auf die Kinder achtgeben; im Unterricht achtgeben; auf den Verkehr achtgeben|Often written as two words 'Acht geben'. Typically paired with the preposition 'auf' + accusative when referring to watching over someone or something. Mostly synonymous with 'aufpassen'.
geben|angeben|B2|2667|to state, to specify, to show off|указывать, сообщать, хвастаться|nennen; deklarieren; aufschneiden; prahlen|Bitte geben Sie Ihre Adresse an.|Please state your address.|Пожалуйста, укажите ваш адрес.|Bitte nennen Sie Ihre Adresse.|Gründe angeben; den Ton angeben; mit dem neuen Auto angeben|A highly versatile verb. In formal contexts, it means to specify or declare (requires accusative). In colloquial contexts, 'mit etwas angeben' means to brag or show off about something. The idiom 'den Ton angeben' means to set the tone or call the shots.
geben|anheimgeben|C2|106741|to leave something to someone, to suggest, to defer to|предоставлять на усмотрение, доверять|überlassen; anheimstellen; anraten|Ich gebe es deiner Entscheidung anheim, wie wir verfahren.|I leave it to your decision how we proceed.|Я оставляю на твое усмотрение то, как мы поступим.|Ich überlasse es deiner Entscheidung, wie wir verfahren.|jemandem etwas anheimgeben; der Vergessenheit anheimgeben|An elevated, literary, or highly formal verb. Grammatically structured with a dative object (the person) and an accusative object (the action or choice left to them). Often used in political, judicial, or formal diplomatic writing.
geben|aufgeben|B2|2320|to give up, to surrender, to post (a letter), to assign (homework)|сдаваться, отказываться, отправлять (письмо), задавать (уроки)|kapitulieren; verzichten; absenden; auftragen|Du darfst die Hoffnung niemals aufgeben.|You must never give up hope.|Ты никогда не должен терять надежду.|Du darfst die Hoffnung niemals verlieren.|ein Paket aufgeben; ein Vorhaben aufgeben; Hausaufgaben aufgeben; den Geist aufgeben|Highly polysemous. Can mean to abandon a pursuit or give up (transitive/intransitive), to send mail ('ein Paket aufgeben'), or to assign homework ('Hausaufgaben aufgeben'). The idiomatic phrase 'den Geist aufgeben' means to die or to break down (for machines).
geben|ausgeben|A2|2370|to spend (money), to issue (documents/shares), to pass off as|тратить (деньги), выдавать (документы), выдавать себя за кого-то|aufwenden; verteilen; emittieren; sich ausgeben als|Sie gibt viel Geld für Bücher aus.|She spends a lot of money on books.|Она тратит много денег на книги.|Sie wendet viel Geld für Bücher auf.|Geld ausgeben; Aktien ausgeben; Pässe ausgeben; sich als Arzt ausgeben|For spending money, use 'ausgeben für' + accusative. For distributing or issuing documents, certificates, or shares, it acts as a transitive verb. The reflexive construction 'sich ausgeben als' (+ nominative) means to impersonate someone.
geben|begeben|B2|3714|to betake oneself, to go to, to happen|отправляться, направляться, происходить|sich aufmachen; hingehen; geschehen; widerfahren|Wir sollten uns jetzt auf den Heimweg begeben.|We should make our way home now.|Нам пора отправляться домой.|Wir sollten uns jetzt auf den Heimweg machen.|sich auf die Reise begeben; sich in Gefahr begeben; sich zur Ruhe begeben; es begab sich, dass|Typically used reflexively ('sich begeben') indicating movement toward a place or state (requires directional prepositions like 'nach', 'zu', 'auf'). In an elevated, archaic, or narrative register, the non-reflexive 'es begab sich, dass...' means 'it came to pass that...'.
geben|bekanntgeben|B2|6144|to announce, to make public|объявлять, обнародовать|verkünden; mitteilen; verlautbaren; veröffentlichen|Die Regierung wird die neuen Maßnahmen bald bekanntgeben.|The government will announce the new measures soon.|Правительство скоро объявит о новых мерах.|Die Regierung wird die neuen Maßnahmen bald verkünden.|ein Urteil bekanntgeben; Termine bekanntgeben; Wahlergebnisse bekanntgeben|Highly formal, often written as two words ('bekannt geben'). Used primarily in official, corporate, or political contexts to describe formal, public announcements.
geben|dahingeben|C2|133712|to sacrifice, to give away, to yield|жертвовать, отдавать, обрекать|opfern; hingeben; preisgeben|Er gab sein Leben für sein Vaterland dahin.|He sacrificed his life for his country.|Он отдал свою жизнь за родину.|Er opferte sein Leben für sein Vaterland.|sein Leben dahingeben; alles dahingeben|An elevated, literary, or poetic verb. Typically refers to giving up something invaluable (such as one's life, youth, or beliefs) for a higher purpose or duty.
