word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
passen|passen|A2|671|to fit; to suit; to match|подходить; соответствовать; быть впору|eignen; harmonieren; stimmen; zusagen; stehen|Der blaue Pullover passt dir sehr gut.|The blue sweater fits you very well.|Синий свитер тебе очень идет.|Der blaue Pullover steht dir ausgezeichnet.|wie die Faust aufs Auge passen; gut zusammenpassen; perfekt passen; zu jemandem passen; zeitlich passen|Commonly takes a dative object to mean 'to suit/fit someone' physically or metaphorically (Es passt mir). When matching something else, it is used with the preposition 'zu' + dative (Das Hemd passt zur Hose). In card games or colloquial speech, it can mean 'to pass' (Ich passe).
passen|abpassen|C2|56582|to wait for; to intercept; to catch (someone)|подкараулить; подстеречь; поймать|abfangen; auflauern; abwarten; erwischen|Er versuchte, sie vor der Haustür abzupassen.|He tried to catch her in front of the front door.|Он пытался подстеречь её перед входной дверью.|Er versuchte, sie vor der Haustür abzufangen.|den richtigen Moment abpassen; jemanden an der Ecke abpassen; die Gelegenheit abpassen|Involves waiting for a specific moment or person to catch or talk to them. It carries a slightly sneaky or highly calculated undertone. Takes a direct accusative object (jemanden abpassen).
passen|anpassen|B2|2165|to adapt; to adjust; to customize|приспосабливать; адаптировать; подгонять|angleichen; adaptieren; regulieren; modifizieren; einstellen|Wir müssen uns den neuen Bedingungen anpassen.|We have to adapt to the new conditions.|Нам нужно приспособиться к новым условиям.|Wir müssen uns auf die neuen Bedingungen einstellen.|sich der Situation anpassen; Preise anpassen; das Layout anpassen; sich veränderten Gegebenheiten anpassen|Often used reflexively as 'sich anpassen' followed by the dative ('sich einer Sache anpassen') meaning 'to adapt oneself to something'. As a transitive verb, it means to modify or adjust an object to make it fit (e.g., 'die Kleidung anpassen').
passen|aufpassen|B2|5096|to pay attention; to watch out; to mind|быть внимательным; следить; присматривать|achtgeben; aufmerken; hüten; aufmerksam sein; achtgeben auf|Bitte pass im Unterricht gut auf!|Please pay close attention in class!|Пожалуйста, будь очень внимателен на уроке!|Bitte gib im Unterricht gut acht!|auf die Kinder aufpassen; im Straßenverkehr aufpassen; höllisch aufpassen; auf seine Sachen aufpassen|Used intransitively to mean 'to pay attention/be alert'. When meaning 'to look after/watch over', it requires the preposition 'auf' + accusative (auf jemanden/etwas aufpassen).
passen|einpassen|C2|35071|to fit in; to insert; to integrate|пригонять; встраивать; вставлять|einfügen; integrieren; einbauen; anpassen|Der Tischler muss die Schublade genau einpassen.|The carpenter must fit the drawer in precisely.|Столяр должен точно подогнать ящик.|Der Tischler muss die Schublade genau einfügen.|bündig einpassen; ein Möbelstück einpassen; sich harmonisch einpassen; ein Bauteil einpassen|Primarily used in technical, craftsmanship, or architectural contexts to describe physical fitting. Abstractly, it can be used reflexively ('sich einpassen in + Accusative') to mean integrating seamlessly into a system or structure.
passen|hineinpassen|C2|41777|to fit into; to blend in; to belong in|умещаться; вписываться; подходить (внутрь)|hineingehören; reinpassen; reinzugehen|Ich glaube nicht, dass das Klavier in diese Nische hineinpasst.|I don't think the piano will fit into this niche.|Я не думаю, что пианино поместится в эту нишу.|Ich glaube nicht, dass das Klavier in diese Nische hineingehört.|gut in die Gruppe hineinpassen; nicht ins Konzept hineinpassen; farblich hineinpassen|Focuses on the spatial or conceptual action of fitting inside something (indicated by the prefix 'hinein-'). Often used in colloquial contexts as 'reinpassen'.
passen|hinpassen|C2|82262|to fit there; to belong there|подходить туда; быть к месту|dorthin passen; hingehören|Das Bild ist schön, aber es passt hier einfach nicht hin.|The picture is beautiful, but it simply does not fit here.|Картина красивая, но она просто сюда не подходит.|Das Bild ist schön, aber es gehört hier einfach nicht hin.|nicht dorthin passen; wunderbar hinpassen; farblich hinpassen|Combines 'hin-' (pointing to a specific spot) with 'passen'. It is used to express whether an object fits physically or aesthetically in a certain location.
passen|verpassen|B2|1955|to miss (a train, opportunity); to give/inflict (colloquial)|упустить; опоздать; пропустить; всучить|versäumen; verfehlen; entgehen lassen; verpassen|Beeil dich, sonst verpasst du den Zug!|Hurry up, otherwise you will miss the train!|Торопись, иначе ты опоздаешь на поезд!|Beeil dich, sonst versäumst du den Zug!|eine Gelegenheit verpassen; den Anschluss verpassen; eine Sendung verpassen; einen Termin verpassen|Very common verb. Unlike the English 'to miss', it cannot be used to mean 'to yearn for' (which is 'vermissen'). Colloquially, it can also mean to give someone something they didn't want (e.g., 'jemandem einen Denkzettel verpassen').
passen|zueinanderpassen|C2|168680|to match each other; to go well together|подходить друг к другу; сочетаться|harmonieren; zusammenpassen; übereinstimmen|Die beiden Farben passen überhaupt nicht zueinander.|The two colors do not match each other at all.|Эти два цвета совершенно не подходят друг к другу.|Die beiden Farben harmonieren überhaupt nicht.|perfekt zueinanderpassen; wie füreinander geschaffen sein; charakterlich zueinanderpassen|Emphasizes the reciprocal compatibility of two elements. While very similar to 'zusammenpassen', it highlights the relation of one part specifically matching the other.
passen|zusammenpassen|C1|20125|to match; to harmonize; to go together|подходить друг к другу; гармонировать; сочетаться|harmonieren; zueinanderpassen; übereinstimmen; konvenieren|Wir müssen sehen, ob unsere Pläne zusammenpassen.|We need to see if our plans match.|Нам нужно посмотреть, совпадают ли наши планы.|Wir müssen sehen, ob unsere Pläne übereinstimmen.|gut zusammenpassen; charakterlich zusammenpassen; optisch zusammenpassen; nicht zusammenpassen wollen|A broad term that can describe people, colors, ideas, or physical pieces (like puzzle parts) matching or forming a cohesive whole.
