word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
teilen|teilen|B1|402|to share; to divide|делить; делиться; разделять|aufteilen; partitionieren; sharen|Wir teilen uns die Kosten für die Wohnung.|We share the costs for the apartment.|Мы делим расходы на квартиру.|Wir teilen die Wohnungskosten auf.|eine Meinung teilen; die Kosten teilen; durch zwei teilen; ein Geheimnis teilen|'teilen' can mean 'to share' (often reflexive 'sich dative etwas teilen' or with the preposition 'mit') or 'to divide' (e.g., 'in zwei Hälften teilen' or 'durch zwei teilen' in mathematics).
teilen|abteilen|C2|77758|to partition; to separate|отделять; разделять перегородкой|abtrennen; abgrenzen; separieren|Er wollte einen kleinen Bereich des Zimmers abteilen.|He wanted to partition off a small area of the room.|Он хотел отгородить небольшую часть комнаты.|Er wollte einen kleinen Bereich des Zimmers abtrennen.|einen Raum abteilen; ein Abteil abteilen; durch eine Wand abteilen|'abteilen' means to physically partition a space or separate a subset of items. It often implies creating a smaller compartment ('Abteil') or boundary.
teilen|aufteilen|B2|6042|to split up; to divide up; to distribute|разделять; распределять; делить на части|verteilen; gliedern; portionieren|Wir müssen die Arbeit gerecht unter uns aufteilen.|We have to divide the work fairly among ourselves.|Мы должны справедливо разделить работу между собой.|Wir müssen die Arbeit gerecht unter uns verteilen.|die Beute aufteilen; Aufgaben aufteilen; ein Grundstück aufteilen; in Gruppen aufteilen|'aufteilen' emphasizes dividing a single resource or entity into multiple parts to distribute them. Commonly followed by the preposition 'in' + accusative (e.g., 'in Gruppen aufteilen') or 'unter' + dative.
teilen|austeilen|C1|22337|to hand out; to distribute; to dish out (criticism)|раздавать; разносить; наносить (удары)|verteilen; ausgeben; verabreichen|Der Lehrer wollte die Prüfungsbögen in der Klasse austeilen.|The teacher wanted to hand out the exam papers in class.|Учитель хотел раздать экзаменационные листы в классе.|Der Lehrer wollte die Prüfungsbögen in der Klasse verteilen.|Flugblätter austeilen; Schläge austeilen; Kritik austeilen; Karten austeilen|'austeilen' means to physically distribute items (e.g. flyers or cards) to individuals. Idiomatically, it is used in 'Kritik austeilen' (to dish out criticism) or 'Schläge austeilen' (to deal blows). Its antonym is 'einstecken' (to take/endure).
teilen|einteilen|B2|9221|to budget; to divide up; to schedule (time)|распределять; планировать; классифицировать|strukturieren; portionieren; klassifizieren|Du musst dir deine Zeit für das Projekt besser einteilen.|You need to budget your time for the project better.|Тебе нужно лучше распределять свое время на проект.|Du musst dir deine Zeit für das Projekt besser strukturieren.|Kräfte einteilen; Geld einteilen; in Kategorien einteilen; die Zeit einteilen|Often used reflexively as 'sich (dative) etwas einteilen' meaning to budget or ration limited resources like time, energy, or money. It can also mean to systematically categorize something ('in Klassen einteilen').
teilen|erteilen|B2|2231|to grant; to give; to issue (formal)|давать; предоставлять; отдавать (приказ)|geben; gewähren; aussprechen|Der Chef wollte mir keine Erlaubnis für den Urlaub erteilen.|The boss did not want to grant me permission for the vacation.|Начальник не хотел давать мне разрешение на отпуск.|Der Chef wollte mir keine Erlaubnis für den Urlaub geben.|einen Auftrag erteilen; Ratschläge erteilen; Unterricht erteilen; das Wort erteilen|This is a highly formal verb used in noun-verb combinations (Funktionsverbgefüge) where it acts as a formal equivalent of 'geben' (e.g., 'eine Auskunft erteilen' = to give information).
teilen|mitteilen|B2|1002|to inform; to communicate; to share (information)|сообщать; передавать; уведомлять|informieren; bekanntgeben; benachrichtigen|Bitte teilen Sie mir Ihre Entscheidung so schnell wie möglich mit.|Please let me know your decision as soon as possible.|Пожалуйста, сообщите мне ваше решение как можно скорее.|Bitte informieren Sie mich so schnell wie möglich über Ihre Entscheidung.|eine Nachricht mitteilen; schriftlich mitteilen; sich jemandem mitteilen|Separable verb requiring a dative of the person being informed and an accusative of the thing/information. 'Sich mitteilen' means to express or open up about one's inner thoughts/feelings.
teilen|unterteilen|C1|11003|to subdivide; to classify|подразделять; разделять на подгруппы|untergliedern; einteilen; segmentieren|Wir können das Buch in fünf separate Kapitel unterteilen.|We can subdivide the book into five separate chapters.|Мы можем подразделить книгу на пять отдельных глав.|Wir können das Buch in fünf separate Kapitel untergliedern.|in Abschnitte unterteilen; in Kategorien unterteilen; systematisch unterteilen|Inseparable verb. It means to break down an already defined structure or object into smaller sub-sections. Usually used with 'in' + accusative.
teilen|verteilen|B2|1568|to distribute; to spread; to scatter|распределять; раздавать; намазывать|austeilen; ausstreuen; dispergieren|Die Helfer verteilen Lebensmittel direkt an die Bedürftigen.|The helpers distribute food directly to those in need.|Помощники раздают продукты питания напрямую нуждающимся.|Die Helfer teilen Lebensmittel direkt an die Bedürftigen aus.|Rollen verteilen; Aufgaben verteilen; Creme auf der Haut verteilen; gleichmäßig verteilen|'verteilen' can mean handing out things to many people ('an' + accusative) or spreading a substance over an area ('auf' + dative/accusative). Unlike 'austeilen', it highlights the evenness or systemic nature of distribution.
teilen|vierteilen|C2|110129|to quarter (cut into four pieces); to draw and quarter|четвертовать; делить на четыре части|vierteln; zerteilen|Der Koch wollte den Kuchen für die Gäste vierteilen.|The cook wanted to quarter the cake for the guests.|Повар хотел разрезать пирог на четыре части для гостей.|Der Koch wollte den Kuchen für die Gäste vierteln.|einen Verbrecher vierteilen; ein Gut vierteilen; eine Fläche vierteilen|Historically refers to the brutal execution method of drawing and quartering, but can also playfully or formally refer to cutting an object into four equal parts. In culinary terms, 'vierteln' is far more common.
teilen|zerteilen|C2|32959|to divide; to split up; to break up; to dissect|разделять; разрезать на куски; рассекать|zerlegen; zerschneiden; spalten|Der Metzger musste das Fleisch in kleinere Stücke zerteilen.|The butcher had to cut the meat into smaller pieces.|Мяснику пришлось разделать мясо на более мелкие куски.|Der Metzger musste das Fleisch in kleinere Stücke zerlegen.|eine Wolke zerteilen; die Beute zerteilen; in Stücke zerteilen|Inseparable verb. It implies cutting or breaking something apart into pieces, often using force or a sharp tool. Used physically (e.g., meat, wood) or figuratively (clouds parting).
teilen|zuteilen|C1|14509|to allocate; to assign; to allot|выделять; распределять; назначать (долю)|zuweisen; zuordnen; rationieren|Der Offizier wollte jedem Soldaten eine bestimmte Aufgabe zuteilen.|The officer wanted to assign a specific task to each soldier.|Офицер хотел распределить определенную задачу каждому солдату.|Der Offizier wollte jedem Soldaten eine bestimmte Aufgabe zuweisen.|Rollen zuteilen; Ressourcen zuteilen; ein Budget zuteilen; Rationen zuteilen|Separable verb. Means granting a designated portion or task to a specific person. Requires a dative object (the recipient) and an accusative object (the allotted item or role).
teilen|zweiteilen|C2|38206|to bisect; to divide into two parts|делить надвое; разделять на две части|halbieren; teilen; spalten|Die hitzige Debatte drohte die Partei zu zweiteilen.|The heated debate threatened to split the party in two.|Бурные дебаты грозили расколоть партию надвое.|Die hitzige Debatte drohte die Partei zu spalten.|ein Land zweiteilen; eine Gesellschaft zweiteilen; eine Meinung zweiteilen|Often used in the passive voice or as an adjective/participle ('zweigeteilt'). It typically indicates dividing an abstract concept (like an opinion, a party, or a society) or a physical territory into two distinct factions or halves.
teilen|teilbar|C2|39146|divisible|делимый; делящийся|zerlegbar; trennbar; dividierbar|Die Zahl Zehn ist problemlos durch fünf teilbar.|The number ten is easily divisible by five.|Число десять без проблем делится на пять.|Die Zahl Zehn lässt sich problemlos durch fünf dividieren.|glatt teilbar; durch zwei teilbar; unendlich teilbar|An adjective meaning 'divisible'. Used mostly in math ('teilbar durch' - divisible by) or philosophy/physics when talking about whether matter or concepts can be segmented further.
