word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
trennen|trennen|B2|1870|to separate; to disconnect; to divide; to break up|разделять; разъединять; расставаться|scheiden; teilen; absondern; auseinandergehen|Wir müssen den Müll ordentlich trennen.|We must separate the garbage properly.|Мы должны правильно сортировать мусор.|Wir müssen den Müll ordentlich sortieren.|Müll trennen; sich von jemandem trennen; die Spreu vom Weizen trennen; sauber trennen; Berufliches und Privates trennen|'trennen' can be transitive (to separate things, often with 'von' + dative: 'etwas von etwas trennen') or reflexive ('sich trennen von' + dative, meaning to break up with someone or to part with an object). It is the base verb for physical, conceptual, and relationship-related division.
trennen|trennscharf|C2|84941|highly selective; clearly defined; precise; distinct|избирательный; селективный; чётко разграниченный; точный|präzise; eindeutig; distinktiv; trennungsfähig; trennungsscharf|Wir benötigen eine trennscharfe Definition für dieses Projekt.|We need a clearly defined definition for this project.|Нам нужно чёткое определение для этого проекта.|Wir benötigen eine präzise Definition für dieses Projekt.|eine trennscharfe Definition; trennscharfe Kriterien; ein trennscharfer Filter; eine trennscharfe Unterscheidung|Originally a technical term in telecommunications and physics (describing the selectivity of a signal receiver), 'trennscharf' is now commonly used in academic, legal, and formal registers to describe terms, criteria, or concepts that are clearly distinct and do not overlap.
trennen|Trennlinie|C2|37622|dividing line; boundary; line of demarcation|разделительная линия; демаркационная линия; черта раздела|Grenze; Demarkationslinie; Scheidelinie; Grenzlinie|Die Trennlinie zwischen den beiden Grundstücken war klar markiert.|The dividing line between the two properties was clearly marked.|Граница между двумя участками была четко обозначена.|Die Grenze zwischen den beiden Grundstücken war klar markiert.|eine klare Trennlinie; eine Trennlinie ziehen; Trennlinie zwischen Gut und Böse; die Trennlinie verläuft|'Trennlinie' (f., plural: Trennlinien) can refer to literal geographical or graphical boundaries, but is very frequently used figuratively to describe boundaries between abstract concepts, such as political ideologies, right and wrong, or public and private life. It is commonly paired with 'ziehen' (to draw).
trennen|Trennscheibe|C2|81298|cutting disc; separating glass; partition pane|отрезной круг; отрезной диск; защитная перегородка; разделительное стекло|Schnittscheibe; Trennglas; Schutzscheibe|Er montierte eine neue Trennscheibe auf den Schleifer.|He mounted a new cutting disc onto the grinder.|Он установил новый отрезной диск на шлифовальную машину.|Er montierte eine neue Schnittscheibe auf den Schleifer.|die Trennscheibe wechseln; Diamant-Trennscheibe; Trennscheibe für Metall; eine schützende Trennscheibe|'Trennscheibe' (f., plural: Trennscheiben) has two distinct meanings: 1) An abrasive cutting disc used in power tools (like angle grinders) to cut metal, concrete, or stone. 2) A physical protective partition glass or pane (e.g., between the driver and passengers in a taxi, or in a bank).
trennen|Trennschleifer|C2|78347|angle grinder; disc cutter; power cutter|угловая шлифовальная машина; болгарка; бензорез|Winkelschleifer; Flex; Trennhexe|Mit dem Trennschleifer schnitt er das dicke Metallrohr durch.|With the angle grinder, he cut through the thick metal pipe.|Болгаркой он разрезал толстую металлическую трубу.|Mit dem Winkelschleifer schnitt er das dicke Metallrohr durch.|einen Trennschleifer benutzen; elektrischer Trennschleifer; Motor-Trennschleifer; Trennschleifer mit Diamantblatt|'Trennschleifer' (m., plural: Trennschleifer) is the formal technical term for a power cutting tool. In everyday informal German, people almost always refer to this tool as 'Flex' (colloquial, originally a brand name) or occasionally 'Winkelschleifer'.
trennen|Trennstrich|C2|91170|hyphen (for word division); dividing line; separator|знак переноса; дефис; разделительная черта|Bindestrich; Trennungsstrich; Querstrich|Vergessen Sie nicht den Trennstrich am Zeilenende.|Don't forget the hyphen at the end of the line.|Не забудьте знак переноса в конце строки.|Vergessen Sie nicht den Bindestrich am Zeilenende.|einen Trennstrich setzen; einen klaren Trennstrich ziehen; Trennstrich bei der Worttrennung|'Trennstrich' (m., plural: Trennstriche) literally refers to the typographic hyphen used to divide a word at the end of a line. Metaphorically, 'einen Trennstrich ziehen' means to make a clean break, draw a clear distinction, or finish a chapter of life.
trennen|Trennung|B2|3625|separation; breakup; division; divorce|разделение; расставание; развод; отделение|Scheidung; Spaltung; Separation; Abschied; Zerwürfnis|Die plötzliche Trennung des Paares überraschte alle Freunde.|The sudden breakup of the couple surprised all their friends.|Внезапное расставание пары удивило всех друзей.|Der plötzliche Abschied des Paares überraschte alle Freunde.|eine schmerzhafte Trennung; die strikte Trennung von Kirche und Staat; Trennung von Müll; zur Trennung führen; eine Trennung auf Probe|'Trennung' (f., plural: Trennungen) is a high-frequency noun. It covers interpersonal contexts (a romantic breakup), legal/political division (e.g., 'Gewaltenteilung' or 'Trennung von Staat und Kirche'), and environmental/physical actions (e.g., 'Mülltrennung' - waste sorting).
trennen|Trennwand|C2|28568|partition wall; bulkhead; divider; screen|перегородка; разделительная стена; ширма|Zwischenwand; Scheidewand; Raumteiler; Partition|Eine mobile Trennwand teilte den großen Saal in zwei Hälften.|A mobile partition wall divided the large hall into two halves.|Мобильная перегородка разделила большой зал на две половины.|Eine mobile Zwischenwand teilte den großen Saal in zwei Hälften.|eine mobile Trennwand; eine schalldichte Trennwand; Trennwand aus Glas; eine Trennwand einbauen; Trennwand entfernen|'Trennwand' (f., plural: Trennwände) refers to non-load-bearing walls or screens used to divide rooms, offices, or vehicle cabins. In anatomy, 'Scheidewand' is preferred (e.g., 'Nasenscheidewand' for the nasal septum).
trennen|abtrennen|C1|16588|to sever; to detach; to cut off; to partition off|отделять; отрезать; отсекать; выгораживать|abschneiden; abreißen; abspalten; absondern; abisolieren|Sie müssen den Gutschein an der gepunkteten Linie abtrennen.|You need to detach the voucher along the dotted line.|Вам нужно отрезать купон по пунктирной линии.|Sie müssen den Gutschein an der gepunkteten Linie abschneiden.|einen Gutschein abtrennen; ein Körperteil abtrennen; sauber abtrennen; ein Zimmer abtrennen|'abtrennen' is a separable verb ('trennt ab', 'abgetrennt') that emphasizes removing or isolating a piece from a larger whole. It is used for tearing off coupons, partitioning a section of a room, or surgically amputating/severing body parts.
trennen|auftrennen|C2|67674|to unpick (seams); to rip open; to split up; to separate|распарывать (швы); разъединять; распускать; разделять|aufdröseln; aufmachen; aufreißen; trennen|Die Schneiderin musste die alte Naht vorsichtig auftrennen.|The seamstress had to carefully unpick the old seam.|Портниха должна была аккуратно распороть старый шов.|Die Schneiderin musste die alte Naht vorsichtig aufmachen.|eine Naht auftrennen; ein Kleidungsstück auftrennen; gestrickte Wolle auftrennen; vorsichtig auftrennen|'auftrennen' is a separable verb ('trennt auf', 'aufgetrennt'). In physical, everyday life, it refers almost exclusively to unpicking stitches or seams in textiles or tailoring. In scientific contexts, it can mean separating substances or resolving chromatograms/spectral peaks.
trennen|auseinandertrennen|C2|197768|to separate; to pull apart; to sever|разъединять; разделять; разнимать|trennen; auseinanderhalten; separieren; scheiden|Es ist schwer, diese beiden verklebten Seiten wieder auseinanderzutrennen.|It is hard to separate these two stuck pages again.|Трудно снова разделить эти две склеенные страницы.|Es ist schwer, diese beiden verklebten Seiten wieder zu trennen.|zusammengeklebte Teile auseinandertrennen; Kämpfende auseinandertrennen; eng verbundene Dinge auseinandertrennen|'auseinandertrennen' is a separable verb ('trennt auseinander', 'auseinandergetrennt') that emphasizes physical effort in separating things that are stuck, tangled, or tightly bound together (like pages, fighting animals, or combined components).
trennen|durchtrennen|C2|29066|to cut through; to sever; to slice through|перерезать; разрезать пополам; рассекать|durchschneiden; kappen; durchteilen|Der Chirurg musste das Gewebe vorsichtig durchtrennen.|The surgeon had to carefully cut through the tissue.|Хирургу пришлось осторожно разрезать ткань.|Der Chirurg musste das Gewebe vorsichtig durchschneiden.|ein Kabel durchtrennen; die Nabelschnur durchtrennen; ein Seil durchtrennen; Nerven durchtrennen|'durchtrennen' is an inseparable verb ('durchtrennt', 'durchtrennte', 'durchtrennt') that means to cut completely through a linear or connected object (cables, ropes, biological tissue, umbilical cords). It emphasizes complete severing.
trennen|heraustrennen|C2|86145|to rip out; to cut out; to excise; to remove|вырезать; выпарывать; извлекать; вырывать|herausschneiden; entfernen; herauslösen; aussondern|Er hat eine Seite aus dem Notizbuch herausgetrennt.|He ripped a page out of the notebook.|Он вырвал страницу из блокнота.|Er hat eine Seite aus dem Notizbuch herausgeschnitten.|eine Seite heraustrennen; Artikel aus der Zeitung heraustrennen; ein Etikett heraustrennen; Futter heraustrennen|'heraustrennen' is a separable verb ('trennt heraus', 'herausgetrennt'). It is used when an element is removed or extracted from a larger structured object by cutting, tearing, or unpicking (such as removing a coupon from a newspaper or a page from a book).
trennen|zertrennen|C2|117233|to rip apart; to dismantle; to cut up|разрезать на части; распарывать; разделять; расчленять|zerschneiden; zerlegen; zerteilen; auflösen|Er musste das alte Kleid zertrennen, um den Stoff wiederzuverwenden.|He had to rip apart the old dress to reuse the fabric.|Ему пришлось распороть старое платье, чтобы повторно использовать ткань.|Er musste das alte Kleid zerschneiden, um den Stoff wiederzuverwenden.|ein Kleidungsstück zertrennen; Stoffe zertrennen; Nähte zertrennen|'zertrennen' is an inseparable verb ('zertrennt', 'zertrennte', 'zertrennt'). It specifically denotes taking apart sewn, stitched, or assembled fabrics or components, often completely dismantling them. It is less common than 'auftrennen' and carries a more thorough or destructive nuance.
