word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
bringen|bringen|A1|140|to bring; to take (someone/something somewhere); to fetch|приносить; приводить; доставлять|holen; herbeischaffen; liefern; transportieren|Kannst du mir bitte ein Glas Wasser bringen?|Can you please bring me a glass of water?|Можешь принести мне, пожалуйста, стакан воды?|Kannst du mir bitte ein Glas Wasser holen?|zum Lachen bringen; in Gefahr bringen; auf die Beine bringen; zum Schweigen bringen|A fundamental verb. Often used with dative (recipient) and accusative (object). Also used in many idiomatic expressions with 'zu' or 'in'.
bringen|Bringer|C2|53293|bringer; bearer (of news, etc.)|вестник; приноситель; тот, кто приносит|Bote; Überbringer|Er gilt als Bringer der guten Nachricht.|He is considered the bringer of good news.|Его считают вестником хороших новостей.|Er gilt als Überbringer der guten Nachricht.|Bringer des Glücks; Bringer der Botschaft; ein willkommener Bringer|Often used in compound nouns like 'Glücksbringer' (lucky charm). Alone, it is somewhat literary or colloquial depending on context.
bringen|Bringschuld|C2|48546|obligation to provide; debt to be actively paid (legal/figurative)|обязанность предоставления информации или услуг; долг действия|Pflicht; Verpflichtung; Leistungspflicht|Die Bereitstellung dieser Daten ist eine Bringschuld des Anbieters.|Providing this data is an obligation of the provider.|Предоставление этих данных является обязанностью провайдера.|Die Bereitstellung dieser Daten ist eine Pflicht des Anbieters.|eine Bringschuld haben; als Bringschuld ansehen; die Bringschuld erfüllen|A legal term often used colloquially/politically. It means the debtor must actively bring the service/information to the creditor (contrasted with 'Hohlschuld', where the creditor must fetch it).
bringen|aufbringen|B2|4373|to muster (courage); to raise (money); to anger/irritate|находить (силы); доставать (деньги); сердить; раздражать|auftreiben; besorgen; aufbringen gegen; aufregen|Er konnte das nötige Geld für die Reise nicht aufbringen.|He could not raise the necessary money for the trip.|Он не смог найти необходимых денег на поездку.|Er konnte das nötige Geld für die Reise nicht auftreiben.|Mut aufbringen; Geduld aufbringen; Verständnis aufbringen; jemanden gegen sich aufbringen|Separable verb. Often used with abstract nouns like 'Mut' or 'Geduld' (to muster/summon). In the passive-like sense 'jemanden gegen sich aufbringen' it means to make someone angry at you.
bringen|ausbringen|C2|29384|to propose (a toast); to spread (manure, seeds); to yield/produce|провозглашать (тост); вносить (удобрения); высевать; приносить доход|aussprechen; verteilen; säen|Er wollte einen Toast auf das Brautpaar ausbringen.|He wanted to propose a toast to the bridal couple.|Он хотел провозгласить тост за молодоженов.|Er wollte einen Toast auf das Brautpaar aussprechen.|einen Trinkspruch ausbringen; Dünger ausbringen; Saatgut ausbringen|Separable verb. Most commonly used in formal/traditional contexts for proposing toasts, or in agriculture for distributing seeds or fertilizer.
bringen|auseinanderbringen|C2|101866|to separate; to alienate; to cause a rift between|разлучать; рассорить; разделять|trennen; entzweien; scheiden|Keine Meinungsverschiedenheit konnte die beiden Freunde auseinanderbringen.|No disagreement could separate the two friends.|Никакие разногласия не могли разлучить двух друзей.|Keine Meinungsverschiedenheit konnte die beiden Freunde trennen.|Liebende auseinanderbringen; Freunde auseinanderbringen|Separable verb. Refers to disrupting relationships, causing people to drift apart or separating things physically.
bringen|beibringen|B2|7045|to teach (a skill); to produce (evidence/proof)|обучать (чему-л.); прививать; предъявлять (доказательства)|lehren; unterrichten; vorlegen; belegen|Mein Vater wollte mir das Schwimmen beibringen.|My father wanted to teach me how to swim.|Мой отец хотел научить меня плавать.|Mein Vater wollte mich das Schwimmen lehren.|jemandem eine Sprache beibringen; Beweise beibringen; Manieren beibringen|Separable verb. Requires Dative of person being taught and Accusative of the skill. When used for evidence, it means to supply/produce papers or proofs.
bringen|daherbringen|C2|197619|to bring along; to offer/present; to mutter (slang/colloquial)|приносить с собой; приносить; бормотать|mitbringen; herbeischaffen; daherschwatzen|Er pflegte seine Argumente mit großer Geste daherzubringen.|He used to present his arguments with a grand gesture.|Он имел обыкновение преподносить свои аргументы с широким жестом.|Er pflegte seine Argumente mit großer Geste vorzubringen.|Ausreden daherbringen; Argumente daherbringen|Separable. Often implies a clumsy, casual, or slow way of bringing or speaking. Not very common in modern standard writing except with a slightly negative tone.
bringen|darbringen|C2|42034|to offer up; to present; to perform (a tribute/sacrifice)|подносить; преподносить; приносить (жертву, благодарность)|anbieten; überreichen; opfern; präsentieren|Sie wollten dem König ein feierliches Geschenk darbringen.|They wanted to present a solemn gift to the king.|Они хотели преподнести королю торжественный подарок.|Sie wollten dem König ein feierliches Geschenk überreichen.|ein Opfer darbringen; Glückwünsche darbringen; ein Ständchen darbringen|Separable verb. High register / literary style. Often used for ceremonial acts, offerings, sacrifices, or artistic performances.
bringen|durchbringen|C2|25231|to pull someone through (illness); to squander (money); to push through (a law)|вылечить (вытащить); промотать (деньги); провести/протолкнуть (закон)|retten; durchfüttern; verprassen; durchsetzen|Der Arzt tat alles, um den schwerkranken Patienten durchzubringen.|The doctor did everything to pull the seriously ill patient through.|Врач сделал всё, чтобы спасти тяжелобольного пациента.|Der Arzt tat alles, um den schwerkranken Patienten zu retten.|ein Gesetz durchbringen; sein ganzes Vermögen durchbringen; eine Familie durchbringen|Separable verb with multiple distinct meanings depending on context (survival, financial squandering, or political legislation).
