word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
spielen|spielen|A1|22117|to play; to act|играть|zocken; mimen; musizieren|Die Kinder spielen im Garten Fußball.|The children are playing soccer in the garden.|Дети играют в футбол в саду.|Die Kinder zocken im Garten Fußball.|Fußball spielen; Klavier spielen; eine Rolle spielen|Highly versatile verb. Can mean to play games, instruments, or a role. Transitive or intransitive. Colloquially, 'zocken' is used for video games or gambling.
spielen|spielbar|C1|22047|playable; performable|играбельный; исполнимый (о музыке)|ausführbar; spielfähig|Dieses Musikstück ist für Anfänger kaum spielbar.|This piece of music is barely playable for beginners.|Эта музыкальная пьеса едва ли исполнима для начинающих.|Dieses Musikstück ist für Anfänger kaum ausführbar.|gut spielbar; kaum spielbar; für Anfänger spielbar|Used in various contexts: music (pieces that can be performed), sports (a pitch that is in suitable condition to play on), or games/software (mechanics that function).
spielen|spielfrei|C1|10360|off-duty; having a rest day (sports/theater); play-free|свободный от игр; выходной (у спортсменов/актеров)|pausehabend; spielfreie Zeit|Die Mannschaft hat dieses Wochenende spielfrei.|The team has this weekend off.|У команды в эти выходные нет игр.|Die Mannschaft hat dieses Wochenende Pause.|spielfreies Wochenende; spielfreier Tag; spielfreie Zeit|Commonly used in professional sports leagues or theater schedules to indicate a period or day with no matches or performances scheduled.
spielen|spielig|C2|208485|playful; full of play (rare/regional or technical)|игривый; с люфтом (техн.)|verspielt; locker|Das junge Kätzchen zeigt sich heute besonders spielig.|The young kitten shows itself to be particularly playful today.|Молодой котёнок сегодня выглядит особенно игривым.|Das junge Kätzchen zeigt sich heute besonders verspielt.|spieliges Verhalten; spieliges Holz|A very rare adjective. In modern standard German, 'verspielt' or 'spielerisch' is strongly preferred. In carpentry, it occasionally describes wood with high tolerance or gaps.
spielen|spielstark|C1|16571|strong at playing; competitive (sports/games)|сильный в игре; играющий на высоком уровне|spielkräftig; spielintelligent; leistungsstark|Der FC Bayern trifft heute auf einen spielstarken Gegner.|FC Bayern meets a play-strong opponent today.|Бавария сегодня встречается с сильным в игре соперником.|Der FC Bayern trifft heute auf einen spielkräftigen Gegner.|eine spielstarke Mannschaft; spielstarke Spieler; spielstark agieren|Used almost exclusively in sports journalism to describe teams or individual players who possess high technical or tactical skill.
spielen|Gespiele|C2|115458|playmate; companion (often archaic/derogatory)|товарищ по играм; любовник (ирон.)|Spielkamerad; Spielgefährte|Sie traf sich mit ihrem alten Gespielen im Park.|She met with her old playmate in the park.|Она встретилась со своим старым товарищем по играм в парке.|Sie traf sich mit ihrem alten Spielkameraden im Park.|ein alter Gespiele; treuer Gespiele|Often archaic for a childhood playmate. In modern German, it can have a slightly mocking, derogatory, or ironic romantic/sexual undertone ('plaything').
spielen|Spielalter|C2|161852|playing age (childhood phase); age of acting eligibility|игровой возраст (период детства); сценический возраст|Spielphase; Kindesalter|Das Kind hat nun das Spielalter erreicht, in dem es Rollenspiele mag.|The child has now reached the playing age where they enjoy role-playing.|Ребенок сейчас достиг игрового возраста, когда ему нравятся ролевые игры.|Das Kind hat nun das Kindesalter erreicht, in dem es Rollenspiele mag.|im Spielalter sein; das goldene Spielalter|Used in developmental psychology (the age range when children learn primarily through play) or in theater and film casting to denote the age range an actor can convincingly portray.
spielen|Spielanweisung|C2|128361|game instructions; stage direction|правила игры; сценическая ремарка|Spielregel; Regieanweisung; Anleitung|Beachten Sie die Spielanweisung auf der Rückseite des Bretts.|Please note the game instructions on the back of the board.|Обратите внимание на инструкцию к игре на обороте доски.|Beachten Sie die Spielregel auf der Rückseite des Bretts.|eine genaue Spielanweisung; Spielanweisungen befolgen|Can refer either to the rules of a board game or, in theater, the playwright's directions (stage directions) for actors.
spielen|Spielanzug|C2|163119|play suit; romper suit|детский комбинезон для игр; игровой костюм|Strampler; Spielkleidung|Das Baby trägt einen bunten Spielanzug aus Baumwolle.|The baby is wearing a colorful cotton play suit.|На малыше разноцветный хлопковый комбинезон для игр.|Das Baby trägt eine bunte Spielkleidung aus Baumwolle.|ein praktischer Spielanzug; Spielanzug für Kinder|Refers to robust, comfortable, easy-to-clean clothing for infants and toddlers during active play.
spielen|Spielart|C1|20098|variety; nuance; style of play|разновидность; манера игры; нюанс|Variante; Abart; Ausprägung; Spielweise|Diese Musikrichtung ist eine moderne Spielart des Jazz.|This musical genre is a modern variety of jazz.|Это музыкальное направление представляет собой современную разновидность джаза.|Diese Musikrichtung ist eine moderne Variante des Jazz.|eine neue Spielart; eine Spielart des Kapitalismus; die Spielart des Fußballs|Often used figuratively to denote variations, sub-genres, or specific manifestations of abstract concepts (e.g. 'Spielarten des Humors').
spielen|Spielautomat|C1|18762|slot machine; arcade game machine|игровой автомат|Daddelautomat; Geldspielautomat; Slotmaschine|Er verlor sein ganzes Geld am Spielautomaten.|He lost all his money on the slot machine.|Он проиграл все свои деньги в игровом автомате.|Er verlor sein ganzes Geld am Geldspielautomaten.|am Spielautomaten spielen; Spielautomat in der Kneipe; Münzen in den Spielautomaten werfen|Commonly found in pubs, casinos, or specialized arcades (Spielhallen). Often associated with gambling and slots.
spielen|Spielball|C2|23259|match ball; plaything (figurative)|игровой мяч; пешка / игрушка (в чужих руках)|Ball; Spielzeug; Werkzeug|Die kleine Nation wurde zum Spielball der Großmächte.|The small nation became a plaything of the great powers.|Маленькое государство стало игрушкой в руках великих держав.|Die kleine Nation wurde zum Spielzeug der Großmächte.|zum Spielball werden; Spielball der Wellen; Spielball politischer Interessen|Can mean a literal ball used in a game, but is very frequently used figuratively ('Spielball von/der... sein/werden') meaning to be helpless against external forces.
spielen|Spielbank|C1|19011|casino|казино; игорный дом|Casino; Spielcasino; Kasino|Am Wochenende besuchten sie die berühmte Spielbank in Baden-Baden.|On the weekend they visited the famous casino in Baden-Baden.|В выходные они посетили знаменитое казино в Баден-Бадене.|Am Wochenende besuchten sie das berühmte Spielcasino in Baden-Baden.|die staatliche Spielbank; eine Spielbank besuchen; Spielbank Wiesbaden|'Spielbank' is the traditional, formal German term for a licensed, state-supervised gambling casino, whereas 'Casino' or 'Spielcasino' is more international.
spielen|Spielbein|C2|104723|free leg (non-supporting leg in dance/stance/sculpture)|свободная нога (в танце, скульптуре)|Schwungbein|Beim Stehen verlagert man das Gewicht auf das Standbein, während das Spielbein entlastet wird.|When standing, one shifts the weight to the supporting leg while the free leg is relieved.|При стоянии вес переносится на опорную ногу, в то время как свободная нога расслабляется.|Beim Stehen verlagert man das Gewicht auf das Standbein, während das Schwungbein entlastet wird.|Standbein und Spielbein; das Spielbein entlasten|Originates from classical sculpture (contrapposto) but is also used in dance and gymnastics. Colloquially, it is used in contrast with 'Standbein' (main business/stability) to mean a secondary, creative project.
spielen|Spielberechtigung|C2|42644|eligibility to play; playing license|право на участие в игре; лицензия игрока|Spielerlaubnis; Spielrecht|Der Neuzugang hat noch keine Spielberechtigung für das nächste Spiel.|The new signing does not yet have eligibility to play for the next match.|У нового игрока пока нет права на участие в следующем матче.|Der Neuzugang hat noch keine Spielerlaubnis für das nächste Spiel.|eine Spielberechtigung erhalten; die Spielberechtigung entziehen; vorläufige Spielberechtigung|An official sports administration term. Commonly used when players transfer between clubs and wait for their formal clearance.
spielen|Spielbrett|C2|51208|game board|игровая доска (поле)|Spielfeld; Brett|Die Figuren werden auf das Spielbrett gestellt.|The figures are placed on the game board.|Фигурки расставляются на игровой доске.|Die Figuren werden auf das Brett gestellt.|ein hölzernes Spielbrett; auf dem Spielbrett; Spielbrett ausklappen|Refers specifically to the physical cardboard or wooden board used in board games (Brettspiele).
spielen|Spielcasino|C2|43655|casino|казино|Spielbank; Kasino|Sie gewannen eine große Summe im Spielcasino.|They won a large sum at the casino.|Оны выиграли крупную сумму в казино.|Sie gewannen eine große Summe in der Spielbank.|ins Spielcasino gehen; Spielcasino Monte Carlo|Synonymous with 'Spielbank', but has a slightly more modern, international tone.
spielen|Spieldose|C2|90758|music box|музыкальная шкатулка|Spieluhr; Musikdose|Die alte Spieldose spielte eine sanfte Melodie.|The old music box played a gentle melody.|Старая музыкальная шкатулка играла нежную мелодию.|Die alte Spieluhr spielte eine sanfte Melodie.|eine Spieldose aufziehen; hölzerne Spieldose; Spieldose mit Melodie|Often used for small, mechanical boxes that play music, frequently featuring rotating figurines. 'Spieluhr' is a highly common synonym.
