word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
fehlen|fehlen|B1|484|to be missing; to lack; to be absent|отсутствовать; не хватать; недоставать|mangeln; abwesend sein; vermissen|Mir fehlen die Worte.|I am at a loss for words.|У меня нет слов.|Ich bin sprachlos.|an Geld fehlen; unentschuldigt fehlen; im Unterricht fehlen; es fehlt an Mut|Commonly takes a dative object indicating who experiences the lack (e.g., 'mir fehlt...'). When meaning 'to lack', it is often used impersonally with the preposition 'an' + dative (e.g., 'Es fehlt an Geduld').
fehlen|fehlbar|C2|47791|fallible; errant|ошибочный; склонный к ошибкам; заблуждающийся|unvollkommen; irrtumsfähig; sündhaft|Jeder Mensch ist fehlbar.|Every human being is fallible.|Каждый человек совершает ошибки.|Jedes menschliche Wesen kann Irrtümer begehen.|ein fehlbarer Mensch; die fehlbare Natur; menschlich und fehlbar|An adjective mostly used in philosophical, theological, or formal contexts to express that human beings are naturally capable of making mistakes. The opposite is 'unfehlbar' (infallible).
fehlen|Fehlbesetzung|C2|54169|miscasting; wrong appointment; bad hire|неудачный выбор (актёра или сотрудника); неподходящий человек на должности|Fehlgriff; Fehlentscheidung; falsche Besetzung|Der neue Minister erwies sich als absolute Fehlbesetzung.|The new minister turned out to be an absolute miscasting.|Новый министр оказался абсолютно неподходящим человеком на этой должности.|Der neue Minister stellte sich als ein totaler Fehlgriff heraus.|eine absolute Fehlbesetzung sein; sich als Fehlbesetzung herausstellen; eine personelle Fehlbesetzung|Originally from theater and film (meaning casting the wrong actor), it is now widely used in politics, business, and daily environments to describe someone who is highly unsuitable or incompetent for their assigned job.
fehlen|Fehlbetrag|C1|15144|deficit; shortage; deficit amount|дефицит; недостача; недостающая сумма|Defizit; Manko; Minus; Fehlsumme|Die Kasse weist einen erheblichen Fehlbetrag auf.|The cash register shows a significant deficit.|В кассе обнаружена значительная недостача.|In der Kasse gibt es ein erhebliches Defizit.|einen Fehlbetrag aufweisen; den Fehlbetrag ausgleichen; finanzieller Fehlbetrag; Fehlbetrag im Haushalt|Primarily used in bookkeeping, budgeting, and corporate/public financial contexts. It is frequently paired with verbs like 'ausgleichen' (to balance/offset) or 'aufweisen' (to exhibit/show).
fehlen|Fehldiagnose|C2|65993|misdiagnosis; wrong diagnosis|ошибочный диагноз; неверный диагноз|Falschdiagnose; Fehldiagnostik|Eine Fehldiagnose kann lebensgefährliche Folgen haben.|A misdiagnosis can have life-threatening consequences.|Ошибочный диагноз может иметь опасные для жизни последствия.|Eine Falschdiagnose kann lebensbedrohliche Konsequenzen nach sich ziehen.|eine Fehldiagnose stellen; fatale Fehldiagnose; die Fehldiagnose korrigieren|Strictly used in medical contexts. Typically constructed with the verb 'stellen' (e.g., 'eine Diagnose/Fehldiagnose stellen' - to make a diagnosis/misdiagnosis).
fehlen|Fehler|B1|1015|mistake; error; fault|ошибка; погрешность; дефект|Irrtum; Versehen; Makel; Defekt; Schnitzer|Aus Fehlern kann man lernen.|One can learn from mistakes.|На ошибках учатся.|Durch Irrtümer kann man dazulernen.|einen Fehler machen; einen Fehler begehen; grober Fehler; technischer Fehler; fehlerfrei|A very common noun. 'Einen Fehler machen' is the standard conversational phrase, while 'einen Fehler begehen' is more formal. It can refer to human errors, logical fallacies, or physical defects in machinery/software.
fehlen|Fehlinvestition|C2|47378|bad investment; misinvestment|неудачная инвестиция; невыгодное вложение денег|Fehlanlage; Verlustgeschäft; Geldverschwendung|Der Kauf dieser Aktien war eine Fehlinvestition.|Buying these shares was a bad investment.|Покупка этих акций была неудачной инвестицией.|Der Erwerb dieser Wertpapiere war ein Verlustgeschäft.|sich als Fehlinvestition erweisen; teure Fehlinvestition; Fehlinvestition von Steuergeldern|Used in financial, macroeconomic, and personal budgeting contexts. It emphasizes that resources or capital were deployed into something that yields no profit or value.
fehlen|Fehlleistung|C2|33839|aberration; slip; failure; parapraxis|ошибка; оплошность; промах; действие наперекор намерению|Missgriff; Fehltritt; Schnitzer; Ausrutscher|Das peinliche Missgeschick war eine klassische Fehlleistung.|The embarrassing mishap was a classic slip.|Эта неловкая оплошность была классическим промахом.|Das peinliche Missgeschick war ein klassischer Fehltritt.|kognitive Fehlleistung; Fehlleistung des Gehirns; freudsche Fehlleistung|In psychology (psychoanalysis), a 'freudsche Fehlleistung' is a Freudian slip. In everyday German, it has broadened to mean any significant failure of performance, judgment, or physical coordination.
fehlen|Fehlplanung|C2|47732|bad planning; misplanning|ошибочное планирование; просчёт в планировании|Planungsfehler; Fehlprojektierung|Das Projekt scheiterte wegen gravierender Fehlplanung.|The project failed because of serious misplanning.|Проект провалился из-за серьёзных просчётов в планировании.|Das Projekt scheiterte aufgrund gravierender Planungsfehler.|finanzielle Fehlplanung; gravierende Fehlplanung; eine Fehlplanung korrigieren|Commonly used in project management, politics, public infrastructure discussions, and business strategy to blame failures on inadequate or incorrect initial planning.
fehlen|Fehlstart|C1|16998|false start; bad start|фальстарт; неудачный старт|missglückter Start; Fehlbeginn|Dem Läufer unterlief ein Fehlstart.|The runner made a false start.|Бегун совершил фальстарт.|Dem Läufer passierte ein Fehlbeginn.|einen Fehlstart hinlegen; einen Fehlstart verursachen; sportlicher Fehlstart; Fehlstart in die Saison|Originally a sports term (athletics, swimming). Figuratively used in business, politics, and school/career contexts to denote an early, problematic start that requires beginning again. Often paired with 'hinlegen' (to pull off / make).
