word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
formen|formen|B2|5470|to shape; to mold; to form|формировать; придавать форму; лепить|gestalten; prägen; bilden; modellieren|Der Töpfer muss den Ton vorsichtig formen.|The potter must carefully shape the clay.|Гончар должен осторожно придавать форму глине.|Der Töpfer muss den Ton vorsichtig modellieren.|den Ton formen; den Teig formen; den Charakter formen; eine Meinung formen|'Formen' refers to physically shaping materials (clay, dough) or abstractly forming things like character, opinions, or a group. It is transitive and requires an accusative object.
formen|formbar|C2|57703|malleable; moldable; plastic|пластичный; поддающийся формовке; податливый|gestaltbar; modulierbar; plastisch; biegsam|Warmes Wachs ist sehr leicht formbar.|Warm wax is very easy to mold.|Теплый воск очень легко поддается формовке.|Warmes Wachs ist sehr leicht gestaltbar.|leicht formbar; schwer formbar; formbares Material; formbarer Charakter|'Formbar' is used both physically (for materials like wax, metal, clay) and figuratively (for young minds, characters). It is an adjective.
formen|Formant|C2|159029|formant|форманта|Frequenzbereich; Klangbestandteil|In der Phonetik bestimmen Formanten den Klang von Vokalen.|In phonetics, formants determine the sound of vowels.|В фонетике форманты определяют звучание гласных.|In der Phonetik bestimmen Frequenzbereiche den Klang von Vokalen.|akustischer Formant; die Formanten analysieren; Formanten der Stimme|'Formant' is a highly technical term used in acoustics and linguistics (phonetics) to describe acoustic resonance of the human vocal tract.
formen|Format|B2|3660|format; stature; size|формат; масштаб; класс (человека)|Abmessung; Dimension; Ausmaß; Klasse; Niveau|Dieses Buch hat ein ungewöhnliches Format.|This book has an unusual format.|У этой книги необычный формат.|Dieses Buch hat eine ungewöhnliche Abmessung.|großes Format; gängiges Format; ein Politiker von Format; das Dateiformat|'Format' refers to physical sizes (of books, paper), digital file formats, or television show configurations. Figuratively, 'ein Mensch von Format' describes someone of great stature, character, or high quality.
formen|Former|C2|65352|shaper; molder|формовщик; создатель|Gestalter; Schöpfer; Modellierer; Formgießer|Der gelernte Former arbeitet in einer großen Gießerei.|The trained molder works in a large foundry.|Квалифицированный формовщик работает на крупном литейном заводе.|Der gelernte Formgießer arbeitet in einer großen Gießerei.|ein gelernter Former; Former in der Gießerei; der Former des Materials|'Former' can refer to a physical profession (an industrial caster or molder) or metaphorically to a 'shaper' of things (e.g., 'Former der Zukunft' - shaper of the future).
formen|Formung|C2|59664|shaping; formation; molding|формирование; формообразование; становление|Gestaltung; Bildung; Modellierung; Ausformung|Die Formung des Charakters beginnt in der frühen Kindheit.|The shaping of character begins in early childhood.|Формирование характера начинается в раннем детстве.|Die Bildung des Charakters beginnt in der frühen Kindheit.|geistige Formung; sprachliche Formung; Formung der Persönlichkeit; ästhetische Formung|'Formung' is a nominalization of 'formen' and usually represents the process of shaping, whether physically, intellectually, or socially. It has a formal, academic tone.
formen|abformen|C2|131782|to mold; to take a cast of; to replicate using a mold|делать слепок; снимать форму|abgießen; kopieren; replizieren; nachbilden|Der Bildhauer möchte das Gesicht des Modells mit Gips abformen.|The sculptor wants to make a plaster cast of the model's face.|Скульптор хочет сделать гипсовый слепок с лица модели.|Der Bildhauer möchte das Gesicht des Modells mit Gips abgießen.|eine Maske abformen; ein Relief abformen; mit Gips abformen|'Abformen' is a separable verb (formt ab, formte ab, abgeformt) specifically meaning to copy or take an impression of something using a molding substance (like plaster, silicone, or clay).
formen|ausformen|C2|71734|to shape fully; to flesh out; to elaborate|оформлять; полностью сформировать; проработать детально|ausarbeiten; ausgestalten; konkretisieren; vollenden|Der Autor muss die Charaktere in seinem Roman noch besser ausformen.|The author needs to flesh out the characters in his novel even better.|Автору нужно еще лучше проработать персонажей в своем романе.|Der Autor muss die Charaktere in seinem Roman noch besser ausarbeiten.|einen Gedanken ausformen; Details ausformen; eine Strategie ausformen|'Ausformen' is a separable verb. It means to shape something completely, giving it its final structure or details, either physically (e.g., molding glass) or metaphorically (ideas, styles, concepts).
formen|durchformen|C2|145809|to shape thoroughly; to mold completely|полностью проработать форму; всецело сформировать|durchgestalten; durcharbeiten; durchbilden|Das Kunstwerk war bis ins kleinste Detail harmonisch durchgeformt.|The artwork was harmoniously shaped down to the smallest detail.|Произведение искусства было гармонично проработано до мельчайших деталей.|Das Kunstwerk war bis ins kleinste Detail harmonisch durchgearbeitet.|ein durchgeformter Körper; künstlerisch durchformen; stilistisch durchformen|'Durchformen' is a separable verb usually used in the past participle ('durchgeformt') as an adjective. It means that something (a body, a text, a sculpture) has been completely and thoroughly given structure and definition.
formen|nachformen|C2|121788|to copy; to replicate; to reproduce the shape of|воссоздавать форму; копировать; воспроизводить|nachbilden; kopieren; imitieren; nachmachen|Er versuchte, die antike Vase originalgetreu nachzuformen.|He tried to replicate the ancient vase true to the original.|Он пытался в точности воссоздать форму древней вазы.|Er versuchte, die antike Vase originalgetreu nachzubilden.|eine Skulptur nachformen; die Natur nachformen; originalgetreu nachformen|'Nachformen' is a separable verb signifying the replication or copying of an already existing shape or object.
formen|überformen|C2|97103|to overprint; to reshape; to reshape and cover up|трансформировать; накладывать новый слой; видоизменять|überprägen; umgestalten; überdecken; verändern|Die Landschaft wurde durch die Eiszeit stark überformt.|The landscape was heavily reshaped by the ice age.|Ландшафт был сильно изменен ледниковым периодом.|Die Landschaft wurde durch die Eiszeit stark überprägt.|geologisch überformt; historisch überformt; von einer Kultur überformt|'Überformen' is an inseparable verb (überformt, überformte, überformt). It means to superimpose a new shape or structure onto an existing one, often hiding or altering the original. Highly common in geology, history, and cultural studies.
formen|umformen|C2|52901|to reshape; to transform; to convert|преобразовывать; реконструировать; переделывать|umwandeln; reformieren; umgestalten; transformieren|Man kann die Energie von Wind in Strom umformen.|You can convert wind energy into electricity.|Можно преобразовывать энергию ветра в электричество.|Man kann die Energie von Wind in Strom umwandeln.|Sätze umformen; Metall umformen; elektrische Spannung umformen|'Umformen' is a separable verb. It means changing the physical, structural, or grammatical form of something. Commonly used in metalworking (forming), grammar (rewriting sentences), and physics/engineering (voltage conversion).
formen|verformen|C2|36443|to deform; to distort; to warp|деформировать; искажать; коробиться|deformieren; verzerren; verbiegen; verziehen|Bei starker Hitze kann sich Kunststoff leicht verformen.|Plastic can easily deform in high heat.|При сильном нагревании пластик может легко деформироваться.|Bei starker Hitze kann sich Kunststoff leicht deformieren.|sich elastisch verformen; sich plastisch verformen; durch Hitze verformen|'Verformen' is an inseparable, reflexive or transitive verb. It typically carries a slightly negative connotation of losing the original, correct shape (deformation), although in engineering 'elastische Verformung' (elastic deformation) is neutral.
formen|vorformen|C2|119598|to preform; to rough out|предварительно формировать; делать заготовку|vorbereiten; vorentwerfen; grob formen|Der Bäcker muss den Teig zuerst vorformen, bevor er ihn backt.|The baker must first preform the dough before baking it.|Пекарю сначала нужно предварительно придать форму тесту, прежде чем выпекать его.|Der Bäcker muss den Teig zuerst grob formen, bevor er ihn backt.|das Metall vorformen; den Teig vorformen; ein Werkstück vorformen|'Vorformen' is a separable verb meaning to give an initial or preliminary shape to something before the final processing step. Used in baking, industrial manufacturing, and crafts.
