word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
heben|heben|B1|1840|to lift; to raise|поднимать; повышать|anheben; hochheben; steigern|Er konnte die schwere Kiste kaum heben.|He could hardly lift the heavy box.|Он едва мог поднять тяжелый ящик.|Er konnte die schwere Kiste kaum hochheben.|ein Glas heben; die Arme heben; Schätze heben; den Kopf heben|heben is a strong verb (hob, gehoben). It is used physically for lifting weights, and metaphorically for raising standards, morale, or mood.
heben|überheblich|C1|22401|arrogant; haughty; conceited|высокомерный; надменный|arrogant; herablassend; eingebildet; hochmütig|Seine überhebliche Art verärgert viele Kollegen.|His arrogant manner annoys many colleagues.|Его высокомерное поведение раздражает многих коллег.|Seine arrogante Art verärgert viele Kollegen.|ein überhebliches Auftreten; überheblich wirken; überhebliche Bemerkungen|An adjective describing behavior or attitude. Derived from 'sich überheben' (to overrate oneself). It carries a strong negative connotation.
heben|gehoben|B2|9195|upscale; sophisticated; elevated; select|приподнятый; изысканный; повышенный|anspruchsvoll; exklusiv; elegant; feierlich|Sie suchten ein Restaurant für gehobene Ansprüche.|They were looking for a restaurant for sophisticated demands.|Они искали ресторан для повышенных требований.|Sie suchten ein Restaurant für anspruchsvolle Gäste.|gehobene Stimmung; gehobene Gastronomie; gehobener Dienst; gehobene Sprache|Originally the past participle of 'heben', now used as an adjective meaning 'high-class', 'refined', or 'elevated' (socially or stylistically).
heben|Hebung|C2|32179|lifting; raise; elevation; stressed syllable (metrics)|подъем; повышение; ударение (в стихе)|Erhöhung; Steigerung; Anhebung|Die Hebung des Leitzinses war überraschend.|The raising of the benchmark interest rate was surprising.|Повышение ключевой процентной ставки было неожиданным.|Die Anhebung des Leitzinses war überraschend.|geologische Hebung; Hebung des Lebensstandards; Hebung und Senkung|A noun denoting the act of raising or elevating. In linguistics/poetry, 'Hebung' refers to the stressed syllable in verse (as opposed to 'Senkung').
heben|Hub|C1|13599|stroke (of piston); lift; displacement|ход поршня; подъем; рабочий ход|Hubhöhe; Kolbenweg; Auftrieb|Der Hub des Kolbens beträgt zehn Zentimeter.|The stroke of the piston is ten centimeters.|Ход поршня составляет десять сантиметров.|Der Kolbenweg beträgt zehn Zentimeter.|Hub und Senkung; Hubvolumen; Hubkolbenmotor|Chiefly a technical term referring to the movement of a piston (stroke) or displacement. Do not confuse with the English 'hub' (center), which is 'Drehkreuz' or 'Knotenpunkt'.
heben|Hebamme|B2|9020|midwife|акушерка; повивальная бабка|Geburtshelferin|Die Hebamme unterstützte die junge Mutter bei der Geburt.|The midwife supported the young mother during the birth.|Акушерка помогала молодой маме при родах.|Die Geburtshelferin unterstützte die junge Mutter bei der Geburt.|freiberufliche Hebamme; eine Hebamme rufen; Hebammenpraxis|Historically derived from 'hebe-amme' (the nurse who lifts the newborn). Today it is the standard and official term for a midwife.
heben|Hebe|B1|80641|hebe (plant); Hebe (goddess of youth)|хебе (растение); Геба (богиня)|Strauchveronica|Die Hebe blüht im Garten wunderschön.|The hebe is blooming beautifully in the garden.|Хебе красиво цветет в саду.|Die Strauchveronica blüht im Garten wunderschön.|Hebe im Garten; immergrüne Hebe|Usually refers to the plant genus 'Hebe' (shrubby veronica), or the Greek goddess of youth. The high frequency rank is partly due to names and botanical contexts.
heben|Hebebalken|C2|222168|lifting beam; balance beam (locks)|балансир шлюзовых ворот; подъемный брус|Hebelarm; Waagebalken|Der Hebebalken des Schleusentors muss erneuert werden.|The balance beam of the lock gate needs to be replaced.|Балансир шлюзовых ворот необходимо заменить.|Der Waagebalken des Schleusentors muss erneuert werden.|hölzerner Hebebalken; Hebebalken der Schleuse|A highly specific technical term, most commonly used in historical lock construction or heavy duty rigging.
heben|Hebebaum|C2|192536|handspike; wooden lever; pry bar|вага; подъемный рычаг; аншпуг|Hebel; Brechstange; Hebestange|Mit einem Hebebaum wuchteten sie den schweren Stein beiseite.|With a wooden lever, they pried the heavy stone aside.|С помощью ваги они сдвинули тяжелый камень в сторону.|Mit einem Hebel wuchteten sie den schweren Stein beiseite.|Hebebaum aus Holz; Hebebaum ansetzen|A traditional, manual lever made of wood, used for heavy prying. Rarely used in modern contexts, where steel levers or hydraulic jacks are preferred.
heben|Hebebock|C2|197200|jack; lifting jack; trestle jack|домкрат; подъемный козел; подъемник|Wagenheber; Hebezeug; Hebevorrichtung|Die Arbeiter platzierten den Hebebock unter der Lokomotive.|The workers placed the lifting jack under the locomotive.|Рабочие установили домкрат под локомотив.|Die Arbeiter platzierten den Wagenheber unter der Lokomotive.|hydraulischer Hebebock; fahrbarer Hebebock|A technical device, usually mechanical or hydraulic, designed to lift very heavy loads (like railway cars or machinery) from below.
