word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
zahlen|zahlen|A2|724|to pay|платить, оплачивать|bezahlen; entrichten; blechen|Ich muss heute die Rechnung zahlen.|I have to pay the bill today.|Мне нужно сегодня оплатить счет.|Ich muss heute die Rechnung bezahlen.|Steuern zahlen; bar zahlen; eine Strafe zahlen; barzahlen|'zahlen' is more abstract and formal than 'bezahlen'. It is often used with quantities, taxes, or general transactions (e.g., 'Steuern zahlen', 'bar zahlen'). Unlike 'bezahlen', it is rarely used with a direct personal object without 'an' (e.g., 'an jemanden zahlen').
zahlen|abzahlen|C2|45064|to pay off, pay in installments|выплачивать, гасить (долг), выплачивать частями|tilgen; abstottern; zurückzahlen|Sie muss den Kredit in monatlichen Raten abzahlen.|She has to pay off the loan in monthly installments.|Она должна выплачивать кредит ежемесячными платежами.|Sie muss den Kredit in monatlichen Raten tilgen.|einen Kredit abzahlen; Schulden abzahlen; in Raten abzahlen|'abzahlen' refers to paying off a debt or loan gradually over time, usually in installments. Often colloquially replaced by the informal 'abstottern'.
zahlen|anzahlen|C2|87996|to make a down payment, pay a deposit|делать первый взнос, давать задаток|eine Anzahlung leisten; vorausbezahlen; anleisten|Wir mussten das neue Auto mit zweitausend Euro anzahlen.|We had to make a down payment of two thousand euros on the new car.|Нам пришлось внести первый взнос за новый автомобиль в размере двух тысяч евро.|Wir mussten für das neue Auto eine Anzahlung von zweitausend Euro leisten.|ein Auto anzahlen; die Hälfte anzahlen; eine Summe anzahlen|'anzahlen' means to make an initial payment (down payment) for a purchase, with the rest of the sum to be paid later.
zahlen|aufzahlen|C2|146641|to pay extra, pay a surcharge, pay a premium|доплачивать, приплачивать|draufzahlen; zuzahlen; extra bezahlen|Wenn Sie ein Einzelzimmer möchten, müssen Sie fünfzig Euro aufzahlen.|If you want a single room, you have to pay fifty euros extra.|Если вы хотите одноместный номер, вам придется доплатить пятьдесят евро.|Wenn Sie ein Einzelzimmer möchten, müssen Sie fünfzig Euro draufzahlen.|einen Aufpreis aufzahlen; extra aufzahlen; bar aufzahlen|'aufzahlen' is common in Austrian and Southern German contexts, meaning to pay an additional amount (surcharge/premium) to upgrade or get something better. Often equivalent to 'zuzahlen'.
zahlen|auszahlen|B2|5662|to pay out, disburse, pay off (be worthwhile)|выплачивать, выдавать (деньги); окупаться (sich auszahlen)|ausrichten; lohnen; sich rentieren; flüssigmachen|Das harte Training hat sich am Ende ausgezahlt.|The hard training paid off in the end.|Упорные тренировки в итоге окупились.|Das harte Training hat sich am Ende gelohnt.|sich auszahlen; einen Gewinn auszahlen; Bargeld auszahlen|Active 'auszahlen' means to hand over money physically or via transfer (e.g., wages, prize money). The reflexive 'sich auszahlen' is extremely common and means 'to be worth it' or 'to pay off' (synonymous with 'sich lohnen').
zahlen|bezahlen|A1|993|to pay, pay for|оплачивать, платить|zahlen; entrichten; begleichen|Ich werde das Mittagessen bezahlen.|I will pay for the lunch.|Я оплачу обед.|Ich werde das Mittagessen begleichen.|die Rechnung bezahlen; bar bezahlen; gut bezahlt sein|'bezahlen' is transitive and usually requires an object (what is paid, e.g., 'die Rechnung', 'das Essen', or the person paid, e.g., 'den Kellner'). It is the most common everyday verb for paying.
zahlen|draufzahlen|C2|44578|to lose money (on a deal), pay extra, pay from one's own pocket|доплачивать, нести убытки, приплачивать из своего кармана|zuzahlen; Verlust machen; drauflegen|Bei diesem Geschäft haben wir am Ende nur draufgezahlt.|In this business deal, we ended up only losing money.|В этой сделке в итоге мы только понесли убытки.|Bei diesem Geschäft haben wir am Ende nur Verlust gemacht.|kräftig draufzahlen; bei einem Geschäft draufzahlen|'draufzahlen' is colloquial. It has two main senses: either paying more than expected (surcharge) or, more commonly, making a financial loss on an investment or trade (opposite of making a profit).
zahlen|einzahlen|C1|11078|to deposit, pay in|вносить (деньги на счет), делать взнос|deponieren; überweisen; einzahlen auf|Er möchte Geld auf sein Sparkonto einzahlen.|He wants to deposit money into his savings account.|Он хочет положить деньги на свой сберегательный счет.|Er möchte Geld auf sein Sparkonto deponieren.|Geld einzahlen; auf ein Konto einzahlen; bar einzahlen|'einzahlen' is specifically used for putting money into a bank account or making a contribution to a fund (like a pension fund). Note the preposition: 'auf ein Konto einzahlen' (Accusative).
zahlen|fortzahlen|C2|111021|to continue to pay|продолжать выплачивать|weiterzahlen; fortlaufend zahlen|Der Arbeitgeber muss das Gehalt im Krankheitsfall fortzahlen.|The employer must continue to pay the salary in case of illness.|Работодатель обязан продолжать выплачивать заработную плату в случае болезни.|Der Arbeitgeber muss das Gehalt im Krankheitsfall weiterzahlen.|Lohn fortzahlen; Gehalt fortzahlen; Bezüge fortzahlen|'fortzahlen' is highly formal and mostly used in legal and employment contexts, especially regarding the continuation of wage payments ('Entgeltfortzahlung') during sick leave or holidays.
zahlen|heimzahlen|C2|65745|to pay back, get revenge on, retaliate|отомстить, отплатить той же монетой|rächen; vergelten; sich rächen an|Ich werde es ihm eines Tages heimzahlen.|I will get back at him one day.|Я когда-нибудь отплачу ему за это.|Ich werde mich an ihm eines Tages rächen.|es jemandem heimzahlen; bitter heimzahlen|'heimzahlen' is figurative and idiomatic, meaning to get revenge. It takes a dative object for the person and 'es' as the accusative object ('jemandem etwas heimzahlen' or simply 'es jemandem heimzahlen').
