word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
binden|gebunden|C2|223215|bound; committed; hardcover (book)|связанный; обязанный; в твердом переплете|verpflichtet; unfrei; hardback|Das Buch ist gebunden und kostet mehr.|The book is hardcover and costs more.|Книга в твердом переплете и стоит дороже.|Das Buch hat einen festen Einband und kostet mehr.|gebundenes Buch; an ein Versprechen gebunden; zeitlich gebunden sein|Participle of 'binden' used as an adjective. It refers either to physical books (hardcover) or moral/legal/temporal obligations.
binden|ungebunden|C2|249674|unbound; free; uncommitted|свободный; несвязанный; без обязательств|frei; unabhängig; flexibel|Er genießt sein ungebundenes Leben.|He enjoys his uncommitted life.|Он наслаждается своей свободной жизнью.|Er genießt sein freies Leben.|ungebunden leben; völlig ungebunden sein; ungebundene Ausgabe|Adjective. Opposite of 'gebunden'. Often describes a person who has no family or professional constraints/obligations.
binden|unverbindlich|B2|6479|non-binding; without obligation; tentative|ни к чему не обязывающий; необязательный|freibleibend; ohne Gewähr; fakultativ|Das Angebot ist völlig unverbindlich.|The offer is completely non-binding.|Это предложение ни к чему не обязывает.|Das Angebot ist ohne Verpflichtung.|ein unverbindliches Angebot; eine unverbindliche Auskunft; unverbindlich zusagen|Adjective. Very common in business and daily life when making plans or offers without contractually committing oneself.
binden|verbindlich|B2|4985|binding; obligatory; polite|обязательный; связывающий; вежливый|verpflichtend; obligatorisch; höflich|Die Zusage ist für beide Seiten verbindlich.|The agreement is binding for both sides.|Согласие является обязательным для обеих сторон.|Die Zusage ist für beide Seiten verpflichtend.|ein verbindliches Angebot; verbindliche Regeln; sich verbindlich äußern|Adjective. 'Verbindlich' means legally or morally binding. In a second, more formal context, it can mean 'polite' or 'obliging' (e.g., 'ein verbindliches Lächeln').
binden|Verbindlichkeit|C1|9885|commitment; liability; binding nature|обязательность; обязательство; пассивы|Verpflichtung; Schuld; Verbindungscharakter|Wir schätzen die Verbindlichkeit Ihrer Zusagen.|We value the binding nature of your promises.|Мы ценим обязательность ваших обещаний.|Wir schätzen die Verlässlichkeit Ihrer Zusagen.|finanzielle Verbindlichkeiten; rechtliche Verbindlichkeit; Verbindlichkeiten eingehen|Noun, feminine. Plural 'Verbindlichkeiten' is very common in financial contexts meaning 'liabilities/debts'. In singular, it means 'reliability' or 'binding character'.
binden|Verbindung|A2|911|connection; link; contact; compound|связь; соединение; контакт; химическое соединение|Verknüpfung; Kontakt; Zusammenhalt|Ich habe leider eine schlechte Verbindung.|Unfortunately, I have a poor connection.|К сожалению, у меня плохая связь.|Ich habe leider eine schlechte Netzqualität.|in Verbindung setzen; in Verbindung bringen; chemische Verbindung; Internetverbindung|Noun, feminine. Common across internet context, telecommunication, chemistry, and personal relationships.
binden|Angebinde|C2|158648|birthday gift; present|подарок на день рождения|Geschenk; Gabe; Geburtstagsgeschenk|Sie überreichte ihm ein schönes Angebinde.|She handed him a beautiful birthday gift.|Она вручила ему прекрасный подарок на день рождения.|Sie überreichte ihm ein schönes Geschenk.|ein reichliches Angebinde; Angebinde zum Geburtstag|Noun, neuter. Very poetic or old-fashioned term for a gift, especially for a birthday. Rarely used in modern colloquial German.
binden|Ausbund|C2|75107|epitome; paragon; personification|воплощение; верх; образчик|Inbegriff; Paradebeispiel; Musterbild|Dieser Junge ist ein Ausbund an Frechheit.|This boy is the epitome of insolence.|Этот мальчик — просто верх наглости.|Dieser Junge ist der Inbegriff von Frechheit.|ein Ausbund an Hässlichkeit; ein Ausbund an Tugend; ein Ausbund an Frechheit|Noun, masculine. Usually used in the construction 'ein Ausbund an + Dative noun', indicating an extreme example of a certain trait (often negative or ironic).
binden|Band|A2|684|ribbon; tape; volume; bond|лента; том; узы|Streifen; Schleife; Buchband; Fessel|Das rote Band schmückt das Geschenk.|The red ribbon decorates the gift.|Красная лента украшает подарок.|Die rote Schleife schmückt das Geschenk.|ein Band im Haar; am laufenden Band; das Band der Freundschaft; ein dicker Band|Noun. Extremely tricky as it has three genders/meanings: 'das Band' (ribbon/tape), 'der Band' (volume of a book), and 'die Bande' (gang, or bonds of friendship in plural).
binden|Binde|B1|23085|sanitary pad; bandage; armband|гигиеническая прокладка; повязка|Damenbinde; Bandage; Armbinde|Der Schiedsrichter trägt eine gelbe Binde am Arm.|The referee is wearing a yellow armband.|Судья носит желтую повязку на руке.|Der Schiedsrichter trägt eine gelbe Armbinde.|eine Binde tragen; Damenbinde; Trauerbinde; Kapitänsbinde|Noun, feminine. Today, most commonly used to refer to 'Damenbinde' (sanitary napkin), but also denotes medical bandages or armbands worn by officials.
binden|Bindegarn|C2|143277|string; twine; binding yarn|бечевка; шпагат; нить для связывания|Bindfaden; Kordel; Spagat; Garn|Er schnürte das Paket mit festem Bindegarn zu.|He tied the package with strong twine.|Он завязал посылку прочной бечевкой.|Er schnürte das Paket mit festem Bindfaden zu.|reißfestes Bindegarn; Bindegarn benutzen|Noun, neuter. A specific type of strong thread or twine used for packing, agricultural binding, or tying goods.
binden|Binder|C1|12805|necktie; binder; chemical binder|галстук; переплетчик; связующее вещество|Krawatte; Schlips; Bindemittel|Er trägt heute einen eleganten Binder.|He is wearing an elegant necktie today.|Сегодня на нем элегантный галстук.|Er trägt heute eine elegante Krawatte.|einen Binder tragen; farbiger Binder|Noun, masculine. In clothing, 'Binder' is an older or regional German term for a necktie. In construction, it refers to binding materials or structures.
binden|Buchbinder|C2|37716|bookbinder|книжный переплетчик|Handbuchbinder|Der Buchbinder reparierte das alte Buch.|The bookbinder repaired the old book.|Переплетчик отремонтировал старую книгу.|Der Handwerker reparierte das alte Buch.|der Beruf des Buchbinders; Buchbinder-Handwerk|Noun, masculine. A craftsman who binds books. Traditional profession.
binden|Kabelbinder|C2|47749|cable tie; zip tie|кабельная стяжка; хомут для кабелей|Plastikbinder; Schnellbinder|Wir haben die Kabel mit einem Kabelbinder fixiert.|We secured the cables with a cable tie.|Мы зафиксировали кабели кабельной стяжкой.|Wir haben die Kabel mit einer Plastikschlaufe fixiert.|Kabelbinder aus Plastik; Kabelbinder festziehen; Kabelbinder lösen|Noun, masculine. A modern, extremely common term in DIY and electronics for plastic zip ties.
binden|Bindegewebe|C2|29746|connective tissue|соединительная ткань|Stützgewebe|Sport stärkt das menschliche Bindegewebe.|Exercise strengthens human connective tissue.|Спорт укрепляет соединительную ткань человека.|Sport stärkt das menschliche Stützgewebe.|schwaches Bindegewebe; Bindegewebe straffen; Bindegewebsschwäche|Noun, neuter. Medical and anatomical term. Often appears in commercial skincare and fitness contexts.
binden|Bindehaut|C2|84095|conjunctiva|конъюнктива|Konjunktiva|Seine Bindehaut ist stark gerötet.|His conjunctiva is very red.|Его конъюнктива сильно покраснела.|Seine Augenbindehaut ist stark gerötet.|Entzündung der Bindehaut; gereizte Bindehaut; Bindehautentzündung|Noun, feminine. Medical term. Most commonly seen in the compound 'Bindehautentzündung' (conjunctivitis / pink eye).
binden|Bindemittel|C2|37039|binder; binding agent; thickener|связующее вещество; загуститель|Dickungsmittel; Klebstoff; Binder|Stärke dient in der Küche als Bindemittel für Soßen.|Starch serves as a thickener for sauces in the kitchen.|Крахмал служит на кухне загустителем для соусов.|Stärke dient in der Küche als Dickungsmittel für Soßen.|natürliches Bindemittel; Bindemittel für Beton; Soße mit Bindemittel andicken|Noun, neuter. Used both in culinary contexts (thickeners like starch, gelatin) and construction or chemical contexts (cement, resin, glue).
binden|Binderei|C2|168654|bookbindery; flower arrangement shop|переплетная мастерская; мастерская флористики|Buchbinderei; Floristikgeschäft|Die Broschüren liegen noch in der Binderei.|The brochures are still in the bookbindery.|Брошюры всё еще находятся в переплетной мастерской.|Die Broschüren liegen noch in der Buchbinderei.|gewerbliche Binderei; in die Binderei liefern|Noun, feminine. Typically short for 'Buchbinderei' (bookbinder's shop) or sometimes 'Blumenbinderei' (florist's workshop where bouquets are made).
binden|Bindestrich|C2|45904|hyphen|дефис|Koppelungsstrich; Trennungsstrich|Man schreibt dieses Wort mit einem Bindestrich.|You write this word with a hyphen.|Это слово пишется через дефис.|Man schreibt dieses Wort mit einem Koppelungsstrich.|mit Bindestrich schreiben; Bindestrich-Name; Bindestrich weglassen|Noun, masculine. Orthographic term. Distinct from 'Gedankenstrich' (dash), which is longer.
binden|Bindewort|C2|148149|conjunction|союз|Konjunktion; Fügewort|Das Wort weil ist ein Bindewort.|The word 'weil' is a conjunction.|Слово 'weil' — это союз.|Das Wort weil ist eine Konjunktion.|ein einleitendes Bindewort; Bindewörter verwenden|Noun, neuter. Germanic grammatical term for 'Konjunktion'. Used primarily in primary school grammar instruction.
binden|Bindfaden|C2|62690|string; twine; cord|бечевка; шпагат; тонкая веревка|Kordel; Schnur; Bindegarn|Sie wickelte den Bindfaden um das Paket.|She wrapped the string around the package.|Она обмотала бечевку вокруг коробки.|Sie wickelte die Schnur um das Paket.|Bindfäden regnen; ein dünner Bindfaden; Bindfaden knoten|Noun, masculine. A thin but strong piece of string. Famously used in the idiom 'Es regnet Bindfäden' (It's raining cats and dogs).
