word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
zeigen|zeigen|A1|125|to show; to point|показывать; указывать|weisen; vorführen; demonstrieren|Er zeigt mir den Weg zum Bahnhof.|He shows me the way to the station.|Он показывает мне дорогу к вокзалу.|Er weist mir den Weg zum Bahnhof.|den Weg zeigen; Interesse zeigen; Gefühle zeigen; auf jemanden zeigen|A highly versatile and basic verb. It can mean 'to display' (often with dative object: 'jemandem etwas zeigen') or 'to point at' (with 'auf' + accusative: 'auf jemanden zeigen'). It can also be used reflexively ('sich zeigen') meaning 'to appear' or 'to prove to be'.
zeigen|anzeigen|B1|518|to report (to police); to display; to indicate|заявлять (в полицию); отображать; показывать (прибор)|melden; denunzieren; signalisieren; einblenden|Wir müssen den Diebstahl bei der Polizei anzeigen.|We must report the theft to the police.|Мы должны заявить о краже в полицию.|Wir müssen den Diebstahl bei der Polizei melden.|ein Verbrechen anzeigen; ein Gerät zeigt etwas an; einen Fehler anzeigen|'Anzeigen' is most commonly used in legal or official contexts meaning 'to report a crime' to authorities. In technical contexts, it means 'to display/indicate' (e.g., a screen displaying data). It is a separable verb.
zeigen|aufzeigen|B2|4340|to point out; to demonstrate; to show clearly|показывать; выявлять; демонстрировать; указывать на|darlegen; verdeutlichen; demonstrieren; hinweisen auf|Die Studie zeigt neue Perspektiven auf.|The study points out new perspectives.|Исследование показывает новые перспективы.|Die Studie legt neue Perspektiven dar.|Perspektiven aufzeigen; Probleme aufzeigen; Möglichkeiten aufzeigen; Zusammenhänge aufzeigen|Used primarily in formal, academic, or professional contexts. It means to clarify, outline, or demonstrate (especially abstract concepts like options, problems, or connections). It is a separable verb.
zeigen|bezeigen|C2|122724|to express; to manifest; to show (respect/sympathy)|выражать (чувства, почтение); выказывать|bekunden; ausdrücken; erweisen|Er bezeigte ihr sein tiefstes Beileid.|He expressed his deepest condolences to her.|Он выразил ей свои глубочайшие соболезнования.|Er bekundete ihr sein tiefstes Beileid.|Beileid bezeigen; Respekt bezeigen; Dankbarkeit bezeigen|Highly formal and elevated/archaic. Usually used to express abstract, formal feelings or attitudes like respect, sympathy, or condolence. In modern German, 'bekunden', 'ausdrücken', or 'erweisen' are much more common.
zeigen|emporzeigen|C2|252512|to point upward; to hold up (to show)|показывать вверх; поднимать и показывать|nach oben zeigen; hochhalten; emporhalten|Mit dem Finger zeigte er empor zum Himmel.|With his finger, he pointed up towards the sky.|Пальцем он указал вверх на небо.|Mit dem Finger zeigte er nach oben zum Himmel.|nach oben zeigen; mit dem Finger emporzeigen|Extremely rare and poetic/literary. Composed of 'empor' (upwards) and 'zeigen' (to point/show). It describes pointing or indicating something high up. It is a separable verb, usually replaced by 'nach oben zeigen' in everyday speech.
zeigen|erzeigen|C2|132145|to show; to render (a favor/honor)|оказывать (милость, честь, услугу); проявлять|erweisen; beweisen; erstatten|Sie wollte ihm eine letzte Gefälligkeit erzeigen.|She wanted to do him one last favor.|Она хотела оказать ему последнюю услугу.|Sie wollte ihm eine letzte Gefälligkeit erweisen.|eine Gefälligkeit erzeigen; Ehre erzeigen; Wohltat erzeigen|Elevated, literary style. Almost exclusively used with specific nouns in dative constructions (e.g., 'jemandem eine Gefälligkeit/Ehre erzeigen'). In contemporary German, 'erweisen' is much more common. It is not separable.
zeigen|herumzeigen|C2|104420|to show around; to pass around for viewing|показывать со всех сторон; передавать по кругу для показа; водить и показывать|herumführen; herumreichen; präsentieren|Sie zeigte die Fotos stolz in der Runde herum.|She proudly passed the photos around the group.|Она с гордостью показывала фотографии по кругу в компании.|Sie reichte die Fotos stolz in der Runde herum.|Fotos herumzeigen; Fundstücke herumzeigen; jemanden im Haus herumzeigen|Colloquial and informal. It means to show an object to multiple people in a group sequentially (passing it around) or to show someone around a place. It is a separable verb.
zeigen|herzeigen|C2|65054|to show; to produce; to display|показывать; предъявлять (для осмотра)|vorzeigen; präsentieren; zeigen|Lass mich mal dein neues Fahrrad herzeigen!|Let me see your new bike! / Show me your new bike!|Покажи-ка мне свой новый велосипед!|Lass mich mal dein neues Fahrrad sehen!|stolz herzeigen; den Ausweis herzeigen; etwas zum Herzeigen haben|Standard German in Austria and Southern Germany (regional), but colloquial elsewhere. It implies showing something proudly or handing it over briefly so someone can look at it. It is a separable verb.
zeigen|hinaufzeigen|C2|226139|to point up to|указывать вверх на|nach oben weisen; hochzeigen|Sie musste hinaufzeigen, um ihm das Nest zu erklären.|She had to point up to explain the nest to him.|Ей пришлось показать наверх, чтобы объяснить ему про гнездо.|Sie musste nach oben weisen, um ihm das Nest zu erklären.|mit dem Finger hinaufzeigen; zum Gipfel hinaufzeigen|A literal combination of 'hinauf' (upwards, away from speaker) and 'zeigen' (to point). Used to indicate pointing at something located higher up. It is a separable verb.
zeigen|hinunterzeigen|C2|237890|to point down to|указывать вниз на|nach unten weisen; hinabzeigen|Er trat an das Fenster und zeigte hinunter auf die Straße.|He stepped to the window and pointed down to the street.|Он подошел к окну и указал вниз на улицу.|Er trat an das Fenster und wies nach unten auf die Straße.|ins Tal hinunterzeigen; nach unten zeigen|A literal combination of 'hinunter' (downwards, away from speaker) and 'zeigen' (to point). Used to point at something located at a lower level. It is a separable verb.
