word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
liegen|liegen|A1|121|to lie, to be situated, to be located|лежать, находиться|sich befinden; ruhen; platziert sein|Das Buch liegt auf dem Tisch.|The book is lying on the table.|Книга лежит на столе.|Das Buch befindet sich auf dem Tisch.|am Herzen liegen; im Bett liegen; auf der Hand liegen; im Sterben liegen|'liegen' is a strong verb (liegt, lag, hat gelegen) describing a state or position (where? + dative). It is intransitive, in contrast to the transitive, weak verb 'legen' (to lay, which takes accusative: wohin?).
liegen|anliegen|B2|27900|to fit closely, to concern, to be a matter of interest, to be adjacent|прилегать, волновать, быть важным, быть приложенным|anpassen; passen; betreffen; am Herzen liegen|Mir liegt viel an deiner Meinung.|Your opinion matters a lot to me.|Мне очень важно твоё мнение.|Mir ist deine Meinung sehr wichtig.|eng anliegen; ein Anliegen haben; jemandem am Herzen liegen|'anliegen' is used for tight clothing (eng anliegen). Figuratively, the construction 'jemandem liegt an etwas (Dativ)' means something is highly important to someone. The noun 'das Anliegen' refers to a request or concern.
liegen|aufliegen|C2|40441|to lie on top, to be available for public viewing, to be exposed|лежать сверху, быть выставленным для публичного ознакомления, раскрыться (о тайнах)|bereitliegen; offenliegen; ausliegen|Die Pläne liegen im Rathaus zur Einsicht auf.|The plans are available for viewing at the town hall.|Планы выставлены в ратуше для ознакомления.|Die Pläne sind im Rathaus zur Einsicht ausgelegt.|zur Einsicht aufliegen; schwer aufliegen|Chiefly used in Austria and Switzerland for documents that are laid out for public inspection ('zur Einsicht aufliegen'). It can also mean that a secret, trick, or fraud has been exposed ('der Schwindel ist aufgelegen').
liegen|beieinanderliegen|C2|94238|to lie close together, to be situated next to each other|лежать рядом друг с другом, находиться близко друг к другу|nebeneinanderliegen; zusammenliegen; dicht beisammen sein|Glück und Unglück liegen oft nah beieinander.|Happiness and misfortune are often close together.|Счастье и несчастье часто лежат близко друг к другу.|Glück und Unglück sind oft nah beisammen.|nah beieinanderliegen; dicht beieinanderliegen|Often used abstractly to show that two states, concepts, or opinions are highly related, similar, or very close. It is a separable verb.
liegen|beiliegen|C2|37449|to be enclosed, to be attached (in a letter/package)|прилагаться, быть приложенным (к письму, посылке)|beigefügt sein; mitgeschickt werden; anliegen|Dem Brief liegt eine Kopie der Rechnung bei.|A copy of the invoice is enclosed with the letter.|К письму прилагается копия счета.|Dem Brief ist eine Kopie der Rechnung beigefügt.|dem Schreiben beiliegen; im Anhang beiliegen|A separable verb. Used mostly in written and business correspondence when referring to attachments or physical/digital enclosures. Takes Dative (wem beiliegen? -> dem Brief).
liegen|bereitliegen|C2|61489|to be ready, to be at hand, to be available|лежать наготове, быть готовым к использованию|paratliegen; bereitstehen; zur Verfügung stehen|Die Unterlagen liegen für Sie am Empfang bereit.|The documents are ready for you at the reception.|Документы лежат наготове для вас на стойке регистрации.|Die Unterlagen stehen für Sie am Empfang bereit.|für die Gäste bereitliegen; abholbereit liegen|A separable verb indicating that something has been prepared beforehand and is waiting to be used, read, or picked up.
liegen|bloßliegen|C2|176130|to lie exposed, to be bare, to be uncovered|обнажаться, быть оголенным, лежать открытым|freiliegen; offenliegen; ungeschützt sein|Durch den Sturm lagen die Wurzeln des Baumes bloß.|Due to the storm, the roots of the tree lay exposed.|Из-за бури корни дерева обнажились.|Durch den Sturm lagen die Wurzeln des Baumes frei.|die Nerven liegen bloß; Kabel liegen bloß; Knochen liegen bloß|Used both literally (bare wires, exposed roots) and figuratively, especially in the common phrase 'die Nerven liegen bloß' (to be extremely stressed or on edge).
liegen|brachliegen|C2|62382|to lie fallow, to lie idle, to be out of use|находиться под паром (о земле), пустовать, бездействовать (о делах, талантах)|ungenutzt sein; stillstehen; ruhen; unbestellt sein|Wegen der Krise lag die gesamte Produktion brach.|Due to the crisis, the entire production lay idle.|Из-за кризиса все производство простаивало.|Wegen der Krise stand die gesamte Produktion still.|Felder brachliegen lassen; die Wirtschaft liegt brach; Talente brachliegen lassen|Originally an agricultural term referring to fields left uncultivated. In modern contexts, it is heavily used figuratively for economic activities, industrial production, fields of research, or skills that are not being utilized.
liegen|daliegen|C2|60411|to lie there, to stretch out (in a certain state)|лежать там, лежать в каком-либо состоянии (без движения)|herumliegen; sich erstrecken; unbeweglich liegen|Der Verletzte lag regungslos auf der Straße da.|The injured person lay motionless on the street.|Раненый неподвижно лежал на улице.|Der Verletzte lag regungslos auf der Straße herum.|regungslos daliegen; stumm daliegen; friedlich daliegen|Separable verb. Emphasizes the passive, motionless, or vulnerable state of a person, animal, or object in a specific location.
liegen|darniederliegen|C2|104671|to be down, to languish, to be prostrated|находиться в упадке, слечь от болезни, чахнуть|kränkeln; brachliegen; am Boden liegen; daniederliegen|Die Wirtschaft des Landes lag nach dem Krieg darnieder.|The country's economy lay in ruins after the war.|Экономика страны находилась в глубоком упадке после войны.|Die Wirtschaft des Landes lag nach dem Krieg am Boden.|krank darniederliegen; die Wirtschaft liegt darnieder; der Handel liegt darnieder|Also spelled 'daniederliegen'. Highly formal or literary. It describes extreme weakness, either of a sick person or of an abstract system (the economy, tourism, trade).
