word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
kleben|kleben|A2|5764|to stick; to glue; to paste|клеить; приклеивать; липнуть|anheften; leimen; befestigen; haften|Ich muss das Poster an die Wand kleben.|I need to stick the poster on the wall.|Мне нужно приклеить плакат на стену.|Ich muss das Poster an die Wand befestigen.|an der Wand kleben; zusammen kleben; mit Klebstoff kleben; ein Pflaster kleben|Can be used transitively (to stick something, e.g., 'ein Poster kleben') or intransitively (to be sticky, e.g., 'meine Finger kleben' or to adhere to a surface 'das Plakat klebt an der Wand'). Often used with prepositions like 'an' + Dative (location) or 'an' + Accusative (direction).
kleben|klebrig|C1|18937|sticky; tacky; gluey|липкий; клейкий|kleisterig; haftend; viskos|Meine Hände sind klebrig von der Marmelade.|My hands are sticky from the jam.|Мои руки липкие от варенья.|Meine Hände kleben von der Marmelade.|klebrige Finger; klebriger Boden; klebrige Substanz; klebriger Schleim|Adjective describing a surface covered with adhesive, resin, or sugar. Unlike English, it is rarely used figuratively to mean 'a difficult/sticky situation' (use 'heikel' or 'schwierig' instead).
kleben|selbstklebend|C2|37241|self-adhesive; pressure-sensitive|самоклеящийся|selbsthaftend|Für die Briefe benutze ich selbstklebende Briefmarken.|For the letters, I use self-adhesive stamps.|Для писем я использую самоклеящиеся марки.|Für die Briefe benutze ich selbsthaftende Briefmarken.|selbstklebende Folie; selbstklebende Etiketten; selbstklebendes Band; selbstklebende Tapete|A compound adjective formed from 'selbst' (self) and the present participle of 'kleben'. It describes objects that have their own adhesive layer, requiring no additional glue or water to stick.
kleben|Klebeband|C2|23189|adhesive tape; scotch tape|клейкая лента; скотч|Klebestreifen; Tesafilm; Packband|Wickle das Paket bitte mit Klebeband zu.|Please seal the package with adhesive tape.|Пожалуйста, заклей пакет клейкой лентой.|Wickle das Paket bitte mit Klebestreifen zu.|doppelseitiges Klebeband; Klebeband abrollen; starkes Klebeband; transparentes Klebeband|A highly common compound noun. In Germany, the brand name 'Tesafilm' or simply 'Tesa' is very frequently used as a synonym in everyday speech, similar to 'Scotch tape' in English.
kleben|Klebebindung|C2|126904|perfect binding; adhesive binding|клеевое бесшвейное скрепление; клеевой переплет|Softcover-Bindung; Lumbecken|Das Taschenbuch hat eine einfache Klebebindung.|The paperback has a simple perfect binding.|Карманная книга имеет простой клеевой переплет.|Das Taschenbuch hat eine einfache Softcover-Bindung.|Buch mit Klebebindung; haltbare Klebebindung; Broschüre mit Klebebindung; Klebebindung erneuern|A specific bookbinding term where the pages of a book are bound together at the spine with a layer of adhesive. This is the standard method for paperbacks (Taschenbücher), contrasted with thread stitching ('Fadenheftung').
kleben|Klebemittel|C2|107953|adhesive; gluing agent|клейкое вещество; связующее вещество; клей|Klebstoff; Klebmittel; Bindemittel|Welches Klebemittel eignet sich am besten für Holz?|Which adhesive is best suited for wood?|Какой клей лучше всего подходит для дерева?|Welcher Klebstoff eignet sich am besten für Holz?|flüssiges Klebemittel; umweltfreundliches Klebemittel; Klebemittel auftragen; industrielles Klebemittel|A formal, technical, or generic term for any material used to bind surfaces together. For everyday purposes, Germans prefer 'Kleber' or 'Klebstoff'.
kleben|Klebepapier|C2|188755|adhesive paper; sticky paper|клейкая бумага; самоклеящаяся бумага|Haftpapier; Klebpapier|Wir drucken die Etiketten auf Klebepapier.|We print the labels on adhesive paper.|Мы печатаем этикетки на клейкой бумаге.|Wir drucken die Etiketten auf Haftpapier.|selbstklebendes Klebepapier; bedruckbares Klebepapier; farbiges Klebepapier|Refers to paper that is coated on one side with an adhesive. Frequently used for labels, stickers, and crafts. Interchangeable with 'Klebpapier'.
kleben|Klebepflaster|C2|199701|adhesive plaster; medical tape; band-aid|лейкопластырь; медицинский пластырь|Heftpflaster; Wundpflaster; Pflaster|Sie klebte ein Klebepflaster auf die kleine Wunde.|She put an adhesive plaster on the small wound.|Она наклеила пластырь на маленькую рану.|Sie klebte ein Heftpflaster auf die kleine Wunde.|Klebepflaster aufkleben; hautfreundliches Klebepflaster; elastisches Klebepflaster|Medical term for adhesive tape or plaster used to hold dressings or cover minor wounds. In everyday colloquial contexts, Germans simply say 'Pflaster'.
kleben|Kleber|C1|13864|glue; adhesive; sticker|клей; стикер; наклейка|Klebstoff; Leim; Aufkleber; Sticker|Hast du einen Kleber für mich, um das Papier zu kleben?|Do you have some glue for me to stick the paper?|У тебя есть клей для меня, чтобы склеить бумагу?|Hast du einen Klebstoff für mich, um das Papier zu kleben?|flüssiger Kleber; Alleskleber; Sekundenkleber; Kleber entfernen|In everyday speech, 'der Kleber' can mean either the physical glue substance (synonymous with 'Klebstoff') or an actual sticker/decal (synonymous with 'Aufkleber').
kleben|Kleberolle|C2|173911|roll of adhesive tape|рулон клейкой ленты; рулон скотча|Klebebandrolle; Klebrolle|Ich brauche eine neue Kleberolle für den Abroller.|I need a new roll of adhesive tape for the dispenser.|Мне нужен новый рулон скотча для диспенсера.|Ich brauche eine neue Klebrolle für den Abroller.|Kleberolle wechseln; breite Kleberolle; leere Kleberolle|Refers specifically to a roll of tape. Sometimes shortened to 'Klebrolle'.
