word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
strömen|strömen|B2|7238|to flow; to pour; to stream|течь; литься; устремляться (о толпе)|fließen; rinnen; quellen; drängen|Das Wasser strömt aus dem beschädigten Rohr.|The water flows out of the damaged pipe.|Вода течет из поврежденной трубы.|Das Wasser fließt aus dem beschädigten Rohr.|in Strömen regnen; Menschen strömen ins Stadion; Tränen strömen|A verb of motion conjugated with 'sein'. It is used physically for liquids and figuratively for large crowds of people, light, or money.
strömen|abströmen|C2|167729|to flow off; to drain; to disperse|оттекать; стекать; расходиться (о толпе)|abfließen; wegströmen; weichen|Nach dem Konzert strömten die Besucher langsam ab.|After the concert, the visitors slowly dispersed.|После концерта посетители медленно разошлись.|Nach dem Konzert flossen die Besucher langsam ab.|Gas strömt ab; die Zuschauer strömen ab; Wasser strömt ab|Separable verb conjugated with 'sein'. Primarily used for physical substances like gas and liquids draining, or figuratively for large crowds dispersing after an event.
strömen|anströmen|C2|154755|to flow against; to stream towards; to rush at|натекать; устремляться к; приливать|anfließen; zuströmen; herannahen|Die kalte Luft strömt von Norden an.|The cold air flows in from the north.|Холодный воздух устремляется с севера.|Die kalte Luft zieht von Norden heran.|Luftmassen strömen an; Wasser strömt die Küste an|Separable verb conjugated with 'sein'. Frequently used in technical fields such as meteorology, aerodynamics, and fluid dynamics to describe air or water masses moving towards a surface.
strömen|ausströmen|C2|65691|to emit; to stream out; to exude|вытекать; исходить; источать|entweichen; ausdringen; verbreiten; emittieren|Gas strömt aus dem defekten Ventil aus.|Gas is leaking from the defective valve.|Газ выходит из неисправного клапана.|Gas entweicht aus dem defekten Ventil.|Gas strömt aus; einen Duft ausströmen; Wärme ausströmen; Ruhe ausströmen|Separable verb. It can be intransitive (conjugated with 'sein', e.g., gas leaking out) or transitive (conjugated with 'haben', e.g., to exude confidence or a smell, although 'verströmen' is more common for this figurative use).
strömen|dahinströmen|C2|160900|to flow along; to glide away|протекать; утекать; уноситься|dahinfließen; vergehen; verrinnen|Die Jahre strömen lautlos dahin.|The years flow by silently.|Годы беззвучно утекают.|Die Jahre vergehen lautlos.|das Leben strömt dahin; Zeit strömt dahin; ein Fluss strömt dahin|Separable verb conjugated with 'sein'. Highly poetic or literary, used primarily to represent the smooth, continuous passing of time or life.
strömen|durchströmen|C2|55395|to flow through; to permeate; to surge through|протекать через; пронизывать; охватывать|durchfließen; durchdringen; erfüllen|Ein Gefühl der Freude durchströmte sie völlig.|A feeling of joy completely surged through her.|Чувство радости полностью охватило её.|Ein Gefühl der Freude erfüllte sie völlig.|ein Gefühl durchströmt jemanden; Wasser durchströmt das Tal; Strom durchströmt den Leiter|When used figuratively (feelings or electricity permeating something), it is an inseparable, transitive verb taking the accusative and conjugated with 'haben'. If used physically (water flowing through), it can sometimes be separable and conjugated with 'sein'.
strömen|einströmen|C2|73475|to stream in; to pour in; to flood in|втекать; устремляться внутрь; поступать|eindringen; hineinfließen; hereinbrechen|Frische Luft strömt durch das geöffnete Fenster ein.|Fresh air streams in through the open window.|Свежий воздух проникает через открытое окно.|Frische Luft dringt durch das geöffnete Fenster ein.|Luft strömt ein; Licht strömt ein; Menschenmassen strömen ein; Gelder strömen ein|Separable verb conjugated with 'sein'. Highly common for physical elements like air, water, and light entering a room, as well as abstract funds or masses of people.
strömen|entströmen|C2|82252|to stream from; to escape; to emanate from|вытекать из; исходить от; струиться из|entweichen; ausströmen; herkommen|Ein seltsamer Geruch entströmte dem alten Keller.|A strange smell emanated from the old cellar.|Странный запах исходил из старого подвала.|Ein seltsamer Geruch entwich dem alten Keller.|einem Gefäß entströmen; der Quelle entströmen; ein Duft entströmt|Inseparable verb governing the dative case (etwas/jemandem entströmen). Conjugated with 'sein'. Primarily literary, used for scents, sounds, or light coming out of a source.
strömen|herabströmen|C2|179865|to stream down; to pour down|струиться вниз; стекать; литься сверху|herunterfließen; herabfließen; herabstürzen|Das Wasser strömte die Felswand herab.|The water streamed down the rock face.|Вода струилась вниз по скале.|Das Wasser floss die Felswand herunter.|Tränen strömen herab; Regen strömt herab; Wasser strömt herab|Separable verb conjugated with 'sein'. Emphasizes downward physical movement of liquids, rain, or tears from a higher position.
strömen|herausströmen|C2|135927|to stream out; to pour out; to gush out|вытекать; вырываться наружу; хлынуть наружу|herausfließen; entweichen; herausdrängen|Bei dem Unfall strömte Benzin aus dem Tank heraus.|During the accident, fuel poured out of the tank.|Во время аварии бензин хлынул наружу из бака.|Bei dem Unfall floss Benzin aus dem Tank heraus.|Gas strömt heraus; Menschen strömen heraus; Wasser strömt heraus|Separable verb conjugated with 'sein'. Focuses on outward movement from a closed space towards the viewer or narrator (indicated by 'her-').
strömen|herbeiströmen|C2|113076|to flock; to stream in (large numbers); to gather|сбегаться; стекаться; собираться толпой|zusammenströmen; herbeieilen; anrücken|Die Menschen strömten von allen Seiten herbei.|People flocked in from all sides.|Люди стекались со всех сторон.|Die Menschen eilten von allen Seiten herbei.|Zuschauer strömen herbei; Massen strömen herbei; von allen Seiten herbeiströmen|Separable verb conjugated with 'sein'. Used almost exclusively for people gathering in large numbers towards a specific point of interest.
strömen|hereinströmen|C2|126626|to stream in; to flood inside|втекать внутрь; устремляться внутрь|einströmen; hereinkommen; eindringen|Als die Tür geöffnet wurde, strömte die Kälte herein.|When the door was opened, the cold streamed in.|Когда дверь открылась, внутрь хлынул холод.|Als die Tür geöffnet wurde, drang die Kälte herein.|Luft strömt herein; Licht strömt herein; Zuschauer strömen herein|Separable verb conjugated with 'sein'. Very similar to 'einströmen' but specifically denotes movement into an interior where the speaker currently is ('her-').
strömen|hervorströmen|C2|189555|to gush out; to stream forth; to well up|изливаться; хлынуть наружу; пробиваться|hervorbrechen; herauskommen; quellen|Wasser strömte aus der Quelle hervor.|Water gushed forth from the spring.|Вода хлынула из источника.|Wasser quoll aus der Quelle hervor.|Blut strömt hervor; Licht strömt hervor; Wasser strömt hervor|Separable verb conjugated with 'sein'. Describes a sudden, visible emergence of a fluid, light, or sounds from behind or inside a source.
strömen|hinausströmen|C2|171382|to stream out; to pour out|выходить толпой; вытекать наружу|hinausgehen; hinausdrängen; abfließen|Nach dem Abpfiff strömten die Fans aus dem Stadion hinaus.|After the final whistle, the fans poured out of the stadium.|После финального свистка болельщики хлынули со стадиона наружу.|Nach dem Abpfiff drängten die Fans aus dem Stadion hinaus.|ins Freie hinausströmen; aus dem Gebäude hinausströmen|Separable verb conjugated with 'sein'. Expresses outward movement from an enclosed space away from the speaker ('hin-').
strömen|hinströmen|C2|162071|to stream towards; to flow thither|устремляться туда; течь в направлении чего-то|hinfließen; hinziehen; hinwandern|Alle Menschen strömten zu dem neuen Marktplatz hin.|Everyone streamed towards the new marketplace.|Все люди устремились к новой рыночной площади.|Alle Menschen zogen zu dem neuen Marktplatz hin.|dorthin strömen; zu einem Ort hinströmen|Separable verb conjugated with 'sein'. Focuses on movement towards a distant target away from the speaker's location.
strömen|überströmen|C2|103560|to overflow; to flood; to swamp|переливаться через край; затоплять; переполнять|überfluten; überschwemmen; überlaufen|Der Fluss trat über die Ufer und überströmte die Wiesen.|The river burst its banks and flooded the meadows.|Река вышла из берегов и затопила луга.|Der Fluss trat über die Ufer und überflutete die Wiesen.|von Gefühlen überströmen; ein Land überströmen; Tränen überströmen das Gesicht|Usually used as an inseparable transitive verb taking the accusative (conjugated with 'haben'). Often describes flooding of land or being overwhelmed by intense emotions.
strömen|umströmen|C2|130734|to flow around; to bypass|обтекать; омывать|umfließen; umspülen; umgeben|Das Wasser umströmt die kleine Insel im Fluss.|The water flows around the small island in the river.|Вода обтекает маленький островок в реке.|Das Wasser umfließt die kleine Insel im Fluss.|ein Hindernis umströmen; Luft umströmt die Tragfläche|Inseparable transitive verb conjugated with 'haben'. Frequently used in aerodynamics and physics to describe wind or liquid flowing around solid obstacles.
strömen|verströmen|C1|22438|to exude; to emanate; to spread (a scent/feeling)|источать; распространять (запах, атмосферу)|ausstrahlen; verbreiten; abgeben|Die Rosen verströmen einen herrlichen Duft.|The roses exude a wonderful scent.|Розы источают великолепный аромат.|Die Rosen verbreiten einen herrlichen Duft.|Duft verströmen; Optimismus verströmen; Wärme verströmen; Atmosphäre verströmen|Transitive verb conjugated with 'haben'. Highly popular for expressing both literal emission of smells/scents and metaphorical dispersion of feelings, vibe, or attitude.
strömen|vorbeiströmen|C2|144549|to flow past; to stream by|протекать мимо; проходить мимо (о толпе)|vorbeifließen; vorbeiziehen; vorbeigehen|Die Menschenmenge strömte an den Schaufenstern vorbei.|The crowd of people streamed past the shop windows.|Толпа людей проносилась мимо витрин.|Die Menschenmenge zog an den Schaufenstern vorbei.|an jemandem vorbeiströmen; das Wasser strömt vorbei|Separable verb conjugated with 'sein'. Describes continuous movement (of water, air, or crowds) past a fixed reference point.
