word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
reißen|reißen|B1|28447|to tear; to rip; to pull (forcefully)|рвать; разрывать; тащить (с силой)|zerreißen; zerren; kaputtmachen|Der Wind riss das Plakat von der Wand.|The wind tore the poster off the wall.|Ветер сорвал плакат со стены.|Der Wind zerrte das Plakat von der Wand.|an sich reißen; Witze reißen; Geduldsfaden reißt; aus dem Schlaf reißen|Can be used both transitively (to tear something) and intransitively (to snap/break, like a rope). In the phrase 'an sich reißen', it means to grab or seize power. Informally, 'Witze reißen' means to crack jokes.
reißen|abreißen|C2|243900|to tear down; to demolish; to break off|сносить (здание); обрывать; отрывать|demolieren; abbrechen; wegreißen; abknicken|Die Stadt lässt das alte Gebäude abreißen.|The city is having the old building torn down.|Город сносит старое здание.|Die Stadt lässt das alte Gebäude demolieren.|ein Haus abreißen; den Kontakt abreißen lassen; den Faden abreißen|Separable verb. Often used literally for demolishing physical structures like buildings or walls. Metaphorically, it is frequently used in 'den Kontakt abreißen lassen' (to lose touch/let contact break off).
reißen|anreißen|C2|247197|to tear slightly; to touch upon (a topic); to scratch|надрывать; слегка надрезать; затрагивать (тему)|anschneiden; andeuten; anreißen|In der Konferenz wollen wir dieses Thema nur kurz anreißen.|In the conference, we only want to touch upon this topic briefly.|На конференции мы хотим лишь кратко затронуть эту тему.|In der Konferenz wollen wir dieses Thema nur kurz anschneiden.|ein Problem anreißen; ein Thema kurz anreißen; ein Paket anreißen|Separable verb. Literally means to tear open slightly (like a packet of food). In business and academic contexts, it is highly common in its figurative meaning: to briefly outline, introduce, or touch upon a topic.
reißen|aufreißen|C2|257493|to tear open; to rip open; to pick up (someone, informal)|разрывать; распахивать; подцеплять (кого-то, разг.)|öffnen; aufmachen; aufbrechen; abschleppen|Sie riss den Brief ungeduldig auf.|She tore the letter open impatiently.|Она нетерпеливо вскрыла письмо.|Sie öffnete den Brief ungeduldig.|den Mund weit aufreißen; die Augen weit aufreißen; ein Paket aufreißen; jemanden in der Bar aufreißen|Separable verb. Indicates opening something with sudden, rapid physical force (envelopes, packages, eyes, mouth). In youth slang, 'jemanden aufreißen' means to successfully flirt with and pick someone up for the night.
reißen|auseinanderreißen|C2|244613|to tear apart; to pull apart|разрывать на части; разлучать|trennen; zerreißen; entzweien|Der Krieg riss viele Familien auseinander.|The war tore many families apart.|Война разлучила многие семьи.|Der Krieg trennte viele Familien.|Familien auseinanderreißen; ein Buch auseinanderreißen; zwei Streitende auseinanderreißen|Separable verb. Literally pulling or tearing things apart physically. Metaphorically, it is very commonly used for forced, painful separations of people, communities, or families due to external circumstances.
reißen|ausreißen|C2|247997|to run away; to escape; to tear out (weeds, pages)|убегать (из дома); вырывать (сорняки, страницы)|weglaufen; flüchten; herausreißen; ausrupfen|Der Teenager riss von zu Hause aus.|The teenager ran away from home.|Подросток убежал из дома.|Der Teenager lief von zu Hause weg.|von zu Hause ausreißen; Unkraut ausreißen; Haare ausreißen; eine Seite ausreißen|Separable verb. Notice its two distinct uses: when intransitive (requires auxiliary 'sein'), it means to run away or escape. When transitive (requires auxiliary 'haben'), it means to physically extract or pull something out by tearing.
reißen|durchreißen|C2|256467|to tear in two; to tear completely through|разрывать пополам; рваться (о веревке)|entzweireißen; zerreißen; durchtrennen|Er riss den Faden einfach durch.|He simply tore the thread in two.|Он просто порвал нить пополам.|Er trennte den Faden einfach durch.|ein Seil durchreißen; ein Blatt Papier durchreißen|Separable verb. Focuses on the complete tearing through of an object, splitting it into two separate parts. It can be used transitively (tearing something) or intransitively (something breaking completely in half).
reißen|einreißen|C2|242389|to tear down (a wall); to tear a small rip in; to become common practice (bad habit)|сносить (стену); делать надрыв; укореняться (о дурной привычке)|sich einbürgern; einschleichen; abreißen; demolieren|Eine schlechte Angewohnheit riss in der Klasse ein.|A bad habit started to spread in the class.|В классе укоренилась плохая привычка.|Eine schlechte Angewohnheit schlich sich in der Klasse ein.|eine Wand einreißen; Sitten einreißen lassen; ein Fingernagel reißt ein|Separable verb. The figurative phrase 'einreißen lassen' refers to letting bad habits, lax discipline, or undesirable practices become entrenched or normalized. Literally, it means to demolish a structure or split a fingernail/paper slightly.
reißen|emporreißen|C2|245556|to tear up; to snatch up; to pull up rapidly|резко вздернуть; вырвать вверх|hochreißen; emporheben; hochwerfen|Der Turner riss die Arme empor.|The gymnast flung his arms up.|Гимнаст резко вскинул руки вверх.|Der Turner riss die Arme hoch.|die Hände emporreißen; den Kopf emporreißen; die Arme emporreißen|Separable verb. A very expressive, elevated/dramatic verb meaning to fling or pull something upward with extreme speed and energy, most commonly limbs or the head.
reißen|entreißen|C2|125421|to snatch away; to wrest from; to rescue|вырывать (из рук); исторгать; спасать|entwinden; wegnehmen; rauben; befreien|Der Dieb entriss der Frau die Handtasche.|The thief snatched the handbag from the woman.|Вор вырвал сумку из рук женщины.|Der Dieb entwand der Frau die Handtasche.|jemandem die Beute entreißen; dem Tod entreißen; dem Vergessen entreißen|Inseparable verb. Requires dative for the person/thing from whom it is taken, and accusative for the object: 'jemandem (Dat) etwas (Akk) entreißen'. Often used in the context of stealing, but also metaphorically like rescuing someone from death.
reißen|entzweireißen|C2|261403|to tear in two; to tear apart|разорвать пополам; разорвать на две части|durchreißen; zerreißen; spalten|Vor Wut riss sie das Foto entzwei.|In anger, she tore the photo in two.|С досады она разорвала фотографию надвое.|Vor Wut riss sie das Foto durch.|ein Foto entzweireißen; ein Tischtuch entzweireißen; das Herz entzweireißen|Separable verb. Formed with the adverb 'entzwei' (in two). Highly visual and physical. 'Das Herz entzweireißen' is a common romantic or dramatic trope.
reißen|fortreißen|C2|247790|to sweep away; to carry away (with emotion)|уносить (течением); увлекать за собой|mitreißen; wegtragen; wegspülen|Die Flut riss die Brücke fort.|The flood swept the bridge away.|Наводнение унесло мост.|Die Flut riss die Brücke weg.|vom Strom fortgerissen werden; von Begeisterung fortgerissen werden|Separable verb. Primarily literal, used for powerful natural forces like currents, storm, or floods carrying something away. Can be used figuratively in the passive voice for being carried away by intense emotion.
reißen|herausreißen|C2|245875|to tear out; to rip out; to salvage (a situation)|вырывать; выдирать; спасать (ситуацию)|rausreißen; entfernen; retten; herausziehen|Er musste eine Seite aus dem Heft herausreißen.|He had to tear a page out of the notebook.|Ему пришлось вырвать страницу из тетради.|Er musste eine Seite aus dem Heft entfernen.|eine Seite herausreißen; Unkraut herausreißen; ein Spiel noch herausreißen|Separable verb. Literally tearing something out. Colloquially, it can mean to rescue or salvage a bad situation, like turning a game around at the last second or making up for a bad grade.
reißen|hereinreißen|C2|258011|to drag in; to bring disaster upon; to pull down inside|втягивать (в неприятности); навлекать (беду)|hineinziehen; hereinziehen; einbrocken|Du wirst uns alle mit dieser Aktion ins Unglück hereinreißen.|You will drag us all into disaster with this action.|Ты этой акцией втянешь нас всех в беду.|Du wirst uns alle mit dieser Aktion ins Unglück hineinziehen.|ins Unglück hereinreißen; jemanden in eine Sache hereinreißen|Separable verb. Often used metaphorically in 'ins Unglück hereinreißen' to express dragging people along with oneself into misery, trouble, or financial ruin.
reißen|herumreißen|C2|259178|to wrench around; to turn around sharply (e.g. steering wheel); to turn the tide|резко разворачивать; круто повернуть (руль, ситуацию)|umdrehen; wenden; herumwerfen|Der Fahrer konnte das Steuer im letzten Moment herumreißen.|The driver managed to wrench the steering wheel around at the last moment.|Водитель в последний момент успел резко выкрутить руль.|Der Fahrer konnte das Steuer im letzten Moment rumwerfen.|das Steuer herumreißen; das Ruder herumreißen|Separable verb. The idiom 'das Ruder/Steuer herumreißen' is extremely common and means to drastically change direction to avert a disaster or turn a failing project into a successful one.
reißen|herunterreißen|C2|250476|to tear down; to rip off (downward direction)|срывать (вниз); стаскивать; быстро сносить|abreißen; heruntermachen; herabreißen|Sie riss das alte Poster von der Wand herunter.|She tore the old poster down from the wall.|Она сорвала старый плакат со стены.|Sie riss das alte Poster von der Wand ab.|ein Plakat herunterreißen; Tapeten herunterreißen; Kleider herunterreißen|Separable verb. Specifies a downward tearing or stripping motion. Often used with wall decorations, wallpaper, or quickly stripping clothes off someone.
reißen|hineinreißen|C2|256126|to drag into; to involve (in a bad situation)|впутывать; втягивать (в неприятности)|hineinziehen; verwickeln; mitreißen|Ich will dich nicht in meine Probleme hineinreißen.|I don't want to drag you into my problems.|Я не хочу втягивать тебя в свои проблемы.|Ich will dich nicht in meine Probleme hineinziehen.|jemanden in ein Abenteuer hineinreißen; in den Strudel hineingerissen werden; in die Tiefe hineinreißen|Separable verb. Strongly evokes the physical or figurative image of a vortex, current, or bad situation pulling/dragging someone downward. Heavily interchangeable with 'hineinziehen'.
reißen|hinreißen|C2|251443|to carry away; to fascinate; to prompt (to do something rash)|увлекать; приводить в восторг; поддаваться порыву|begeistern; faszinieren; verleiten|Er ließ sich zu einer unüberlegten Bemerkung hinreißen.|He let himself be carried away into making a rash remark.|Он позволил себе поддаться порыву и сделать необдуманное замечание.|Er ließ sich zu einer unüberlegten Bemerkung verleiten.|sich zu einer Tat hinreißen lassen; jemanden hinreißen; hinreißend sein|Separable verb. Frequently reflexive: 'sich hinreißen lassen zu etwas' means to do something impulsive or foolish on a whim. Active voice means to captivate. Its adjective 'hinreißend' is highly positive and means 'ravishing' or 'delightful'.
