word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
hocken|hocken|C1|11265|to squat; to sit around|сидеть на корточках; торчать (разг.); сидеть|kauern; sitzen; herumlungern|Wir hockten stundenlang vor dem Fernseher.|We sat for hours in front of the TV.|Мы часами торчали перед телевизором.|Wir saßen stundenlang vor dem Fernseher.|zu Hause hocken; aufeinander hocken; im Gras hocken|The literal meaning is 'to squat' (sich kauern). In everyday colloquial language, it is highly common as a synonym for 'sit' or 'hang around' in a passive, lazy, or cramped manner.
hocken|abhocken|C2|173872|to dismount in a squat position; to squat down|соскочить в группировке (гимнастика); присесть на корточки|abspringen; sich hinhocken; niederlassen|Der Turner musste am Barren sicher abhocken.|The gymnast had to dismount safely in a squat from the parallel bars.|Гимнасту нужно было уверенно соскочить со снаряда в группировке на брусьях.|Der Turner musste am Barren sicher abspringen.|vom Gerät abhocken; sicher abhocken|Primarily a technical term in gymnastics meaning to perform a squat-style dismount (die Abhocke). Extremely rarely used colloquially in regional contexts to mean sitting down.
hocken|anhocken|C2|180220|to tuck (legs, in sports/jumping)|подтягивать колени к груди (в прыжке)|anziehen; heranziehen; beugen|Beim Strecksprung muss man die Beine leicht anhocken.|When performing a stretch jump, you have to tuck your legs slightly.|При прыжке вверх нужно слегка поджать ноги.|Beim Strecksprung muss man die Beine leicht anziehen.|die Beine anhocken; im Sprung anhocken|A specialized sports and gymnastics term. It describes pulling one's knees up toward the chest during a jump (tucking position).
hocken|aufhocken|C2|193093|to mount or sit on someone's back; to squat on top of something|залезть на спину (кому-л.); взгромоздиться|aufsitzen; sich auf den Rücken setzen; huckepack nehmen|Das Kind wollte unbedingt bei seinem Vater aufhocken.|The child absolutely wanted to climb onto his father's back.|Ребенок обязательно хотел залезть на спину к отцу.|Das Kind wollte unbedingt bei seinem Vater aufsitzen.|auf den Rücken aufhocken; auf ein Pferd aufhocken|Colloquial and regional. Refers to climbing onto someone's back (piggyback) or mounting an object in a crouching posture.
hocken|beieinanderhocken|C2|210950|to huddle together; to sit close to each other|сидеть кучкой; тесниться друг с другом|zusammenkauern; beieinandersitzen; eng zusammen sein|Die Kinder hockten ängstlich im Keller beieinander.|The children huddled together anxiously in the basement.|Дети испуганно сидели вместе в подвале.|Die Kinder saßen ängstlich im Keller beieinander.|eng beieinanderhocken; schweigend beieinanderhocken; verängstigt beieinanderhocken|Informal. It emphasizes physical proximity, often because of tight spaces, cold, or fear, with people crowding or huddling together.
hocken|beisammenhocken|C2|215165|to sit or hang out together|сидеть вместе; собраться вместе (разг.)|beisammensitzen; zusammenhocken; zusammensitzen|Wir hockten gemütlich am Lagerfeuer beisammen.|We sat together cozily by the campfire.|Мы уютно сидели вместе у костра.|Wir saßen gemütlich am Lagerfeuer beisammen.|gemütlich beisammenhocken; den ganzen Abend beisammenhocken|Very close to 'beieinanderhocken' but more social and friendly rather than just physical. It implies gathering together in a relaxed, often informal setting.
hocken|dahocken|C2|156880|to sit there (dull or motionless); to squat there|сидеть без дела; торчать там; сидеть сиднем|dasitzen; herumlungern; verharren|Warum musst du immer so traurig dahocken?|Why do you always have to sit there looking so sad?|Почему ты всегда должен сидеть там такой грустный?|Warum musst du immer so traurig dasitzen?|tatenlos dahocken; schweigend dahocken; traurig dahocken|Colloquial. Used when someone is sitting in a particular place, usually in a passive, bored, miserable, or inactive state.
hocken|durchhocken|C2|231923|to perform a squat-through (gymnastics)|прыгать через препятствие согнув ноги (гимнастика)|durchspringen; durchziehen|Der Turner muss die Beine am Gerät schnell durchhocken.|The gymnast must quickly perform a squat-through with their legs on the apparatus.|Гимнаст должен быстро пронести согнутые ноги над снарядом.|Der Turner muss die Beine am Gerät schnell durchziehen.|die Beine durchhocken; am Sprungtisch durchhocken|Almost exclusively a gymnastics term (related to the jump 'Durchhocke'). It refers to pulling the bent legs through the arms while vaulting over an apparatus.
hocken|herumhocken|C2|147707|to sit around lazily; to loiter|торчать без дела; околачиваться; сидеть сложа руки|herumsitzen; herumlungern; abhängen|Du kannst nicht den ganzen Tag nur zu Hause herumhocken.|You cannot just sit around at home all day.|Ты не можешь просто торчать дома весь день.|Du kannst nicht den ganzen Tag nur zu Hause herumsitzen.|faul herumhocken; den ganzen Tag herumhocken; im Café herumhocken|Informal and usually pejorative. Used when someone is wasting time sitting around passively instead of being productive or active.
hocken|hinhocken|C2|116202|to squat down; to crouch down (reflexive)|присесть на корточки|sich hinkauern; sich hinknien; sich niedersetzen|Du musst dich hinhocken, um die Blume aus der Nähe zu betrachten.|You have to squat down to look at the flower up close.|Тебе нужно присесть на корточки, чтобы рассмотреть цветок вблизи.|Du musst dich hinkauern, um die Blume aus der Nähe zu betrachten.|sich auf den Boden hinhocken; sich kurz hinhocken|Almost always used reflexively ('sich hinhocken'). It is the standard informal German verb for lowering one's body into a squat.
hocken|niederhocken|C2|188146|to squat down; to crouch down|присесть на корточки; опуститься на корточки|sich niederlassen; sich hinkauern; sich hinhocken|Sie musste sich kurz im Schatten niederhocken, weil ihr schwindelig war.|She had to squat down in the shade for a moment because she felt dizzy.|Ей пришлось ненадолго присесть на корточки в тени, так как у нее кружилась голова.|Sie musste sich kurz im Schatten hinhocken, weil ihr schwindelig war.|sich im Gras niederhocken; erschöpft niederhocken|Typically used reflexively ('sich niederhocken'). Very similar to 'sich hinhocken', but has a slightly more literary or formal tone, emphasizing the downward motion.
