word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
lesen|lesen|A1|2391|to read|читать|schmökern; durchlesen; entziffern|Ich lese jeden Abend ein Buch.|I read a book every evening.|Я читаю книгу каждый вечер.|Ich schmökere jeden Abend in einem Buch.|ein Buch lesen; laut lesen; flüssig lesen; Korrektur lesen|'lesen' is a strong verb (liest, las, hat gelesen). Beyond its primary meaning of reading text, it can historically also mean to pick or gather (e.g., Wein lesen). 'Korrektur lesen' means to proofread.
lesen|belesen|C2|40870|well-read; erudite|начитанный; эрудированный|gebildet; gelehrt; literarisch gebildet|Sie ist eine äußerst belesene Frau, die fast alle Klassiker kennt.|She is an extremely well-read woman who knows almost all the classics.|Она крайне начитанная женщина, которая знает почти всю классику.|Sie ist eine äußerst gebildete Frau, die fast alle Klassiker kennt.|sehr belesen; belesen sein; eine belesene Person|'belesen' is used as an adjective describing someone with extensive knowledge gained from reading. It carries a formal and positive register.
lesen|erlesen|C1|14951|exquisite; select; choice|изысканный; отборный; исключительный|exquisit; auserlesen; feinst; hervorragend|Im Restaurant gab es erlesene Weine und Speisen.|The restaurant offered exquisite wines and dishes.|В ресторане предлагались изысканные вина и блюда.|Im Restaurant gab es exquisite Weine und Speisen.|erlesener Geschmack; erlesene Weine; erlesene Qualität|Originally the past participle of the verb 'erlesen' (to pick out), this word is used almost exclusively as an adjective meaning 'exquisite' or 'of select quality'.
lesen|Gedankenlesen|C2|99335|mind reading; telepathy|чтение мыслей; телепатия|Telepathie; Gedankenübertragung|Gedankenlesen ist eine Fähigkeit, die nur in Science-Fiction-Filmen existiert.|Mind reading is an ability that only exists in science fiction movies.|Чтение мыслей — это способность, которая существует только в научно-фантастических фильмах.|Telepathie ist eine Fähigkeit, die nur in Science-Fiction-Filmen existiert.|Gedankenlesen können; die Kunst des Gedankenlesens|'Gedankenlesen' is a neuter noun (das Gedankenlesen). It is usually used in the singular, often in the absolute sense without an article, or as part of the phrasal verb 'Gedanken lesen'.
lesen|Lesart|C1|19905|reading; interpretation; version|версия; интерпретация; вариант толкования|Interpretation; Deutung; Version; Auslegung|Es gibt verschiedene Lesarten dieses historischen Ereignisses.|There are different interpretations of this historical event.|Существуют разные интерпретации этого исторического события.|Es gibt verschiedene Interpretationen dieses historischen Ereignisses.|eine offizielle Lesart; verschiedene Lesarten; die gängige Lesart|'die Lesart' (plural: Lesarten) is formal. It refers to a specific way of reading a text or interpreting an event, often used in politics and academia.
lesen|Leseabend|C2|56505|reading evening; evening of readings|вечер чтения; литературный вечер|Vorlesungsabend; Autorenlesung|Die Buchhandlung veranstaltet am Freitag einen gemütlichen Leseabend.|The bookstore is organizing a cozy reading evening on Friday.|Книжный магазин устраивает в пятницу уютный вечер чтения.|Die Buchhandlung veranstaltet am Freitag einen gemütlichen Vorlesungsabend.|einen Leseabend veranstalten; gemütlicher Leseabend|'der Leseabend' is a masculine compound noun. It can refer either to a private evening dedicated to reading or to a public event with author readings.
lesen|un-|C2|23136|un- (prefix denoting negation or reversal)|не- (префикс отрицания)|nicht-|Das Präfix „un-“ kehrt bei Wörtern wie „unlesbar“ die Bedeutung ins Gegenteil um.|The prefix 'un-' reverses the meaning of words like 'unreadable' to its opposite.|Приставка «не-» меняет значение таких слов, как «нечитаемый», на противоположное.|Das Präfix „nicht-“ kehrt bei manchen Wörtern die Bedeutung ins Gegenteil um.|das Präfix un-; un- als Vorsilbe|The prefix 'un-' is extremely common in German to create antonyms. For derivatives of 'lesen', it forms words like 'unlesbar' (unreadable) and 'unleserlich' (illegible).
lesen|lesbar|C1|12632|readable; legible|разборчивый; читаемый; понятный|entzifferbar; leserlich; verständlich|Seine Handschrift ist kaum lesbar.|His handwriting is barely legible.|Его почерк едва разборчив.|Seine Handschrift ist kaum entzifferbar.|leicht lesbar; schwer lesbar; gut lesbar geschrieben|'lesbar' refers to physical legibility (fonts, writing) as well as the stylistic quality of a text that makes it comfortable to read. Compare with 'leserlich', which only refers to handwriting.
lesen|Lesebrille|C2|46691|reading glasses|очки для чтения|Brille; Sehhilfe|Ohne meine Lesebrille kann ich die Zeitung nicht entziffern.|Without my reading glasses, I cannot make out the newspaper.|Без очков для чтения я не могу разобрать газету.|Ohne meine Sehhilfe kann ich die Zeitung nicht entziffern.|eine Lesebrille tragen; die Lesebrille aufsetzen; eine Lesebrille brauchen|'die Lesebrille' (feminine) is a compound noun used specifically for eyeglasses adjusted for close-range focus, typically worn while reading.
lesen|Lesebuch|C2|42997|reading book; reader; anthology|книга для чтения; хрестоматия|Anthologie; Fibel; Lesewerk|In der Grundschule hatten wir ein buntes Lesebuch.|In elementary school, we had a colorful reading book.|В начальной школе у нас была красочная книга для чтения.|In der Grundschule hatten wir eine bunte Fibel.|ein Lesebuch für die Schule; im Lesebuch blättern|'das Lesebuch' (neuter) is traditionally a schoolbook containing a curated collection of literary texts, poems, and stories for learning and practicing reading.
