word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
pflegen|pflegen|B2|1995|to care for; to nurse; to maintain|ухаживать; заботиться; поддерживать|betreuen; sorgen für; hegen; kultivieren|Sie pflegt ihre kranke Großmutter seit Jahren.|She has been caring for her sick grandmother for years.|Она ухаживает за своей больной бабушкой уже много лет.|Sie betreut ihre kranke Großmutter seit Jahren.|Kontakte pflegen; Traditionen pflegen; die Haut pflegen; zu tun pflegen|Pflegen requires an accusative object when meaning to care for or maintain. It can also be used in a highly formal register with 'zu' + infinitive to express a habit (e.g., 'er pflegt zu lesen' - he is accustomed to reading).
pflegen|gepflegt|B2|7261|neat; well-groomed; cultivated|ухоженный; опрятный; изысканный|ordentlich; kultiviert; adrett|Er trägt immer ein sehr gepflegtes Äußeres.|He always has a very neat appearance.|У него всегда очень ухоженный вид.|Er trägt immer ein sehr kultiviertes Äußeres.|ein gepflegtes Aussehen; ein gepflegtes Gespräch; gepflegt wohnen|This is the past participle of 'pflegen' used as an adjective. It denotes high quality, cleanliness, or good manners. The idiom 'ein gepflegtes Bier' means a high-quality, properly tapped beer.
pflegen|pfleglich|C2|43123|careful; gentle; with care|бережный; аккуратный; щадящий|behutsam; schonend; sorgsam|Bitte gehen Sie pfleglich mit den ausgeliehenen Büchern um.|Please handle the borrowed books with care.|Пожалуйста, бережно обращайтесь с одолженными книгами.|Bitte gehen Sie behutsam mit den ausgeliehenen Büchern um.|pfleglich behandeln; pfleglich mit etwas umgehen|Used almost exclusively as an adverb in combinations like 'pfleglich behandeln' (to treat gently/carefully) or 'pfleglich mit etwas umgehen' (to handle something with care). It is very common in contracts and rental agreements.
pflegen|Altenpflege|C1|17535|geriatric care; care of the elderly|уход за престарелыми|Altenbetreuung; Seniorenbetreuung|Sie hat sich für eine Karriere in der Altenpflege entschieden.|She has decided on a career in geriatric care.|Она решила сделать карьеру в сфере ухода за престарелыми.|Sie hat sich für eine Karriere in der Altenbetreuung entschieden.|in der Altenpflege arbeiten; ambulante Altenpflege; Altenpflege im Heim|A compound of 'alt' (old) and 'Pflege' (care). It refers both to the professional field of eldercare and to the practical act of taking care of elderly people.
pflegen|Altenpfleger|C2|29486|geriatric nurse; elderly care worker|специалист по уходу за престарелыми; сиделка|Altenbetreuer; Altenpflegerin|Der Altenpfleger kümmert sich geduldig um die Senioren.|The geriatric nurse takes patient care of the seniors.|Сиделка терпеливо заботится о пожилых людях.|Der Altenbetreuer kümmert sich geduldig um die Senioren.|ausgebildeter Altenpfleger; Beruf des Altenpflegers|This is the masculine noun for a professional eldercare worker. The feminine form is 'Altenpflegerin'. In Germany, this is a distinct, recognized vocational qualification.
pflegen|Gepflogenheit|C1|19565|custom; habit; usage; convention|обыкновение; привычка; обычай|Gewohnheit; Sitte; Brauch|Es gehört zu den Gepflogenheiten des Hauses, Gäste willkommen zu heißen.|It is one of the customs of the house to welcome guests.|В обыкновениях этого заведения тепло приветствовать гостей.|Es gehört zu den Gewohnheiten des Hauses, Gäste willkommen zu heißen.|lokale Gepflogenheiten; alte Gepflogenheiten; gesellschaftliche Gepflogenheiten|Usually used in the plural ('Gepflogenheiten'). It describes customary ways of acting or conventions within a society, company, or household. It is more formal and elevated than 'Gewohnheit'.
pflegen|Krankenpflege|C1|16070|nursing; healthcare; patient care|уход за больными; сестринское дело|Krankenbetreuung; Pflege; Krankenversorgung|Die professionelle Krankenpflege erfordert eine mehrjährige Ausbildung.|Professional nursing requires several years of training.|Профессиональный уход за больными требует многолетнего обучения.|Die professionelle Krankenbetreuung erfordert eine mehrjährige Ausbildung.|ambulante Krankenpflege; häusliche Krankenpflege; Krankenpflege betreiben|A compound noun meaning 'care of the sick'. It represents the medical field of nursing as well as the active care of sick individuals.
pflegen|Krankenpfleger|C1|21216|nurse; male nurse|медбрат; санитар|Pfleger; Krankenpflegerin|Ein erfahrener Krankenpfleger betreut die Station während der Nachtschicht.|An experienced male nurse looks after the ward during the night shift.|Опытный медбрат дежурит в отделении во время ночной смены.|Ein erfahrener Pfleger betreut die Station während der Nachtschicht.|als Krankenpfleger arbeiten; examinierter Krankenpfleger|The masculine title for a professional nurse. Although 'Krankenschwester' (female nurse) is historically more common in German speech, 'Krankenpfleger' is the gender-appropriate male term, and modern legal terms prefer 'Pflegefachkraft'.
pflegen|Pflege|B2|2268|care; grooming; maintenance; nursing|уход; забота; обслуживание; попечение|Betreuung; Wartung; Fürsorge|Die Pflege der historischen Denkmäler ist eine wichtige Aufgabe.|The preservation of historical monuments is an important task.|Сохранение исторических памятников является важной задачей.|Die Betreuung der historischen Denkmäler ist eine wichtige Aufgabe.|medizinische Pflege; intensive Pflege; Pflege von Beziehungen; Pflege von Traditionen|Feminine noun ('die Pflege'). Extremely versatile, covering personal hygiene/skin care (Körperpflege), nursing of sick or elderly (Altenpflege/Krankenpflege), maintaining social/abstract relations, and servicing physical items (Autopflege).
pflegen|Pflegebett|C2|54062|nursing bed; hospital bed|медицинская кровать; функциональная кровать для больных|Krankenbett; Spitalbett|Das verstellbare Pflegebett bietet dem Patienten mehr Komfort.|The adjustable nursing bed offers the patient more comfort.|Регулируемая медицинская кровать обеспечивает пациенту больший комфорт.|Das verstellbare Krankenbett bietet dem Patienten mehr Komfort.|ein elektrisches Pflegebett; Pflegebett auf Rezept|A compound noun referring to a specialized bed with physical adjustments designed for bedridden people or patients undergoing long-term care, often in home care environments.
