word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
wagen|wagen|B1|2589|to dare, to venture, to risk|сметь, отваживаться, рисковать|riskieren; sich trauen; unternehmen|Er wagte nicht, ihr die Wahrheit zu sagen.|He did not dare to tell her the truth.|Он не отважился сказать ей правду.|Er traute sich nicht, ihr die Wahrheit zu sagen.|einen Versuch wagen; einen Blick wagen; den Schritt wagen; sich weit aus dem Fenster wagen|Used to express taking a risk or having the courage to do something. It can be used transitively (etwas wagen) or reflexively with a prepositional object (sich an etwas wagen). It is often followed by an infinitive with 'zu'.
wagen|wagemutig|C2|30951|daring, bold, adventurous|отважный, смелый, рискованный|kühn; mutig; beherzt; draufgängerisch|Die wagemutigen Bergsteiger kletterten ohne Seil.|The daring mountaineers climbed without a rope.|Отважные альпинисты поднимались без веревки.|Die kühnen Bergsteiger kletterten ohne Seil.|ein wagemutiger Entschluss; eine wagemutige Expedition; wagemutige Flieger|Describes a positive, brave, and adventurous quality, implying a calculated or voluntary risk, unlike 'waghalsig', which has a negative connotation of being reckless.
wagen|waghalsig|C1|21192|reckless, daredevil, foolhardy|отчаянный, безрассудный, сорвиголова|tollkühn; riskant; leichtsinnig; abenteuerlich|Seine waghalsigen Überholmanöver gefährden andere Autofahrer.|His reckless overtaking maneuvers endanger other drivers.|Его безрассудные маневры обгона подвергают опасности других водителей.|Seine tollkühnen Überholmanöver gefährden andere Autofahrer.|ein waghalsiges Unternehmen; ein waghalsiges Manöver; waghalsige Kletterei|Carries a negative connotation, suggesting that the risk taken is too high, irresponsible, or foolish (literally risking one's neck, 'Hals').
wagen|gewagt|C1|15355|daring, risky, bold, risqué|рискованный, смелый, пикантный|riskant; kühn; gewagt; anzüglich|Ihre gewagte Theorie löste eine heftige Diskussion aus.|Her daring theory triggered a heated discussion.|Ее смелая теория вызвала бурную дискуссию.|Ihre riskante Theorie löste eine heftige Diskussion aus.|eine gewagte These; ein gewagtes Kleid; eine gewagte Behauptung; gewagte Witze|Can describe something that involves high risk (like a thesis or investment) or something that borders on being socially improper, suggestive, or revealing (like a dress or a joke).
wagen|Wagehals|C2|193988|daredevil, hothead|сорвиголова, смельчак|Draufgänger; Teufelskerl; Risikofreudiger|Nur ein echter Wagehals würde von dieser Klippe springen.|Only a true daredevil would jump from this cliff.|Только настоящий сорвиголова прыгнул бы с этого утеса.|Nur ein echter Draufgänger würde von dieser Klippe springen.|ein tollkühner Wagehals; sich wie ein Wagehals verhalten|A literary or slightly dated noun (masculine) for someone who takes extreme risks. It has a similar meaning to 'Draufgänger' but emphasizes the physical danger.
wagen|Wagemut|C2|51377|daring, boldness, courage to take risks|отвага, смелость, готовность к риску|Mut; Kühnheit; Risikobereitschaft; Beherztheit|Für diese Expedition brauchte man eine gehörige Portion Wagemut.|You needed a good deal of daring for this expedition.|Для этой экспедиции требовалась изрядная доля отваги.|Für diese Expedition brauchte man eine gehörige Portion Kühnheit.|jugendlicher Wagemut; Wagemut beweisen; mit großem Wagemut|The positive virtue of being ready to take risks. It is an elevated or poetic word compared to simple 'Mut' (courage).
wagen|Wagestück|C2|188493|daring feat, risky undertaking|рискованное предприятие, смелый поступок|Wagnis; Abenteuer; Husarenstück; kühne Tat|Die Besteigung des Berges im Winter war ein gefährliches Wagestück.|Climbing the mountain in winter was a dangerous, daring feat.|Восхождение на гору зимой было опасным и смелым предприятием.|Die Besteigung des Berges im Winter war ein gefährliches Wagnis.|ein tollkühnes Wagestück; ein gefährliches Wagestück|A somewhat old-fashioned or literary neuter noun for a very risky action. 'Wagnis' is more commonly used in modern German.
wagen|Wagnis|C1|20497|venture, risk, hazard|риск, смелое предприятие, авантюра|Risiko; Abenteuer; Wagestück; Gefahr|Die Firmengründung mitten in der Krise war ein großes Wagnis.|Starting a company in the middle of the crisis was a major venture.|Основание компании в разгар кризиса было большим риском.|Die Firmengründung mitten in der Krise war ein großes Risiko.|ein Wagnis eingehen; sich auf ein Wagnis einlassen; ein finanzielles Wagnis|Describes a bold, risky action where the outcome is uncertain. It sounds more deliberate and serious than 'Risiko', often carrying a sense of courage.
wagen|Wagstück|C2|209209|daring feat, risky undertaking|рискованное предприятие, смелый шаг|Wagestück; Wagnis; Risiko; kühne Tat|Seine Flucht aus dem Gefängnis war ein verzweifeltes Wagstück.|His escape from prison was a desperate, daring feat.|Его побег из тюрьмы был отчаянным и рискованным шагом.|Seine Flucht aus dem Gefängnis war ein verzweifeltes Wagnis.|ein riskantes Wagstück; ein unglaubliches Wagstück|A variant spelling of 'Wagestück'. It is extremely rare, highly literary, and denotes a highly risky act.
wagen|durchwagen|C2|228311|to dare to go through, to venture through|отважиться пройти сквозь, рискнуть пробраться|sich durchschlagen; durchgehen; durchdringen|Sie wagten sich durch den dichten Nebel durch.|They dared to venture through the thick fog.|Они рискнули пробраться сквозь густой туман.|Sie schlugen sich durch den dichten Nebel durch.|sich durchwagen; sich durch den Sturm durchwagen; sich durch die Menge durchwagen|A separable verb, usually used reflexively ('sich durchwagen') with a prepositional object. It means having the courage to make one's way through a difficult or dangerous passage or situation.
wagen|heranwagen|C2|46064|to dare to approach, to venture near|отважиться приблизиться, осмелиться подойти|sich herantrauen; sich nähern; herantreten|Niemand wagte sich an das wilde Tier heran.|Nobody dared to approach the wild animal.|Никто не осмеливался приблизиться к дикому зверю.|Niemand traute sich an das wilde Tier heran.|sich an ein Problem heranwagen; sich an die Arbeit heranwagen; sich vorsichtig heranwagen|A separable, reflexive verb ('sich heranwagen'). It can mean physically approaching something scary, or figuratively tackling a difficult task or topic (sich an eine Aufgabe heranwagen).
wagen|herauswagen|C2|128622|to dare to come out, to venture out|отважиться выйти наружу, рискнуть выйти|sich heraustrauen; hinausgehen; hervorkommen|Wegen des Sturms wagte sich niemand aus dem Haus heraus.|Because of the storm, no one dared to venture out of the house.|Из-за бури никто не отваживался выйти из дома.|Wegen des Sturms traute sich niemand aus dem Haus heraus.|sich aus der Deckung herauswagen; sich ins Freie herauswagen|A separable, reflexive verb ('sich herauswagen'). It is used when leaving a safe, enclosed space to go outside into a potentially hostile or dangerous environment.
wagen|hervorwagen|C2|128392|to dare to come out, to venture forth|отважиться показаться, рискнуть выйти (из укрытия)|sich hervortrauen; hervorkommen; sich zeigen|Erst als es ruhig wurde, wagte sich die Maus aus ihrem Loch hervor.|Only when it became quiet did the mouse dare to venture out of its hole.|Только когда все стихло, мышка отважилась показаться из своей норки.|Erst als es ruhig wurde, traute sich die Maus aus ihrem Loch hervor.|sich aus dem Versteck hervorwagen; sich langsam hervorwagen|A separable, reflexive verb ('sich hervorwagen'). It specifically emphasizes emerging from a state of hiding, cover, or obscurity.
wagen|hinaufwagen|C2|193333|to dare to go up, to venture up|отважиться подняться вверх, рискнуть залезть наверх|sich hinauftrauen; hinaufsteigen; hochgehen|Sie wagte sich nicht auf das schwankende Gerüst hinauf.|She did not dare to venture up onto the swaying scaffolding.|Она не отважилась подняться на шаткие леса.|Sie traute sich nicht auf das schwankende Gerüst hinauf.|sich auf das Dach hinaufwagen; sich auf den Turm hinaufwagen|A separable, reflexive verb ('sich hinaufwagen'). It is used when taking a risk to ascend to a higher place, often involving heights or danger of falling.
