word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
rühren|rühren|B1|4657|to stir; to move (emotionally)|мешать; трогать (эмоционально)|bewegen; umrühren; ergreifen|Sie rührte die Suppe mit einem Holzlöffel.|She stirred the soup with a wooden spoon.|Она мешала суп деревянной ложкой.|Sie mischte die Suppe mit einem Holzlöffel.|die Suppe rühren; zu Tränen rühren; keinen Finger rühren|'Rühren' can mean physically stirring (often transitive with ingredients) or emotionally moving someone ('jemanden rühren' or 'zu Tränen rühren'). It is also part of the common idiom 'keinen Finger rühren' (not to lift a finger).
rühren|anrühren|C1|17960|to touch; to mix (with liquid)|прикасаться; замешивать|anfassen; berühren; anmachen|Rühr das heiße Blech nicht an!|Do not touch the hot baking tray!|Не прикасайся к горячему противню!|Fass das heiße Blech nicht an!|das Essen nicht anrühren; keinen Alkohol anrühren; Kleister anrühren|Often used in negative sentences to mean 'not to touch' or 'not to consume' (e.g., 'kein Essen anrühren'). In culinary terms, it means to mix a dry substance with a liquid ('Mehl mit Wasser anrühren').
rühren|aufrühren|C2|91548|to stir up; to rake up|взбудоражить; ворошить (прошлое)|aufwühlen; aufwirbeln; reaktivieren|Warum musst du immer die alte Geschichte aufrühren?|Why do you always have to rake up that old story?|Почему ты всегда должен ворошить это старое дело?|Warum musst du immer das alte Thema aufwühlen?|alte Wunden aufrühren; die Vergangenheit aufrühren; Staub aufrühren|Figuratively, 'aufrühren' means to bring up old memories, wounds, or disputes that were settled. Physically, it means to stir up sediment from the bottom of a container.
rühren|berühren|B1|3734|to touch; to affect; to mention|трогать; касаться; затрагивать|anfassen; tangieren; betreffen|Seine traurigen Worte berührten mich tief.|His sad words touched me deeply.|Его печальные слова глубоко тронули меня.|Seine traurigen Worte bewegten mich tief.|zärtlich berühren; ein Thema berühren; peinlich berührt sein|'Berühren' is more formal than 'anfassen' for physical contact. It is very frequently used for emotional touch ('deeply touched') or for addressing a topic briefly in a discussion ('ein Thema berühren').
rühren|fortrühren|C2|214980|to stir continuously; to move away|продолжать мешать; отодвинуть|weiterrühren; fortbewegen|Er musste den Brei fortrühren, damit er nicht anbrennt.|He had to keep stirring the porridge so that it wouldn't burn.|Ему пришлось продолжать мешать кашу, чтобы она не пригорела.|Er musste den Brei kontinuierlich mischen, damit er nicht anbrennt.|den Brei fortrühren; die Suppe fortrühren|This verb is quite rare in modern standard German. It mostly means to continue stirring ('fort-' as a continuation prefix, similar to 'weiterrühren'), or dialectally to move something away.
rühren|wegrühren|C2|208922|to stir away; to budge (reflexive)|убрать помешивая; сдвинуться с места|wegbewegen; weichen; fortbewegen|Er rührte sich nicht vom Fleck weg.|He did not budge from the spot.|Он не сдвинулся с места.|Er bewegte sich nicht von der Stelle.|sich nicht wegrühren; keinen Millimeter wegrühren|Almost exclusively used reflexively in negative contexts ('sich nicht wegrühren') to mean 'not to move an inch' or 'not to budge from a location'.
rühren|abrühren|C2|184003|to beat (creamy); to stir to smoothness|взбивать; размешивать до гладкости|schaumig schlagen; glattrühren; verrühren|Die Butter muss man zuerst schaumig abrühren.|You have to beat the butter until frothy first.|Сначала нужно взбить масло до состояния пены.|Die Butter muss man zuerst schaumig schlagen.|Butter schaumig abrühren; Eigelb abrühren|A culinary term, especially common in Austrian and Southern German culinary contexts, meaning to stir or whisk ingredients (such as butter, egg yolks, or dough) until smooth or frothy.
rühren|durchrühren|C2|65096|to stir thoroughly|тщательно перемешать|umrühren; durchmischen; verrühren|Bitte rühren Sie die Sauce gut durch.|Please stir the sauce thoroughly.|Пожалуйста, тщательно перемешайте соус.|Bitte mischen Sie die Sauce gut durch.|die Sauce durchrühren; den Teig durchrühren|Standard cooking term. The prefix 'durch-' emphasizes that the mixing action goes entirely through the mass to achieve a homogeneous state.
rühren|einrühren|C2|30207|to stir in; to blend into|вмешивать; добавлять помешивая|untermischen; hineinrühren; beimengen|Du musst das Mehl vorsichtig in die Milch einrühren.|You have to stir the flour carefully into the milk.|Тебе нужно аккуратно вмешать муку в молоко.|Du musst das Mehl vorsichtig unter die Milch mischen.|Mehl einrühren; die Hefe einrühren; vorsichtig einrühren|Used in cooking when a powder or liquid needs to be integrated into a main mixture by stirring. It is followed by 'in + accusative' or uses a direct accusative object.
rühren|glattrühren|C2|207745|to stir until smooth|размешать до гладкости|cremig rühren; glatt rühren; verfeinern|Rühren Sie den Quark mit etwas Milch glatt.|Stir the quark with a little milk until smooth.|Размешайте творог с небольшим количеством молока до однородной консистенции.|Machen Sie den Quark mit etwas Milch cremig.|Quark glattrühren; die Masse glattrühren; mit Schmand glattrühren|A cooking term meaning to stir a thick paste or cheese (like quark, cream cheese, or mascarpone) with a liquid until all lumps are dissolved and the texture is completely smooth.
