word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
gießen|gießen|C1|7122|to pour; to water (plants)|лить; наливать; поливать (цветы)|schütten; wässern; einschenken|Vergiss nicht, die Blumen im Garten zu gießen.|Don't forget to water the flowers in the garden.|Не забудь полить цветы в саду.|Vergiss nicht, die Blumen im Garten zu wässern.|Blumen gießen; im Strömen gießen; Metall gießen|'gießen' is the base verb. It is commonly used for watering plants or pouring liquids. In the impersonal form 'es gießt', it colloquially means it is raining heavily. It is also used in industrial contexts for casting metal or other materials.
gießen|abgießen|C2|39580|to drain; to strain (liquids)|сливать (жидкость); отцеживать|abseihen; absieben; wegschütten|Du musst das Nudelwasser vorsichtig abgießen.|You need to drain the pasta water carefully.|Тебе нужно аккуратно слить воду от макарон.|Du musst das Nudelwasser vorsichtig abseihen.|Nudeln abgießen; Kartoffeln abgießen; das Wasser abgießen|Primarily used in culinary contexts, meaning to pour off liquid from food after boiling. It can also mean casting a replica from a mold in art/sculpture.
gießen|angießen|C2|41935|to water (newly planted seeds/plants); to pour onto (to start a sauce)|полить (впервые после посадки); подливать (бульон при готовке)|anwässern; beigießen; dazugießen|Nach dem Einpflanzen musst du die Setzlinge gut angießen.|After planting, you must water the seedlings well.|После посадки нужно хорошо полить саженцы.|Nach dem Einpflanzen musst du die Setzlinge gut anwässern.|Setzlinge angießen; Pflanzen frisch angießen; mit Brühe angießen|In gardening, it means watering freshly planted vegetation to help it take root. In cooking, it refers to adding a small amount of liquid (like broth or wine) to a pot to deglaze or start a sauce.
gießen|aufgießen|C2|36528|to brew (tea/coffee); to pour water on|заваривать (чай, кофе); заливать кипятком|aufbrühen; überbrühen|Sie goss den Tee mit kochendem Wasser auf.|She brewed the tea with boiling water.|Она залила чай кипятком.|Sie brühte den Tee mit kochendem Wasser auf.|Tee aufgießen; Kaffee frisch aufgießen; mit heißem Wasser aufgießen|Mainly used for making hot beverages like coffee or tea by pouring hot water over the leaves or grounds. Also used in sauna terminology (Saunaaufguss).
gießen|ausgießen|C2|54406|to empty; to pour out; to fill (cavities)|выливать; проливать; заполнять (формы, пустоты)|leeren; ausschütten; ausfüllen|Bitte gieß das schmutzige Wasser im Waschbecken aus.|Please pour the dirty water out in the sink.|Пожалуйста, вылей грязную воду в раковину.|Bitte schütte das schmutzige Wasser im Waschbecken aus.|Eimer ausgießen; ein Loch mit Beton ausgießen; sein Herz ausgießen|Can mean emptying a container of liquid (to pour out). It also has a technical meaning: filling an empty space or mold with liquid concrete, wax, or plaster. Metaphorically used in 'sein Herz ausgießen' (to pour one's heart out).
gießen|durchgießen|C2|209987|to strain; to filter (liquids)|процеживать; фильтровать|durchseihen; filtern; durchsieben|Du solltest die Brühe durch ein feines Sieb durchgießen.|You should strain the broth through a fine sieve.|Тебе следует процедить бульон через мелкое сито.|Du solltest die Brühe durch ein feines Sieb durchseihen.|Flüssigkeit durch ein Sieb durchgießen; Kaffee durchgießen|A relatively rare and traditional verb, meaning to pass a liquid through a sieve, filter, or cloth to separate solid particles.
gießen|eingießen|C2|71073|to pour (a drink); to pour into|наливать (напиток); вливать|einschenken; füllen; hineinschütten|Soll ich dir noch etwas Wein eingießen?|Should I pour you some more wine?|Налить тебе еще вина?|Soll ich dir noch etwas Wein einschenken?|Wein eingießen; Saft in ein Glas eingießen; ein Getränk eingießen|Very common synonym for 'einschenken', used when pouring a beverage into a glass, cup, or mug. It can also mean pouring a liquid ingredient into a mixture.
gießen|ergießen|C2|24323|to pour out; to gush; to discharge (reflexive)|изливаться; впадать (о реке); хлынуть (reflexive)|münden; strömen; herausfließen|Der Fluss ergießt sich schließlich in das Meer.|The river finally empties into the sea.|Река в конце концов впадает в море.|Der Fluss mündet schließlich in das Meer.|sich in den Ozean ergießen; ein Strom ergießt sich; Tränen ergießen sich|Elevated and literary style. Almost always used reflexively ('sich ergießen') to describe bodies of water discharging into others, or crowds, emotions, and light spreading out rapidly.
gießen|fortgießen|C2|227578|to pour away; to throw away (liquid)|выливать (за ненадобностью); выбрасывать жидкость|weggießen; wegschütten; entsorgen|Du kannst das alte Teewasser jetzt fortgießen.|You can pour away the old tea water now.|Ты можешь вылить старую заварку прямо сейчас.|Du kannst das alte Teewasser jetzt weggießen.|Reste fortgießen; schmutziges Wasser fortgießen|A regional or slightly dated/formal synonym of 'weggießen'. It implies disposing of a liquid that is no longer needed.
gießen|heruntergießen|C2|223864|to pour down; to gulp down|сливать сверху вниз; быстро выпивать (залпом)|hinuntergießen; herunterschlucken; hinunterschütten|Er musste das bittere Medikament schnell heruntergießen.|He had to gulp down the bitter medicine quickly.|Ему пришлось быстро проглотить горькое лекарство.|Er musste das bittere Medikament schnell hinunterschütten.|ein Bier heruntergießen; Medizin heruntergießen; Wasser heruntergießen|Can mean physically pouring liquid downwards, but colloquially it is used to describe drinking a beverage very quickly or in large gulps.
gießen|hineingießen|C2|115992|to pour in; to pour into|вливать; наливать внутрь|reingießen; hineinschütten; einfüllen|Du musst die Milch vorsichtig in den Teig hineingießen.|You need to pour the milk carefully into the dough.|Тебе нужно аккуратно влить молоко в тесто.|Du musst die Milch vorsichtig in den Teig hineinschütten.|Flüssigkeit in die Form hineingießen; Zutaten hineingießen|Focuses on the spatial action of pouring a liquid inside a container or mixture. Very similar to 'eingießen' but emphasizes the container's interior.
gießen|hingießen|C2|120711|to pour out (carelessly); to stretch out (reflexive, poetic)|проливать; небрежно растянуться (развалиться)|hinschütten; vergießen; hinlegen|Sie goss das Wasser einfach auf die Straße hin.|She simply poured the water onto the street.|Она просто вылила воду на улицу.|Sie schüttete das Wasser einfach auf die Straße hin.|sich hingießen (poetic for lying down); Wasser hingießen|Rare verb. Literally, to pour liquid out on the ground. Poetical or elevated reflexive usage ('sich hingießen') describes a person lying down lazily, elegantly, or relaxed.
gießen|hintergießen|C2|223876|to backfill with concrete/grout; to pour behind|заливать сзади (бетоном); укреплять заливкой с обратной стороны|hinterfüllen; ausgießen; untermauern|Man muss die Fliesen ordnungsgemäß hintergießen, damit sie stabil bleiben.|One must backfill the tiles properly with grout so that they remain stable.|Нужно правильно залить плитку сзади, чтобы она держалась устойчиво.|Man muss die Fliesen ordnungsgemäß hinterfüllen, damit sie stabil bleiben.|Kacheln hintergießen; eine Wand hintergießen; Schamotte hintergießen|A highly specialized term used in construction and craftsmanship. It means pouring concrete, mortar, or grout behind a facade element, tile, or wall structure for reinforcement.
gießen|hinuntergießen|C2|209749|to gulp down; to wash down|выпить залпом; быстро проглотить|herunterschütten; hinunterschlucken; austrinken|Er goss ein Glas kaltes Wasser hinunter, um den Durst zu löschen.|He gulped down a glass of cold water to quench his thirst.|Он выпил стакан холодной воды залпом, чтобы утолить жажду.|Er schüttete ein Glas kaltes Wasser hinunter, um den Durst zu löschen.|ein Getränk hinuntergießen; den Trank hinuntergießen|Virtually synonymous with 'heruntergießen'. It is used colloquially to express drinking something quickly or downing an alcoholic beverage.
gießen|nachgießen|C2|87691|to top up; to pour more (liquids)|подливать; доливать|nachschenken; nachfüllen; hinzugießen|Darf ich dir noch etwas Kaffee nachgießen?|May I pour you some more coffee?|Можно мне подлить тебе еще кофе?|Darf ich dir noch etwas Kaffee nachschenken?|Suppe nachgießen; Wasser nachgießen; Wein nachgießen|Commonly used during meals to offer or add more beverage (similar to 'nachschenken') or when cooking to add extra liquid (like broth or water) to a simmering dish.
gießen|übergießen|C2|23169|to douse; to pour over|обливать; заливать; поливать сверху|begießen; überschütten; überspülen|Er übergoss den Kuchen mit warmer Schokolade.|He poured warm chocolate over the cake.|Он полил торт теплой глазурью.|Er bedeckte den Kuchen mit warmer Schokolade.|mit Schokolade übergießen; mit kochendem Wasser übergießen; sich mit Benzin übergießen|Can be separable (rare, means to spill over) or inseparable (very common, means to cover something entirely with liquid, e.g. a glaze or dousing oneself in water). Note the stress: inseparable is 'übergíeßen'.
gießen|umgießen|C2|115511|to decant; to pour into another container|переливать (в другую емкость)|umfüllen; umschütten; decantieren|Wir sollten den Wein in eine Karaffe umgießen.|We should decant the wine into a carafe.|Нам следует перелить вино в графин.|Wir sollten den Wein in eine Karaffe umfüllen.|Flüssigkeit umgießen; in ein anderes Gefäß umgießen|Refers to transfering liquid from one container to another. In metallurgy, it can also mean to recast an object using a different mold.
gießen|vergießen|C2|24025|to spill; to shed (tears, blood)|проливать (слезы, кровь, жидкость случайно)|verschütten; verkleckern; verpatzen|Pass auf, dass du den Kaffee nicht vergießt!|Be careful not to spill the coffee!|Осторожно, не пролей кофе!|Pass auf, dass du den Kaffee nicht verschüttest!|Tränen vergießen; Blut vergießen; Schweiß vergießen|Often used in idiomatic and elevated expressions like 'Blut vergießen' (to shed blood) or 'Tränen vergießen' (to shed tears). In daily life, it is a synonym of 'verschütten' (accidentally spilling a liquid).
gießen|vollgießen|C2|196165|to fill to the brim (with liquid)|наливать доверху; наполнять|füllen; vollmachen; vollschenken|Du musst das Glas nicht ganz vollgießen.|You don't have to fill the glass completely to the brim.|Тебе не обязательно наливать стакан до самого верха.|Du musst das Glas nicht ganz vollschenken.|ein Glas vollgießen; den Becher vollgießen|An everyday, informal word meaning to pour enough drink into a glass or cup so that it is entirely full.
gießen|weggießen|C2|143403|to pour away; to discard (liquid)|выливать (выбрасывать)|wegschütten; wegtun; entsorgen|Das alte Wasser kannst du einfach weggießen.|You can simply pour away the old water.|Старую воду ты можешь просто вылить.|Das alte Wasser kannst du einfach wegschütten.|Reste weggießen; Milch weggießen; Kaffee weggießen|Highly common, everyday term for pouring out unwanted liquids down the drain.
gießen|zugießen|C2|84769|to add liquid (while cooking); to seal/close by pouring|доливать; добавлять воду; заливать (закупоривать)|dazugießen; hinzugeben; auffüllen|Gieß bitte noch etwas Wasser zu, während die Suppe kocht.|Please add some more water while the soup is cooking.|Пожалуйста, подлей еще немного воды, пока суп варится.|Gieß bitte noch etwas Wasser dazu, während die Suppe kocht.|Wasser zugießen; Milch zugießen; ein Loch zugießen|Used in cooking to specify adding more liquids (water, milk, broth) to a pot. It can also mean sealing or filling a hole or crevice with a liquid substance like plaster or liquid wax.
gießen|zusammengießen|C2|172467|to pour together; to merge (liquids)|сливать вместе (жидкости)|mischen; zusammenführen; zusammenmischen|Wir können die Reste des Weins zusammengießen.|We can pour the leftovers of the wine together.|Мы можем слить остатки вина вместе.|Wir können die Reste des Weins zusammenmischen.|Reste zusammengießen; Flüssigkeiten zusammengießen|Refers to combining separate amounts of liquids into a single container, often used with leftovers or when mixing ingredients.
gießen|begießen|C2|34271|to water (plants); to douse; to celebrate (colloquial)|поливать (растения); обливать; обмывать (событие)|wässern; feiern; anstoßen|Wir müssen deinen Erfolg gebührend begießen!|We must celebrate your success with a drink!|Мы должны как следует обмыть твой успех!|Wir müssen deinen Erfolg gebührend feiern!|Pflanzen begießen; den Erfolg begießen; Braten mit Soße begießen|Literally means to pour water/liquid over something (like flowers or meat in the oven). Colloquially, it is highly popular in the sense of 'etwas begießen', which means to celebrate a happy event, purchase, or success with alcoholic drinks.
