word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
spannen|spannen|B2|8113|to stretch; to tighten; to span|натягивать; зажимать; охватывать|dehnen; anspannen; straffen; erstrecken|Wir müssen das Seil fester spannen.|We need to stretch the rope tighter.|Нам нужно натянуть веревку сильнее.|Wir müssen das Seil fester straffen.|ein Seil spannen; Muskeln spannen; einen Bogen spannen|Common verb meaning to stretch or pull tight (e.g., ropes, canvas, or muscles). In colloquial speech, it can also mean to spy or peep (voyeurism).
spannen|gespannt|B2|2079|tense; curious; anxious; expectant|натянутый; напряженный; любопытный (в предвкушении)|neugierig; aufmerksam; straff; angespannt|Ich bin gespannt auf deine Antwort.|I am curious about your answer.|Мне любопытно узнать твой ответ.|Ich bin neugierig auf deine Antwort.|gespannt sein auf; gespannte Atmosphäre; gespannt zuhören|Extremely common in the construction 'gespannt sein auf + accusative' (to be excited/curious about). It can also describe physical tension (e.g., a tight rope) or an anxious atmosphere.
spannen|spannend|B2|1016|exciting; thrilling; fascinating|захватывающий; увлекательный; интересный|aufregend; fesselnd; interessant; packend|Der Film gestern war wirklich spannend.|The movie yesterday was really exciting.|Фильм вчера был действительно захватывающим.|Der Film gestern war wirklich fesselnd.|eine spannende Geschichte; ein spannendes Buch; spannend erzählen|Used to describe books, films, games, or events that maintain high suspense or interest. Slightly different from 'aufregend', which implies emotional agitation.
spannen|spannfähig|C2|224366|tensionable; clampable; stretchable|поддающийся натяжению; зажимаемый|dehnbar; spannbar; elastisch|Das Material ist extrem elastisch und leicht spannfähig.|The material is extremely elastic and easily tensionable.|Материал крайне эластичен и легко поддается натяжению.|Das Material ist extrem elastisch und leicht dehnbar.|spannfähiges Material; leicht spannfähig|A highly technical term used in engineering and materials science to describe a workpiece or material that can be clamped or tensioned in a machine.
spannen|Spann|B1|54651|instep (of the foot)|подъем (стопы)|Fußrücken; Rist|Der Schuh drückt mich am Spann.|The shoe pinches me at the instep.|Туфля жмет мне в подъеме стопы.|Der Schuh drückt mich am Fußrücken.|ein hoher Spann; Schmerzen im Spann; den Spann dehnen|Refers to the upper part of the human foot. Often relevant when buying shoes or in sports medicine.
spannen|Spannbeton|C2|122018|prestressed concrete|предварительно напряженный железобетон|Vorspannbeton|Die Brücke wurde aus robustem Spannbeton gebaut.|The bridge was built from robust prestressed concrete.|Мост был построен из прочного предварительно напряженного бетона.|Die Brücke wurde aus robustem Vorspannbeton gebaut.|Bauteile aus Spannbeton; Brücke aus Spannbeton; Spannbeton verwenden|A specialized civil engineering term for concrete containing steel cables stretched under high tension to increase structural capacity.
spannen|Spannbreite|C2|47545|range; spectrum; bandwidth|диапазон; широта; спектр; размах|Bandbreite; Spektrum; Reichweite; Vielfalt|Die Spannbreite der Meinungen zu diesem Thema ist enorm.|The range of opinions on this topic is enormous.|Диапазон мнений по этой теме огромен.|Die Bandbreite der Meinungen zu diesem Thema ist enorm.|eine enorme Spannbreite; die Spannbreite der Angebote; Spannbreite der Themen|Often used figuratively to describe the diversity, scale, or spectrum of opinions, prices, topics, or possibilities.
spannen|Spanndienst|C2|122314|socage with draft animals; compulsory team work (feudal service)|барщина с использованием тяглого скота|Fronarbeit; Hand- und Spannarbeit; Frondienst|Die Bauern mussten im Mittelalter Spanndienste leisten.|The peasants had to perform team-work services in the Middle Ages.|Крестьяне в Средние века должны были отрабатывать барщину с тяглым скотом.|Die Bauern mussten im Mittelalter Frondienste leisten.|Spanndienste leisten; herrschaftliche Spanndienste|A historical, legal term denoting the feudal obligation of peasants to provide horses, oxen, and carriages for their lord's service.
spannen|Spanne|C1|18224|margin; span; range; gap|промежуток; интервал; диапазон; наценка (маржа)|Differenz; Spielraum; Zeitraum; Marge|In dieser kurzen Spanne Zeit ist viel passiert.|A lot happened in this short span of time.|За этот короткий промежуток времени произошло многое.|In diesem kurzen Zeitraum ist viel passiert.|eine Spanne Zeit; eine finanzielle Spanne; Spanne zwischen Einkauf und Verkauf|Refers to a period of time (Zeitspanne), a conceptual gap, or a financial profit margin (Handelsspanne).
spannen|Spannfeder|C2|170200|tension spring|натяжная пружина|Zugfeder|Die Spannfeder hält die Klappe geschlossen.|The tension spring keeps the flap closed.|Натяжная пружина удерживает крышку закрытой.|Die Zugfeder hält die Klappe geschlossen.|eine elastische Spannfeder; Spannfeder austauschen; Spannfeder spannen|A technical term for a mechanical spring designed to act under tension.
spannen|Spannfutter|C2|136106|chuck; collet; clamping chuck|зажимной патрон (станка)|Bohrfutter; Haltevorrichtung|Der Bohrer muss fest im Spannfutter sitzen.|The drill bit must sit firmly in the chuck.|Сверло должно прочно сидеть в зажимном патроне.|Der Bohrer muss fest im Bohrfutter sitzen.|dreizackiges Spannfutter; Spannfutter öffnen; Werkzeug im Spannfutter einspannen|A mechanical component used in drills and lathes to hold a tool or workpiece tightly.
spannen|Spanngardine|C2|231678|sash curtain; stretched curtain|натяжная занавеска (закрепленная сверху и снизу)|Scheibengardine; Spannvorhang|Die Spanngardine schützt das Fenster vor neugierigen Blicken.|The sash curtain protects the window from curious eyes.|Натяжная занавеска защищает окно от любопытных взглядов.|Die Scheibengardine schützt das Fenster vor neugierigen Blicken.|eine weiße Spanngardine; Spanngardine anbringen|A curtain held in tension directly on the window pane by rods at both the top and the bottom.
spannen|Spanngurt|C2|69557|tension belt; ratchet strap; tie-down strap|стяжной ремень; натяжной ремень|Zurrgurt; Befestigungsriemen|Sichern Sie die Ladung mit einem robusten Spanngurt.|Secure the load with a sturdy tension belt.|Закрепите груз прочным стяжным ремнем.|Sichern Sie die Ladung mit einem robusten Zurrgurt.|die Ladung mit einem Spanngurt sichern; Spanngurt festziehen; elastischer Spanngurt|Widely used in logistics, transport, or DIY settings to tightly secure heavy luggage or cargo.
spannen|Spannhang|C2|256531|tension slope; steep structural slope|крутой склон пласта (геол.)|Steilhang; Felshang|Der Spannhang des Berges ist schwer zu besteigen.|The steep structural slope of the mountain is difficult to climb.|На крутой геологический склон горы трудно взобраться.|Der Steilhang des Berges ist schwer zu besteigen.|steiler Spannhang; geologische Formation am Spannhang|An extremely rare geological or geomorphological term describing a structural mountain slope created by tension forces.
spannen|Spannkraft|C2|51150|elasticity; resilience; vitality; vigor|упругость; эластичность; жизненная сила; энергия|Elastizität; Vitalität; Tatkraft|Mit den Jahren verliert die Haut ihre Spannkraft.|Over the years, the skin loses its elasticity.|С годами кожа теряет свою упругость.|Mit den Jahren verliert die Haut ihre Elastizität.|Spannkraft der Haut; jugendliche Spannkraft; geistige Spannkraft|Can denote physical elasticity (especially in cosmetics regarding skin, or in engineering regarding springs) or human vitality and mental drive.
spannen|Spannlaken|C2|191638|fitted sheet|натяжная простыня (на резинке)|Spannbetttuch; Betttuch|Ich ziehe ein neues Spannlaken auf das Bett auf.|I am putting a new fitted sheet on the bed.|Я застилаю кровать новой натяжной простыней.|Ich ziehe ein neues Spannbetttuch auf das Bett auf.|ein weißes Spannlaken; Spannlaken aus Baumwolle; Spannlaken aufziehen|A bed sheet with elastic corners that fit snugly around the mattress. Also known as 'Spannbetttuch'.
spannen|Spannrahmen|C2|134300|tenter frame; stretcher frame; tension frame|натяжная рама; подрамник (для холста)|Keilrahmen; Stickrahmen|Der Maler spannt die Leinwand auf einen hölzernen Spannrahmen.|The painter stretches the canvas onto a wooden stretcher frame.|Художник натягивает холст на деревянный подрамник.|Der Maler spannt die Leinwand auf einen hölzernen Keilrahmen.|hölzerner Spannrahmen; Spannrahmen für Fliegengitter; Leinwand auf den Spannrahmen spannen|A frame over which fabric, canvas, or fly-screens are stretched. Very common in painting, embroidery, or home maintenance.
spannen|Spannreck|C2|204697|tensioned high bar (gymnastics)|гимнастический турник с растяжками|Turnreck; Reck|Der Turner zeigte am Spannreck eine perfekte Übung.|The gymnast showed a perfect routine on the tensioned high bar.|Гимнаст показал идеальное упражнение на турнике с растяжками.|Der Turner zeigte am Turnreck eine perfekte Übung.|am Spannreck turnen; Spannreck aufbauen|A specialized gymnastics apparatus consisting of a horizontal bar secured to the floor with steel tension cables.
spannen|Spannsäge|C2|221960|frame saw; bow saw|лучковая пила|Gestellsäge; Bügelsäge|Mit der Spannsäge schnitt er das dicke Holzscheit durch.|He cut through the thick log with the frame saw.|С помощью лучковой пилы он распилил толстое полено.|Mit der Gestellsäge schnitt er das dicke Holzscheit durch.|Holzarbeiten mit der Spannsäge; Spannsäge spannen|A traditional wood saw where the blade is held taut in a wooden frame. Primarily used in forestry and woodwork.
spannen|Spannsatz|C2|210192|clamping set; locking assembly|зажимной комплект; зажимная муфта|Spannelement; Klemmvorrichtung|Der Spannsatz verbindet die Welle fest mit der Nabe.|The locking assembly firmly connects the shaft to the hub.|Зажимной комплект прочно соединяет вал со ступицей.|Das Spannelement verbindet die Welle fest mit der Nabe.|mechanischer Spannsatz; Spannsatz montieren|An engineering term for a friction-locking mechanical assembly used to connect rotating parts like shafts and gears.
spannen|Spannschloss|C2|253980|turnbuckle|талреп; винтовая стяжка|Seilspanner; Gewindehülse|Das Seil wurde mithilfe eines Spannschlosses gestrafft.|The rope was tightened using a turnbuckle.|Трос был натянут с помощью талрепа.|Das Seil wurde mithilfe eines Seilspanners gestrafft.|Spannschloss festziehen; ein rostfreies Spannschloss; Spannschloss für Drahtseile|A mechanical hardware device consisting of two threaded eyelets, used for adjusting tension or length in ropes and cables.
spannen|Spannschraube|C2|146968|clamping screw; tensioning bolt|натяжной болт; зажимной винт|Klemmschraube; Stellschraube|Drehen Sie die Spannschraube, um den Riemen zu straffen.|Turn the clamping screw to tighten the belt.|Поверните натяжной винт, чтобы натянуть ремень.|Drehen Sie die Klemmschraube, um den Riemen zu straffen.|die Spannschraube anziehen; Spannschraube lösen|A specialized bolt or screw used to apply mechanical tension or clamp components securely together.
spannen|Spannstahl|C2|143737|prestressing steel; high-tensile steel|напрягаемая арматура; высокопрочная сталь для железобетона|Vorspannstahl|Für die Betonpfeiler wird hochwertiger Spannstahl benötigt.|High-quality prestressing steel is required for the concrete pillars.|Для бетонных столбов требуется высококачественная напрягаемая арматура.|Für die Betonpfeiler wird hochwertiger Vorspannstahl benötigt.|hochfester Spannstahl; Spannstahl verlegen; Litzen aus Spannstahl|A mechanical construction engineering term referring to high-strength steel wire or cables used to prestress concrete elements.
spannen|Spannstich|C2|204839|satin stitch (embroidery); straight stitch|гладьевой стежок (вышивание)|Plattstich; Flachstich|Der Spannstich eignet sich hervorragend zum Füllen von Blütenblättern.|The satin stitch is excellent for filling in flower petals.|Гладьевой стежок отлично подходит для заполнения лепестков цветов.|Der Plattstich eignet sich hervorragend zum Füllen von Blütenblättern.|Spannstich sticken; sauberer Spannstich|A basic hand-embroidery term describing a straight stitch laid flat across the fabric to fill in shapes.
spannen|Spannstoff|C2|171444|stretch fabric; tensioning fabric|эластичная ткань; натяжное полотно|Stretchgewebe; elastischer Stoff|Dieser Spannstoff ist ideal für Sportbekleidung.|This stretch fabric is ideal for sportswear.|Эта эластичная ткань идеально подходит для спортивной одежды.|Dieses Stretchgewebe ist ideal für Sportbekleidung.|elastischer Spannstoff; Spannstoff für Decken|Refers either to elastic textiles in fashion or specialized materials used for tension ceilings and screens.
spannen|Spannteppich|C2|129970|wall-to-wall carpet; fitted carpet|ковролин (натянутый от стены до стены)|Teppichboden; Auslegeware|Im Schlafzimmer haben wir einen weichen Spannteppich verlegt.|We installed a soft wall-to-wall carpet in the bedroom.|В спальне мы постелили мягкий ковролин.|Im Schlafzimmer haben wir einen weichen Teppichboden verlegt.|Spannteppich reinigen; Spannteppich verlegen; grauer Spannteppich|This term is widely used in Austria and Switzerland. In Germany, 'Teppichboden' is the more standard term.
spannen|Spannung|B2|2461|tension; suspense; voltage; excitement|напряжение; саспенс; волнение|Anspannung; Aufregung; elektrische Spannung|Die Spannung vor dem Spiel steigt von Minute zu Minute.|The excitement before the match increases minute by minute.|Напряжение перед матчем возрастает с каждой минутой.|Die Aufregung vor dem Spiel steigt von Minute zu Minute.|unter Spannung stehen; die Spannung steigt; elektrische Spannung|A highly versatile noun meaning physical tension, narrative suspense (thrillers), emotional/relational conflict, or electrical voltage.
spannen|Spannvorrichtung|C2|125130|clamping device; tensioner|зажимное приспособление; натяжное устройство|Klemmvorrichtung; Halterung|Fixieren Sie das Werkstück mit der Spannvorrichtung.|Fix the workpiece with the clamping device.|Зафиксируйте деталь зажимным приспособлением.|Fixieren Sie das Werkstück mit der Klemmvorrichtung.|pneumatische Spannvorrichtung; Spannvorrichtung lösen|A general technical term for any mechanical tool or mechanism designed to hold parts in place during processing.
spannen|Spannweite|C2|27436|wingspan; span; scope|размах крыльев; пролет (моста); диапазон|Flügelspannweite; Distanz; Spektrum; Tragweite|Der Adler hat eine beeindruckende Spannweite von über zwei Metern.|The eagle has an impressive wingspan of over two meters.|У орла впечатляющий размах крыльев — более двух метров.|Der Adler hat eine beeindruckende Flügelspannweite von über zwei Metern.|die Spannweite der Flügel; Spannweite einer Brücke; geistige Spannweite|Used physically for the wingspan of birds/airplanes or the arch of bridges, and figuratively for the scope or variety of a topic.
spannen|Gespann|C1|14855|team (of horses/oxen); vehicle with trailer; duo; team|упряжка; автопоезд; дуэт (напарники)|Duo; Zweierteam; Fahrzeugkombination|Die beiden Detektive sind ein unschlagbares Gespann.|The two detectives are an unbeatable duo.|Эти два детектива — непобедимый дуэт.|Die beiden Detektive sind ein unschlagbares Duo.|ein eingespieltes Gespann; Gespann aus Pferden; Auto-Anhänger-Gespann|Originally a team of harnessed draft animals. Today, it describes a car towing a trailer/caravan, or figuratively a well-coordinated team of two people.
spannen|Spanner|C2|50113|peeping Tom; voyeur; tensioner|вуайерист; подглядывающий; натяжитель|Voyeur; Kiebitz; Kettenspanner|Die Polizei nahm den Spanner fest, der durch die Fenster guckte.|The police arrested the peeping Tom who was looking through the windows.|Полиция арестовала вуайериста, который заглядывал в окна.|Die Polizei nahm den Voyeur fest, der durch die Fenster guckte.|ein heimlicher Spanner; Spanner an der Kette|Colloquially pejorative for a voyeur. Technically, it denotes mechanical tensioning tools or devices (e.g., chain tensioners).
spannen|abspannen|C2|86928|to unharness; to relax; to brace/stay (with ropes)|распрягать (лошадей); расслабляться (разг.); крепить оттяжками|ausspannen; sich erholen; entlasten; abkoppeln|Nach einer harten Arbeitswoche muss ich erst mal abspannen.|After a hard week of work, I need to relax first.|После тяжелой рабочей недели мне нужно сначала расслабиться.|Nach einer harten Arbeitswoche muss ich erst mal ausspannen.|die Pferde abspannen; ein Zelt abspannen; am Wochenende abspannen|Can mean literal unharnessing of draft animals, physical structural anchoring (tents), or colloquially relaxing/taking a load off.
spannen|anspannen|C1|12008|to tense (muscles); to harness (horses); to exert|напрягать (мышцы); запрягать; прилагать усилия|anziehen; straffen; beanspruchen|Du musst deine Bauchmuskeln fest anspannen.|You need to tense your abdominal muscles tightly.|Тебе нужно сильно напрячь мышцы живота.|Du musst deine Bauchmuskeln fest straffen.|Muskeln anspannen; alle Kräfte anspannen; die Pferde anspannen|Primarily used for tensing muscles or gathering strength. Also refers to harnessing animals to a carriage.
spannen|aufspannen|C2|40435|to open (an umbrella); to stretch out; to mount|раскрывать (зонт); натягивать; монтировать|öffnen; aufziehen; aufschlagen|Weil es anfing zu regnen, musste ich meinen Regenschirm aufspannen.|Because it started to rain, I had to open my umbrella.|Из-за того что пошел дождь, мне пришлось раскрыть зонт.|Weil es anfing zu regnen, musste ich meinen Regenschirm öffnen.|den Regenschirm aufspannen; ein Zelt aufspannen; Leinwand aufspannen|Most frequently paired with 'Regenschirm' (umbrella) or things with canvas, sheets, or tents that are spread open under tension.
spannen|ausspannen|C2|34072|to relax; to unharness; to steal someone's partner (coll.)|отдыхать; распрягать; уводить (партнера, разг.)|sich ausruhen; entspannen; abspannen|Am Wochenende möchte ich einfach nur im Garten ausspannen.|On the weekend, I just want to relax in the garden.|В выходные я хочу просто отдохнуть в саду.|Am Wochenende möchte ich einfach nur im Garten entspannen.|im Urlaub ausspannen; den Partner ausspannen; Pferde ausspannen|Common colloquial word for relaxing. Also possesses a negative colloquial meaning: 'jemandem den Partner ausspannen' (to steal someone's romantic partner).
spannen|bespannen|C2|54118|to cover (with fabric); to string (a racket)|обтягивать (тканью); натягивать струны|beziehen; überziehen; besaiten|Der Handwerker wird den alten Stuhl mit neuem Stoff bespannen.|The craftsman will cover the old chair with new fabric.|Мастер обтянет старый стул новой тканью.|Der Handwerker wird den alten Stuhl mit neuem Stoff beziehen.|einen Tennisschläger bespannen; einen Rahmen bespannen; mit Stoff bespannen|Used when covering a structural frame (chairs, frames, sports rackets, musical instruments) with stretched fabric, leather, or strings.
spannen|einspannen|C1|20269|to clamp; to harness; to involve/harness someone for a task (fig.)|зажимать; запрягать; вовлекать (в работу)|festklemmen; einbinden; beanspruchen|Mein Chef tut alles, um mich am Wochenende einzuspannen.|My boss does everything to involve me in work on the weekend.|Мой начальник делает всё, чтобы запрячь меня в работу на выходных.|Mein Chef tut alles, um mich am Wochenende einzubinden.|in eine Vorrichtung einspannen; jemanden für eine Arbeit einspannen; voll eingespannt sein|Very common in the passive state: 'voll eingespannt sein' (to be extremely busy or tied down with tasks). Literally, to clamp down a workpiece.
spannen|entspannen|B2|4471|to relax; to ease; to wind down|расслаблять(ся); разряжать (обстановку)|relaxen; ausruhen; lockern; beruhigen|Nach dem Sport hilft ein heißes Bad, die Muskeln zu entspannen.|After sports, a hot bath helps to relax the muscles.|После спорта горячая ванна помогает расслабить мышцы.|Nach dem Sport hilft ein heißes Bad, die Muskeln zu lockern.|sich entspannen; Muskeln entspannen; die Lage entspannt sich|Extremely frequent verb. Can be reflexive ('sich entspannen' - to relax) or transitive ('die Muskeln entspannen'). Also describes alleviating international/political tensions.
spannen|überspannen|C2|23714|to overstrain; to span (over something); to overstretch|перетягивать; перенапрягать; охватывать; перекрывать (мостом)|übertreiben; überfordern; überdehnen|Du solltest den Bogen mit deinen Forderungen nicht überspannen.|You shouldn't overstretch the bow with your demands.|Тебе не стоит перегибать палку со своими требованиями.|Du solltest den Bogen mit deinen Forderungen nicht übertreiben.|den Bogen überspannen; Muskeln überspannen; ein Tal überspannen|Most famous in the idiom 'den Bogen überspannen' (to push one's luck, go too far). In inseparable form, it means physically bridging/spanning over an area.
spannen|umspannen|C2|46729|to span; to encompass; to transform (electricity)|охватывать; огибать; трансформировать (напряжение)|umfassen; einschließen; transformieren|Seine Forschungen umspannen einen Zeitraum von zwanzig Jahren.|His research spans a period of twenty years.|Его исследования охватывают двадцатилетний период.|Seine Forschungen umfassen einen Zeitraum von zwanzig Jahren.|einen Zeitraum umspannen; ein Gebiet umspannen; Strom umspannen|When meaning to encompass time or space, it is inseparable. In electrical engineering, it is used to transform voltage (related to 'Umspannwerk').
spannen|verspannen|C2|56161|to tense up; to brace (construction); to misalign|зажимать; сводить судорогой (мышцы); закреплять расчалками|verkrampfen; verstreben; anspannen|Durch das lange Sitzen am PC verspannen sich meine Schultern oft.|Due to long hours sitting at the PC, my shoulders often tense up.|Из-за долгого сидения за компьютером у меня часто зажимаются плечи.|Durch das lange Sitzen am PC verkrampfen sich meine Schultern oft.|Nacken verspannen; sich verspannen; Bauteile verspannen|Commonly used reflexively ('sich verspannen') in health and daily contexts to describe muscles getting painfully stiff due to stress or bad posture.
spannen|vorspannen|C2|101205|to harness in front; to prestress (concrete); to bias|впрягать (впереди); предварительно напрягать|anspannen; vorlagern; vorspannen|Man musste zusätzliche Pferde vorspannen, um den Wagen den Hügel hinaufzuziehen.|They had to harness additional horses in front to pull the wagon up the hill.|Пришлось впрячь дополнительных лошадей впереди, чтобы затащить повозку на холм.|Man musste zusätzliche Pferde anspannen, um den Wagen den Hügel hinaufzuziehen.|Pferde vorspannen; Beton vorspannen; eine Feder vorspannen|Refers either to putting animals in front of a cart, or to technically prestressing structural components like concrete or steel springs.
