word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
klettern|klettern|A2|3941|to climb|лазать, карабкаться, взбираться|kraxeln; steigen; erklimmen|Die Kinder klettern gerne auf Bäume.|The children like to climb trees.|Дети любят лазать по деревьям.|Die Kinder kraxeln gerne auf Bäume.|auf einen Baum klettern; über den Zaun klettern; auf einen Berg klettern; die Temperaturen klettern|A verb of motion that usually takes 'sein' as an auxiliary verb. It implies using both hands and feet to scale or ascend. It can also be used metaphorically for rising prices or temperatures.
klettern|Kletterei|C2|71818|climbing, scrambling|карабканье, лазанье, утомительный подъем|Kraxelei; Klettern; Aufstieg|Die Kletterei am steilen Hang war sehr anstrengend.|Climbing up the steep slope was very exhausting.|Карабканье по крутому склону было очень утомительным.|Die Kraxelei am steilen Hang war sehr anstrengend.|mühsame Kletterei; gefährliche Kletterei; stundenlange Kletterei|Usually singular. The suffix '-ei' in German often carries a slightly informal, repetitive, or tedious connotation, suggesting a laborious or chaotic climbing activity rather than structured sport.
klettern|Kletterer|C2|24916|climber, mountaineer|скалолаз, альпинист|Bergsteiger; Klettersportler; Alpinist|Der erfahrene Kletterer erreichte den Gipfel ohne Probleme.|The experienced climber reached the summit without any problems.|Опытный скалолаз добрался до вершины без проблем.|Der erfahrene Bergsteiger erreichte den Gipfel ohne Probleme.|erfahrener Kletterer; professioneller Kletterer; Kletterer stürzt ab|Denotes a person who climbs rocks, walls, or mountains, particularly as a sport. The plural form is identical to the singular ('die Kletterer'). The female equivalent is 'Klettererin'.
klettern|Kletterfisch|C2|205961|climbing perch|рыба-ползун, анабас|Anabas; Labyrinthfisch|Der Kletterfisch kann sich über Land fortbewegen.|The climbing perch can move across land.|Рыба-ползун может передвигаться по суше.|Der Labyrinthfisch kann sich über Land fortbewegen.|asiatischer Kletterfisch; der Kletterfisch atmet Luft|A highly specialized biological/zoological term for freshwater fish of the genus Anabas, known for their ability to crawl out of water using their spines.
klettern|Klettergarten|C2|56568|climbing forest, ropes course, outdoor climbing park|веревочный парк, скалодром под открытым небом|Hochseilgarten; Kletterwald; Boulderbereich|Am Wochenende besuchen wir einen Klettergarten in der Nähe.|At the weekend we are visiting a climbing forest nearby.|На выходных мы посетим веревочный парк неподалеку.|Am Wochenende besuchen wir einen Kletterwald in der Nähe.|einen Klettergarten besuchen; Klettergarten für Kinder; Parcours im Klettergarten|Can refer either to a natural rock area equipped with permanent anchors for recreational climbing, or an artificial outdoor obstacle course/ropes course in the woods.
klettern|Klettergerät|C2|92668|climbing frame, climbing apparatus|снаряд для лазанья, спортивный игровой комплекс|Klettergerüst; Turngerät; Spielgerät|Auf dem Spielplatz steht ein neues Klettergerät aus Holz.|There is a new wooden climbing frame on the playground.|На игровой площадке установлен новый деревянный снаряд для лазанья.|Auf dem Spielplatz steht ein neues Klettergerüst aus Holz.|sicheres Klettergerät; Klettergerät auf dem Spielplatz; Klettergerät für Kleinkinder|A broad, generic term. It can refer to gymnastics equipment in a school sports hall or climbing structures on public children's playgrounds.
klettern|Klettergerüst|C2|32612|jungle gym, climbing frame|детский игровой комплекс для лазанья, горка-лазалка|Klettergerät; Spielgerüst; Turngerüst|Die Kinder toben wild auf dem Klettergerüst.|The children are playing wildly on the climbing frame.|Дети дико резвятся на игровом комплексе для лазанья.|Die Kinder toben wild auf dem Klettergerät.|auf ein Klettergerüst steigen; Klettergerüst aus Metall; Klettergerüst auf dem Schulhof|Specifically refers to the stationary outdoor play structure made of wood, metal, or ropes, found on schoolyards and playgrounds for children to climb on.
klettern|Kletterhammer|C2|233317|piton hammer, climbing hammer|скальный молоток|Felshammer; Felshakenhammer; Alpinhammer|Der Bergsteiger befestigte den Haken mit einem Kletterhammer.|The mountaineer secured the piton with a climbing hammer.|Альпинист закрепил крюк с помощью скального молотка.|Der Bergsteiger befestigte den Haken mit einem Felshammer.|Kletterhammer benutzen; den Kletterhammer am Gurt sichern; geschmiedeter Kletterhammer|A highly specific tool used in alpine mountaineering and traditional rock climbing to hammer pitons (metal spikes) into rock crevices or to pry them out.
klettern|Kletterkurs|C2|84791|climbing course|курс скалолазания|Kletterunterricht; Kletterausbildung; Kletterschulung|Ich habe mich für einen Kletterkurs für Anfänger angemeldet.|I have signed up for a climbing course for beginners.|Я записался на курс скалолазания для начинающих.|Ich habe mich für einen Kletterunterricht für Anfänger angemeldet.|einen Kletterkurs belegen; Kletterkurs für Einsteiger; Kletterkurs in der Halle|A compound noun denoting formal instruction on climbing techniques and safety, either on artificial indoor walls or outdoor rock formations.
klettern|Klettermast|C2|194749|climbing pole, climbing mast|шест для лазанья, мачта для лазанья|Kletterstange; Kletterpfahl; Klettersäule|Beim Volksfest versuchten viele, den eingeölten Klettermast zu bezwingen.|At the folk festival, many tried to conquer the greased climbing pole.|На народном гулянье многие пытались покорить намыленный шест для лазанья.|Beim Volksfest versuchten viele, die eingeölte Kletterstange zu bezwingen.|hölzerner Klettermast; den Klettermast emporklettern; Klettermast auf dem Jahrmarkt|Refers to a tall vertical wooden pole or mast, historically used in gym classes or traditional fairground climbing competitions (often greased or covered in soap).
