word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
weisen|weisen|B1|807|to point, to show, to direct|указывать, показывать, направлять|zeigen; hindeuten; weisen auf|Der Wegweiser weist nach links.|The signpost points to the left.|Указатель показывает налево.|Das Schild zeigt nach links.|den Weg weisen; nach oben weisen; in eine Richtung weisen; auf eine Spur weisen|Mostly used intransitively with 'auf' + Accusative (to point to something) or transitively in fixed expressions like 'jemandem den Weg weisen' (to show someone the way). In everyday speech, 'zeigen' is much more common.
weisen|abweisen|B2|4853|to reject, to turn away, to dismiss|отклонять, отвергать, отказывать, разворачивать (на входе)|ablehnen; zurückweisen; abfertigen|Der Clubbesitzer hat den Gast an der Tür abgewiesen.|The club owner turned the guest away at the door.|Владелец клуба развернул гостя у дверей.|Der Clubbesitzer hat den Gast an der Tür abgelehnt.|eine Klage abweisen; einen Antrag abweisen; einen Besucher abweisen|'Abweisen' is used when rejecting a person (turning them away at the entrance) or in legal contexts (e.g., rejecting an appeal or lawsuit: 'eine Klage abweisen'). It feels more physical and immediate than 'ablehnen'.
weisen|anweisen|B2|3358|to instruct, to direct, to allocate (money or space)|поручать, инструктировать, переводить (деньги), выделять (место)|instruieren; anordnen; zuteilen; überweisen|Der Chef wies den neuen Mitarbeiter an, die Akten zu ordnen.|The boss instructed the new employee to organize the files.|Начальник поручил новому сотруднику разложить документы по папкам.|Der Chef instruierte den neuen Mitarbeiter, die Akten zu ordnen.|jemanden anweisen, etwas zu tun; Geld anweisen; einen Platz anweisen|Commonly used as 'jemanden anweisen' (+ zu-infinitive) to instruct or order someone. It can also mean to allocate funds/money ('Geld anweisen'). Note the passive construction 'angewiesen sein auf' + Accusative, which means 'to be dependent on'.
weisen|aufweisen|B2|3557|to show, to exhibit, to feature, to have|иметь, показывать, обнаруживать, обладать|zeigen; besitzen; haben; aufzeigen|Das neue Produkt weist viele Vorteile auf.|The new product has many advantages.|Новый продукт обладает множеством преимуществ.|Das neue Produkt hat viele Vorteile.|Mängel aufweisen; Unterschiede aufweisen; Ähnlichkeiten aufweisen; ein hohes Niveau aufweisen|'Aufweisen' is used to describe features, qualities, or defects that something possesses. It is a more formal synonym of 'haben' or 'zeigen' in administrative, scientific, or technical contexts.
weisen|ausweisen|B2|4564|to deport, to expel, to identify (oneself), to report/disclose (funds/taxes)|высылать (из страны), депортировать, удостоверять личность, выделять (на бумаге)|deportieren; abschieben; identifizieren; belegen|Der Verdächtige konnte sich nicht ausweisen.|The suspect could not identify himself.|Подозреваемый не смог предъявить удостоверение личности.|Der Verdächtige konnte seine Identität nicht beweisen.|sich als Experte ausweisen; jemanden des Landes ausweisen; Steuern separat ausweisen|A highly versatile verb. Reflexively ('sich ausweisen') it means to prove one's identity with documents. Transitively, it can mean to expel/deport someone from a country, or to report/show something on a receipt or balance sheet (e.g., showing VAT separately).
weisen|beweisen|B2|1363|to prove, to demonstrate, to show (e.g., courage)|доказывать, аргументировать, проявлять (качество)|belegen; nachweisen; zeigen; demonstrieren|Sie müssen Ihre Behauptung vor Gericht beweisen.|You must prove your claim in court.|Вы должны доказать свое утверждение в суде.|Sie müssen Ihre Behauptung vor Gericht belegen.|Mut beweisen; eine Theorie beweisen; die Schuld beweisen; das Gegenteil beweisen|'Beweisen' is the standard verb for proving a fact, theory, or guilt. It can also mean to demonstrate a quality, as in 'Mut beweisen' (to show courage).
weisen|einweisen|C1|16501|to admit (to hospital), to brief/instruct, to direct (a car/driver)|госпитализировать, вводить в курс дела, направлять (при парковке)|einliefern; einarbeiten; instruieren; lotsen|Der Arzt hat den Patienten ins Krankenhaus eingewiesen.|The doctor admitted the patient to the hospital.|Врач направил пациента в больницу.|Der Arzt hat den Patienten ins Krankenhaus eingeliefert.|jemanden in ein Amt einweisen; jemanden in die Arbeit einweisen; in die Psychiatrie einweisen|'Einweisen' is most commonly used for admitting someone to an institution like a hospital, clinic, or prison ('in eine Klinik einweisen'). It also means to brief someone on a new job or task ('jemanden in eine Aufgabe einweisen') or helper-directing a vehicle into a tight spot.
weisen|erweisen|B1|2012|to prove to be, to turn out to be, to render (a service/respect)|оказываться, выражать (почтение), оказывать (услугу)|herausstellen; erzeigen; leisten|Seine Befürchtung erwies sich als völlig unbegründet.|His fear turned out to be completely unfounded.|Его опасение оказалось совершенно необоснованным.|Seine Befürchtung stellte sich als völlig unbegründet heraus.|sich als wahr erweisen; jemandem einen Gefallen erweisen; die letzte Ehre erweisen|Often used reflexively as 'sich erweisen als' + Nominative (to turn out to be). Transitively, it is used in formal collocations like 'einen Gefallen erweisen' (to do a favor) or 'die letzte Ehre erweisen' (to pay one's last respects).
weisen|hinweisen|B2|2051|to point out, to point to, to refer to, to draw attention to|указывать, обращать внимание (на что-то)|aufmerksam machen; hindeuten; verweisen; hinzeigen|Ich möchte Sie auf einen wichtigen Fehler hinweisen.|I would like to point out an important mistake to you.|Я хотел бы обратить ваше внимание на важную ошибку.|Ich möchte Sie auf einen wichtigen Fehler aufmerksam machen.|auf eine Gefahr hinweisen; ausdrücklich hinweisen; auf einen Umstand hinweisen|This verb is almost always used with the preposition 'auf' + Accusative. It is very common in academic, professional, and formal contexts to direct someone's attention to a fact or issue.
weisen|nachweisen|B2|3139|to prove, to verify, to detect (substances/evidence)|доказывать, подтверждать (документально), обнаруживать (в лаборатории)|beweisen; belegen; demonstrieren; feststellen|Die Polizei konnte ihm die Tat lückenlos nachweisen.|The police were able to prove the crime to him without any gaps.|Полиция смогла полностью доказать его вину в совершении преступления.|Die Polizei konnte ihm die Tat lückenlos beweisen.|eine Schuld nachweisen; Alkohol im Blut nachweisen; Herkunft nachweisen|'Nachweisen' is similar to 'beweisen' but leans more towards legal, scientific, or official contexts where physical evidence, documents, or tests (e.g., a laboratory test) are used to verify a claim.
weisen|überweisen|B2|5326|to transfer (money), to refer (a patient to a specialist)|переводить (деньги), направлять (пациента к врачу-специалисту)|transferieren; weiterleiten; übermitteln|Ich muss heute noch die Miete überweisen.|I still have to transfer the rent money today.|Сегодня мне еще нужно перевести деньги за аренду.|Ich muss heute noch die Miete zahlen.|Geld auf ein Konto überweisen; einen Patienten zum Facharzt überweisen|Two main distinct meanings: banking/financial (transferring money, usually 'auf ein Konto') and medical (referring a patient from a general practitioner to a specialist).
weisen|unterweisen|C2|45322|to instruct, to teach, to school|обучать, инструктировать, преподавать|belehren; unterrichten; ausbilden; anleiten|Der Meister unterweist die Lehrlinge in der Werkstatt.|The master instructs the apprentices in the workshop.|Мастер обучает учеников в мастерской.|Der Meister unterrichtet die Lehrlinge in der Werkstatt.|jemanden in einem Fach unterweisen; jemanden in den Regeln unterweisen|High register, formal, and slightly old-fashioned. Usually used in the construction 'jemanden in (Dativ) unterweisen' (to instruct someone in a subject/skill). 'Unterrichten' is much more common in everyday life.
weisen|verweisen|B2|1334|to refer (to), to ban/expel, to point out|ссылаться (на), указывать (на), высылать (из помещения/страны)|hinweisen; verlinken; abschieben; verjagen|Der Redner verwies auf die Statistik der Vorjahre.|The speaker referred to the statistics of previous years.|Докладчик сослался на статистику прошлых лет.|Der Redner wies auf die Statistik der Vorjahre hin.|auf eine Quelle verweisen; des Feldes verweisen; von der Schule verweisen|Commonly used with 'auf' + Accusative (to refer to or point to a source/information). It is also used as 'jemanden des Raumes/des Landes verweisen' (to expel someone from a room/country) or 'vom Platz verweisen' (to send off in sports).
weisen|vorweisen|B2|6872|to present, to produce, to show (credentials), to have to show (achievements)|предъявлять, показывать, иметь в наличии (достижения, результаты)|vorzeigen; präsentieren; aufweisen|Bei der Kontrolle musste er sein Ticket vorweisen.|At the ticket check, he had to present his ticket.|При контроле ему пришлось предъявить свой билет.|Bei der Kontrolle musste er sein Ticket vorzeigen.|Erfolge vorweisen können; einen Ausweis vorweisen; gute Ergebnisse vorweisen|Usually used in two ways: literally, to show a physical document (like a ticket or passport) upon request (synonymous with 'vorzeigen'), or figuratively to have achievements/qualifications to show ('Erfolge vorweisen können').
weisen|Wegweiser|C1|11954|signpost, guide, directory|указатель пути, дорожный указатель, путеводитель|Schild; Richtungsweiser; Leitfaden; Ratgeber|Wir folgten dem hölzernen Wegweiser im Wald.|We followed the wooden signpost in the forest.|Мы последовали за деревянным указателем в лесу.|Wir folgten dem hölzernen Schild im Wald.|ein hölzerner Wegweiser; dem Wegweiser folgen; ein Wegweiser für die Zukunft|'Der Wegweiser' is a masculine noun. It can be literal (a signpost on a street or hiking trail) or figurative (a guide, handbook, or pointer for future decisions, e.g., 'ein Wegweiser für Firmengründer').
weisen|Weisung|C1|11803|instruction, directive, order|указание, распоряжение, инструкция|Anweisung; Befehl; Anordnung; Direktive|Die Mitarbeiter handelten auf Weisung des Vorstands.|The employees acted on instructions from the board.|Сотрудники действовали по указанию правления.|Die Mitarbeiter handelten auf Anordnung des Vorstands.|eine Weisung erteilen; auf Weisung von; Weisungen befolgen|'Die Weisung' is a feminine noun. It is highly formal, official, and bureaucratic. It refers to orders or instructions from a higher authority. Often used in the prepositional phrase 'auf Weisung von...' (by order of).
weisen|zuweisen|B2|9487|to allocate, to assign, to allot|выделять, распределять, закреплять (за кем-то)|zuteilen; zuordnen; vergeben; anweisen|Dem Studenten wurde ein Zimmer im Wohnheim zugewiesen.|The student was assigned a room in the dormitory.|Студенту выделили комнату в общежитии.|Dem Studenten wurde ein Zimmer im Wohnheim zugeteilt.|eine Rolle zuweisen; Gelder zuweisen; eine Aufgabe zuweisen|Governs the Dative of the recipient and the Accusative of the object ('jemandem [Dat] etwas [Akk] zuweisen'). Commonly used when authorities or systems assign tasks, resources, duties, or rooms to individuals.
weisen|zurechtweisen|C2|53427|to reprimand, to scold, to put in one's place|делать выговор, призывать к порядку, одергивать|rügen; tadeln; ausschimpfen; maßregeln|Der Lehrer wies den unruhigen Schüler scharf zurecht.|The teacher sharply reprimanded the restless student.|Учитель резко одернул беспокойного ученика.|Der Lehrer tadelte den unruhigen Schüler scharf.|jemanden scharf zurechtweisen; jemanden vor allen Leuten zurechtweisen|A transitive verb meaning to correct someone's behavior in an authoritative and strict manner. 'Zurechtweisen' carries a strong connotation of moral authority or hierarchy (e.g., teacher to student, parent to child, boss to employee).
weisen|zurückweisen|B2|3706|to reject, to turn down, to rebuff, to push back|отвергать, отклонять, отсылать обратно|ablehnen; abweisen; zurückschicken|Sie wies seine Anschuldigungen entschieden zurück.|She firmly rejected his accusations.|Она решительно отвергла его обвинения.|Sie lehnte seine Anschuldigungen entschieden ab.|Vorwürfe zurückweisen; eine Klage zurückweisen; ein Angebot zurückweisen|Similar to 'abweisen' and 'ablehnen'. 'Zurückweisen' is particularly used when rejecting allegations, accusations, or criticisms ('Vorwürfe zurückweisen') or when physically sending back items or refugees at a border. It sounds more formal and decisive than 'ablehnen'.
