word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
schreien|schreien|A2|4259|to scream; to shout; to cry|кричать; орать|rufen; brüllen; kreischen|Das Kind fängt plötzlich an zu schreien.|The child suddenly starts to scream.|Ребенок вдруг начинает кричать.|Das Kind fängt plötzlich an zu brüllen.|laut schreien; vor Schmerz schreien; um Hilfe schreien|General verb for making a loud, high-pitched noise with the voice, due to pain, fear, or to be heard. Unlike 'rufen' (which is just shouting, often to get someone's attention), 'schreien' often implies intense emotion.
schreien|abschreien|C2|224958|to scare away by shouting; to wear out one's voice shouting (reflexive)|отпугнуть криком; охрипнуть от крика (sich abschreien)|heiser werden; verscheuchen|Die Vögel wurden durch den Lärm abgeschrien.|The birds were scared away by the noise.|Птицы были отпугнуты шумом.|Die Vögel wurden durch den Lärm verscheucht.|Vögel abschreien; sich die Kehle abschreien|Can mean to scare animals away by shouting, or reflexively ('sich abschreien') to shout until one is hoarse or exhausted. It is highly colloquial and rare in modern standard German.
schreien|anschreien|C2|35366|to shout at; to yell at|кричать на кого-то; наорать|anbrüllen; anfahren; anzischen|Warum musst du mich immer gleich anschreien?|Why do you always have to shout at me right away?|Почему ты всегда должен сразу кричать на меня?|Warum musst du mich immer gleich anbrüllen?|jemanden wütend anschreien; sich gegenseitig anschreien|Transitive verb requiring an accusative object (jemanden anschreien). Implies anger or aggression directed at a specific person.
schreien|aufschreien|C2|47191|to cry out; to scream out suddenly|вскрикнуть; закричать (от испуга или боли)|aufkreischen; losschreien|Sie schrie auf, als sie die Spinne sah.|She screamed when she saw the spider.|Она вскрикнула, когда увидела паука.|Sie kreischte auf, als sie die Spinne sah.|laut aufschreien; vor Schmerz aufschreien; vor Entsetzen aufschreien|Intransitive verb that describes a sudden, brief cry, typically triggered by surprise, fear, pain, or indignation.
schreien|ausschreien|C2|156451|to cry out; to finish screaming (reflexive); to shout to the end|выкрикивать; выплакаться (sich ausschreien)|herausschreien; verkünden; sich ausweinen|Sie musste ihren ganzen Frust einfach mal ausschreien.|She just had to scream out all her frustration.|Ей нужно было просто выкрикнуть всю свою обиду.|Sie musste ihren ganzen Frust einfach mal herausschreien.|seine Wut ausschreien; sich ordentlich ausschreien|Often used figuratively for venting pent-up emotions. In the reflexive form 'sich ausschreien', it means to scream until one is calm or relieved.
schreien|beschreien|C2|105563|to talk about something and thus bring bad luck (jinx)|сглазить; накликать беду|berufen; heraufbeschwören; verrufen|Wir sollten den Erfolg nicht beschreien, bevor er sicher ist.|We shouldn't jinx our success before it's certain.|Нам не следует сглазить успех, пока он не станет верным.|Wir sollten den Erfolg nicht berufen, bevor er sicher ist.|ein Unglück beschreien; den Tag nicht vor dem Abend beschreien|Transitive verb. In modern German, it is almost exclusively used in the figurative sense of 'to jinx' (to talk prematurely about something good and thereby bring bad luck).
schreien|einschreien|C2|171349|to warm up one's voice by shouting (reflexive); to shout down|разогреть голос криком (sich einschreien); заглушить криком|einsingen; niederbrüllen|Vor dem Protest mussten sich die Redner erst einschreien.|Before the protest, the speakers had to warm up their voices first.|Перед протестом ораторам сначала пришлось разогреть голоса криком.|Vor dem Protest mussten sich die Redner erst einsingen.|sich warm schreien; sich für das Spiel einschreien|Very rare and mostly colloquial. Reflexive 'sich einschreien' means to warm up the vocal cords by shouting (often used by sports fans or demonstrators). Can also mean to shout down a speaker.
schreien|entgegenschreien|C2|137412|to shout at (someone approaching); to scream in reply|кричать навстречу; прокричать в ответ|entgegenrufen; entgegenbrüllen|Sie lief ihm entgegen und schrie ihm die Neuigkeiten entgegen.|She ran towards him and shouted the news to him.|Она побежала ему навстречу и прокричала ему новости.|Sie lief ihm entgegen und rief ihm die Neuigkeiten entgegen.|jemandem ein Wort entgegenschreien; wütend entgegenschreien|Takes a dative object of the person being shouted at and an accusative object of the words shouted. Combines 'entgegen' (towards) with 'schreien'.
schreien|herausschreien|C2|86798|to scream out; to voice loudly (emotions, truth)|выкрикивать; изливать душу криком|ausschreien; herausschluchzen|Er wollte seinen Schmerz einfach in die Welt herausschreien.|He just wanted to scream his pain out into the world.|Он просто хотел выкрикнуть свою боль всему миру.|Er wollte seinen Schmerz einfach in die Welt ausschreien.|seine Wut herausschreien; den Schmerz herausschreien|Strongly emotional, often used when someone releases long-held grief, anger, or frustration.
schreien|herumschreien|C2|96580|to shout around; to yell continuously (at everyone)|орать по сторонам; кричать без толку; буянить|herumbrüllen; toben; herumpöbeln|Der Chef fing an, im Büro herumzuschreien.|The boss started shouting around in the office.|Начальник начал орать в офисе.|Der Chef fing an, im Büro herumzubrüllen.|laut herumschreien; sinnlos herumschreien; wütend herumschreien|Colloquial. Implies a lack of self-control, yelling at multiple people or just venting loudly and annoyingly in public or a workspace.
schreien|hinausschreien|C2|104314|to scream out (into the open); to broadcast loudly|прокричать наружу; раструбить на весь мир|verkünden; herausschreien; heraustrompeten|Am liebsten würde sie ihr Glück in die Welt hinausschreien.|She would love to scream her happiness out to the world.|Больше всего ей хотелось бы раструбить о своем счастье на весь мир.|Am liebsten würde sie ihr Glück in die Welt heraustrompeten.|sein Glück hinausschreien; in die Welt hinausschreien|Usually figurative, referring to sharing joyous or exciting news very loudly and publicly.
schreien|hinterherschreien|C2|181243|to shout after (someone leaving)|кричать вслед|hinterherrufen; nachrufen|Er rannte weg, während sie ihm böse Worte hinterherschrie.|He ran away while she shouted angry words after him.|Он убежал, в то время как она выкрикивала ему вслед злые слова.|Er ran weg, während sie ihm böse Worte hinterherrief.|jemandem Schimpfwörter hinterherschreien; hinterhergelaufen kommen und schreien|Takes a dative of the person moving away and an accusative of what is shouted. Represents calling out to someone who is departing.
