word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
wischen|wischen|C1|10702|to wipe; to swipe (screen)|вытирать; смахивать (экран)|reiben; putzen; swipen|Er wischt den Staub vom Tisch.|He wipes the dust off the table.|Он вытирает пыль со стола.|Er putzt den Staub vom Tisch.|Staub wischen; den Boden wischen; über das Display wischen; nach links wischen|Primarily means to clean or clear a surface by rubbing. In the digital age, it is very commonly used for swiping on touchscreens (e.g., 'nach links wischen' for swiping left).
wischen|abwischen|C2|31273|to wipe clean; to wipe off|вытирать; стирать (грязь, влагу)|säubern; reinigen; abreiben|Der Lehrer wischt die Tafel ab.|The teacher wipes the blackboard clean.|Учитель вытирает доску.|Der Lehrer säubert die Tafel.|die Tafel abwischen; den Tisch abwischen; den Schweiß abwischen; sich die Hände abwischen|A separable verb ('wischt ab') focusing on clearing away dirt, liquids, or writing from a surface. Often used with a direct object representing the surface cleaned or the substance removed.
wischen|aufwischen|C2|82822|to wipe up; to mop up|вытирать (пролитое); подтирать|aufsaugen; wegmachen; wegputzen|Ich muss das verschüttete Wasser aufwischen.|I need to wipe up the spilled water.|Мне нужно вытереть пролитую воду.|Ich muss das verschüttete Wasser wegputzen.|den Boden aufwischen; verschütteten Kaffee aufwischen; Erbrochenes aufwischen|Separable verb ('wischt auf'). Typically used when cleaning up spilled liquid or dirt from the floor or another surface, often requiring a cloth or mop.
wischen|auswischen|C2|46308|to wipe out; to play a trick on (someone)|вытирать изнутри; проучить (кого-то)|ausreiben; säubern; heimzahlen|Er wollte seiner Schwester eins auswischen.|He wanted to play a trick on his sister.|Он хотел насолить своей сестре.|Er wollte sich an seiner Schwester rächen.|jemandem eins auswischen; den Schrank auswischen; eine Pfanne auswischen|Separable verb ('wischt aus'). Literally, it means to wipe the inside of something (like a cupboard or pan). Figuratively, the idiomatic expression 'jemandem eins auswischen' means to get even with someone or play a petty trick on them (requires a Dative object).
wischen|durchwischen|C2|114306|to mop through; to wipe thoroughly|быстро протереть; вымыть пол (шваброй)|feucht wischen; putzen; reinigen|Ich muss am Wochenende mal wieder die ganze Wohnung durchwischen.|I need to mop the whole apartment again this weekend.|Мне нужно снова протереть полы во всей квартире в эти выходные.|Ich muss am Wochenende mal wieder die ganze Wohnung feucht wischen.|feucht durchwischen; die Küche durchwischen; einmal durchwischen|Separable verb ('wischt durch'). It implies cleaning floors throughout an entire area or room using a wet mop or cloth, usually done quickly but thoroughly.
wischen|fortwischen|C2|153941|to wipe away; to brush aside|смахивать; стирать (с лица, поверхности)|wegwischen; entfernen; beseitigen|Sie wischte sich eine Träne fort.|She wiped away a tear.|Она смахнула слезу.|Sie wischte sich eine Träne weg.|eine Träne fortwischen; Staub fortwischen; Zweifel fortwischen|Separable verb ('wischt fort'). It is a more literary or formal synonym of 'wegwischen', meaning to remove something from a surface with a wiping hand movement.
wischen|trockenwischen|C2|160296|to wipe dry|вытирать насухо|abtrocknen; trockenreiben|Nach dem Abwaschen muss man das Geschirr trockenwischen.|After washing, you have to wipe the dishes dry.|После мытья посуду нужно вытереть насухо.|Nach dem Abwaschen muss man das Geschirr abtrocknen.|das Geschirr trockenwischen; das Auto trockenwischen; die Hände trockenwischen|A compound verb ('trocken' + 'wischen'), meaning to dry a surface completely by wiping. It can be written as one word or two ('trocken wischen').
wischen|verwischen|C1|18022|to blur; to smudge; to erase|размывать; размазывать; заметать (следы)|verschmieren; unkenntlich machen; verblassen|Der Regen verwischte die Spuren im Sand.|The rain blurred the tracks in the sand.|Дождь размыл следы на песке.|Der Regen machte die Spuren im Sand unkenntlich.|Spuren verwischen; Grenzen verwischen; Make-up verwischen; Konturen verwischen|Inseparable verb. It means to make something unclear, blurry, or smudged. Highly common in figurative contexts, such as boundaries blurring ('die Grenzen verwischen') or erasing criminal evidence ('Spuren verwischen').
wischen|wegwischen|C2|36572|to wipe away; to brush off|стирать; смахивать; удалять|entfernen; abwischen; fortwischen|Er wischte die Krümel vom Tisch weg.|He wiped the crumbs away from the table.|Он смахнул крошки со стола.|Er entfernte die Krümel vom Tisch.|Krümel wegwischen; Staub wegwischen; Zweifel wegwischen; eine Träne wegwischen|Separable verb ('wischt weg'). This is the most common colloquial verb for wiping something away or removing particles/liquids from a surface. Can also be used figuratively for doubts, thoughts, or feelings.
wischen|entwischen|C2|30406|to escape; to slip away|ускользнуть; убежать|entkommen; entfliehen; weglaufen|Der Dieb konnte der Polizei im letzten Moment entwischen.|The thief managed to escape from the police at the last moment.|Вор смог ускользнуть от полиции в последний момент.|Der Dieb konnte der Polizei im letzten Moment entkommen.|knapp entwischen; der Polizei entwischen; der Katze entwischen; unbemerkt entwischen|Inseparable verb. Note that it requires the Dative case ('jemandem entwischen'). It indicates successfully slipping away from a pursuer or a confinement, often unexpectedly or quickly.
wischen|erwischen|B2|3369|to catch; to grab; to nab|поймать; схватить; застукать|fangen; ertappen; schnappen; kriegen|Die Polizei konnte den Täter auf frischer Tat erwischen.|The police managed to catch the perpetrator in the act.|Полиции удалось поймать преступника на месте преступления.|Die Polizei konnte den Täter auf frischer Tat ertappen.|den Bus erwischen; auf frischer Tat erwischen; eine Erkältung erwischen; jemanden beim Lügen erwischen|Inseparable verb. A highly colloquial and versatile verb. It can mean catching a vehicle (e.g., train, bus), catching an illness (e.g., cold, flu), catching someone in the middle of a bad deed ('ertappen'), or simply succeeding in catching/grabbing a physical object.
