word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
planen|planen|B1|517|to plan; to design; to intend|планировать; проектировать; намериваться|entwerfen; beabsichtigen; vorhaben; konzipieren|Wir planen eine Reise nach Japan für das nächste Jahr.|We are planning a trip to Japan for next year.|Мы планируем поездку в Японию на следующий год.|Wir haben eine Reise nach Japan für das nächste Jahr vor.|ein Projekt planen; eine Reise planen; sorgfältig planen; im Voraus planen|A basic verb of high frequency. It can be used transitively (etwas planen) or with an infinitive clause (planen, etwas zu tun). It means both making a concrete plan (e.g., a project or a trip) and having a mental intention.
planen|durchplanen|C2|51926|to plan thoroughly; to schedule down to the last detail|детально планировать; планировать от и до|durchorganisieren; bis ins Einzelne planen; detailliert planen|Der gesamte Tagesablauf war minutiös durchgeplant.|The entire daily routine was planned out in meticulous detail.|Весь распорядок дня был поминутно распланирован.|Der gesamte Tagesablauf war minutiös durchorganisiert.|minutiös durchgeplant; einen Tag durchplanen; eine Karriere durchplanen|A separable verb (plant durch, plante durch, durchgeplant). It implies thorough, comprehensive planning where nothing is left to chance. It sometimes carries a slightly negative connotation of over-structuring and lacking spontaneity.
planen|einplanen|B2|6200|to budget; to schedule; to make allowance for; to factor in|запланировать; предусмотреть; заложить в план|einkalkulieren; berücksichtigen; vorsehen; miteinbeziehen|Wir müssen für die Fahrt mindestens zwei Stunden einplanen.|We must allow for at least two hours for the drive.|Нам нужно запланировать как минимум два часа на дорогу.|Wir müssen für die Fahrt mindestens zwei Stunden einkalkulieren.|Zeit einplanen; Kosten einplanen; fest einplanen; ein Budget einplanen|A separable verb (plant ein, plante ein, eingeplant). It means to include a certain resource (time, money, personnel) in a general plan. It is often used with a double accusative or 'für' + accusative.
planen|mitplanen|C2|75225|to co-plan; to assist in planning; to participate in planning|совместно планировать; участвовать в планировании|mitgestalten; mitentscheiden; kooperieren|Die Bürger dürfen bei der Neugestaltung des Parks mitplanen.|The citizens are allowed to participate in planning the redesign of the park.|Гражданам разрешено участвовать в планировании реконструкции парка.|Die Bürger dürfen bei der Neugestaltung des Parks mitgestalten.|aktiv mitplanen; die Zukunft mitplanen; ein Projekt mitplanen|A separable verb (plant mit, plante mit, mitgeplant). Used to describe collaborative or participatory planning, often with the preposition 'bei' + dative.
planen|planbar|C2|25611|predictable; plannable; manageable|планируемый; поддающийся планированию; прогнозируемый|vorhersehbar; kalkulierbar; berechenbar|Im Berufsleben läuft nicht alles planbar ab.|In professional life, not everything happens in a predictable way.|В профессиональной жизни не всё происходит предсказуемо.|Im Berufsleben läuft nicht alles vorhersehbar ab.|kaum planbar; gut planbar; ein planbares Risiko; ein planbarer Erfolg|An adjective derived from 'planen' with the suffix '-bar'. It describes events, processes, or results that can be structured or scheduled in advance. Often used in economic or project-management contexts.
planen|Planer|B2|7198|planner; organizer; calendar|планировщик; проектировщик; организатор; планер|Organisator; Projektant; Planungsmedium; Terminplaner|Als erfahrener Planer wusste er genau, worauf es ankam.|As an experienced planner, he knew exactly what was important.|Как опытный планировщик, он точно знал, что важно.|Als erfahrener Organisator wusste er genau, worauf es ankam.|ein erfahrener Planer; der Planer des Projekts; digitaler Planer; Stadtplaner|Masculine noun (der Planer, plural: die Planer). It can refer to a person who plans (e.g., Stadtplaner - urban planner) or a physical or digital tool used for keeping a schedule (e.g., Terminplaner - organizer).
planen|Planung|B2|1494|planning; design; scheduling|планирование; проектирование; замысел|Vorbereitung; Entwurf; Konzept; Disposition|Die Planung des neuen Stadtviertels hat Jahre gedauert.|The planning of the new city district took years.|Планирование нового городского квартала заняло годы.|Die Vorbereitung des neuen Stadtviertels hat Jahre gedauert.|in Planung sein; eine detaillierte Planung; strategische Planung; die Planung abschließen|Feminine noun (die Planung, plural: die Planungen). Frequently used in corporate, urban planning, and administrative contexts. The phrase 'in Planung sein' (to be in the planning stages) is extremely common.
planen|verplanen|C2|29092|to schedule fully; to overschedule; to misplan; to allocate|полностью распланировать; нерационально распланировать|vergeben; belegen; falsch planen; ausbuchen|Mein ganzes Wochenende ist leider schon völlig verplant.|Unfortunately, my entire weekend is already fully booked.|К сожалению, все мои выходные уже полностью распланированы.|Mein ganzes Wochenende ist leider schon völlig ausgebucht.|völlig verplant sein; Geld verplanen; seine Zeit verplanen|A non-separable verb (verplant, verplante, verplant). It has two main nuances: 1) To fully allocate resources (like time or money) so that nothing is left. 2) In some contexts, to plan poorly or misplan (though the reflexive 'sich verplanen' is more common for making a mistake).
planen|vorausplanen|C2|79471|to plan ahead; to anticipate|планировать заранее; предусматривать наперед|vorausschauen; vorherplanen; antizipieren|In dieser Branche muss man immer weit vorausplanen.|In this industry, you always have to plan far ahead.|В этой сфере всегда нужно планировать далеко наперед.|In dieser Branche muss man immer weit vorausschauen.|weit vorausplanen; strategisch vorausplanen; Jahre vorausplanen|A separable verb (plant voraus, plante voraus, vorausgeplant). It emphasizes the long-term aspect of planning and predicting future conditions.
planen|vorbeiplanen|C2|122179|to plan past something; to miss the mark in planning; to fail to plan for|планировать без учета чего-либо; разойтись с реальными потребностями|am Bedarf vorbeigehen; fehlanlegen; verfehlen|Diese Reform plant völlig an den Bedürfnissen der Bürger vorbei.|This reform completely misses the mark regarding the needs of the citizens.|Эта реформа планируется в полном отрыве от потребностей граждан.|Diese Reform geht völlig an den Bedürfnissen der Bürger vorbei.|am Bedarf vorbeiplanen; an der Realität vorbeiplanen; völlig vorbeiplanen|A separable verb (plant vorbei, plante vorbei, vorbeigeplant). Used almost exclusively with the preposition 'an' + dative (an etwas vorbeiplanen). It carries a highly critical meaning: to make plans that do not match actual circumstances, requirements, or real-world needs.
