word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
drohen|drohen|B2|1097|to threaten; to loom; to impend|угрожать; грозить|bedrohen; androhen; bevorstehen|Der Einsturz des alten Gebäudes droht schon seit Jahren.|The collapse of the old building has been imminent for years.|Обрушение старого здания угрожает произойти уже много лет.|Der Einsturz des alten Gebäudes steht schon seit Jahren bevor.|mit Strafe drohen; der Ruin droht; Unheil droht|The verb 'drohen' can be used transitively with a dative object ('jemandem mit etwas drohen' to threaten someone with something) or intransitively to describe a negative event that is imminent ('ein Streik droht'). Contrast this with 'bedrohen', which always takes an accusative object and refers to actively endangering someone or something.
drohen|Drohbrief|C2|45063|threatening letter; hate mail|письмо с угрозами|Erpresserbrief; Drohschreiben|Der Politiker erhielt gestern einen anonymen Drohbrief.|The politician received an anonymous threatening letter yesterday.|Вчера политик получил анонимное письмо с угрозами.|Der Politiker erhielt gestern ein anonymes Drohschreiben.|einen Drohbrief erhalten; einen Drohbrief schreiben; anonyme Drohbriefe|A compound noun formed from 'drohen' and 'Brief'. It refers specifically to a physical or digital letter containing threats. It is often used in political, legal, and criminal contexts. 'Erpresserbrief' is a closely related term, but specifically implies blackmail or a demand for money.
drohen|Drohgebärde|C2|42164|threatening gesture; posture of defiance; menace|угрожающий жест; угрожающее поведение|Drohgeste; Einschüchterungsversuch; Provokation|Die militärischen Manöver an der Grenze wurden als Drohgebärde verstanden.|The military maneuvers on the border were understood as a threatening gesture.|Военные маневры на границе были восприняты как угрожающий жест.|Die militärischen Manöver an der Grenze wurden als Drohgeste verstanden.|leere Drohgebärden; eine Drohgebärde aufbauen; militärische Drohgebärde|Formed from 'drohen' and 'Gebärde' (gesture/physical posture). It is highly common in journalistic and political registers to describe aggressive, non-verbal posturing (such as military deployment or political warnings) aimed at demonstrating power and intimidating opponents.
drohen|Drohgeste|C2|157946|threatening gesture|угрожающий жест|Drohgebärde; aggressive Geste|Er hob die Faust als Drohgeste in seine Richtung.|He raised his fist as a threatening gesture in his direction.|Он поднял кулак в его сторону в качестве угрожающего жеста.|Er hob die Faust als Drohgebärde in seine Richtung.|eine eindeutige Drohgeste; aggressive Drohgeste; eine Drohgeste machen|Very similar to 'Drohgebärde'. However, 'Drohgeste' tends to refer more to immediate, physical hand and body movements (like waving a fist or pointing aggressively), whereas 'Drohgebärde' can also encompass broader symbolic or political stances.
drohen|Drohkulisse|C2|52821|backdrop of threats; threat scenario; deterrent scenario|угрожающий фон; сценарий запугивания; демонстрация силы|Abschreckungsszenario; Drohszenario|Die Großmacht baute eine massive Drohkulisse auf, um den Gegner einzuschüchtern.|The major power built up a massive threat scenario to intimidate the opponent.|Сверхдержава выстроила массированную демонстрацию силы, чтобы запугать противника.|Die Großmacht baute ein massives Drohszenario auf, um den Gegner einzuschüchtern.|eine Drohkulisse aufbauen; militärische Drohkulisse; eine Drohkulisse schaffen|A figurative term combining 'drohen' and 'Kulisse' (theatrical scenery/backdrop). It refers to the orchestration of multiple threatening factors (military build-up, economic sanctions, rhetoric) to create a climate of intimidation. Typically used with the verb 'aufbauen'.
drohen|Drohpotential|C2|123749|threat potential; potential to threaten|потенциал угрозы|Drohpotenzial; Gefahrenpotenzial; Bedrohungspotenzial|Die neuen Raketen erhöhen das militärische Drohpotential des Landes erheblich.|The new missiles significantly increase the country's military threat potential.|Новые ракеты значительно увеличивают военный потенциал угрозы этой страны.|Die neuen Raketen erhöhen das militärische Drohpotenzial des Landes erheblich.|militärisches Drohpotential; nukleares Drohpotential; das Drohpotential erhöhen|Older spelling of 'Drohpotenzial'. It refers to the capability of a nation, group, or system to act as a threat or leverage power over others. Commonly found in political and security studies.
drohen|Drohpotenzial|C2|110216|threat potential; potential to threaten|потенциал угрозы|Drohpotential; Bedrohungspotenzial; Machtmittel|Russland nutzt seine Gaslieferungen oft als geopolitisches Drohpotenzial.|Russia often uses its gas supplies as a geopolitical threat potential.|Россия часто использует свои поставки газа в качестве геополитического потенциала угрозы.|Russland nutzt seine Gaslieferungen oft als geopolitisches Bedrohungspotenzial.|gepolitisches Drohpotenzial; wirtschaftliches Drohpotenzial; ein Drohpotenzial aufbauen|The modern reformed spelling of 'Drohpotential'. It describes resources or leverage (economic, military, energy) that can be weaponized or used to intimidate. This spelling is standard in contemporary German news media.
drohen|Drohrede|C2|176703|threatening speech; tirade of threats|угрожающая речь|Drohung; Kampfrede; Strafpredigt|Der Diktator hielt eine aggressive Drohrede gegen die Nachbarstaaten.|The dictator delivered an aggressive, threatening speech against neighboring states.|Диктатор произнес агрессивную, угрожающую речь против соседних государств.|Der Diktator hielt eine aggressive Kampfrede gegen die Nachbarstaaten.|eine Drohrede halten; aggressive Drohrede; fanatische Drohrede|A formal and somewhat dramatic term, composed of 'drohen' and 'Rede' (speech). It designates a public address or speech whose primary goal is to intimidate, issue warnings, or announce harsh consequences.
drohen|Drohung|B2|5900|threat; menace|угроза|Bedrohung; Drohgebärde; Androhung|Sie ließ sich von seiner Drohung nicht einschüchtern.|She did not let herself be intimidated by his threat.|Она не позволила его угрозе запугать себя.|Sie ließ sich von seiner Bedrohung nicht einschüchtern.|eine Drohung aussprechen; leere Drohung; eine Drohung wahrmachen|The standard noun for 'threat'. Note that 'Drohung' usually refers to a specific, active utterance or declaration of intent to harm ('eine Drohung aussprechen'), while 'Bedrohung' refers to a continuous state of danger or risk ('eine Bedrohung für den Frieden').
drohen|Drohwort|C2|190376|threatening word; threat|угрожающее слово; угроза|Drohung; Einschüchterung|Trotz seiner lauten Drohworte blieben die Demonstranten ruhig.|Despite his loud, threatening words, the protesters remained calm.|Несмотря на его громкие угрожающие слова, протестующие оставались спокойными.|Trotz seiner lauten Drohungen blieben die Demonstranten ruhig.|Drohworte aussprechen; laute Drohworte; Drohworte schleudern|A literary and elevated term (mostly used in the plural 'Drohworte') referring to spoken words of menace. It is less common in modern colloquial German, where 'Drohung' or 'Drohungen' is widely preferred.
