word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
gleiten|gleiten|B1|9716|to glide; to slide; to slip|скользить; парить|rutschen; schweben; gleiten; dahingleiten|Der Schwan gleitet elegant über den See.|The swan glides elegantly across the lake.|Лебедь элегантно скользит по озеру.|Der Schwan schwebt elegant über den See.|sanft gleiten; lautlos gleiten; über das Wasser gleiten; durch die Luft gleiten|The verb 'gleiten' is a strong verb (gleitet, glitt, ist geglitten). It describes a smooth, effortless, often silent movement. Unlike 'rutschen' (which often implies slipping accidentally or losing control), 'gleiten' is deliberate, elegant, or naturally smooth.
gleiten|Gleitcreme|C2|131345|lubricant cream; lube|интимный крем-смазка; смазка|Gleitmittel; Gleitgel|Die Verwendung von Gleitcreme kann Reibung reduzieren.|The use of lubricating cream can reduce friction.|Использование интимного крема-смазки может снизить трение.|Die Verwendung von Gleitmittel kann Reibung reduzieren.|Gleitcreme verwenden; Gleitcreme auftragen; wasserlösliche Gleitcreme|'Die Gleitcreme' (feminine) refers to a lubricant, typically in a cream base, used primarily for personal/intimate use or medical procedures. It differs from 'Gleitgel' (gel-based) and 'Gleitmittel' (the general term for any lubricant).
gleiten|Gleiter|C2|63745|glider (aircraft); slider (furniture protector)|планёр; слайдер (ножка мебели)|Segelflugzeug; Filzgleiter; Möbelgleiter|Der Gleiter flog lautlos über das Tal.|The glider flew silently over the valley.|Планёр бесшумно летел над долиной.|Das Segelflugzeug flog lautlos über das Tal.|ein leichter Gleiter; Gleiter aus Filz; lautloser Gleiter|'Der Gleiter' (masculine) has two main meanings: an unpowered aircraft that glides (often in compounds like 'Hängegleiter') or a small pad attached to the bottom of furniture legs to make them slide easily ('Filzgleiter').
gleiten|Gleitflug|C2|86653|glide; gliding flight|планирующий полёт; планирование|Segelflug|Der Vogel ging in einen eleganten Gleitflug über.|The bird transitioned into an elegant glide.|Птица перешла в элегантный планирующий полёт.|Der Vogel ging in einen eleganten Segelflug über.|im Gleitflug landen; in den Gleitflug übergehen; der weite Gleitflug|'Der Gleitflug' (masculine) describes the flight phase where an aircraft or bird moves forward and downward without engine power or active flapping, relying entirely on aerodynamics.
gleiten|Gleitgel|C2|72268|lubricant (gel); lube|гель-смазка; лубрикант|Gleitmittel; Gleitcreme|Das Gleitgel ist auf Wasserbasis hergestellt.|The personal lubricant is water-based.|Гель-смазка изготовлен на водной основе.|Das Gleitmittel ist auf Wasserbasis hergestellt.|medizinisches Gleitgel; wasserlösliches Gleitgel; Gleitgel benutzen|'Das Gleitgel' (neuter) is a gel-based lubricant. Very common in medical (ultrasound, catheters) and intimate contexts. Often preferred over oils or creams because it is water-soluble.
gleiten|Gleitlaut|C2|226879|glide; semivowel|глайд (переходный звук); полугласный|Halbvokal; Übergangslaut|Der Buchstabe J wird in manchen phonetischen Kontexten als Gleitlaut beschrieben.|The letter J is described as a glide in some phonetic contexts.|Буква J в некоторых фонетических контекстах описывается как глайд.|Der Buchstabe J wird in manchen phonetischen Kontexten als Halbvokal beschrieben.|phonetischer Gleitlaut; einen Gleitlaut artikulieren|'Der Gleitlaut' (masculine) is a linguistic term for a transitional speech sound (like English /j/ or /w/) where the vocal tract moves from one position to another; a semivowel.
gleiten|Gleitschirm|C2|56106|paraglider|параплан|Paraglider|Er fliegt am liebsten mit dem Gleitschirm in den Alpen.|He loves flying with a paraglider in the Alps the most.|Больше всего он любит летать на параплане в Альпах.|Er fliegt am liebsten mit dem Paraglider in den Alpen.|Gleitschirm fliegen; mit dem Gleitschirm springen; ein bunter Gleitschirm|'Der Gleitschirm' (masculine) is a paraglider (both the canopy itself and the sport). The activity of flying with it is referred to as 'Gleitschirmfliegen'.
gleiten|Gleitzeit|C2|69534|flexible working hours; flextime|гибкий рабочий график; скользящий график|flexible Arbeitszeit|In unserer Firma haben wir Gleitzeit und können flexibel anfangen.|In our company, we have flextime and can start flexibly.|В нашей компании гибкий график, и мы можем начинать работу в удобное время.|In unserer Firma haben wir flexible Arbeitszeiten und können flexibel anfangen.|Gleitzeit haben; Einführung der Gleitzeit; Kernarbeitszeit und Gleitzeit|'Die Gleitzeit' (feminine) refers to flexible working hours where employees can choose their start and end times, usually around a core period of mandatory presence ('Kernarbeitszeit').
gleiten|Hängegleiter|C2|124812|hang-glider|дельтаплан|Drachenflieger; Deltasegler|Der Hängegleiter landete sicher auf der Wiese.|The hang-glider landed safely on the meadow.|Дельтаплан благополучно приземлился на лугу.|Der Drachenflieger landete sicher auf der Wiese.|mit dem Hängegleiter fliegen; einen Hängegleiter steuern|'Der Hängegleiter' (masculine) refers to a hang-glider (a foot-launched glider with a rigid frame). In everyday spoken German, it is often colloquially called 'Drachen' or 'Drachenflieger'.
gleiten|abgleiten|C2|36105|to slip; to slide off; to drift (into something negative)|соскальзывать; скатываться (к чему-то плохому)|abrutschen; entgleiten; abweichen|Die Diskussion durfte nicht ins Persönliche abgleiten.|The discussion was not allowed to slide into personal matters.|Нельзя было допускать, чтобы дискуссия скатилась к личным выпадам.|Die Diskussion durfte nicht ins Persönliche abrutschen.|ins Persönliche abgleiten; in die Kriminalität abgleiten; von der Fahrbahn abgleiten|'abgleiten' is a strong, separable verb conjugated with 'sein' (glitt ab, ist abgeglitten). While it can describe literal sliding off a path or surface, it is highly common in figurative contexts meaning to drift into an undesirable state.
gleiten|aufgleiten|C2|188162|to slide open; to glide onto (e.g. a shore)|скользить вверх; раздвигаться (со скольжением); выкатываться на берег|auffahren; sich gleitend öffnen|Die automatischen Türen gleiten lautlos auf.|The automatic doors slide open silently.|Автоматические двери бесшумно раздвигаются.|Die automatischen Türen öffnen sich gleitend lautlos.|die Türen gleiten auf; auf den Strand aufgleiten|'aufgleiten' (glitt auf, ist aufgeglitten) is a separable verb. It can describe a sliding motion that opens something (like automatic doors) or the sliding of a vessel upwards onto land.
