word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
fechten|fechten|C1|21577|to fence; to fight|фехтовать; бороться|degentrainieren; kämpfen; duellieren|Sie lernt seit zwei Jahren fechten.|She has been learning to fence for two years.|Она учится фехтовать уже два года.|Sie trainiert seit zwei Jahren mit dem Degen.|mit dem Degen fechten; hervorragend fechten; fechten lernen|Primarily used to describe the sport of fencing. Historically used for sword fighting. Strong verb (ficht, focht, gefochten).
fechten|Fechtakademie|C2|225024|fencing academy; fencing school|академия фехтования|Fechtschule; Fechtinstitut|Er wurde an der renommierten Fechtakademie aufgenommen.|He was accepted at the prestigious fencing academy.|Его приняли в престижную академию фехтования.|Er wurde an der renommierten Fechtschule aufgenommen.|eine renommierte Fechtakademie; an der Fechtakademie trainieren|A formal noun describing a specialized academy or historical training center for fencing.
fechten|Fechtanzug|C2|181573|fencing suit; fencing gear|костюм для фехтования|Fechtkleidung; Schutzanzug|Vor dem Kampf zieht der Sportler seinen weißen Fechtanzug an.|Before the fight, the athlete puts on his white fencing suit.|Перед поединком спортсмен надевает свой белый фехтовальный костюм.|Vor dem Kampf zieht der Sportler seine weiße Fechtkleidung an.|den Fechtanzug anlegen; ein weißer Fechtanzug; den Fechtanzug waschen|A specialized term for the protective white outfit worn by modern competitive fencers.
fechten|Fechtauslage|C2|261680|fencing stance; guard position|фехтовальная стойка|Fechtstellung; En-Garde-Stellung|Der Trainer korrigierte die Fechtauslage des Anfängers.|The coach corrected the beginner's fencing stance.|Тренер исправил фехтовальную стойку новичка.|Der Trainer korrigierte die Fechtstellung des Anfängers.|eine korrekte Fechtauslage; die Fechtauslage einnehmen|A technical term in fencing referring to the basic ready position or guard stance (Auslage).
fechten|Fechtausrüstung|C2|186781|fencing equipment; fencing gear|экипировка для фехтования|Fechtzeug; Fechtutensilien|Zur Fechtausrüstung gehören Maske, Weste und Waffe.|Fencing equipment includes a mask, vest, and weapon.|В экипировку для фехтования входят маска, жилет и оружие.|Zum Fechtzeug gehören Maske, Weste und Waffe.|die komplette Fechtausrüstung; Fechtausrüstung kaufen; eine geprüfte Fechtausrüstung|A collective term referring to all the gear required to safely participate in fencing.
fechten|Fechtbahn|C2|132429|fencing piste; strip|фехтовальная дорожка|Fechtpiste; Planche|Die Duellanten betreten die markierte Fechtbahn.|The duelists step onto the marked fencing strip.|Дуэлянты выходят на размеченную фехтовальную дорожку.|Die Duellanten betreten die markierte Planche.|die Fechtbahn betreten; auf der Fechtbahn stehen; Länge der Fechtbahn|The official area or strip (often called 'piste' or 'Planche' in French/fencing terminology) where a fencing bout takes place.
fechten|Fechtboden|C2|176941|fencing floor; fencing hall (historical)|фехтовальный зал|Fechtsaal; Fechthalle|Früher trafen sich die Studenten auf dem Fechtboden zum Duell.|In the past, students used to meet on the fencing floor for duels.|Раньше студенты встречались в фехтовальном зале для дуэли.|Früher trafen sich die Studenten im Fechtsaal zum Duell.|einen Fechtboden besuchen; auf dem akademischen Fechtboden|Often has a historical connotation, referring to indoor areas, halls, or rooms where fencing (particularly academic fencing / Mensur) was practiced.
fechten|Fechtbruder|C2|221579|fencing brother; fellow fencer|товарищ по фехтованию; собрат по оружию|Fechtkamerad; Waffenbruder|Er grüßte seinen alten Fechtbruder vor dem Kampf.|He greeted his old fencing brother before the fight.|Он поприветствовал своего старого товарища по фехтованию перед боем.|Er grüßte seinen alten Fechtkameraden vor dem Kampf.|ein treuer Fechtbruder; die alten Fechtbrüder|A traditional, somewhat archaic or student-fraternity (Burschenschaft) term for a close fencing companion.
fechten|Fechtdegen|C2|225528|fencing épée; fencing rapier|фехтовальная шпага|Degen; Fechtwaffe|Er polierte seinen Fechtdegen sorgfältig vor dem Turnier.|He carefully polished his fencing épée before the tournament.|Он тщательно отполировал свою фехтовальную шпагу перед турниром.|Er polierte seinen Degen sorgfältig vor dem Turnier.|einen Fechtdegen führen; den Fechtdegen blank ziehen|"Specifies the ""Degen"" (épée/rapier) used specifically for fencing, as opposed to historical or military swords."
fechten|Fechter|C2|24307|fencer; fighter|фехтовальщик|Degenkämpfer; Säbelkämpfer|Der junge Fechter gewann überraschend die Goldmedaille.|The young fencer surprisingly won the gold medal.|Молодой фехтовальщик неожиданно завоевал золотую медаль.|Der junge Degenkämpfer gewann überraschend die Goldmedaille.|ein erstklassiger Fechter; Fechter im Halbfinale; der gegnerische Fechter|The standard noun for a person who practices fencing (masculine, feminine is Fechterin).
