word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
schieben|schieben|B2|46816|to push, to shove, to slide|толкать, двигать, пихать|drücken; stoßen; bewegen|Er musste das alte Auto bis zur Werkstatt schieben.|He had to push the old car to the workshop.|Ему пришлось толкать старую машину до мастерской.|Er musste das alte Auto bis zur Werkstatt drücken.|einen Kinderwagen schieben; die Schuld auf jemanden schieben; eine ruhige Kugel schieben; Kohldampf schieben|Standard verb for moving something heavy along a surface by pushing. Figuratively used in idiomatic expressions like 'die Schuld auf jemanden schieben' (to shift the blame onto someone) or 'eine ruhige Kugel schieben' (to have an easy time at work).
schieben|Einschub|C2|36759|insertion, insert, parenthesis|вставка, вводное замечание|Einfügung; Klammer; Parenthese|Der Redner machte einen kurzen Einschub, um den Gast zu begrüßen.|The speaker made a short insertion to welcome the guest.|Оратор сделал короткую вставку, чтобы поприветствовать гостя.|Der Redner machte eine kurze Einfügung, um den Gast zu begrüßen.|ein kurzer Einschub; einen Einschub machen; gedanklicher Einschub|Refers either to a physical insert (such as a hardware module, shelf, or tray) or a rhetorical/linguistic insertion (parenthesis or brief digression in a text).
schieben|Geschiebe|C2|66193|detritus, bed load (geology), pushing and shoving|морена, наносы, донные наносы, толкотня|Geröll; Sediment; Gedränge|Der Fluss transportiert viel Geschiebe aus den Bergen.|The river transports a lot of bed load from the mountains.|Река переносит много донных наносов из гор.|Der Fluss transportiert viel Geröll aus den Bergen.|glaziales Geschiebe; Geschiebe transportieren; Geschiebe der Flüsse|Chiefly a geological term for rock debris and materials transported by glaciers or watercourses (bed load). Colloquially, it can occasionally refer to persistent pushing or crowd maneuvering, though this is rare.
schieben|Schiebeball|C2|232902|pushed ball|толкнутый мяч, толчок мяча (в спорте)|Stoßball; geschobener Ball|Er spielte einen präzisen Schiebeball über das Netz.|He played a precise pushed ball over the net.|Он сыграл точным толкнутым мячом через сетку.|Er spielte einen präzisen geschobenen Ball über das Netz.|einen Schiebeball spielen; technischer Schiebeball|A highly specific sports term (especially in billiards, tennis, or table tennis) describing a shot where the ball is pushed or guided rather than struck with sharp momentum.
schieben|Schiebebock|C2|210492|push block, push stick|толкатель, шаблон-толкатель (для станков)|Schiebestock; Zuführhilfe|Verwenden Sie beim Sägen immer den Schiebebock für Ihre Sicherheit.|Always use the push block when sawing for your safety.|При пилении всегда используйте толкатель для вашей безопасности.|Verwenden Sie beim Sägen immer den Schiebestock für Ihre Sicherheit.|Schiebebock an der Kreissäge; den Schiebebock benutzen|A specialized safety tool in woodworking used to guide workpieces through stationary machines (like circular saws or planers) while keeping hands at a safe distance.
schieben|Schiebebühne|C2|165799|traverser, transfer table|трансбордер, поворотный круг|Schiebebühnenanlage; Segmentdrehbühne|Die Lokomotive wurde auf der Schiebebühne zum nächsten Gleis bewegt.|The locomotive was moved to the next track on the transfer table.|Локомотив был перемещен на соседний путь по трансбордеру.|Die Lokomotive wurde auf der Segmentdrehbühne zum nächsten Gleis bewegt.|eine Schiebebühne für Loks; Schiebebühne im Bahnbetriebswerk|A technical railway term for a movable platform with parallel tracks that transfers locomotives, train carriages, or heavy equipment laterally between tracks.
schieben|Schiebedach|C2|50855|sunroof, sliding roof|люк в крыше автомобиля, сдвижная крыша|Panoramadach; Schiebehimmel|Bei dem schönen Wetter öffnete sie das Schiebedach des Autos.|In the beautiful weather, she opened the car's sunroof.|В прекрасную погоду она открыла люк в крыше автомобиля.|Bei dem schönen Wetter öffnete sie das Panoramadach des Autos.|elektrisches Schiebedach; Schiebedach öffnen; Auto mit Schiebedach|Mainly refers to a sliding panel in a vehicle's roof, but can also describe larger retractable roofs in modern stadiums or architectural structures.
schieben|Schiebedeckel|C2|157465|sliding lid, sliding cover|сдвижная крышка|Schiebeverschluss; Gleitdeckel|Die Holzkiste hat einen praktischen Schiebedeckel.|The wooden box has a practical sliding lid.|Деревянный ящик имеет практичную сдвижную крышку.|Die Holzkiste hat einen praktischen Schiebeverschluss.|Schiebedeckel aus Holz; Kiste mit Schiebedeckel|A flat lid that slides along lateral grooves to open or close, commonly found on wooden boxes, small storage containers, or antique furniture.
schieben|Schiebefach|C2|213769|sliding compartment, drawer|выдвижной ящик, выдвижное отделение|Schublade; Auszugsfach; Schubfach|Im geheimen Schiebefach bewahrte er seine Dokumente auf.|He kept his documents in the secret sliding compartment.|В секретном выдвижном ящике он хранил свои документы.|In der geheimen Schublade bewahrte er seine Dokumente auf.|geheimes Schiebefach; Schiebefach im Schreibtisch|A compartment designed to slide out, often used when referring to specialized, hidden, or modular drawers rather than standard cabinet drawers.
schieben|Schiebefenster|C2|102114|sliding window|раздвижное окно|Schiebeflügelfenster; Gleitfenster|Das Schiebefenster in der Küche lässt sich leicht öffnen.|The sliding window in the kitchen is easy to open.|Раздвижное окно на кухне легко открывается.|Das Gleitfenster in der Küche lässt sich leicht öffnen.|Schiebefenster einbauen; horizontales Schiebefenster|A window that opens by sliding vertically or horizontally rather than swinging on hinges. Very common in caravans, ticket booths, and modern patios.
