word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
landen|landen|A2|1327|to land, to end up|приземляться, приземлиться, оказаться|aufsetzen; eintreffen; ankommen; enden|Das Flugzeug landete pünktlich auf dem Flughafen.|The airplane landed on time at the airport.|Самолет приземлился вовремя в аэропорту.|Das Flugzeug setzte pünktlich auf der Landebahn auf.|sicher landen; auf dem Wasser landen; im Gefängnis landen; einen Treffer landen|The verb 'landen' primarily refers to aircraft or ships coming to a halt on land or water (conjugated with 'sein'). In everyday informal German, it is very commonly used with the preposition 'in', 'auf', or 'bei' to mean 'to end up somewhere' or 'to wind up' (e.g., 'im Müll landen' or 'wir landeten schließlich in einer Kneipe').
landen|anlanden|C2|62367|to land (cargo/troops), to wash ashore, to put ashore|причаливать, высаживаться на берег, доставлять на берег|anlegen; ausschiffen; stranden|Die Fischer landeten ihren Fang im Hafen an.|The fishermen landed their catch in the harbor.|Рыбаки доставили свой улов на берег в порту.|Die Fischer brachten ihren Fang im Hafen an Land.|Waren anlanden; Truppen anlanden; im Hafen anlanden|Can be used transitively (with 'haben') meaning 'to bring goods or troops ashore' or intransitively (with 'sein') meaning 'to reach land/dock'. It has a strong maritime or military flavor.
landen|Landeanflug|C2|34893|landing approach|заход на посадку|Abstieg; Anflugphase|Das Flugzeug befindet sich bereits im Landeanflug.|The airplane is already on its landing approach.|Самолет уже находится на заходе на посадку.|Das Flugzeug bereitet sich bereits auf die Landung vor.|sich im Landeanflug befinden; den Landeanflug abbrechen; einen Landeanflug einleiten|A masculine noun ('der Landeanflug'). It is almost exclusively used in aviation contexts. The most common construction is 'sich im Landeanflug befinden' (to be on final approach).
landen|Landebahn|C1|16176|runway, landing strip|взлетно-посадочная полоса|Startbahn; Rollbahn; Landepiste|Die Landebahn war nach dem Schneefall sehr glatt.|The runway was very slippery after the snowfall.|Взлетно-посадочная полоса была очень скользкой после снегопада.|Die Landepiste war nach dem Schneefall sehr glatt.|auf der Landebahn aufsetzen; die Landebahn sperren; eine lange Landebahn|A feminine noun ('die Landebahn'). In larger airports, it is often combined with 'Startbahn' (takeoff runway) into the term 'Start- und Landebahn'.
landen|Landeerlaubnis|C2|88365|landing permission, landing clearance|разрешение на посадку|Landegenehmigung; Einflugerlaubnis|Der Pilot bat den Tower um Landeerlaubnis.|The pilot asked the tower for landing clearance.|Пилот запросил у диспетчерской вышки разрешение на посадку.|Der Pilot erfragte beim Kontrollturm die Landegenehmigung.|die Landeerlaubnis erteilen; um Landeerlaubnis bitten; die Landeerlaubnis verweigern|A feminine noun ('die Landeerlaubnis'). Typically paired with verbs like 'erteilen' (to grant), 'verweigern' (to deny), or 'bitten um' (to request).
landen|Landefähre|C2|121118|landing craft, lunar module, lander|посадочный модуль, десантное судно, лунный модуль|Landungsboot; Mondlandefähre; Landemodul|Die Landefähre setzte sicher auf der Mondoberfläche auf.|The lunar module landed safely on the moon's surface.|Посадочный модуль благополучно приземлился на поверхность Луны.|Das Landemodul setzte sicher auf der Mondoberfläche auf.|bemannte Landefähre; die Landefähre abkoppeln; die Landefähre der Apollo-Mission|A feminine noun ('die Landefähre'). Primarily used in historical space exploration contexts (like Apollo's 'Mondlandefähre') or military operations involving amphibious transport.
landen|Landefahrzeug|C2|156758|landing vehicle, landing craft|десантное средство, посадочный аппарат|Landungsboot; Amphibienfahrzeug; Landeapparat|Das militärische Landefahrzeug brachte die Soldaten an den Strand.|The military landing craft brought the soldiers to the beach.|Военный десантный катер доставил солдат на берег.|Das militärische Landungsboot brachte die Soldaten an den Strand.|gepanzertes Landefahrzeug; amphibisches Landefahrzeug; ein unbemanntes Landefahrzeug|A neuter noun ('das Landefahrzeug'). A broad term that can mean an amphibious military vehicle or a planetary surface lander in space travel.
landen|Landekapsel|C2|130620|landing capsule, descent capsule|спускаемый аппарат, посадочная капсула|Rückkehrkapsel; Landemodul; Raumkapsel|Die Landekapsel der Astronauten landete sicher im Pazifik.|The astronauts' landing capsule landed safely in the Pacific.|Спускаемый аппарат космонавтов благополучно приземлился в Тихом океане.|Die Raumkapsel der Astronauten wasserte sicher im Pazifik.|die Landekapsel tritt in die Atmosphäre ein; die Fallschirme der Landekapsel|A feminine noun ('die Landekapsel'). Strictly used in spaceflight to describe the capsule built to survive atmospheric re-entry and return to Earth or another celestial body.
landen|Landeklappe|C2|101208|landing flap, wing flap|закрылок|Auftriebsklappe; Klappe|Der Pilot fuhr die Landeklappen für den Sinkflug aus.|The pilot extended the landing flaps for the descent.|Пилот выпустил закрылки для снижения.|Der Pilot fuhr die Auftriebsklappen für den Sinkflug aus.|die Landeklappen ausfahren; die Landeklappen einfahren; Stellung der Landeklappen|A feminine noun ('die Landeklappe'). Almost always used in the plural ('Landeklappen') in aviation, describing the lift-increasing flaps on airplane wings.
landen|Landekopf|C2|186755|beachhead, bridgehead|плацдарм (при высадке десанта)|Brückenkopf; Landungszone|Die Truppen errichteten rasch einen sicheren Landekopf an der Küste.|The troops quickly established a secure beachhead on the coast.|Войска быстро создали надежный плацдарм на побережье.|Die Truppen errichteten rasch einen sicheren Brückenkopf an der Küste.|einen Landekopf bilden; den Landekopf sichern; einen Landekopf erweitern|A masculine military term ('der Landekopf'). It designates a secured area on enemy shoreline used to land further troops or material.
