word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
blühen|blühen|B2|5959|to bloom; to blossom; to flourish|цвести; процветать|florieren; gedeihen; blustern|Die Rosen blühen dieses Jahr besonders früh.|The roses are blooming particularly early this year.|Розы в этом году цветут особенно рано.|Die Rosen gedeihen dieses Jahr besonders früh.|herrlich blühen; im Garten blühen; prächtig blühen|Used both literally for plants and flowers, and figuratively for businesses, economies, or arts meaning 'to flourish' or 'to prosper'. Note the idiomatic expression 'jemandem blüht etwas' (e.g. 'ihm blüht eine Strafe'), which ironically means that something unpleasant is in store for someone.
blühen|blühend|B2|8865|blooming; flourishing; prosperous|цветущий; процветающий|florierend; prosperierend; gedeihlich; blumenreich|Sie hat eine blühende Fantasie.|She has a vivid imagination.|У нее цветущее (богатое) воображение.|Sie hat eine lebhafte Fantasie.|eine blühende Fantasie; blühende Landschaften; ein blühendes Geschäft|Present participle of 'blühen' used as an adjective. It is highly common in both literal contexts (e.g., 'eine blühende Wiese' - a blooming meadow) and figurative ones (e.g., 'ein blühendes Geschäft' - a thriving business). The collocation 'blühende Fantasie' is standard for 'wild/vivid imagination'.
blühen|blühwillig|C2|175127|willing to bloom; free-flowering; floriferous|охотно цветущий; обильноцветущий|blühfreudig; blütenreich|Diese Orchideenart gilt als besonders blühwillig.|This orchid species is considered particularly free-flowering.|Этот вид орхидей считается особенно обильноцветущим.|Diese Orchideenart gilt als besonders blühfreudig.|eine blühwillige Pflanze; blühwillige Orchideen; besonders blühwillig sein|A horticultural and botanical term used to describe plants that produce blossoms easily, willingly, and abundantly. The suffix '-willig' implies a tendency or readiness of the plant to flower under normal care.
blühen|Blüte|B2|4572|blossom; flower; bloom; prime; counterfeit note|цветок; цветение; расцвет; фальшивая купюра|Blume; Flor; Blütezeit|Die Bäume stehen jetzt in voller Blüte.|The trees are in full bloom now.|Деревья сейчас стоят в полном цвету.|Die Bäume stehen jetzt im vollen Flor.|in voller Blüte stehen; die Blüte der Jugend; eine Blüte treiben|Can mean the literal blossom of a plant, the state of blooming ('in Blüte stehen'), or figuratively the prime of life/history ('die Blütezeit'). Colloquially, 'eine Blüte' can also mean a forged banknote. Note that 'Blume' is more general for any flower, while 'Blüte' is often the individual blossom, especially of trees or shrubs.
blühen|Frühblüher|C2|49040|early bloomer; early-flowering plant|раннецветущее растение; первоцвет|Erstlingsblume; Frühlingsbote|Schneeglöckchen gehören zu den bekanntesten Frühblühern.|Snowdrops are among the most famous early bloomers.|Подснежники относятся к числу самых известных первоцветов.|Schneeglöckchen gehören zu den bekanntesten Frühlingsboten.|heimische Frühblüher; die ersten Frühblüher; Frühblüher im Garten|A botanical and gardening term (masculine noun: der Frühblüher) for plants that flower very early in the year, often in late winter or early spring before other plants wake up.
blühen|Frühjahrsblüher|C2|77180|spring bloomer; spring-flowering plant|весеннецветущее растение; весенний первоцвет|Frühlingsblüher|Tulpen und Narzissen sind typische Frühjahrsblüher.|Tulips and daffodils are typical spring bloomers.|Тюльпаны и нарциссы — типичные весенние первоцветы.|Tulpen und Narzissen sind typische Frühlingsblüher.|bunte Frühjahrsblüher; Frühjahrsblüher pflanzen; beliebte Frühjahrsblüher|Virtually identical to 'Frühlingsblüher'. Refers specifically to plants that bloom during the spring season ('Frühjahr'). It is a masculine noun ('der Frühjahrsblüher').
blühen|Frühlingsblüher|C2|76604|spring-flowering plant; spring bloomer|весеннецветущее растение|Frühjahrsblüher|Der Garten ist voll von bunten Frühlingsblühern.|The garden is full of colorful spring bloomers.|Сад полон разноцветных весенних цветов.|Der Garten ist voll von bunten Frühjahrsblühern.|Frühlingsblüher im Beet; die schönsten Frühlingsblüher|Synonymous with 'Frühjahrsblüher'. Used interchangeably in botanical, agricultural, and general horticultural contexts. Masculine noun.
blühen|Schattenblüher|C2|213765|shade-loving bloomer; shade plant|теневыносливое цветущее растение|Schattengewächs; Schattenpflanze|Für die schattige Ecke des Gartens eignen sich Schattenblüher.|Shade-loving bloomers are suitable for the shady corner of the garden.|Для тенистого уголка сада подходят теневыносливые цветущие растения.|Für die schattige Ecke des Gartens eignen sich Schattengewächse.|Schattenblüher für den Balkon; Schattenblüher pflanzen|A gardening term for flowering plants that prefer shady environments and do not need direct sunlight to bloom. Masculine noun.
blühen|Spätblüher|C2|259364|late bloomer; late-flowering plant|поздноцветущее растение; поздний цветок|Spätling|Astern sind bekannte Spätblüher, die bis in den Herbst hinein blühen.|Asters are well-known late bloomers that flower well into autumn.|Астры — известные поздноцветущие растения, которые цветут до самой осени.|Astern sind bekannte Pflanzen, die erst spät im Jahr blühen.|herbstliche Spätblüher; Spätblüher im Garten|Used primarily for plants that flower late in the vegetative period (late summer or autumn). Although in English 'late bloomer' often refers to people, the German equivalent for late-developing individuals is usually 'Spätzünder'.
blühen|Winterblüher|C2|122447|winter-flowering plant; winter bloomer|зимнецветущее растение|Winterpflanze|Der Winterblüher bringt auch in der kalten Jahreszeit Farbe in den Garten.|The winter-flowering plant brings color to the garden even in the cold season.|Зимне цветущее растение приносит краски в сад даже в холодное время года.|Die winterharte Pflanze bringt auch in der kalten Jahreszeit Farbe in den Garten.|immergrüne Winterblüher; der duftende Winterblüher|Botanical and gardening term for plants that bloom during the winter months, such as winter jasmine or witch hazel. Masculine noun.
