word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
malen|malen|A2|3249|to paint, to draw|рисовать, писать (красками)|zeichnen; pinseln; abbilden|Sie malt ein schönes Bild mit Ölfarben.|She is painting a beautiful picture with oil paints.|Она рисует красивую картину масляными красками.|Sie zeichnet ein schönes Bild mit Ölfarben.|ein Bild malen; mit Öl malen; an die Wand malen|'malen' specifically means painting (with a brush and colors), whereas 'zeichnen' means drawing (with pencil or pen). In colloquial speech, 'malen' is also used for children drawing.
malen|buntbemalt|C2|106018|colorfully painted, brightly colored|ярко раскрашенный, разноцветный|farbenfroh; bunt; farbig bemalt|Die Kinder bestaunten das buntbemalte Karussell auf dem Jahrmarkt.|The children marveled at the colorfully painted carousel at the fair.|Дети восхищались ярко раскрашенной каруселью на ярмарке.|Die Kinder bestaunten das farbig bemalte Karussell auf dem Jahrmarkt.|ein buntbemaltes Ei; ein buntbemaltes Haus; eine buntbemalte Wand|This is a compound adjective formed from 'bunt' (colorful) and 'bemalt' (painted). It is used to describe objects decorated with multiple bright colors.
malen|handgemalt|C2|52696|hand-painted|расписанный вручную, ручной работы|handkoloriert; handgezeichnet|Sie besitzt eine Kollektion handgemalter Tassen aus Porzellan.|She owns a collection of hand-painted porcelain cups.|У нее есть коллекция расписанных вручную фарфоровых чашек.|Sie besitzt eine Kollektion handgezeichneter Tassen aus Porzellan.|ein handgemaltes Bild; handgemaltes Porzellan; handgemalte Schilder|Used to emphasize that an artwork or decorative object was painted by a human hand rather than printed or manufactured by machine.
malen|lautmalend|C2|152780|onomatopoeic, sound-imitative|звукоподражательный|lautmalerisch; onomatopoetisch|Das lautmalende Wort ahmt das Geräusch des Windes nach.|The onomatopoeic word imitates the sound of the wind.|Звукоподражательное слово имитирует шум ветра.|Das lautmalerische Wort ahmt das Geräusch des Windes nach.|lautmalende Wörter; lautmalender Text; lautmalende Sprache|Present participle of 'lautmalen' used as an adjective, mostly in linguistic and literary contexts. It describes words or expressions that mimic natural sounds.
malen|lautmalerisch|C2|58724|onomatopoeic, sound-imitative|звукоподражательный|lautmalend; onomatopoetisch|Der Dichter nutzt lautmalerische Effekte in seinem neuen Gedicht.|The poet uses onomatopoeic effects in his new poem.|Поэт использует звукоподражательные эффекты в своем новом стихотворении.|Der Dichter nutzt onomatopoetische Effekte in seinem neuen Gedicht.|ein lautmalerisches Wort; lautmalerische Poesie; lautmalerische Ausdrücke|More common and idiomatic than 'lautmalend' in literary analysis and academic contexts when describing sound-imitative language.
malen|malerisch|B2|8337|picturesque, scenic, painterly|живописный, колоритный|idyllisch; pittoresk; landschaftlich schön|Wir machten Urlaub in einem malerischen Dorf in den Alpen.|We went on vacation to a picturesque village in the Alps.|Мы провели отпуск в живописной деревне в Альпах.|Wir machten Urlaub in einem idyllischen Dorf in den Alpen.|eine malerische Landschaft; ein malerischer Winkel; malerisch gelegen|Can describe beautiful scenery (like 'picturesque') or, in art criticism, a painterly style that emphasizes color and light over strict linear boundaries.
malen|Gemälde|B2|4233|painting, picture (artwork)|картина, полотно|Bild; Kunstwerk; Ölbild|Das berühmte Gemälde hängt im Louvre in Paris.|The famous painting hangs in the Louvre in Paris.|Знаменитая картина висит в Лувре в Париже.|Das berühmte Bild hängt im Louvre in Paris.|ein berühmtes Gemälde; ein Gemälde restaurieren; wertvolles Gemälde|Unlike 'Bild' (which can be a photo, digital file, or drawing), a 'Gemälde' is strictly a physical painting, usually on canvas or wood, created as a work of art.
malen|Maler|A2|3458|painter, artist, house painter|художник, маляр|Künstler; Kunstmaler; Anstreicher|Der Maler verbringt den ganzen Tag in seinem Atelier.|The painter spends the entire day in his studio.|Художник проводит весь день в своей мастерской.|Der Künstler verbringt den ganzen Tag in seinem Atelier.|ein bekannter Maler; Maler und Lackierer; der Maler des Bildes|'Maler' has two distinct meanings: a fine artist (painter) and a professional craftsman who paints walls and houses (house painter). Context makes the distinction clear.
malen|Malerei|B2|3589|painting (art form), painting style|живопись, роспись|Malkunst; Gemäldekunst; Bildkunst|Sie interessiert sich besonders für die Malerei der Renaissance.|She is particularly interested in Renaissance painting.|Она особенно интересуется живописью эпохи Возрождения.|Sie interessiert sich besonders für die Malkunst der Renaissance.|zeitgenössische Malerei; abstrakte Malerei; die Geschichte der Malerei|'Malerei' refers to the art form, medium, or historical style of painting as a category, whereas 'Gemälde' is an individual, physical painting.
malen|Malweise|C2|64719|painting style, style of painting, brushwork|манера письма, стиль живописи|Malstil; Pinselstrich; Arbeitsweise|Seine feine Malweise unterscheidet ihn von anderen Künstlern seiner Epoche.|His fine painting style distinguishes him from other artists of his era.|Его тонкая манера письма отличает его от других художников его эпохи.|Sein feiner Malstil unterscheidet ihn von anderen Künstlern seiner Epoche.|eine charakteristische Malweise; die Malweise untersuchen; impressionistische Malweise|A technical term in art history and criticism used to analyze and describe the specific way an artist applies paint and manages brushstrokes.
