word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
sammeln|sammeln|A2|1123|to collect, to gather, to accumulate|собирать, коллекционировать|anhäufen; aufbewahren; zusammentragen; kollektieren; horten|Die Kinder sammeln bunte Blätter im herbstlichen Wald.|The children collect colorful leaves in the autumn forest.|Дети собирают разноцветные листья в осеннем лесу.|Die Kinder tragen bunte Blätter im herbstlichen Wald zusammen.|Spenden sammeln; Erfahrungen sammeln; Pilze sammeln; Briefmarken sammeln|A standard, highly versatile verb used for hobbies (collecting objects), accumulation (collecting experiences, points, or evidence), or charitable actions (collecting money/donations).
sammeln|zusammen|A1|285|together, jointly|вместе, совместно|gemeinsam; miteinander; zeitgleich; vereinigt|Wir müssen dieses schwierige Projekt zusammen beenden.|We must finish this difficult project together.|Мы должны закончить этот сложный проект вместе.|Wir müssen dieses schwierige Projekt gemeinsam beenden.|zusammen arbeiten; zusammen gehören; alles zusammen; eng zusammen|An adverb indicating collaboration, closeness, or co-occurrence. It is less formal than 'gemeinsam' and emphasizes unity or being in one place/group.
sammeln|Ansammlung|C1|17293|accumulation, crowd, gathering|скопление, накопление, сборище|Anhäufung; Agglomeration; Menschenmenge; Konzentration|Vor dem alten Rathaus bildete sich eine große Ansammlung von Menschen.|A large crowd of people formed in front of the old town hall.|Перед старой ратушей образовалось большое скопление людей.|Vor dem alten Rathaus bildete sich eine große Menschenmenge.|eine Ansammlung von Menschen; eine Ansammlung von Staub; unzulässige Ansammlung|Refers either to a physical accumulation of substances (like dust, fluid, or gas) or to a gathering/crowd of people, often spontaneous.
sammeln|Sammelaktion|C2|29277|collection campaign, fundraising drive|кампания по сбору (средств, вещей)|Spendensammlung; Sammelkampagne; Spendenaktion|Die Schule organisiert eine Sammelaktion für warme Winterkleidung.|The school is organizing a collection campaign for warm winter clothing.|Школа организует кампанию по сбору теплой зимней одежды.|Die Schule organisiert eine Spendenaktion für warme Winterkleidung.|eine Sammelaktion starten; eine Sammelaktion organisieren; Sammelaktion für Obdachlose|Commonly used for charitable and social initiatives to collect goods, clothes, or money for a specific cause.
sammeln|Sammelalbum|C2|95625|sticker album, collector's scrapbook|альбом для коллекционирования, альбом для наклеек|Stickeralbum; Klebealbum; Sammelmappe|Er klebte stolz das letzte Bild in sein volles Sammelalbum.|He proudly pasted the last sticker into his full collector's album.|Он с гордостью наклеил последнюю картинку в свой полный альбом для наклеек.|Er klebte stolz das letzte Bild in sein volles Stickeralbum.|Sammelalbum für Fußballbilder; ins Sammelalbum einkleben; ein Sammelalbum füllen|Usually denotes a booklet designed for children or sports fans to stick collectable pictures, cards, or stamps in.
sammeln|Sammelbezeichnung|C2|105192|collective term, generic term|собирательное название, общее обозначение|Oberbegriff; Sammelbegriff; Kollektivum|Das Wort 'Insekten' ist eine Sammelbezeichnung für unzählige Tierarten.|The word 'insects' is a collective term for countless animal species.|Слово «насекомые» является собирательным названием для бесчисленных видов животных.|Das Wort 'Insekten' ist ein Sammelbegriff für unzählige Tierarten.|als Sammelbezeichnung dienen; allgemeine Sammelbezeichnung; gebräuchliche Sammelbezeichnung|A formal linguistic or classification term denoting a generic name that encompasses multiple subcategories.
sammeln|Sammeleifer|C2|131343|collecting zeal, passion for collecting|собирательский азарт, рвение к коллекционированию|Sammelleidenschaft; Sammelwut; Sammeltrieb|Sein Sammeleifer ließ im Laufe der Jahre stark nach.|His zeal for collecting diminished significantly over the years.|Его собирательский азарт со временем сильно угас.|Seine Sammelleidenschaft ließ im Laufe der Jahre stark nach.|den Sammeleifer wecken; ungebremster Sammeleifer; jugendlicher Sammeleifer|A compound noun describing a strong, energetic enthusiasm for collecting items. Often used slightly humorously.
sammeln|Sammelfahrschein|C2|179705|multi-trip ticket, group ticket|многоразовый проездной билет, групповой билет|Sammelticket; Mehrfahrtenkarte; Gruppenfahrschein|Für unsere Reisegruppe haben wir einen günstigen Sammelfahrschein gekauft.|We bought a cheap group ticket for our travel group.|Для нашей туристической группы мы купили дешевый групповой билет.|Für unsere Reisegruppe haben wir ein günstiges Sammelticket gekauft.|einen Sammelfahrschein entwerten; Sammelfahrschein für die Straßenbahn; ermäßigter Sammelfahrschein|A transport term for a ticket used either by multiple people traveling together or for multiple journeys (like a strip-ticket).
sammeln|Sammelfrucht|C2|176779|aggregate fruit|сложный плод, сборный плод|Mehrfachfrucht; zusammengesetzte Frucht|Die Himbeere ist botanisch gesehen eine Sammelfrucht.|Botanically speaking, the raspberry is an aggregate fruit.|С ботанической точки зрения малина — это сложный плод.|Die Himbeere ist botanisch gesehen eine Mehrfachfrucht.|botanische Sammelfrucht; Sammelfrucht bilden; die Erdbeere als Sammelfrucht|A specialized botanical term referring to fruits that develop from a single flower containing multiple distinct pistils.
sammeln|Sammelgebiet|C2|73448|collecting area, field of collecting|область коллекционирования, сфера собирательства|Sammlerfokus; Sammelschwerpunkt|Sein Sammelgebiet erstreckt sich von Postkarten bis zu alten Münzen.|His collecting area ranges from postcards to old coins.|Его область коллекционирования простирается от почтовых открыток до старинных монет.|Sein Sammelschwerpunkt erstreckt sich von Postkarten bis zu alten Münzen.|beliebtes Sammelgebiet; neues Sammelgebiet erschließen; klassisches Sammelgebiet|Commonly used by hobbyists (philatelists, numismatists, etc.) and museum curators to describe their thematic specialty.
sammeln|Sammelgrab|C2|143646|collective grave, mass grave|братская могила, общее захоронение|Massengrab; Gemeinschaftsgrab|Die Opfer der Pestepidemie wurden damals in einem Sammelgrab beigesetzt.|The victims of the plague epidemic were buried in a collective grave back then.|Жертвы эпидемии чумы тогда были похоронены в братской могиле.|Die Opfer der Pestepidemie wurden damals in einem Massengrab beigesetzt.|anonymes Sammelgrab; Opfer im Sammelgrab bestatten; historisches Sammelgrab|Can denote a historical 'Massengrab' due to war or epidemic, or a modern, often anonymous, communal burial plot ('Gemeinschaftsgrab').
sammeln|Sammelkasse|C2|153211|collective cash box, pooled money|общая касса, общая копилка|Gemeinschaftskasse; Gemeinschaftskonto; Gemeinschaftskasse|Für das Abschiedsgeschenk zahlten alle Kollegen in eine Sammelkasse ein.|All colleagues paid into a collective cash box for the farewell gift.|На прощальный подарок все коллеги скинулись в общую кассу.|Für das Abschiedsgeschenk zahlten alle Kollegen in eine Gemeinschaftskasse ein.|Geld in die Sammelkasse einzahlen; eine Sammelkasse verwalten; gemeinsame Sammelkasse|Usually describes an informal, shared pool of money managed within a group (e.g., in a workspace or club) for shared expenses or gifts.
