word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
stehen|stehen|A1|8868|to stand; to be located|стоять; находиться|sich befinden; aufrecht stehen; platziert sein|Das Buch steht im Regal.|The book is on the shelf.|Книга стоит на полке.|Das Buch befindet sich im Regal.|aufrecht stehen; im Weg stehen; zur Verfügung stehen|A highly common verb. It denotes a state of being upright or located somewhere. Often used with a dative preposition to answer 'where?' (wo?). Contrast with 'stellen' which indicates movement to a position (answers 'whither?', wohin?, and takes accusative).
stehen|stehend|B2|2144|standing; stationary|стоячий; стоящий; неподвижный|aufrecht; unbewegt; vertikal|Wir unterhielten uns im stehenden Auto.|We talked in the stationary car.|Мы разговаривали в стоящей машине.|Wir unterhielten uns im unbewegten Auto.|stehendes Wasser; stehende Ovationen; stehendes Heer|Present participle of 'stehen', acting as an adjective. Often collocates with water to mean stagnant/still water, or in military context as a standing army.
stehen|Stand|A2|921|state; position; booth; stand|состояние; уровень; положение; стенд; прилавок|Zustand; Position; Messestand; Status|Wie ist der aktuelle Stand der Dinge?|What is the current state of affairs?|Каково текущее положение дел?|Wie ist der aktuelle Zustand der Dinge?|auf dem neuesten Stand; Stand der Technik; den aktuellen Stand bringen|Masculine noun (der Stand, plural: die Stände). A very polysemous word. It can mean a physical booth at a market, a high-jump height, social class (historical), or the state/status of an ongoing project.
stehen|Ständer|C1|22339|stand; rack; holder|подставка; стойка; вешалка|Halterung; Gestell; Stativ|Er stellt das Fahrrad in den Ständer.|He puts the bicycle in the stand.|Он ставит велосипед на подставку.|Er stellt das Fahrrad in die Halterung.|Fahrradständer; Notenständer; Kleiderständer|Masculine noun (der Ständer). Typically refers to mechanical or utility supports designed to keep various items standing upright. Note: colloquially it can also refer to an erection (slang).
stehen|Steher|C2|63510|stayer; persistent person; endurance racer|выносливый человек; стайер|Dauerläufer; zäher Mensch|Im Marathonlauf zeigte er, dass er ein echter Steher ist.|In the marathon, he showed that he is a real stayer.|В марафонском беге он показал, что является настоящим стайером.|Im Marathonlauf zeigte er, dass er ein sehr zäher Mensch ist.|Steher-Qualitäten; ein echter Steher sein|Masculine noun (der Steher). Idiomatically used to describe someone with immense physical or mental endurance who does not give up easily. Historically also refers to specialized track cycling racers.
stehen|Stehkragen|C2|62414|stand-up collar; band collar|воротник-стойка|Stehbund|Das Hemd hat einen eleganten Stehkragen.|The shirt has an elegant stand-up collar.|У этой рубашки элегантный воротник-стойка.|Das Hemd hat einen eleganten Stehbund.|Hemd mit Stehkragen; Stehkragen an der Jacke|Masculine noun (der Stehkragen). Formed by combining 'Steh-' (from stehen) and 'Kragen' (collar). Describes a collar that stands vertically instead of folding down.
stehen|Stehlampe|C2|53981|floor lamp; standard lamp|торшер; напольная лампа|Stehleuchte; Standlampe|Neben dem Sessel steht eine gemütliche Stehlampe.|Beside the armchair stands a cozy floor lamp.|Рядом с креслом стоит уютный торшер.|Neben dem Sessel steht eine gemütliche Stehleuchte.|die Stehlampe einschalten; eine moderne Stehlampe|Feminine noun (die Stehlampe). A large lamp designed to stand on the floor of a room. 'Stehleuchte' is a common, slightly more technical synonym.
stehen|Stehplatz|C1|21616|standing room; standing place|стоячее место|Stehgelegenheit|Im Stadion gibt es meistens billige Stehplätze.|In the stadium, there are usually cheap standing-room-only spots.|На стадионе обычно есть дешевые стоячие места.|Im Stadion gibt es meistens billige Stehgelegenheiten.|Stehplatz auf der Tribüne; Stehplatzkarte kaufen|Masculine noun (der Stehplatz). Often contrasted with 'Sitzplatz' (seated spot) in public venues, stadiums, trains, or theaters.
stehen|Stehpult|C2|73997|lectern; standing desk|высокая конторка; пульт для чтения стоя|Stehschreibtisch; Rednerpult|Er arbeitet am liebsten an einem Stehpult.|He prefers to work at a standing desk.|Он предпочитает работать за высокой конторкой.|Er arbeitet am liebsten an einem Stehschreibtisch.|ein ergonomisches Stehpult; am Stehpult arbeiten|Neuter noun (das Stehpult). Refers to writing or reading desks designed for standing users, increasingly popular in ergonomic modern workspaces.
stehen|Stehtisch|C2|38557|high table; bar table; standing table|фуршетный стол; высокий столик|Bartisch; Stehbistrotisch|Bei der Party gab es nur Stehtische.|There were only high standing tables at the party.|На вечеринке были только фуршетные столы.|Bei der Party gab es nur Bartische.|sich an einen Stehtisch stellen; Stehtisch für den Empfang|Masculine noun (der Stehtisch). A high table designed for standing guests, very common at events, receptions, or bistro bars.
stehen|Stehvermögen|C2|44167|stamina; staying power; endurance|выносливость; стойкость; упорство|Ausdauer; Durchhaltevermögen; Zähigkeit|Der Sportler bewies großes Stehvermögen.|The athlete showed great stamina.|Спортсмен проявил большую выносливость.|Der Sportler bewies großes Durchhaltevermögen.|großes Stehvermögen haben; Stehvermögen beweisen|Neuter noun (das Stehvermögen). Originating from horse racing, it is used metaphorically in daily life and sports to mean the capacity to endure prolonged pressure or fatigue.
stehen|abstehen|C2|42491|to stick out; to protrude; to go flat (drinks)|оттопыриваться; отставать; выдыхаться (о пиве, газировке)|hervorstehen; herausragen; schal werden|Seine Ohren stehen ein bisschen ab.|His ears stick out a little.|Его уши немного оттопыриваются.|Seine Ohren stehen ein bisschen hervor.|abstehende Ohren; die Tapete steht ab; abgestandenes Bier|Separable verb. Primarily used for things physically protruding or standing away from a surface (like ears or loose wallpaper). Also used as 'abgestanden' (adjective) for drinks that have lost their fizz.
stehen|anstehen|B2|6846|to queue; to stand in line; to be upcoming/pending|стоять в очереди; предстоять|Schlange stehen; anstehen; bevorstehen; an der Reihe sein|Wir mussten lange an der Kasse anstehen.|We had to queue for a long time at the cash register.|Нам пришлось долго стоять в очереди на кассе.|Wir mussten lange an der Kasse Schlange stehen.|nach Karten anstehen; eine Entscheidung steht an; Arbeit steht an|Separable verb. Has two main meanings: physically lining up for something ('anstehen für/nach'), or metaphorically indicating upcoming tasks, choices, or events ('was steht heute an?').
stehen|auferstehen|C1|17983|to rise from the dead; to resurrect|воскресать из мёртвых; воскреснуть|wiederauferstehen; zum Leben erwachen|Christen glauben, dass Jesus von den Toten auferstanden ist.|Christians believe that Jesus rose from the dead.|Христиане верят, что Иисус воскрес из мертвых.|Christen glauben, dass Jesus von den Toten wiederauferstanden ist.|von den Toten auferstehen; am dritten Tage auferstehen|Inseparable verb, conjugated with 'sein' (ist auferstanden). Primarily a religious, biblical, or highly poetic term referring to physical or spiritual resurrection.
