word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
kommen|kommen|A1|64|to come; to arrive|приходить; приезжать|eintreffen; ankommen; herkommen|Er kommt morgen nach Hause.|He is coming home tomorrow.|Он завтра приходит домой.|Er trifft morgen zu Hause ein.|nach Hause kommen; zu Besuch kommen; an die Reihe kommen; ins Rutschen kommen|Used with the auxiliary 'sein' in perfect tenses. Indicates movement towards a place or a change of state. 'Kommen zu' can also mean to obtain something (e.g., zu Geld kommen).
kommen|willkommen|A1|5092|welcome|желанный; добро пожаловать|gern gesehen; erwünscht; angenehm|Alle Gäste sind hier herzlich willkommen.|All guests are warmly welcome here.|Здесь рады всем гостям.|Alle Gäste sind hier gern gesehen.|jemanden willkommen heißen; herzlich willkommen; eine willkommene Abwechslung|Acts either as an uninflected exclamation ('Willkommen!'), an adjective, or with the verb 'heißen' ('jemanden willkommen heißen').
kommen|Kunft|C2|106874|arrival; coming|прибытие; пришествие|Ankunft; Herkunft; Zukunft|Seine Kunft wurde im Dorf mit Freude erwartet.|His coming was joyfully expected in the village.|Его прибытия в деревне ожидали с радостью.|Seine Ankunft wurde im Dorf mit Freude erwartet.|die Kunft des Herrn; nahe Kunft|Extremely rare and archaic as a standalone noun. Today, it exists almost exclusively as a suffix in compound nouns like Zukunft (future), Herkunft (origin), and Ankunft (arrival).
kommen|abhandenkommen|C2|40675|to get lost; to go missing|потеряться; затеряться; пропасть|verloren gehen; verschwinden; wegkommen|Mein Schlüssel ist mir abhandengekommen.|My key went missing.|У меня пропал ключ.|Mein Schlüssel ist mir verloren gegangen.|jdm. abhandenkommen; spurlos abhandenkommen; Dokumente kommen abhanden|Usually used with a dative object indicating the person who lost the item ('mir', 'ihm', etc.). Conjugated with 'sein'. Often refers to physical objects, but can sometimes refer to abstract concepts like patience.
kommen|abkommen|B2|3810|to deviate; to stray; to wander off|отклоняться; сбиваться (с пути)|abweichen; abdriften; vom Weg abkommen|Das Auto ist von der Fahrbahn abgekommen.|The car veered off the road.|Автомобиль съехал с проезжей части.|Das Auto ist von der Fahrbahn abgewichen.|vom Weg abkommen; vom Thema abkommen; von der Fahrbahn abkommen|Primarily used with the preposition 'von' + dative. It can be physical (drifting off a path) or figurative (straying from a topic of conversation). Conjugated with 'sein'.
kommen|ankommen|A2|1492|to arrive; to depend on|прибывать; зависеть (от чего-л.)|eintreffen; anlangen; abhängen (von)|Der Zug wird pünktlich in Berlin ankommen.|The train will arrive in Berlin on time.|Поезд прибудет в Берлин вовремя.|Der Zug wird pünktlich in Berlin eintreffen.|gut ankommen; pünktlich ankommen; es kommt darauf an|Highly versatile separable verb. Conjugates with 'sein'. Note the impersonal idiom 'es kommt auf ... an' (+ accusative), which means 'it depends on'.
kommen|aufkommen|B2|17501|to arise; to emerge; to pay (for costs/damage)|возникать; появляться; оплачивать (расходы)|entstehen; aufkeimen; bezahlen; haften|Plötzlich ist ein starker Sturm aufgekommen.|Suddenly a strong storm arose.|Вдруг поднялась сильная буря.|Plötzlich ist ein starker Sturm entstanden.|für den Schaden aufkommen; Zweifel kommen auf; ein Wind kommt auf|Separable verb, conjugated with 'sein'. When used with the preposition 'für' (+ accusative), it means to take financial responsibility or pay for something (e.g., 'für die Kosten aufkommen').
kommen|auskommen|B2|30492|to get by; to get along (with someone)|обходиться; ладить (с кем-либо)|zurechtkommen; ausreichen; sich vertragen|Ich kann mit diesem Geld gut auskommen.|I can get by well with this money.|Я вполне могу обойтись этими деньгами.|Ich kann mit diesem Geld gut zurechtkommen.|mit jemandem gut auskommen; ohne Hilfe auskommen; mit dem Gehalt auskommen|Separable verb, conjugates with 'sein'. Usually requires 'mit' (with) or 'ohne' (without). 'Gut auskommen' refers to having a harmonious relationship with someone.
kommen|beikommen|C2|24376|to get at; to deal with; to cope with|совладать; справиться; подобраться|bewältigen; anhaben; Herr werden|Diesem Problem ist nur schwer beizukommen.|This problem is hard to get a grip on.|С этой проблемой трудно совладать.|Diesem Problem ist nur schwer Herr zu werden.|einer Sache beikommen; jdm. nicht beikommen können|Separable verb governing the dative. Often used in passive-like 'sein + zu + infinitive' structures to describe trying to overcome or manage a difficult situation, obstacle, or person.
kommen|bekommen|B1|200|to get; to receive|получать|erhalten; kriegen; empfangen|Ich habe gestern ein schönes Geschenk bekommen.|I got a nice present yesterday.|Вчера я получил прекрасный подарок.|Ich habe gestern ein schönes Geschenk erhalten.|ein Geschenk bekommen; eine Antwort bekommen; Angst bekommen; Besuch bekommen|Inseparable verb. Conjugates with 'haben' in the perfect tense. Warning: False friend alert! 'Bekommen' does NOT mean 'to become' (which is 'werden').
