word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
wandeln|wandeln|B2|5273|to change; to transform; to walk (archaic)|менять; изменять; бродить (устар.)|verändern; transformieren; konvertieren; wandern|Die Gesellschaft wandelt sich in rasantem Tempo.|Society is changing at a rapid pace.|Общество меняется стремительными темпами.|Die Gesellschaft verändert sich in rasantem Tempo.|sich zum Guten wandeln; die Zeiten wandeln sich; auf Freiersfüßen wandeln|Mostly used reflexively ('sich wandeln') to describe a profound, gradual change. The intransitive, non-reflexive use meaning 'to walk or stroll' is archaic or highly poetic.
wandeln|wandelbar|C2|36092|changeable; versatile; mutable|изменчивый; переменчивый; разносторонний|veränderlich; flexibel; wechselhaft; inkonstant|Seine Mimik ist extrem wandelbar.|His facial expressions are extremely versatile.|Его мимика чрезвычайно изменчива.|Seine Mimik ist extrem veränderlich.|eine wandelbare Stimme; leicht wandelbar; unendlich wandelbar|Describes something or someone capable of undergoing or showing change. In theatre and film, it is highly positive, meaning 'versatile' (e.g., an actor's ability to play different roles).
wandeln|Schlafwandler|C2|68489|sleepwalker; somnambulist|лунатик; сомнамбула|Somnambule; Nachtwandler|Der Schlafwandler balancierte vorsichtig auf dem Geländer.|The sleepwalker balanced carefully on the railing.|Лунатик осторожно балансировал на перилах.|Der Somnambule balancierte vorsichtig auf dem Geländer.|wie ein Schlafwandler agieren; den Schlafwandler nicht wecken|Denotes a person who walks or performs other actions while asleep. Can be used metaphorically for someone acting with absolute certainty but without conscious thought.
wandeln|Traumwandler|C2|252721|dreamwalker; sleepwalker (figurative)|лунатик; мечтатель; человек, действующий с уверенностью во сне|Schlafwandler; Träumer|Er bewegte sich wie ein Traumwandler durch die Menschenmenge.|He moved like a dreamwalker through the crowd.|Он двигался сквозь толпу людей как лунатик.|Er bewegte sich wie ein Schlafwandler durch die Menschenmenge.|mit traumwandlerischer Sicherheit; ein Traumwandler zwischen den Welten|Similar to Schlafwandler, but carries a more poetic, positive, or figurative connotation. It highlights an uncanny ability to navigate difficult situations flawlessly as if guided by instinct.
wandeln|Wandelhalle|C2|33863|lobby; foyer; promenade hall|вестибюль; кулуары; прогулочная галерея|Foyer; Wandelgang; Lobby; Vorhalle|In der Wandelhalle des Parlaments trafen sich die Journalisten.|Journalists met in the lobby of the parliament.|В кулуарах парламента встретились журналисты.|Im Foyer des Parlaments trafen sich die Journalisten.|die Wandelhalle des Bundestages; Gespräche in der Wandelhalle; durch die Wandelhalle schlendern|Historically a hall for walking or strolling (e.g., at spas). Today, it is famous as the term for parliamentary lobbies where informal political talks and lobbying take place.
wandeln|Wandelstern|C2|134384|planet (archaic)|блуждающая звезда; планета (устар.)|Planet; Himmelskörper|Unsere Vorfahren beobachteten den roten Wandelstern am Nachthimmel.|Our ancestors observed the red wandering star in the night sky.|Наши предки наблюдали за красной блуждающей звездой на ночном небе.|Unsere Vorfahren beobachteten den roten Planeten am Nachthimmel.|ein heller Wandelstern; historische Bezeichnung als Wandelstern|An archaic and poetic term for a planet (as opposed to a fixed star, 'Fixstern'). Derived from the Greek word 'planētes' meaning 'wanderers'.
wandeln|Wandlung|C1|15760|transformation; conversion; change|изменение; превращение; преображение|Transformation; Veränderung; Wandel; Metamorphose|Der Ort hat eine bemerkenswerte Wandlung durchgemacht.|The town has undergone a remarkable transformation.|Этот населенный пункт претерпел примечательное изменение.|Der Ort hat eine bemerkenswerte Veränderung durchgemacht.|eine innere Wandlung; eine Wandlung vollziehen; die Wandlung in der Liturgie|Denotes a deep, qualitative change in character, state, or shape. In Catholic church liturgy, 'die Wandlung' is the consecration (transubstantiation). In legal history, it refers to contract rescission.
wandeln|abwandeln|C2|32181|to modify; to vary; to inflect|изменять; варьировать; модифицировать; изменять по грамматическим формам|variieren; modifizieren; verändern; abändern|Wir können das Design nach Ihren Wünschen abwandeln.|We can modify the design according to your wishes.|Мы можем изменить дизайн по вашему желанию.|Wir können das Design nach Ihren Wünschen modifizieren.|ein Thema abwandeln; ein Rezept leicht abwandeln; Wörter abwandeln|Separable verb. Means to alter something slightly so as to produce a variation. In linguistics, it can refer to the inflection (declension or conjugation) of words.
wandeln|anverwandeln|C2|92406|to assimilate; to internalize; to adapt (reflexive)|усваивать; осваивать; делать своим; внутренне уподобляться|verinnerlichen; aneignen; assimilieren; anpassen|Er wusste sich die fremde Kultur völlig anzuverwandeln.|He knew how to completely internalize the foreign culture.|Он сумел полностью освоить чужую культуру.|Er wusste sich die fremde Kultur völlig anzueignen.|sich eine Rolle anverwandeln; sich ein Thema schöpferisch anverwandeln|Highly literary and elevated. Typically used reflexively: 'sich (Dativ) etwas anverwandeln'. It implies a deep, creative integration of something external until it feels natural and personal.
wandeln|anwandeln|C2|163189|to overcome (of a feeling); to seize; to come over|находить; овладевать (о чувстве, настроении); взбредать в голову|überkommen; befallen; ergreifen; packen|Plötzlich wandelte sie eine tiefe Traurigkeit an.|Suddenly, a deep sadness came over her.|Вдруг на нее нашла глубокая грусть.|Plötzlich überkam sie eine tiefe Traurigkeit.|eine Lust wandelt mich an; was wandelt dich an?; von Heimweh angewandelt werden|A transitive, separable verb. It is used almost exclusively in the third person when a feeling, mood, or idea suddenly affects someone. Often used in rhetorical questions: 'Was wandelt dich an?' (What's come over you?).
wandeln|lustwandeln|C2|78334|to stroll; to promenade; to saunter|прогуливаться; гулять ради удовольствия|spazieren; flanieren; schlendern|Sie lustwandelten stundenlang durch den herrschaftlichen Park.|They strolled for hours through the stately park.|Они часами прогуливались по величественному парку.|Sie spazierten stundenlang durch den herrschaftlichen Park.|im Schlossgarten lustwandeln; gemütlich lustwandeln|A poetic, elevated, and sometimes humorous/ironic word. It denotes slow walking for pleasure in a beautiful environment. It is an inseparable compound verb.
wandeln|nachtwandeln|C2|195900|to sleepwalk (at night)|ходить во сне по ночам; лунатить|schlafwandeln|Es ist gefährlich, jemanden zu wecken, der gerade nachtwandelt.|It is dangerous to wake someone who is currently sleepwalking.|Опасно будить кого-то, кто сейчас ходит во сне.|Es ist gefährlich, jemanden zu wecken, der gerade schlafwandelt.|schlaflos nachtwandeln; Neigung zum Nachtwandeln|Highly synonymous with 'schlafwandeln', but explicitly stresses that it happens at night. It is inseparable and very rare in modern spoken German, where 'schlafwandeln' is preferred.
wandeln|schlafwandeln|C2|102521|to sleepwalk|ходить во сне; страдать сомнамбулизмом|nachtwandeln; im Schlaf wandeln|Er schlafwandelt seit seiner frühen Kindheit.|He has been sleepwalking since his early childhood.|Он ходит во сне с самого раннего детства.|Er wandelt seit seiner frühen Kindheit im Schlaf.|nachts schlafwandeln; unbewusst schlafwandeln|Inseparable verb (conjugated: er schlafwandelt, schlafwandelte, hat geschlafwandelt). This is the standard term for sleepwalking in German.
wandeln|traumwandeln|C2|167733|to walk with somnambulic certainty; to dreamwalk|ходить как во сне; действовать с абсолютной уверенностью (как лунатик)|schlafwandeln; traumhaft sicher agieren|Die Künstlerin schien auf der Bühne regelrecht zu traumwandeln.|The artist seemed to practically dreamwalk on stage.|Художница казалась буквально идущей как во сне на сцене.|Die Künstlerin schien auf der Bühne regelrecht traumhaft sicher zu agieren.|traumwandelnd sicher; über Abgründe traumwandeln|Mostly used in a figurative sense to express that someone does something complex or dangerous with incredible, effortless confidence, as if in a trance.
wandeln|umwandeln|B2|5842|to convert; to transform; to change|преобразовывать; превращать; конвертировать|konvertieren; transformieren; umgestalten; umfunktionieren|Pflanzen wandeln Kohlendioxid in Sauerstoff um.|Plants convert carbon dioxide into oxygen.|Растения преобразуют углекислый газ в кислород.|Pflanzen transformieren Kohlendioxid in Sauerstoff.|Energie umwandeln; in Wärme umwandeln; eine Haftstrafe umwandeln|Separable verb (wandelt um, wandelte um, hat umgewandelt). Focuses on changing the structure, format, purpose, or state of something. Often used with the preposition 'in' + accusative.
wandeln|verwandeln|B2|2366|to transform; to turn into; to convert (a penalty)|превращать; трансформировать; реализовывать (пенальти)|transformieren; umwandeln; ändern; modifizieren|Der Magier verwandelte den Zylinder in ein Kaninchen.|The magician transformed the top hat into a rabbit.|Волшебник превратил цилиндр в кролика.|Der Magier machte aus dem Zylinder ein Kaninchen.|sich verwandeln in; einen Strafstoß verwandeln; eine Chance verwandeln|Inseparable verb. Expresses a profound, often magical, sudden, or complete transformation (used reflexively: 'sich verwandeln in' + Accusative). In sports, it means to successfully score from a penalty or a direct opportunity.
wandeln|zurückverwandeln|C2|76009|to transform back; to reconvert|превращать обратно; возвращать в исходное состояние|rückgängig machen; zurückführen; rekonstruieren|Sie wollte das Schloss wieder in eine Hütte zurückverwandeln.|She wanted to transform the castle back into a hut.|Она хотела снова превратить замок обратно в хижину.|Sie wollte das Schloss wieder zu einer Hütte machen.|sich zurückverwandeln in; ein Gebiet zurückverwandeln|A separable prefix ('zurück-') added to the inseparable verb 'verwandeln'. Describes the process of changing something back to its original state before a previous transformation occurred. Governed by 'in' + accusative.
