word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
pflanzen|pflanzen|A2|5584|to plant; to grow|сажать; высаживать|anbauen; setzen; anpflanzen|Im Frühling pflanzen wir Tomaten im Garten.|In spring, we plant tomatoes in the garden.|Весной мы сажаем помидоры в саду.|Im Frühling setzen wir Tomaten im Garten.|Blumen pflanzen; Bäume pflanzen; im Garten pflanzen; Gemüse pflanzen|Standard verb for putting seeds, seedlings, or plants into the soil. Collocates with 'in den Boden' or 'in die Erde'.
pflanzen|Pflanzer|C2|86234|planter; grower|плантатор; садовод|Anbauer; Züchter; Gärtner|Der Pflanzer kontrollierte die Tabakernte auf seinem Feld.|The planter inspected the tobacco harvest on his field.|Плантатор осматривал урожай табака на своем поле.|Der Anbauer kontrollierte die Tabakernte auf seinem Feld.|ein reicher Pflanzer; Kaffee-Pflanzer; Baumwoll-Pflanzer|Typically refers to the owner of a large agricultural plantation (especially in historical or colonial contexts) or generally a person who plants crops.
pflanzen|Pflanzgarten|C2|109477|plant nursery; seedbed|лесной питомник; питомник растений|Baumschule; Pflanzenschule; Saatbeet|Die Forstverwaltung zieht junge Tannen im Pflanzgarten auf.|The forestry administration grows young fir trees in the plant nursery.|Лесная администрация выращивает молодые пихты в питомнике.|Die Forstverwaltung zieht junge Tannen in der Baumschule auf.|forstlicher Pflanzgarten; im Pflanzgarten anziehen; Pflanzgarten für Gehölze|Mainly used in forestry, agriculture, and gardening to describe an area where young plants are systematically grown before being transplanted.
pflanzen|Pflanzholz|C2|183881|dibble; planting peg|посадочный колышек; сажальный кол|Pflanzstock; Setzholz; Steckholz|Mit einem Pflanzholz bohrte sie Löcher für die Setzlinge in die Erde.|She used a dibble to poke holes in the soil for the seedlings.|Посадочным колышком она проделывала лунки для рассады в земле.|Mit einem Pflanzstock bohrte sie Löcher für die Setzlinge in die Erde.|mit dem Pflanzholz arbeiten; ein hölzernes Pflanzholz|A traditional small hand tool, usually made of wood, used to poke holes in the soil for seeds, bulbs, or small seedlings.
pflanzen|Pflanzkartoffel|C2|103992|seed potato|семенной картофель|Saatkartoffel; Setzkartoffel|Der Bauer sortierte die Pflanzkartoffeln für das nächste Frühjahr.|The farmer sorted the seed potatoes for next spring.|Фермер перебирал семенной картофель на следующую весну.|Der Bauer sortierte die Saatkartoffeln für das nächste Frühjahr.|Pflanzkartoffeln stecken; Pflanzkartoffeln vorkeimen; zertifizierte Pflanzkartoffeln|Refers specifically to potatoes selected and kept for propagation/planting rather than food consumption.
pflanzen|Pflanzmaschine|C2|144473|planting machine; planter|посадочная машина|Setzmaschine; Pflanzautomat|Die Pflanzmaschine setzt die Salatsetzlinge präzise in die Erde.|The planting machine places the lettuce seedlings precisely in the soil.|Посадочная машина аккуратно высаживает рассаду салата в землю.|Die Setzmaschine setzt die Salatsetzlinge präzise in die Erde.|automatische Pflanzmaschine; Pflanzmaschine für Forstpflanzen|An agricultural machine used to plant young plants, seedlings, or tubers mechanically on a large scale.
pflanzen|Pflanzstadt|C2|223435|plantation town; colonial settlement|город-колония; основанное поселение|Kolonialstadt; Gründungsstadt; Siedlung|Die historische Pflanzstadt wurde im 17. Jahrhundert von Siedlern gegründet.|The historic plantation town was founded by settlers in the 17th century.|Исторический город-колония был основан поселенцами в 17 веке.|Die historische Kolonialstadt wurde im 17. Jahrhundert von Siedlern gegründet.|eine alte Pflanzstadt; Gründung einer Pflanzstadt|An extremely rare, historical term referring to a town established as a colony or settlement, often associated with agricultural plantations.
pflanzen|Pflanzstätte|C2|159539|nursery; breeding ground|рассадник; питомник (в т.ч. переносное)|Brutstätte; Keimzelle; Pflanzgarten|Diese Universität gilt als eine Pflanzstätte für neue Ideen.|This university is considered a breeding ground for new ideas.|Этот университет считается рассадником новых идей.|Diese Universität gilt als eine Brutstätte für neue Ideen.|geistige Pflanzstätte; Pflanzstätte der Kultur; Pflanzstätte der Wissenschaft|Can refer to a literal plant nursery, but is far more common in elevated figurative speech to describe a place where ideas, arts, or education are nurtured and spread.
pflanzen|Pflanzstock|C2|196540|planting stick; dibble|сажальный кол; колышек для посадки|Pflanzholz; Grabstock; Setzstock|Mit dem Pflanzstock bereitet der Gärtner den Boden für die Blumenzwiebeln vor.|With the planting stick, the gardener prepares the soil for the flower bulbs.|Сажальным колом садовник готовит почву для цветочных луковиц.|Mit dem Pflanzholz bereitet der Gärtner den Boden für die Blumenzwiebeln vor.|einen Pflanzstock benutzen; hölzerner Pflanzstock|Very similar to 'Pflanzholz'. Can refer to a short hand tool or a longer walking-stick-style agricultural implement used in traditional farming.
pflanzen|Pflanzung|C2|25040|planting; plantation|посадка (процесс/насаждение); плантация|Anpflanzung; Plantage; Anlage|Die junge Pflanzung von Fichten erlitt schwere Frostschäden.|The young planting of spruce trees suffered severe frost damage.|Молодые посадки елей сильно пострадали от мороза.|Die junge Anpflanzung von Fichten erlitt schwere Frostschäden.|forstliche Pflanzung; Pflanzung von Bäumen; junge Pflanzung|Refers both to the act of planting and to the actual area or stand of young trees or crops.
